latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.25659,73.00768,240.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,11.3,71,0.00,988.0,15.5,26.8,31,41
2024-01-01T01:00,11.0,75,0.00,988.9,14.9,26.0,37,48
2024-01-01T02:00,10.7,79,0.00,989.6,14.6,26.0,40,53
2024-01-01T03:00,11.8,77,0.00,990.1,15.6,26.5,38,56
2024-01-01T04:00,14.3,71,0.00,990.9,13.2,22.8,43,55
2024-01-01T05:00,17.2,63,0.00,991.2,12.2,16.3,45,49
2024-01-01T06:00,20.0,56,0.00,990.6,12.0,15.1,49,52
2024-01-01T07:00,21.9,47,0.00,989.4,12.5,15.3,46,49
2024-01-01T08:00,23.0,38,0.00,988.1,13.1,16.1,37,39
2024-01-01T09:00,23.6,34,0.00,987.4,13.1,16.4,32,33
2024-01-01T10:00,23.7,33,0.00,987.0,13.2,16.5,29,32
2024-01-01T11:00,23.1,32,0.00,986.8,13.5,17.4,29,30
2024-01-01T12:00,21.4,36,0.00,986.8,9.8,18.7,24,28
2024-01-01T13:00,18.1,48,0.00,987.9,10.5,22.2,8,13
2024-01-01T14:00,17.4,50,0.00,988.6,13.7,27.2,14,18
2024-01-01T15:00,16.3,54,0.00,989.0,14.7,28.3,22,26
2024-01-01T16:00,15.2,59,0.00,989.2,15.1,28.4,25,30
2024-01-01T17:00,14.2,63,0.00,989.3,16.1,29.5,24,30
2024-01-01T18:00,13.3,66,0.00,989.0,16.3,29.2,28,33
2024-01-01T19:00,12.5,70,0.00,988.7,15.0,27.6,35,41
2024-01-01T20:00,11.8,74,0.00,988.1,14.2,26.5,36,45
2024-01-01T21:00,11.2,77,0.00,987.8,14.1,25.5,40,50
2024-01-01T22:00,10.6,80,0.00,987.4,13.2,24.8,43,54
2024-01-01T23:00,10.2,83,0.00,987.5,12.5,23.6,41,56
2024-01-02T00:00,9.7,86,0.00,987.6,13.2,23.9,43,56
2024-01-02T01:00,9.5,87,0.00,987.9,13.2,24.1,45,58
2024-01-02T02:00,9.3,89,0.00,988.7,13.0,23.8,48,63
2024-01-02T03:00,10.4,83,0.00,989.3,13.8,23.7,47,68
2024-01-02T04:00,13.2,72,0.00,989.9,11.5,22.2,49,70
2024-01-02T05:00,16.5,63,0.00,990.0,10.9,14.7,46,54
2024-01-02T06:00,19.3,53,0.00,989.1,10.7,13.3,48,52
2024-01-02T07:00,21.2,42,0.00,988.2,10.7,13.3,48,49
2024-01-02T08:00,22.4,36,0.00,987.3,10.5,12.7,41,43
2024-01-02T09:00,23.0,33,0.00,986.7,11.1,13.9,29,31
2024-01-02T10:00,23.1,30,0.00,986.2,12.4,15.3,26,27
2024-01-02T11:00,22.5,31,0.00,986.1,13.0,17.2,24,26
2024-01-02T12:00,20.7,36,0.00,986.3,10.4,19.5,20,23
2024-01-02T13:00,17.1,54,0.00,986.8,10.8,22.3,15,21
2024-01-02T14:00,16.2,57,0.00,987.5,14.2,27.5,21,26
2024-01-02T15:00,15.1,60,0.00,987.8,15.0,28.4,30,36
2024-01-02T16:00,14.1,64,0.00,988.1,14.1,27.1,32,41
2024-01-02T17:00,13.2,69,0.00,988.1,13.5,26.0,34,44
2024-01-02T18:00,12.4,74,0.00,987.8,13.7,25.5,35,45
2024-01-02T19:00,11.7,78,0.00,987.5,14.0,26.0,35,45
2024-01-02T20:00,11.2,82,0.00,987.2,13.6,25.3,37,50
2024-01-02T21:00,10.7,85,0.00,987.1,12.8,23.4,40,56
2024-01-02T22:00,10.3,88,0.00,986.7,12.8,22.7,40,57
2024-01-02T23:00,9.9,89,0.00,986.5,12.5,22.5,39,55
2024-01-03T00:00,9.5,90,0.00,986.5,12.6,22.4,37,53
2024-01-03T01:00,9.0,92,0.00,987.3,13.3,24.6,38,52
2024-01-03T02:00,8.8,93,0.00,988.1,12.8,24.4,38,53
2024-01-03T03:00,10.1,86,0.00,989.0,13.8,23.5,39,54
2024-01-03T04:00,12.7,75,0.00,990.0,11.5,22.6,41,56
2024-01-03T05:00,15.8,66,0.00,990.5,12.0,16.2,49,53
2024-01-03T06:00,18.2,60,0.00,989.7,13.2,16.7,55,57
2024-01-03T07:00,19.9,50,0.00,988.8,12.6,15.8,59,60
2024-01-03T08:00,21.0,42,0.00,987.6,12.7,15.8,55,55
2024-01-03T09:00,21.6,38,0.00,986.8,13.7,17.1,45,46
2024-01-03T10:00,21.6,36,0.00,986.5,14.6,18.4,40,40
2024-01-03T11:00,21.1,34,0.00,986.3,15.2,19.8,36,37
2024-01-03T12:00,19.5,38,0.00,986.5,11.4,21.2,35,35
2024-01-03T13:00,16.0,55,0.00,987.0,10.0,22.0,38,40
2024-01-03T14:00,14.8,61,0.00,987.4,11.0,23.2,41,46
2024-01-03T15:00,13.9,66,0.00,987.9,13.1,25.9,32,38
2024-01-03T16:00,13.2,70,0.00,988.4,15.1,28.4,33,38
2024-01-03T17:00,12.5,73,0.00,988.7,15.0,28.8,35,41
2024-01-03T18:00,11.8,75,0.00,988.5,15.2,29.0,36,43
2024-01-03T19:00,11.1,78,0.00,988.2,14.1,27.0,40,47
2024-01-03T20:00,10.3,81,0.00,987.9,12.7,25.0,45,54
2024-01-03T21:00,9.7,83,0.00,987.9,12.0,23.1,44,56
2024-01-03T22:00,9.1,86,0.00,987.8,12.0,22.3,41,56
2024-01-03T23:00,8.5,88,0.00,987.6,12.0,22.1,41,56
2024-01-04T00:00,8.0,91,0.00,987.9,12.0,21.7,39,54
2024-01-04T01:00,8.2,91,0.00,989.0,12.6,22.3,37,56
2024-01-04T02:00,8.0,92,0.00,989.7,13.6,23.0,32,49
2024-01-04T03:00,9.0,86,0.00,990.6,15.3,24.7,30,46
2024-01-04T04:00,11.6,74,0.00,991.4,12.8,24.5,32,47
2024-01-04T05:00,14.6,64,0.00,991.9,12.5,16.8,39,43
2024-01-04T06:00,17.2,56,0.00,990.9,12.7,15.8,45,47
2024-01-04T07:00,19.1,44,0.00,989.6,13.2,16.6,47,48
2024-01-04T08:00,20.4,37,0.00,988.4,13.0,16.6,46,48
2024-01-04T09:00,21.1,33,0.00,987.5,12.5,15.8,44,45
2024-01-04T10:00,21.2,33,0.00,987.0,12.3,15.3,38,39
2024-01-04T11:00,20.8,32,0.00,986.8,12.5,16.3,33,35
2024-01-04T12:00,19.0,37,0.00,986.8,8.5,17.3,28,31
2024-01-04T13:00,15.9,50,0.00,987.4,11.0,23.4,19,25
2024-01-04T14:00,14.9,53,0.00,987.8,12.6,25.9,24,29
2024-01-04T15:00,13.8,57,0.00,988.3,13.4,26.9,27,32
2024-01-04T16:00,12.9,60,0.00,988.8,13.3,27.4,33,39
2024-01-04T17:00,12.1,63,0.00,988.9,13.0,26.5,34,42
2024-01-04T18:00,11.4,66,0.00,988.4,12.4,25.5,36,45
2024-01-04T19:00,10.5,69,0.00,988.1,12.0,24.3,41,52
2024-01-04T20:00,9.8,72,0.00,987.9,12.2,23.9,43,56
2024-01-04T21:00,9.3,73,0.00,987.7,12.5,23.8,41,58
2024-01-04T22:00,8.8,75,0.00,987.3,12.5,23.6,41,59
2024-01-04T23:00,8.2,79,0.00,986.9,11.7,22.2,43,61
2024-01-05T00:00,7.8,83,0.00,987.1,11.0,20.8,41,62
2024-01-05T01:00,7.6,85,0.00,988.5,10.4,20.6,44,63
2024-01-05T02:00,7.3,89,0.00,989.0,10.6,19.7,35,59
2024-01-05T03:00,8.7,83,0.00,989.6,13.0,20.0,34,56
2024-01-05T04:00,11.6,72,0.00,990.4,10.8,21.5,37,59
2024-01-05T05:00,14.7,63,0.00,990.9,11.2,15.9,50,57
2024-01-05T06:00,17.3,54,0.00,990.0,12.4,15.8,64,66
2024-01-05T07:00,19.0,46,0.00,988.9,12.2,15.3,62,63
2024-01-05T08:00,20.2,42,0.00,987.9,11.2,13.5,48,48
2024-01-05T09:00,20.8,40,0.00,987.5,11.4,13.9,35,37
2024-01-05T10:00,20.9,39,0.00,987.5,12.7,15.8,25,27
2024-01-05T11:00,20.4,40,0.00,987.7,13.4,17.4,27,27
2024-01-05T12:00,18.9,45,0.00,987.8,10.2,19.2,32,30
2024-01-05T13:00,16.0,55,0.00,988.4,10.5,22.7,27,29
2024-01-05T14:00,15.2,57,0.00,989.0,11.6,25.2,26,31
2024-01-05T15:00,14.3,60,0.00,989.4,14.0,27.8,29,34
2024-01-05T16:00,13.3,64,0.00,989.4,13.8,27.3,39,42
2024-01-05T17:00,12.5,68,0.00,989.7,13.0,26.3,44,49
2024-01-05T18:00,11.7,73,0.00,989.5,12.0,24.9,49,56
2024-01-05T19:00,11.1,76,0.00,989.3,11.5,23.3,46,58
2024-01-05T20:00,10.5,80,0.00,989.2,10.9,22.5,44,58
2024-01-05T21:00,9.9,84,0.00,988.9,11.2,21.7,40,54
2024-01-05T22:00,9.4,87,0.00,988.7,11.1,21.3,36,53
2024-01-05T23:00,9.0,90,0.00,988.4,11.4,20.8,35,53
2024-01-06T00:00,8.7,92,0.00,988.7,11.9,21.3,35,51
2024-01-06T01:00,9.1,92,0.00,990.1,11.5,21.6,44,62
2024-01-06T02:00,8.8,93,0.00,990.5,12.3,22.6,38,56
2024-01-06T03:00,10.0,87,0.00,991.4,14.8,24.1,34,52
2024-01-06T04:00,12.6,76,0.00,992.2,13.1,25.0,37,54
2024-01-06T05:00,15.6,65,0.00,992.6,13.0,17.7,48,52
2024-01-06T06:00,18.3,54,0.00,991.7,12.8,16.1,58,61
2024-01-06T07:00,20.1,43,0.00,990.4,12.6,15.8,59,60
2024-01-06T08:00,21.3,37,0.00,989.1,12.0,14.9,51,53
2024-01-06T09:00,22.0,34,0.00,988.3,11.7,14.5,45,46
2024-01-06T10:00,22.2,32,0.00,988.1,12.0,15.1,39,40
