latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.007029,74.82503,501.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.5,99,0.00,957.4,10.9,17.6,63,67
2024-01-01T01:00,14.4,100,0.00,958.3,10.6,17.7,66,70
2024-01-01T02:00,14.3,99,0.00,958.8,10.3,17.1,65,68
2024-01-01T03:00,14.7,98,0.00,959.5,12.1,15.9,60,65
2024-01-01T04:00,15.9,91,0.00,960.4,12.2,14.8,62,64
2024-01-01T05:00,18.4,81,0.00,960.6,10.9,14.2,63,63
2024-01-01T06:00,20.9,71,0.00,960.2,10.0,12.9,60,60
2024-01-01T07:00,22.9,64,0.00,959.2,7.9,10.0,60,60
2024-01-01T08:00,24.3,59,0.10,958.3,2.9,3.3,173,167
2024-01-01T09:00,24.8,55,0.00,957.4,1.5,1.8,166,191
2024-01-01T10:00,25.2,51,0.00,957.1,1.1,1.9,270,248
2024-01-01T11:00,24.9,50,0.00,956.9,2.6,3.1,344,324
2024-01-01T12:00,22.6,66,0.00,956.6,5.3,7.9,28,24
2024-01-01T13:00,20.1,76,0.00,957.6,12.2,22.5,47,49
2024-01-01T14:00,18.5,82,0.00,958.4,13.8,24.7,41,43
2024-01-01T15:00,17.4,86,0.00,958.8,13.1,24.4,53,53
2024-01-01T16:00,16.6,90,0.00,959.1,12.0,23.5,57,58
2024-01-01T17:00,16.0,93,0.00,958.9,11.7,23.6,56,59
2024-01-01T18:00,15.5,95,0.00,958.5,12.1,23.7,63,64
2024-01-01T19:00,15.1,97,0.00,958.0,12.0,23.1,69,69
2024-01-01T20:00,14.8,98,0.00,957.8,11.5,22.8,70,72
2024-01-01T21:00,14.5,99,0.00,957.4,11.0,21.8,71,74
2024-01-01T22:00,14.3,99,0.00,957.0,10.9,20.9,73,75
2024-01-01T23:00,14.1,99,0.00,957.0,10.9,20.9,73,75
2024-01-02T00:00,14.1,100,0.00,957.2,11.9,21.7,65,69
2024-01-02T01:00,14.3,99,0.00,958.1,12.4,21.1,68,70
2024-01-02T02:00,14.2,100,0.00,958.6,12.8,22.1,68,71
2024-01-02T03:00,14.4,98,0.00,958.9,14.1,20.0,71,72
2024-01-02T04:00,15.6,92,0.00,959.6,15.5,19.7,72,75
2024-01-02T05:00,17.4,84,0.00,959.9,14.0,18.4,78,79
2024-01-02T06:00,19.9,74,0.00,959.2,12.0,15.6,83,83
2024-01-02T07:00,22.0,67,0.00,958.1,10.0,12.4,77,80
2024-01-02T08:00,23.3,63,0.00,957.1,6.7,8.2,74,75
2024-01-02T09:00,24.1,59,0.10,956.5,3.6,4.6,135,141
2024-01-02T10:00,24.4,56,0.00,955.9,5.1,5.4,82,90
2024-01-02T11:00,23.9,58,0.00,956.0,8.9,10.6,63,66
2024-01-02T12:00,22.1,66,0.00,956.1,13.0,21.9,62,65
2024-01-02T13:00,18.3,84,0.00,956.6,10.7,21.5,50,52
2024-01-02T14:00,17.3,87,0.00,957.6,12.0,23.4,46,46
2024-01-02T15:00,16.5,90,0.00,958.0,12.3,23.3,52,51
2024-01-02T16:00,15.7,93,0.00,958.0,10.5,21.1,63,60
2024-01-02T17:00,15.2,96,0.00,958.0,10.5,21.6,74,72
2024-01-02T18:00,14.8,97,0.00,957.5,10.9,22.4,81,79
2024-01-02T19:00,14.5,98,0.00,957.3,11.1,22.0,77,80
2024-01-02T20:00,14.3,98,0.00,956.9,10.0,20.6,75,78
2024-01-02T21:00,14.0,98,0.00,956.7,9.0,18.7,74,79
2024-01-02T22:00,13.6,99,0.00,956.2,8.3,18.0,72,78
2024-01-02T23:00,13.3,99,0.00,956.1,8.2,17.2,67,74
2024-01-03T00:00,13.1,100,0.00,956.2,9.3,19.1,62,68
2024-01-03T01:00,13.4,99,0.00,957.3,11.4,19.6,66,70
2024-01-03T02:00,13.5,100,0.00,957.8,12.4,18.4,60,62
2024-01-03T03:00,13.9,98,0.00,958.5,12.7,18.0,61,64
2024-01-03T04:00,14.8,96,0.00,959.2,13.3,17.1,57,60
2024-01-03T05:00,16.8,86,0.00,959.8,12.8,16.5,58,58
2024-01-03T06:00,18.6,80,0.00,959.3,11.3,14.0,68,67
2024-01-03T07:00,19.9,75,0.00,958.3,8.9,10.8,69,69
2024-01-03T08:00,20.6,72,0.10,957.3,6.7,8.5,54,54
2024-01-03T09:00,21.6,66,0.00,956.5,5.6,7.1,50,49
2024-01-03T10:00,21.9,63,0.00,956.1,7.4,9.2,47,45
2024-01-03T11:00,21.4,64,0.00,955.9,10.7,14.0,45,44
2024-01-03T12:00,19.5,73,0.00,956.1,11.8,19.8,59,57
2024-01-03T13:00,16.8,85,0.00,956.2,8.8,19.3,55,53
2024-01-03T14:00,15.6,93,0.00,957.0,10.8,21.9,64,65
2024-01-03T15:00,14.7,96,0.00,957.3,11.9,23.4,65,67
2024-01-03T16:00,14.2,97,0.00,957.6,11.7,23.5,72,72
2024-01-03T17:00,13.7,98,0.00,957.8,10.8,22.4,69,71
2024-01-03T18:00,13.3,98,0.00,957.6,10.6,22.1,66,68
2024-01-03T19:00,12.8,99,0.00,957.2,10.8,22.9,60,64
2024-01-03T20:00,12.4,99,0.00,956.7,11.0,22.9,58,62
2024-01-03T21:00,12.2,99,0.00,956.7,11.1,22.6,54,56
2024-01-03T22:00,11.9,99,0.00,956.6,10.6,22.4,55,57
2024-01-03T23:00,11.7,99,0.00,956.5,10.1,21.3,55,56
2024-01-04T00:00,11.4,100,0.00,957.0,10.0,20.3,60,60
2024-01-04T01:00,12.3,100,0.00,958.3,10.2,18.8,67,73
2024-01-04T02:00,12.5,99,0.00,959.0,11.3,17.7,68,73
2024-01-04T03:00,13.2,99,0.00,959.8,12.6,16.5,66,70
2024-01-04T04:00,14.6,93,0.00,960.5,13.1,16.9,69,74
2024-01-04T05:00,16.4,86,0.00,960.7,13.8,17.7,84,85
2024-01-04T06:00,17.7,75,0.00,959.9,10.8,14.0,86,89
2024-01-04T07:00,19.7,66,0.00,958.9,8.8,10.7,71,70
2024-01-04T08:00,20.8,61,0.00,957.8,7.9,10.3,66,65
2024-01-04T09:00,21.3,59,0.00,956.9,8.5,10.6,62,62
2024-01-04T10:00,21.3,57,0.00,956.5,9.5,11.8,53,52
2024-01-04T11:00,20.7,58,0.00,956.4,10.4,13.7,46,45
2024-01-04T12:00,19.1,64,0.00,956.3,8.4,17.3,43,43
2024-01-04T13:00,16.5,78,0.00,956.5,10.2,22.5,45,49
2024-01-04T14:00,15.6,81,0.00,957.1,10.2,22.9,45,48
2024-01-04T15:00,14.6,86,0.00,957.6,11.5,24.2,46,49
2024-01-04T16:00,13.9,88,0.00,958.2,11.5,24.5,51,54
2024-01-04T17:00,13.1,92,0.00,958.1,10.5,23.1,49,53
2024-01-04T18:00,12.5,94,0.00,957.6,10.0,22.1,52,56
2024-01-04T19:00,12.1,95,0.00,957.3,9.0,21.1,61,67
2024-01-04T20:00,11.9,95,0.00,956.9,9.7,21.7,63,69
2024-01-04T21:00,11.7,95,0.00,956.6,9.5,21.4,61,65
2024-01-04T22:00,11.3,96,0.00,956.2,8.7,20.3,60,67
2024-01-04T23:00,11.1,96,0.00,955.9,8.5,20.0,54,64
2024-01-05T00:00,10.8,96,0.00,956.2,8.0,18.9,54,66
2024-01-05T01:00,11.4,97,0.00,957.7,9.3,19.4,62,68
2024-01-05T02:00,12.1,95,0.00,958.3,10.1,20.4,63,73
2024-01-05T03:00,13.6,89,0.00,959.0,9.0,19.0,61,71
2024-01-05T04:00,15.5,84,0.00,959.9,10.0,14.8,75,76
2024-01-05T05:00,17.0,81,0.00,960.0,12.3,15.9,85,85
2024-01-05T06:00,18.0,75,0.00,959.3,9.0,11.2,85,84
2024-01-05T07:00,19.3,65,0.00,958.7,5.4,6.5,82,84
2024-01-05T08:00,20.2,61,0.00,957.7,5.6,6.7,75,74
2024-01-05T09:00,20.7,58,0.00,957.1,5.7,6.8,72,72
2024-01-05T10:00,20.7,58,0.00,956.8,7.1,8.7,75,73
2024-01-05T11:00,20.1,59,0.00,957.1,7.3,9.2,70,69
2024-01-05T12:00,18.3,69,0.00,957.1,5.1,11.9,82,76
2024-01-05T13:00,14.9,86,0.00,957.4,6.1,13.6,50,53
2024-01-05T14:00,14.4,89,0.00,958.0,7.9,18.7,47,56
2024-01-05T15:00,13.8,92,0.00,958.6,9.4,21.9,50,54
2024-01-05T16:00,13.2,95,0.00,958.9,10.3,22.6,54,56
2024-01-05T17:00,12.7,96,0.00,959.2,9.6,21.8,56,56
2024-01-05T18:00,12.2,97,0.00,958.7,9.7,21.9,59,57
2024-01-05T19:00,11.8,97,0.00,958.6,10.6,23.2,62,62
2024-01-05T20:00,11.5,97,0.00,958.3,9.8,22.5,66,68
2024-01-05T21:00,11.1,98,0.00,957.9,9.3,21.6,62,64
