Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,72.75,128.75,1.05,20.08,11.52,12.8,0.82,0.98,9.18,5.43,3.1,,,0.3,0.15,12.9,91.5,0.32,150.0,0.0,0.0,50.5,,
2024-01-01 01:00:00,77.0,124.75,0.75,18.35,10.35,11.58,0.55,0.95,11.12,5.22,3.1,,,0.3,0.2,12.5,92.0,0.35,149.25,0.0,0.0,51.5,,
2024-01-01 02:00:00,68.5,134.0,0.7,17.58,9.9,11.12,0.42,0.93,10.3,5.03,3.05,,,0.3,0.2,12.05,92.75,0.43,148.75,0.0,0.0,50.5,,
2024-01-01 03:00:00,60.75,136.0,0.72,18.68,10.55,11.75,0.2,0.94,10.58,4.8,3.1,,,0.3,0.15,11.98,93.0,0.38,147.5,0.0,0.0,48.0,,
2024-01-01 04:00:00,66.5,145.25,0.92,18.68,10.68,11.92,0.32,0.95,17.45,4.78,3.1,,,0.3,0.12,12.8,93.5,0.48,161.0,0.0,0.0,46.5,,
2024-01-01 05:00:00,74.75,154.25,0.75,18.82,10.6,11.85,,0.95,26.28,4.58,2.98,,,0.3,0.1,13.35,94.0,0.48,157.25,0.0,0.0,44.75,,
2024-01-01 06:00:00,73.0,151.25,0.78,18.4,10.4,11.68,,0.94,27.62,4.3,2.62,,,0.3,0.1,13.6,94.0,0.38,176.75,0.0,0.0,45.25,,
2024-01-01 07:00:00,74.25,159.75,0.75,16.02,9.18,10.3,0.2,0.92,26.68,4.1,2.42,,,0.22,0.1,13.8,94.0,0.35,163.5,0.0,0.0,50.0,,
2024-01-01 08:00:00,77.5,156.75,1.2,16.02,9.5,10.68,0.27,0.93,28.1,4.1,2.2,,,0.2,0.1,14.12,93.0,0.4,161.0,0.0,0.0,59.75,,
2024-01-01 09:00:00,70.5,154.75,1.35,16.18,9.68,10.85,0.15,0.98,24.33,4.25,2.4,,,0.28,0.15,14.58,90.75,0.55,163.25,0.0,0.0,73.0,,
