Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,141.75,191.0,0.42,16.0,8.88,33.58,8.9,0.55,22.92,1.35,2.52,,,0.1,0.15,11.42,90.0,0.72,99.75,0.0,0.0,19.0,,
2024-01-01 01:00:00,133.5,180.75,0.4,16.08,8.6,33.7,7.78,0.35,24.1,0.83,1.57,,,0.1,0.15,11.3,91.0,0.68,107.75,0.0,0.0,19.0,,
2024-01-01 02:00:00,137.25,185.5,0.42,17.48,9.65,33.65,5.65,0.27,24.8,0.68,1.25,,,0.1,0.1,11.32,91.0,0.8,99.25,0.0,0.0,19.0,,
2024-01-01 03:00:00,144.0,193.25,0.3,18.5,10.07,33.68,5.58,0.25,25.42,0.57,1.18,,,0.1,0.1,11.48,89.5,0.65,104.25,0.0,0.0,19.0,,
2024-01-01 04:00:00,144.0,193.5,0.4,17.33,9.43,33.65,5.9,0.24,25.4,0.57,1.07,,,,0.1,11.3,89.25,0.6,106.5,0.0,0.0,19.5,,
2024-01-01 05:00:00,135.5,183.5,0.52,15.75,8.8,33.75,4.32,0.47,26.0,1.13,2.17,,,0.1,0.1,10.98,90.0,0.65,100.75,0.0,0.0,19.5,,
2024-01-01 06:00:00,134.0,182.0,0.68,17.35,9.8,33.78,5.15,0.51,24.38,1.23,2.35,,,0.1,0.12,10.75,90.0,0.72,106.5,0.0,0.0,20.0,,
2024-01-01 07:00:00,135.25,183.25,0.93,19.88,11.05,33.42,7.65,0.56,21.8,1.35,2.58,,,0.1,0.18,10.52,90.5,0.65,102.25,0.0,0.0,34.25,,
2024-01-01 08:00:00,,,3.83,29.77,19.0,32.93,5.87,0.81,14.0,,,,,,,11.07,89.0,0.7,123.5,0.0,0.0,84.33,,
2024-01-01 09:00:00,,,,18.5,7.55,25.6,2.6,0.0,3.45,0.0,0.0,,,,,11.5,88.0,0.7,112.0,0.0,0.0,106.0,,
2024-01-01 10:00:00,,,3.88,27.7,17.9,32.05,8.25,0.61,18.18,2.3,4.3,,,0.2,0.3,11.95,84.0,0.67,96.0,0.0,0.0,171.75,,
2024-01-01 11:00:00,,,2.1,14.2,8.8,30.4,2.6,0.28,11.5,,,,,,,12.8,80.0,0.8,107.5,0.0,0.0,284.5,,
2024-01-01 12:00:00,140.0,190.0,8.8,10.4,12.7,33.4,6.72,0.45,27.28,1.13,2.9,,,0.15,0.15,14.22,76.0,0.8,68.75,0.0,0.0,357.0,,
2024-01-01 13:00:00,139.0,189.25,8.7,9.25,12.02,33.45,5.03,1.13,32.85,2.78,5.22,,,0.3,0.3,16.25,68.75,0.68,80.0,0.0,0.0,393.25,,
2024-01-01 14:00:00,134.0,184.5,9.57,9.95,13.1,33.0,5.62,1.2,39.08,2.83,5.33,,,0.3,0.3,17.2,65.25,0.65,103.25,0.0,0.0,337.0,,
2024-01-01 15:00:00,130.0,180.5,8.45,12.5,13.52,32.95,4.58,0.22,37.38,0.55,1.0,,,0.1,0.1,17.18,65.0,0.68,102.75,0.0,0.0,220.25,,
