Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,118.98,145.41,2.34,32.53,25.82,24.92,7.67,0.9,16.51,6.97,3.92,,,2.44,5.27,13.52,91.38,0.85,123.37,0.0,0.0,58.38,746.28,
2024-01-01 01:00:00,114.07,147.33,2.14,30.56,24.59,24.96,7.44,0.86,17.51,6.71,3.44,,,2.17,4.74,13.09,92.48,0.64,123.08,0.0,0.0,58.25,746.16,
2024-01-01 02:00:00,114.12,153.88,1.79,23.05,13.73,21.39,8.25,0.84,11.82,3.92,3.41,,,0.6,0.32,12.4,90.88,0.55,163.75,0.0,0.0,58.5,,
2024-01-01 03:00:00,99.07,134.07,2.07,24.09,19.55,24.15,7.73,0.72,18.65,6.44,3.26,,,1.98,3.84,12.02,95.01,0.66,116.17,0.0,0.0,58.25,745.98,
2024-01-01 04:00:00,99.7,130.72,1.99,22.41,18.32,23.51,7.4,0.79,19.68,6.29,2.65,,,2.02,3.98,11.96,96.36,0.84,115.78,0.0,0.0,58.0,745.88,
2024-01-01 05:00:00,86.42,115.13,2.2,21.44,17.68,23.81,7.28,0.95,20.56,6.38,2.95,,,1.78,3.48,12.05,97.21,0.97,123.48,0.0,0.0,58.0,746.21,
2024-01-01 06:00:00,72.17,101.98,2.02,21.46,17.17,23.18,7.31,0.92,21.85,6.13,3.56,,,1.81,3.6,12.16,97.69,0.88,123.45,0.0,0.0,58.25,746.78,
2024-01-01 07:00:00,67.75,101.25,2.4,19.41,12.28,19.5,8.02,0.83,19.04,3.78,3.42,,,0.3,0.28,12.2,95.0,0.78,121.75,0.0,0.0,73.75,,
2024-01-01 08:00:00,60.38,97.75,3.7,22.33,14.86,19.88,8.1,0.9,16.38,3.85,3.97,,,0.27,0.74,12.33,95.0,0.85,169.38,0.0,0.0,124.25,,
2024-01-01 09:00:00,50.42,89.63,5.72,28.46,25.27,23.53,7.58,0.84,29.25,6.72,4.75,,,1.75,2.15,12.36,97.22,1.05,127.63,0.0,0.0,182.88,748.96,
2024-01-01 10:00:00,70.62,106.75,7.61,30.98,22.69,21.28,8.32,1.02,28.46,4.68,6.79,,,0.52,1.02,12.28,94.75,0.7,155.0,0.0,0.0,185.25,,
2024-01-01 11:00:00,82.67,110.73,4.58,30.24,25.76,23.62,5.64,0.91,34.58,6.7,6.02,,,2.12,2.98,12.36,96.32,0.92,114.28,0.0,0.0,185.88,748.2,
2024-01-01 12:00:00,94.45,120.62,4.2,31.69,26.39,24.08,4.42,0.93,36.05,6.65,5.22,,,1.89,2.55,13.18,93.07,0.82,173.17,0.0,0.0,197.88,747.02,
2024-01-01 13:00:00,108.06,133.52,4.12,30.52,25.62,24.43,4.37,0.91,38.04,6.76,5.38,,,1.98,2.95,13.96,91.06,0.86,105.62,0.0,0.0,187.0,746.49,
2024-01-01 14:00:00,125.62,152.55,3.96,31.45,26.07,25.4,4.16,0.91,38.74,6.63,5.38,,,2.05,3.8,14.37,90.23,0.82,124.13,0.0,0.0,161.62,745.65,
2024-01-01 15:00:00,126.29,157.94,3.99,32.91,27.71,24.42,3.65,0.87,39.49,6.21,4.96,,,2.69,2.93,14.77,90.13,0.96,99.73,0.0,0.0,132.0,745.24,
2024-01-01 16:00:00,123.92,157.53,3.24,36.03,29.15,23.6,5.34,0.95,41.46,6.33,4.75,,,1.78,3.58,14.72,90.22,0.96,72.39,0.0,0.0,94.62,745.12,
2024-01-01 17:00:00,132.8,165.78,3.87,40.75,32.9,27.71,5.58,0.96,34.68,6.14,4.5,,,1.72,2.66,14.05,91.23,0.75,76.4,0.0,0.0,63.75,745.47,
2024-01-01 18:00:00,141.71,180.82,3.98,42.95,34.66,22.25,5.36,1.0,29.76,6.39,5.48,,,1.85,3.87,13.93,92.24,0.8,22.64,0.0,0.0,60.38,745.98,
2024-01-01 19:00:00,141.5,182.58,3.25,47.02,36.25,22.19,6.49,0.97,27.33,6.65,5.52,,,2.1,3.27,13.8,92.58,0.66,31.18,0.0,0.0,60.75,746.72,
2024-01-01 20:00:00,141.12,184.28,2.41,47.6,38.74,22.67,5.4,0.98,30.29,6.8,5.95,,,2.3,3.6,14.0,93.16,0.51,72.79,0.0,0.0,60.88,746.87,
2024-01-01 21:00:00,145.98,191.13,2.15,41.73,32.45,23.94,5.39,1.0,27.72,6.72,4.28,,,2.16,4.87,14.0,93.08,0.56,30.66,0.0,0.0,60.75,747.08,
2024-01-01 22:00:00,141.23,190.49,1.43,31.96,24.85,23.95,5.22,0.83,32.27,6.22,3.6,,,1.92,4.47,14.24,93.08,0.62,25.81,0.0,0.0,61.0,747.11,
2024-01-01 23:00:00,152.12,201.5,1.32,28.6,16.28,22.58,4.86,0.81,21.4,3.22,2.48,,,0.3,0.3,14.01,89.88,0.5,130.12,0.0,0.0,61.25,,
2024-01-02 00:00:00,132.45,177.1,1.86,27.8,21.66,24.32,4.49,0.89,24.16,5.94,2.77,,,1.74,3.7,13.6,94.01,0.6,121.27,0.0,0.0,61.75,746.32,
2024-01-02 01:00:00,124.2,173.02,1.24,21.79,16.84,24.23,3.87,0.85,26.59,6.01,2.55,,,1.7,3.45,13.02,94.61,1.04,125.0,0.0,0.0,61.12,746.08,
2024-01-02 02:00:00,116.4,160.84,1.43,20.52,15.85,23.54,4.04,0.89,23.06,6.23,2.06,,,1.5,3.16,12.26,96.04,0.9,131.26,0.0,0.0,61.25,746.02,
2024-01-02 03:00:00,104.33,147.7,1.26,20.23,16.22,22.28,4.22,0.85,19.99,6.75,2.2,,,1.52,3.0,11.66,97.38,0.94,130.53,0.0,0.0,60.75,745.97,
2024-01-02 04:00:00,83.42,117.55,1.41,19.42,15.57,21.45,5.03,0.74,18.71,6.63,2.48,,,1.5,2.85,12.16,97.21,0.86,126.46,0.0,0.0,60.0,745.91,
2024-01-02 05:00:00,58.84,88.87,1.53,19.1,15.09,21.33,4.98,0.77,20.13,6.36,3.08,,,1.6,2.74,12.12,97.22,0.94,128.72,0.0,0.0,58.75,746.36,
2024-01-02 06:00:00,47.27,77.4,1.72,19.46,15.57,20.86,5.06,0.72,21.02,6.18,2.91,,,1.4,2.7,11.64,97.22,0.97,133.83,0.0,0.0,59.0,746.69,
2024-01-02 07:00:00,51.32,83.42,1.84,21.8,17.3,20.18,4.98,0.68,23.8,6.03,1.95,,,1.42,2.52,11.66,97.22,0.84,123.91,0.0,0.0,76.12,747.27,
2024-01-02 08:00:00,59.92,113.62,2.66,24.33,19.53,20.31,4.32,0.81,37.72,5.63,2.68,,,1.44,2.39,11.5,97.1,0.88,125.1,0.0,0.0,149.88,747.69,
2024-01-02 09:00:00,72.53,145.89,3.43,30.52,24.26,20.58,4.24,0.84,42.86,5.66,2.84,,,1.44,2.52,11.85,96.15,0.82,116.41,0.0,0.0,164.75,748.24,
2024-01-02 10:00:00,95.87,159.27,4.09,33.93,28.65,21.32,4.23,0.62,37.9,6.23,4.19,,,1.64,2.03,12.16,92.83,0.86,128.46,0.0,0.0,226.12,748.1,
2024-01-02 11:00:00,106.38,153.23,5.78,45.78,42.46,21.03,5.18,0.62,43.47,5.81,3.38,,,1.45,1.9,13.7,89.38,12.45,125.66,0.0,0.0,346.88,747.22,
2024-01-02 12:00:00,105.26,138.07,6.52,60.28,57.19,18.09,9.28,0.85,47.26,6.18,3.82,,,1.58,3.28,14.96,85.0,0.69,81.11,0.0,0.0,384.88,746.02,
2024-01-02 13:00:00,113.48,148.4,4.81,50.28,45.11,19.55,8.28,0.91,49.59,6.16,4.08,,,1.77,3.77,14.96,83.28,0.83,111.55,0.0,0.0,309.88,744.98,
2024-01-02 14:00:00,110.8,156.64,4.36,51.26,45.96,19.11,8.45,0.95,48.55,6.28,4.35,,,1.81,3.81,14.82,84.97,1.1,45.41,0.0,0.0,237.88,744.42,
2024-01-02 15:00:00,116.54,162.83,3.76,45.06,38.77,20.86,9.94,0.92,51.04,6.06,4.2,,,1.82,3.7,14.84,86.72,0.94,129.8,0.0,0.0,178.38,744.33,
2024-01-02 16:00:00,124.13,175.77,2.59,39.92,33.12,21.18,7.94,0.78,53.39,5.94,4.16,,,1.82,2.74,15.05,86.83,0.75,30.15,0.0,0.0,125.0,744.37,
2024-01-02 17:00:00,125.1,165.82,1.68,43.85,34.9,16.27,8.71,0.77,44.67,6.08,4.74,,,2.04,2.97,14.85,88.19,0.57,49.64,0.0,0.0,66.38,744.46,
2024-01-02 18:00:00,124.68,169.49,2.2,63.97,53.45,14.64,9.86,0.89,33.01,6.54,5.34,,,2.36,3.46,14.88,88.93,0.62,41.12,0.0,0.0,59.38,744.91,
2024-01-02 19:00:00,137.53,181.08,2.92,68.28,58.55,19.04,9.26,0.87,25.29,7.22,6.7,,,2.64,5.28,15.0,89.44,0.44,40.71,0.0,0.0,59.75,745.36,
