Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,115.33,139.33,,15.63,7.7,7.8,1.1,0.82,50.13,1.43,2.03,,,,0.2,13.63,86.67,0.43,201.0,0.0,0.0,26.0,,
2024-01-01 01:00:00,111.25,138.5,,17.85,8.95,10.42,0.78,0.89,39.65,1.82,2.5,,,0.2,0.3,13.02,89.0,0.3,240.0,0.0,0.0,26.0,,
2024-01-01 02:00:00,112.5,148.25,,16.68,8.6,10.4,0.6,0.93,28.6,2.0,2.62,,,0.13,0.25,11.8,91.0,0.2,231.25,0.0,0.0,26.0,,
2024-01-01 03:00:00,111.0,138.25,,14.72,7.45,10.38,0.48,0.9,23.38,1.7,2.15,,,0.1,0.17,10.98,92.5,0.22,175.75,0.0,0.0,25.5,,
2024-01-01 04:00:00,100.0,126.5,,14.22,7.22,10.38,0.32,0.91,23.08,1.82,2.42,,,0.2,0.17,10.7,93.5,0.2,226.5,0.0,0.0,26.0,,
2024-01-01 05:00:00,100.0,134.5,0.25,16.3,8.9,9.6,0.5,0.98,23.55,2.05,2.85,,,0.1,0.35,10.75,94.0,0.2,248.5,0.0,0.0,26.0,,
2024-01-01 06:00:00,104.25,142.0,0.6,16.85,9.43,10.15,0.65,1.02,21.72,1.7,2.88,,,0.1,0.5,11.15,94.5,0.25,151.75,0.0,0.0,26.25,,
2024-01-01 07:00:00,107.5,147.25,0.4,20.38,10.92,10.58,0.62,1.07,31.68,2.3,3.22,,,0.25,0.38,12.22,94.25,0.32,115.0,0.0,0.0,40.25,,
2024-01-01 08:00:00,119.25,170.5,,18.8,9.9,11.77,1.52,1.07,41.45,2.62,2.9,,,0.2,0.35,13.25,93.0,0.57,97.0,0.0,0.0,66.25,,
2024-01-01 09:00:00,134.0,189.0,0.2,19.08,10.28,13.12,3.2,1.07,39.72,2.33,2.82,,,0.2,0.22,13.85,90.0,0.7,89.0,0.0,0.0,100.5,,
2024-01-01 10:00:00,147.75,181.0,0.1,18.45,9.8,12.2,3.8,1.08,45.32,2.4,2.82,,,0.2,0.27,15.38,85.75,0.65,37.0,0.0,0.0,169.5,,
2024-01-01 11:00:00,144.25,171.75,,15.15,7.75,7.82,4.6,0.99,54.68,2.08,2.42,,,,0.2,16.68,81.0,0.93,63.67,0.0,0.0,206.0,,
