Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,134.0,210.75,1.48,41.32,23.2,30.4,5.48,0.94,37.2,5.45,5.35,,,0.55,0.42,16.58,84.5,0.3,128.5,,0.0,5.0,,
2024-01-01 01:00:00,125.25,181.75,1.8,46.75,26.35,32.17,5.5,0.92,19.25,5.32,5.22,,,0.5,0.45,15.6,86.75,0.22,128.5,,0.0,4.75,,
2024-01-01 02:00:00,120.5,178.25,3.9,59.45,34.78,37.28,5.92,0.91,4.88,5.7,5.1,,,0.6,0.35,14.6,90.0,0.22,128.25,,0.0,5.0,,
2024-01-01 03:00:00,108.5,169.5,2.02,22.82,13.78,33.62,7.08,0.88,28.58,5.9,5.6,,,0.52,0.4,14.1,91.0,0.32,128.5,,0.0,5.0,,
2024-01-01 04:00:00,98.25,159.0,1.52,22.68,13.3,30.75,7.12,0.82,16.92,5.95,5.18,,,0.57,0.3,13.38,91.5,0.22,128.5,,0.0,5.25,,
2024-01-01 05:00:00,95.75,154.5,9.32,38.75,28.17,35.85,7.05,0.85,7.65,6.08,5.22,,,0.55,0.3,13.05,92.75,0.22,128.5,,0.0,5.25,,
2024-01-01 06:00:00,96.25,161.5,1.48,22.98,13.42,28.58,6.62,0.81,19.48,5.98,5.12,,,0.5,0.28,12.8,93.0,0.3,128.5,,0.0,5.75,,
2024-01-01 07:00:00,90.0,153.25,1.68,21.67,12.88,24.92,5.35,0.9,20.58,5.88,4.62,,,0.42,0.28,12.72,93.25,0.28,128.5,,0.0,18.25,,
2024-01-01 08:00:00,94.25,159.75,2.38,22.18,13.78,26.85,5.22,0.9,25.05,5.9,4.95,,,0.42,0.25,13.95,90.0,0.22,128.5,,0.0,76.75,,
2024-01-01 09:00:00,107.5,174.0,9.55,48.9,33.78,34.92,5.25,1.06,25.1,6.0,5.5,,,0.52,0.42,17.1,80.25,0.6,128.5,,0.0,117.5,,
2024-01-01 10:00:00,137.5,215.5,4.2,26.78,17.65,32.1,5.4,0.87,56.0,6.15,5.5,,,0.55,0.5,19.23,70.0,0.85,128.5,,0.0,147.75,,
2024-01-01 11:00:00,116.25,187.25,3.05,24.15,15.35,35.05,7.1,0.76,92.32,5.78,4.88,,,0.52,0.35,22.18,61.75,1.02,128.5,,0.0,184.25,,
