Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,11.46,24.08,1.86,3.9,6.13,2.88,42.01,0.44,28.01,0.04,,,,0.14,0.21,9.05,89.08,0.41,105.31,0.0,0.0,0.0,,
2024-01-01 01:00:00,10.92,24.96,2.13,4.03,6.65,3.0,41.63,0.45,25.69,0.04,,,,0.15,0.22,8.55,90.92,0.54,103.57,0.0,0.0,0.0,,
2024-01-01 02:00:00,11.38,24.62,2.48,4.39,7.43,2.9,41.33,0.39,24.92,0.03,,,,0.12,0.19,8.91,90.44,0.43,121.73,0.0,0.0,0.0,,
2024-01-01 03:00:00,9.8,20.16,2.15,3.31,6.01,3.0,40.92,0.35,25.43,0.03,,,,0.11,0.16,9.5,88.3,0.33,132.9,0.0,0.0,0.0,,
2024-01-01 04:00:00,13.42,19.41,2.05,1.09,3.78,3.0,40.52,0.32,28.4,0.02,,,,0.1,0.15,9.18,88.92,0.43,131.58,0.0,0.0,0.0,,
2024-01-01 05:00:00,11.0,20.4,2.08,1.4,4.19,2.96,40.63,0.32,26.39,0.03,,,,0.1,0.15,9.02,89.53,0.47,111.02,0.0,0.0,0.0,,
2024-01-01 06:00:00,12.17,19.77,2.14,4.47,7.06,3.05,40.57,0.31,24.15,0.02,,,,0.1,0.15,9.0,90.11,0.35,96.22,0.0,0.0,0.0,,
2024-01-01 07:00:00,9.73,27.38,2.84,9.24,12.37,3.08,40.47,0.4,18.53,0.03,,,,0.13,0.19,10.24,85.97,0.28,88.56,0.0,0.0,0.0,,
2024-01-01 08:00:00,10.88,20.88,2.73,9.87,12.79,2.97,40.37,0.51,23.6,0.04,,,,0.16,0.24,12.72,77.93,0.33,214.21,0.0,0.0,0.0,,
2024-01-01 09:00:00,16.71,44.92,2.27,6.5,9.06,3.08,40.22,0.49,32.92,0.04,,,,0.15,0.23,16.26,64.04,0.7,232.4,0.0,0.0,0.0,,
2024-01-01 10:00:00,17.35,43.18,2.04,2.41,5.02,3.04,40.72,0.32,51.31,0.02,,,,0.1,0.15,18.04,52.22,1.08,231.43,0.0,0.0,0.0,,
2024-01-01 11:00:00,10.44,30.14,1.96,0.56,2.98,2.94,40.9,0.24,51.45,0.02,,,,0.07,0.12,18.27,49.01,1.12,223.9,0.0,0.0,0.0,,
