latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.829525,79.70962,87.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,20.0,95,0.00,1003.9,7.5,16.9,2,343
2024-01-01T01:00,20.6,93,0.00,1005.0,8.0,18.0,2,350
2024-01-01T02:00,21.7,89,0.00,1005.9,8.8,17.7,6,348
2024-01-01T03:00,23.9,81,0.00,1006.7,7.6,12.0,7,3
2024-01-01T04:00,26.0,71,0.00,1007.0,8.7,11.4,28,24
2024-01-01T05:00,27.4,62,0.00,1006.5,9.2,11.7,43,42
2024-01-01T06:00,28.7,56,0.00,1005.5,8.7,11.0,49,48
2024-01-01T07:00,29.5,53,0.00,1004.1,9.4,12.0,44,43
2024-01-01T08:00,29.7,51,0.00,1002.9,10.5,13.2,43,41
2024-01-01T09:00,29.8,50,0.00,1002.0,10.2,13.0,46,45
2024-01-01T10:00,29.6,49,0.00,1001.6,9.7,12.3,50,48
2024-01-01T11:00,28.9,51,0.00,1001.6,12.1,16.7,53,53
2024-01-01T12:00,26.4,63,0.00,1002.5,15.3,24.8,50,51
2024-01-01T13:00,25.4,69,0.00,1003.6,11.3,20.8,64,63
2024-01-01T14:00,24.4,73,0.00,1004.9,10.6,20.6,65,66
2024-01-01T15:00,23.5,78,0.00,1005.7,9.8,19.9,55,54
2024-01-01T16:00,22.9,81,0.00,1006.2,8.2,18.6,47,41
2024-01-01T17:00,22.4,83,0.00,1005.7,8.1,18.9,51,45
2024-01-01T18:00,22.0,85,0.00,1004.9,8.4,19.4,48,40
2024-01-01T19:00,21.6,86,0.00,1004.2,7.3,17.6,44,33
2024-01-01T20:00,21.4,87,0.00,1003.4,7.1,17.4,38,24
2024-01-01T21:00,21.2,87,0.00,1002.8,7.4,17.5,32,14
2024-01-01T22:00,20.9,89,0.00,1002.6,6.5,15.9,25,360
2024-01-01T23:00,20.8,89,0.00,1002.8,7.0,15.6,15,348
2024-01-02T00:00,20.5,91,0.00,1003.4,7.1,14.8,356,330
2024-01-02T01:00,21.3,86,0.00,1003.8,10.0,19.8,348,339
2024-01-02T02:00,22.3,83,0.00,1004.7,9.1,18.1,353,342
2024-01-02T03:00,24.1,77,0.00,1005.5,6.6,12.6,357,351
2024-01-02T04:00,25.5,72,0.00,1005.8,7.7,10.4,14,11
2024-01-02T05:00,26.8,65,0.00,1005.4,10.2,13.2,43,39
2024-01-02T06:00,27.8,60,0.00,1004.7,11.8,15.1,52,50
2024-01-02T07:00,27.2,61,0.00,1003.3,11.5,15.0,48,46
2024-01-02T08:00,27.8,60,0.00,1002.2,12.8,16.6,49,50
2024-01-02T09:00,27.7,60,0.00,1001.7,11.7,15.5,48,47
2024-01-02T10:00,27.7,60,0.00,1001.6,12.7,16.8,43,43
2024-01-02T11:00,26.9,61,0.00,1001.6,15.8,21.4,48,47
2024-01-02T12:00,25.9,64,0.00,1001.9,12.6,20.6,54,53
2024-01-02T13:00,24.7,71,0.00,1003.1,11.4,22.0,38,35
2024-01-02T14:00,23.8,75,0.00,1004.3,10.1,21.0,38,35
2024-01-02T15:00,23.8,75,0.00,1004.9,9.5,20.0,34,29
2024-01-02T16:00,23.8,75,0.00,1005.2,11.0,21.4,36,32
2024-01-02T17:00,23.6,76,0.00,1005.0,9.0,18.6,36,29
2024-01-02T18:00,23.3,77,0.00,1004.4,8.2,17.6,26,15
2024-01-02T19:00,22.4,81,0.00,1004.0,7.8,17.9,34,22
2024-01-02T20:00,21.9,84,0.00,1003.0,7.8,17.4,30,13
2024-01-02T21:00,21.5,85,0.00,1002.2,7.2,16.5,16,357
2024-01-02T22:00,21.2,87,0.00,1002.0,7.2,16.2,17,360
2024-01-02T23:00,21.0,88,0.00,1002.2,6.9,16.6,27,9
2024-01-03T00:00,20.7,90,0.00,1002.5,5.9,15.6,34,11
2024-01-03T01:00,21.1,90,0.00,1003.3,7.4,15.8,360,337
2024-01-03T02:00,22.2,87,0.00,1004.2,8.5,15.7,351,332
2024-01-03T03:00,24.4,78,0.00,1005.0,7.2,11.2,358,354
2024-01-03T04:00,26.3,70,0.00,1005.4,8.6,11.3,17,15
2024-01-03T05:00,26.8,67,0.10,1005.4,12.8,16.9,52,52
2024-01-03T06:00,27.2,66,0.10,1004.8,12.4,16.1,56,54
2024-01-03T07:00,27.3,65,0.00,1003.4,13.4,17.6,55,54
2024-01-03T08:00,27.6,64,0.00,1002.4,13.0,16.9,52,51
2024-01-03T09:00,27.9,63,0.00,1001.8,13.6,17.7,51,50
2024-01-03T10:00,27.0,65,0.00,1001.3,13.6,18.1,59,58
2024-01-03T11:00,26.7,64,0.00,1001.3,12.9,18.2,60,60
2024-01-03T12:00,25.9,66,0.00,1001.9,12.0,18.1,59,57
2024-01-03T13:00,25.2,73,0.00,1002.2,8.0,15.6,83,82
2024-01-03T14:00,24.7,76,0.00,1003.0,7.3,15.5,94,99
2024-01-03T15:00,24.1,80,0.00,1003.6,5.1,13.0,93,98
2024-01-03T16:00,23.5,84,0.00,1003.7,5.1,13.7,92,98
2024-01-03T17:00,22.9,87,0.00,1003.5,4.7,13.8,84,81
2024-01-03T18:00,23.1,86,0.00,1003.3,5.0,13.2,73,60
2024-01-03T19:00,23.1,87,0.00,1002.8,3.4,10.2,58,32
2024-01-03T20:00,22.4,90,0.00,1002.5,3.4,6.9,43,342
2024-01-03T21:00,22.5,89,0.00,1001.9,4.2,8.0,27,340
2024-01-03T22:00,22.4,89,0.00,1001.8,5.2,11.1,36,16
2024-01-03T23:00,22.1,91,0.00,1002.1,3.6,8.7,45,360
2024-01-04T00:00,22.2,90,0.00,1002.6,4.0,9.2,42,360
2024-01-04T01:00,22.6,94,0.20,1003.7,6.8,13.7,35,25
2024-01-04T02:00,23.1,93,0.40,1004.5,2.4,8.7,42,333
2024-01-04T03:00,24.4,88,0.00,1005.1,2.3,4.9,54,39
2024-01-04T04:00,26.2,76,0.20,1005.3,7.1,9.3,74,75
2024-01-04T05:00,27.4,68,0.20,1004.8,13.3,17.5,71,71
2024-01-04T06:00,27.9,67,0.30,1004.1,13.5,17.7,66,65
2024-01-04T07:00,28.0,66,0.10,1003.0,12.6,16.6,60,59
2024-01-04T08:00,28.1,64,0.10,1001.8,12.4,16.2,73,73
2024-01-04T09:00,28.0,63,0.10,1001.1,13.6,17.8,72,73
2024-01-04T10:00,27.2,67,0.40,1001.0,14.2,19.3,61,60
2024-01-04T11:00,26.0,72,0.20,1001.2,15.8,22.4,62,63
2024-01-04T12:00,25.6,73,0.00,1001.7,15.3,23.5,63,63
2024-01-04T13:00,24.8,77,0.00,1002.6,11.6,18.7,60,60
2024-01-04T14:00,24.4,80,0.00,1003.5,9.1,15.9,57,56
2024-01-04T15:00,24.1,82,0.00,1003.9,7.2,13.7,63,63
2024-01-04T16:00,24.0,83,0.00,1004.1,5.3,11.9,65,62
2024-01-04T17:00,23.8,84,0.00,1004.0,4.5,11.2,75,76
2024-01-04T18:00,23.5,86,0.00,1003.8,3.1,9.7,75,69
2024-01-04T19:00,23.4,86,0.00,1003.4,3.6,8.2,41,6
2024-01-04T20:00,22.8,90,0.00,1002.8,3.1,7.3,20,339
2024-01-04T21:00,23.0,89,0.00,1002.0,4.1,6.5,354,308
2024-01-04T22:00,22.9,89,0.00,1001.7,4.3,7.0,348,312
2024-01-04T23:00,22.7,89,0.00,1001.8,5.6,9.1,351,320
2024-01-05T00:00,22.7,88,0.00,1002.1,5.9,10.1,343,317
