Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,61.83,99.91,8.94,28.85,30.74,14.94,17.04,1.39,13.46,1.82,3.22,,,0.44,0.42,26.43,81.57,1.03,161.61,0.0,0.0,25.58,876.48,-0.48
2024-01-01 01:00:00,70.55,105.71,8.61,25.87,27.89,14.95,14.56,1.7,11.88,1.8,2.8,,,0.87,0.62,25.89,83.87,0.76,144.4,0.0,0.0,33.16,857.82,-0.49
2024-01-01 02:00:00,62.44,116.42,11.04,23.58,27.78,17.97,13.33,1.8,10.4,2.01,3.36,,,0.55,0.47,23.8,86.29,0.81,147.65,0.0,0.0,28.16,857.58,-0.49
2024-01-01 03:00:00,78.23,157.41,10.49,22.24,26.6,18.45,13.17,1.8,10.57,1.71,3.31,,,0.48,0.51,23.19,86.73,0.84,179.48,0.0,0.0,28.03,857.53,-0.49
2024-01-01 04:00:00,79.74,155.88,10.06,22.83,24.58,17.86,13.44,1.76,10.44,1.8,3.1,,,0.54,0.4,23.52,86.68,1.1,153.66,0.0,0.0,28.51,857.59,-0.49
2024-01-01 05:00:00,72.98,137.15,10.96,22.12,26.83,17.24,14.03,1.71,10.63,2.01,3.1,,,0.45,0.63,23.65,86.38,1.12,146.45,0.0,0.0,29.27,857.93,-0.49
2024-01-01 06:00:00,69.97,134.27,10.85,24.85,25.59,15.63,14.08,1.68,10.6,1.96,3.43,,,0.59,0.62,23.66,85.75,1.13,145.46,0.0,0.0,29.05,858.28,-0.47
2024-01-01 07:00:00,75.01,144.88,11.34,24.85,26.06,16.73,14.74,1.44,11.6,2.08,3.88,,,0.96,0.5,24.14,83.83,1.35,150.37,0.0,0.0,69.48,858.65,-0.47
2024-01-01 08:00:00,72.64,132.9,7.93,24.35,21.94,15.52,16.36,1.18,13.23,2.35,3.4,,,0.41,0.49,25.8,78.99,1.51,158.29,0.0,0.0,137.96,863.17,-0.47
2024-01-01 09:00:00,71.67,124.07,5.31,22.34,20.37,16.65,15.2,1.44,15.82,1.88,3.51,,,0.63,0.45,27.58,75.48,1.72,145.11,0.0,0.0,218.84,864.2,-0.45
2024-01-01 10:00:00,68.73,121.65,4.95,19.15,16.16,18.35,15.45,1.33,18.75,6.01,2.78,,,0.89,0.35,28.48,70.43,1.98,157.43,0.0,0.0,291.19,863.92,-0.44
2024-01-01 11:00:00,60.67,112.14,10.18,20.35,24.1,27.85,17.26,1.42,18.87,1.97,3.23,,,0.58,0.53,29.28,67.79,2.15,161.08,0.0,0.0,279.52,863.36,-0.44
2024-01-01 12:00:00,56.91,109.26,8.14,15.63,16.15,17.8,17.19,1.14,18.13,1.77,2.86,,,0.4,0.57,29.06,66.58,2.17,150.46,0.0,0.0,266.28,862.81,-0.44
2024-01-01 13:00:00,56.09,110.97,4.7,14.12,14.68,17.5,15.76,1.31,18.07,1.79,3.45,,,0.28,0.44,28.88,65.37,2.2,164.89,0.0,0.0,243.31,862.41,-0.44
2024-01-01 14:00:00,54.2,102.06,5.06,16.08,15.47,18.07,17.03,1.47,17.41,1.84,3.81,,,0.3,0.3,28.82,65.9,2.14,179.06,0.0,0.0,207.21,862.07,-0.45
2024-01-01 15:00:00,50.92,100.52,3.99,13.47,12.66,17.72,16.49,1.42,19.3,1.46,3.2,,,0.46,0.38,28.96,66.77,2.17,188.6,0.0,0.0,168.43,861.54,-0.45
2024-01-01 16:00:00,49.11,96.6,3.73,10.06,9.65,17.22,14.21,1.32,20.97,1.82,2.76,,,0.61,0.47,28.71,66.91,1.98,181.68,0.0,0.0,106.73,860.99,-0.45
2024-01-01 17:00:00,47.06,92.42,3.73,11.33,10.52,17.5,12.35,1.52,20.45,1.8,2.4,,,0.29,0.23,27.77,69.27,1.6,164.09,0.0,0.0,38.04,857.5,-0.47
2024-01-01 18:00:00,47.3,92.76,4.19,13.4,13.96,17.03,11.83,1.58,17.68,1.84,2.97,,,0.58,0.65,27.25,71.06,1.48,188.47,0.0,0.0,28.17,857.55,-0.48
2024-01-01 19:00:00,48.25,94.14,4.08,18.25,18.23,17.36,12.2,1.25,15.99,1.79,2.66,,,0.54,0.39,27.14,72.68,1.44,184.2,0.0,0.0,28.63,858.17,-0.48
2024-01-01 20:00:00,48.3,90.19,4.06,17.27,15.19,16.5,12.12,1.37,16.25,1.59,2.64,,,0.71,0.37,27.06,73.11,1.41,141.85,0.0,0.0,28.18,858.56,-0.48
2024-01-01 21:00:00,41.43,79.75,4.5,17.92,15.5,15.54,13.47,1.22,14.89,1.51,2.69,,,0.36,0.49,26.9,73.33,1.26,152.53,0.0,0.0,28.27,858.84,-0.49
2024-01-01 22:00:00,38.47,77.37,5.02,18.72,17.02,16.16,11.32,1.27,14.77,1.57,2.83,,,0.43,0.3,26.76,74.01,1.23,163.2,0.0,0.0,28.21,858.44,-0.48
2024-01-01 23:00:00,39.0,76.34,5.13,17.06,18.02,16.11,11.87,1.41,15.15,1.91,2.55,,,0.3,0.45,26.66,74.89,1.17,179.91,0.0,0.0,28.07,858.26,-0.48
2024-01-02 00:00:00,37.55,71.67,6.02,15.37,18.15,19.19,11.88,1.4,15.03,2.13,2.95,,,0.43,0.27,26.54,77.33,1.11,153.03,0.0,0.0,33.14,857.77,-0.48
2024-01-02 01:00:00,33.77,68.16,9.18,19.74,22.99,17.64,14.01,1.41,14.34,1.76,2.49,,,0.32,0.51,26.42,81.69,1.22,143.18,0.0,0.0,30.93,875.71,-0.48
2024-01-02 02:00:00,33.51,65.96,11.92,23.21,33.16,18.57,13.85,1.69,13.46,1.73,2.46,,,0.42,0.34,26.36,84.28,1.14,166.8,0.0,0.0,26.53,875.2,-0.48
2024-01-02 03:00:00,32.52,65.16,10.14,18.34,22.55,17.84,14.08,1.58,13.0,1.78,2.89,,,0.53,0.33,26.32,84.81,1.02,178.61,0.0,0.0,26.73,874.98,-0.49
2024-01-02 04:00:00,31.29,64.46,9.01,16.97,19.95,17.4,13.43,1.39,12.55,1.62,2.66,,,0.35,0.31,26.47,86.51,0.95,151.8,0.0,0.0,27.05,875.11,-0.49
2024-01-02 05:00:00,32.32,68.94,15.51,28.97,41.73,18.75,13.78,1.62,11.14,1.62,2.53,,,0.39,0.32,26.38,88.22,1.05,170.19,0.0,0.0,27.14,875.28,-0.48
2024-01-02 06:00:00,41.04,88.16,19.84,33.8,51.57,19.76,14.48,1.5,10.51,1.6,2.88,,,0.32,0.34,24.68,88.26,1.14,168.2,0.0,0.0,28.29,875.72,-0.48
2024-01-02 07:00:00,52.37,108.68,18.01,29.94,37.75,17.36,13.87,1.47,10.59,2.17,3.76,,,0.46,0.35,24.74,85.89,1.13,200.03,0.0,0.0,63.95,857.96,-0.48
2024-01-02 08:00:00,60.24,120.08,13.57,23.73,30.86,17.01,15.04,1.12,12.07,2.09,4.51,,,0.39,0.35,26.3,82.14,1.16,229.45,0.0,0.0,126.76,861.08,-0.48
2024-01-02 09:00:00,61.57,123.09,8.89,26.61,29.49,17.4,15.36,1.24,12.89,2.31,5.01,,,0.43,0.38,27.3,77.41,1.24,158.72,0.0,0.0,166.2,863.64,-0.48
2024-01-02 10:00:00,54.03,113.38,4.94,17.09,17.02,16.24,14.52,1.2,15.7,5.39,4.49,,,0.4,0.52,28.18,71.24,1.6,160.24,0.0,0.0,212.17,863.31,-0.47
2024-01-02 11:00:00,45.6,97.43,5.07,11.82,13.63,19.25,12.71,1.01,19.03,2.01,3.67,,,0.41,0.5,28.78,66.33,1.88,173.88,0.0,0.0,248.12,862.74,-0.45
2024-01-02 12:00:00,41.77,84.5,6.11,11.2,13.5,19.52,11.78,1.05,18.95,1.84,2.96,,,0.38,0.42,29.02,66.5,1.72,164.37,0.0,0.0,211.46,862.2,-0.46
2024-01-02 13:00:00,42.79,85.23,4.44,10.51,12.2,19.26,11.54,1.23,18.5,1.76,2.99,,,0.41,0.41,29.26,66.7,1.74,168.3,0.0,0.0,220.63,861.75,-0.46
2024-01-02 14:00:00,43.27,86.67,3.85,10.27,11.28,18.76,11.48,1.23,18.95,1.58,3.02,,,0.42,0.46,29.06,66.98,1.8,171.84,0.0,0.0,191.78,861.28,-0.46
2024-01-02 15:00:00,45.41,87.6,4.35,9.68,11.1,18.11,10.83,0.97,19.88,1.55,2.5,,,0.36,0.32,28.26,68.17,1.85,170.18,0.0,0.0,142.05,861.26,-0.45
2024-01-02 16:00:00,46.28,86.56,4.1,10.26,11.08,16.32,11.07,1.28,19.23,1.62,3.01,,,0.63,0.77,28.17,69.08,1.74,165.94,0.0,0.0,94.68,860.11,-0.46
2024-01-02 17:00:00,57.38,104.6,3.84,10.48,10.77,15.64,13.65,0.76,18.79,1.68,2.67,,,0.36,0.38,27.55,69.73,1.46,172.35,0.0,0.0,40.34,857.44,-0.47
2024-01-02 18:00:00,57.33,103.17,3.97,12.31,12.28,15.9,12.69,0.98,19.23,2.04,2.68,,,0.22,0.74,27.16,71.82,1.44,155.6,0.0,0.0,29.15,856.17,-0.47
2024-01-02 19:00:00,56.11,100.14,3.49,13.46,12.77,15.46,12.65,0.91,19.37,1.77,2.52,,,0.31,0.49,27.11,72.34,1.23,154.27,0.0,0.0,28.46,856.6,-0.48
2024-01-02 20:00:00,53.76,96.3,4.07,15.77,15.19,15.38,12.32,0.76,16.61,1.54,2.44,,,0.28,0.43,26.91,74.58,1.05,166.54,0.0,0.0,28.51,857.21,-0.48
2024-01-02 21:00:00,51.88,92.86,5.52,19.33,20.27,15.13,13.91,0.72,14.7,1.43,2.54,,,0.37,0.38,26.76,76.15,1.06,149.4,0.0,0.0,28.5,857.29,-0.48
2024-01-02 22:00:00,44.98,83.71,7.17,19.33,21.99,15.63,12.23,0.77,14.75,1.45,2.41,,,0.14,0.44,26.68,76.66,1.03,146.66,0.0,0.0,32.02,857.03,-0.49
2024-01-02 23:00:00,42.75,80.23,7.88,18.54,21.81,16.13,12.17,0.78,14.56,1.54,2.2,,,0.22,0.29,26.53,78.18,0.97,137.21,0.0,0.0,32.36,856.56,-0.49
2024-01-03 00:00:00,37.89,75.29,9.08,18.98,23.17,15.84,11.98,0.97,12.89,1.23,2.23,,,0.17,0.28,26.56,81.01,0.97,151.4,0.0,0.0,32.87,856.42,-0.49
2024-01-03 01:00:00,36.66,74.46,12.03,23.07,29.67,16.07,12.39,1.04,11.02,1.15,2.34,,,0.28,0.28,26.5,83.04,0.76,117.9,0.0,0.0,33.11,855.98,-0.49
2024-01-03 02:00:00,37.55,82.53,11.7,23.13,29.43,16.63,12.43,0.56,10.05,1.32,2.48,,,0.2,0.3,26.6,84.26,0.81,155.5,0.0,0.0,32.87,855.61,-0.49
2024-01-03 03:00:00,42.89,100.37,11.15,20.96,27.15,17.45,12.58,0.55,9.85,1.35,2.39,,,0.21,0.3,26.45,85.49,0.76,139.91,0.0,0.0,39.21,855.49,-0.5
2024-01-03 04:00:00,48.88,100.68,13.13,21.66,29.32,17.98,12.36,0.56,9.78,1.56,2.33,,,0.18,0.3,25.46,86.56,0.71,145.48,0.0,0.0,33.0,855.54,-0.49
2024-01-03 05:00:00,57.73,117.87,15.38,24.4,33.03,17.91,12.44,0.56,9.73,1.77,3.15,,,0.27,0.47,24.03,87.6,0.67,221.62,0.0,0.0,33.83,855.76,-0.49
2024-01-03 06:00:00,73.75,141.32,18.74,26.06,37.35,17.76,13.0,0.95,9.83,2.22,4.75,,,0.31,0.48,23.97,87.55,0.69,222.71,0.0,0.0,27.64,856.05,-0.49
2024-01-03 07:00:00,79.69,154.67,19.42,25.66,37.47,17.75,13.87,1.04,10.14,2.57,5.73,,,0.32,0.51,24.31,86.85,0.76,217.68,0.0,0.0,44.46,856.6,-0.49
2024-01-03 08:00:00,85.29,165.35,18.46,27.62,38.29,17.76,14.58,1.29,10.51,3.04,6.34,,,0.29,0.59,25.42,84.48,1.03,230.23,0.0,0.0,74.21,857.05,-0.47
2024-01-03 09:00:00,83.83,169.55,14.94,27.62,34.66,18.32,14.4,1.6,12.07,4.23,7.11,,,0.31,0.75,27.27,83.47,1.27,176.12,0.0,0.0,111.86,860.22,-0.47
2024-01-03 10:00:00,73.14,147.47,9.3,34.36,37.25,21.08,17.38,1.33,14.35,2.48,6.37,,,0.36,0.54,28.05,79.98,1.25,158.05,0.0,0.0,150.02,881.54,-0.47
2024-01-03 11:00:00,61.1,114.24,4.91,18.82,19.15,18.02,16.24,1.24,17.04,1.95,5.01,,,0.24,0.59,28.62,74.75,1.44,167.81,0.0,0.0,148.18,880.78,-0.46
2024-01-03 12:00:00,51.86,102.32,5.24,11.83,13.56,17.54,16.08,1.72,20.76,1.71,4.12,,,0.44,0.53,29.3,70.1,1.71,151.68,0.0,0.0,188.96,880.35,-0.46
2024-01-03 13:00:00,49.21,91.77,4.39,11.28,12.5,17.52,14.96,1.31,21.1,1.27,3.42,,,0.51,0.48,29.87,69.92,1.78,162.04,0.0,0.0,155.39,879.84,-0.45
2024-01-03 14:00:00,49.47,95.86,4.1,11.07,12.25,19.11,15.23,0.93,20.44,1.43,3.02,,,0.54,0.41,29.27,70.91,1.83,158.78,0.0,0.0,134.3,879.34,-0.45
2024-01-03 15:00:00,51.77,99.86,3.99,10.96,11.82,18.89,14.46,0.85,21.45,0.92,2.66,,,0.36,0.4,29.08,70.51,1.91,162.42,0.0,0.0,138.61,879.2,-0.45
2024-01-03 16:00:00,60.34,117.22,4.82,11.74,13.55,20.45,16.46,0.87,20.36,0.81,1.8,,,0.61,0.54,28.39,72.04,1.93,169.82,0.0,0.0,72.04,877.23,-0.45
2024-01-03 17:00:00,53.27,106.5,4.86,11.94,12.88,18.03,13.81,0.85,19.54,1.63,1.71,,,0.48,0.56,27.6,75.28,1.84,159.92,0.0,0.0,31.54,873.61,-0.46
2024-01-03 18:00:00,50.03,97.13,4.68,12.87,13.86,18.41,13.59,0.82,18.83,1.85,1.61,,,0.65,0.44,27.4,77.06,1.66,160.96,0.0,0.0,26.82,873.66,-0.47
