Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,44.45,,1.8,12.96,7.42,,10.66,0.38,4.85,,,,,,,10.65,75.24,0.7,188.64,,0.0,0.0,782.55,
2024-01-01 01:00:00,57.85,,1.99,12.71,9.2,,10.66,0.38,5.0,,,,,,,10.27,66.02,0.45,201.76,,0.0,0.0,782.08,
2024-01-01 02:00:00,50.51,,23.08,20.31,29.57,,10.7,0.38,4.95,,,,,,,8.72,73.64,0.39,163.5,,0.0,0.0,781.43,
2024-01-01 03:00:00,36.74,,5.45,13.61,11.66,,10.72,0.38,5.05,,,,,,,8.04,75.28,0.44,177.27,,0.0,0.0,781.18,
2024-01-01 04:00:00,22.42,,2.61,11.81,7.97,,10.71,0.38,5.14,,,,,,,7.52,75.54,0.39,167.98,,0.0,0.0,781.2,
2024-01-01 05:00:00,20.0,,12.51,16.55,18.96,,10.7,0.38,4.57,,,,,,,7.19,77.02,0.42,158.33,,0.0,0.0,781.43,
2024-01-01 06:00:00,21.92,,34.23,23.31,40.23,,10.73,0.38,4.82,,,,,,,6.84,75.42,0.35,179.24,,0.0,0.0,782.02,
2024-01-01 07:00:00,34.98,,67.98,30.53,71.56,,10.64,0.38,5.28,,,,,,,7.57,74.05,0.4,169.7,,0.0,0.0,782.58,
2024-01-01 08:00:00,54.66,,40.55,22.98,45.19,,10.78,0.38,5.2,,,,,,,12.2,58.83,0.57,116.55,,0.0,9.21,783.36,
2024-01-01 09:00:00,49.38,,29.72,21.48,35.59,,10.82,0.38,5.04,,,,,,,19.06,38.81,0.98,255.08,,0.0,90.13,783.71,
2024-01-01 10:00:00,48.47,,7.12,9.82,11.02,,10.77,0.38,5.18,,,,,,,21.68,33.72,2.05,300.34,,0.0,128.8,783.64,
2024-01-01 11:00:00,37.04,,2.35,7.51,5.72,,10.75,0.38,5.3,,,,,,,22.7,39.24,2.07,278.96,,0.0,132.76,783.24,
2024-01-01 12:00:00,33.78,,1.4,11.59,7.24,,10.78,0.38,5.15,,,,,,,21.68,52.89,2.6,288.38,,0.0,145.91,782.46,
2024-01-01 13:00:00,36.62,,0.23,7.15,2.47,,10.8,0.38,5.54,,,,,,,21.33,59.22,2.74,282.78,,0.0,144.46,781.59,
2024-01-01 14:00:00,36.81,,,4.42,0.69,,10.82,0.38,5.48,,,,,,,19.47,67.22,2.97,303.36,,0.0,65.61,781.18,
2024-01-01 15:00:00,42.58,,,4.47,0.6,,10.8,0.38,5.48,,,,,,,17.74,72.96,2.35,302.8,,0.0,16.15,781.18,
2024-01-01 16:00:00,46.15,,,7.28,1.7,,10.74,0.38,5.28,,,,,,,16.78,78.37,2.2,304.37,,0.0,11.66,781.35,
2024-01-01 17:00:00,50.22,,2.58,10.04,5.07,,10.75,0.38,5.31,,,,,,,15.81,80.5,1.65,299.57,,0.0,0.0,781.68,
2024-01-01 18:00:00,48.34,,5.48,18.09,14.08,,10.73,0.38,5.08,,,,,,,14.34,86.18,0.68,250.28,,0.0,0.0,782.21,
2024-01-01 19:00:00,54.0,,14.43,23.88,24.42,,10.68,0.38,5.03,,,,,,,13.84,88.82,0.49,179.56,,0.0,0.0,782.86,
2024-01-01 20:00:00,58.22,,14.31,21.58,23.12,,10.71,0.38,4.93,,,,,,,13.19,89.49,0.44,156.3,,0.0,0.0,783.22,
2024-01-01 21:00:00,73.53,,15.84,20.66,23.86,,10.69,0.38,4.96,,,,,,,12.18,90.54,0.42,177.03,,0.0,0.0,783.4,
2024-01-01 22:00:00,66.26,,20.77,19.25,27.14,,10.64,0.38,5.05,,,,,,,11.44,89.14,0.38,156.46,,0.0,0.0,783.28,
2024-01-01 23:00:00,73.2,,10.68,14.59,16.45,,10.68,0.38,4.73,,,,,,,11.65,83.65,0.54,166.32,,0.0,0.0,782.88,
2024-01-02 00:00:00,42.25,,5.09,10.72,9.78,,10.61,0.38,4.89,,,,,,,11.96,81.84,0.4,187.29,,0.0,0.0,782.48,
2024-01-02 01:00:00,35.19,,3.6,8.6,7.46,,10.7,0.38,4.85,,,,,,,11.89,83.31,0.44,180.74,,0.0,0.0,781.78,
2024-01-02 02:00:00,35.03,,0.12,5.4,1.4,,10.7,0.38,5.23,,,,,,,12.05,79.9,0.44,159.44,,0.0,0.0,781.26,
2024-01-02 03:00:00,30.42,,,2.89,0.06,,10.66,0.38,5.07,,,,,,,12.25,79.74,0.43,154.68,,0.0,0.0,780.95,
