latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.170473,77.973274,170.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°)
2024-01-01T00:00,6.9,100,0.00,997.4,3.4,5.0,30,342
2024-01-01T01:00,7.6,99,0.00,998.7,5.4,6.5,6,340
2024-01-01T02:00,7.4,99,0.00,999.1,5.4,9.1,7,340
2024-01-01T03:00,8.3,98,0.00,999.8,4.7,11.1,13,351
2024-01-01T04:00,10.7,95,0.00,1000.6,3.6,9.6,20,6
2024-01-01T05:00,13.4,82,0.00,1000.6,4.4,5.6,15,9
2024-01-01T06:00,15.2,74,0.00,999.7,4.0,4.7,360,360
2024-01-01T07:00,16.4,69,0.00,998.3,4.7,5.4,352,351
2024-01-01T08:00,17.1,67,0.00,997.2,5.5,6.6,351,349
2024-01-01T09:00,17.6,67,0.00,996.3,5.4,6.5,354,352
2024-01-01T10:00,17.7,69,0.00,996.0,5.2,6.2,353,348
2024-01-01T11:00,17.2,71,0.00,995.9,5.2,6.6,347,344
2024-01-01T12:00,14.1,88,0.00,996.0,7.1,10.5,344,336
2024-01-01T13:00,14.0,83,0.00,997.5,5.8,10.2,352,353
2024-01-01T14:00,14.2,81,0.00,998.2,6.2,10.5,354,350
2024-01-01T15:00,14.0,83,0.00,998.4,5.9,8.4,353,346
2024-01-01T16:00,13.3,86,0.00,998.6,6.6,8.5,348,351
2024-01-01T17:00,12.1,91,0.00,998.6,5.8,8.1,347,353
2024-01-01T18:00,9.7,98,0.00,998.1,5.4,8.0,352,360
2024-01-01T19:00,8.5,99,0.00,997.8,5.4,8.3,355,356
2024-01-01T20:00,7.1,100,0.00,997.3,7.6,6.9,354,352
2024-01-01T21:00,6.6,100,0.00,996.8,5.9,7.6,357,346
2024-01-01T22:00,6.4,99,0.00,996.6,5.9,8.3,355,322
2024-01-01T23:00,6.6,99,0.00,996.6,4.4,7.7,349,305
2024-01-02T00:00,6.3,99,0.00,997.0,3.3,5.5,337,264
2024-01-02T01:00,6.9,99,0.00,998.3,3.2,4.7,302,297
2024-01-02T02:00,6.9,99,0.00,999.0,3.6,3.4,328,323
2024-01-02T03:00,7.5,98,0.00,999.4,4.7,4.0,355,337
2024-01-02T04:00,8.8,97,0.00,1000.2,5.1,6.2,353,352
2024-01-02T05:00,10.1,96,0.00,1000.2,6.8,8.6,2,357
2024-01-02T06:00,12.8,82,0.00,999.3,7.6,9.0,5,5
2024-01-02T07:00,14.5,72,0.00,998.1,6.5,8.0,355,354
2024-01-02T08:00,15.5,68,0.00,997.0,7.6,9.0,360,360
2024-01-02T09:00,16.0,67,0.00,996.1,8.0,10.1,6,5
2024-01-02T10:00,16.0,68,0.00,995.7,5.9,7.0,12,11
2024-01-02T11:00,15.5,70,0.00,995.8,4.3,5.1,8,5
2024-01-02T12:00,13.7,83,0.00,995.9,5.4,6.1,360,356
2024-01-02T13:00,11.6,86,0.00,996.9,5.6,6.4,38,27
2024-01-02T14:00,10.7,89,0.00,997.3,5.4,5.4,42,20
2024-01-02T15:00,9.2,93,0.00,997.2,5.8,4.7,23,360
2024-01-02T16:00,9.0,94,0.00,997.4,4.7,5.0,360,351
2024-01-02T17:00,8.7,95,0.00,997.5,4.3,4.3,360,360
2024-01-02T18:00,8.4,95,0.00,997.1,4.9,6.4,16,17
2024-01-02T19:00,9.6,90,0.00,996.8,7.4,11.5,14,14
2024-01-02T20:00,10.3,87,0.00,996.7,5.8,12.7,15,7
2024-01-02T21:00,10.4,87,0.00,996.7,4.5,9.7,4,331
2024-01-02T22:00,10.3,88,0.00,996.3,7.6,16.4,9,357
2024-01-02T23:00,10.3,88,0.00,996.5,4.3,13.9,21,360
2024-01-03T00:00,10.5,87,0.00,996.7,5.0,14.5,30,21
2024-01-03T01:00,11.0,86,0.00,997.8,3.0,5.1,82,104
2024-01-03T02:00,11.1,86,0.00,998.4,2.2,3.7,79,81
2024-01-03T03:00,11.6,85,0.00,999.2,5.0,7.1,45,30
2024-01-03T04:00,12.3,83,0.00,999.9,4.1,5.4,53,52
2024-01-03T05:00,13.0,81,0.00,1000.0,2.5,3.6,90,90
2024-01-03T06:00,13.7,80,0.00,998.9,1.3,2.1,59,56
2024-01-03T07:00,15.0,77,0.00,997.8,1.0,1.3,56,45
2024-01-03T08:00,16.4,74,0.00,996.6,1.4,1.5,14,360
2024-01-03T09:00,17.3,72,0.00,995.7,2.2,2.5,352,351
2024-01-03T10:00,17.4,72,0.00,995.6,3.3,4.0,350,347
2024-01-03T11:00,17.0,74,0.00,995.4,5.9,7.3,351,349
2024-01-03T12:00,14.3,89,0.00,995.4,7.5,9.1,351,343
2024-01-03T13:00,14.4,84,0.00,996.5,7.2,12.1,350,342
2024-01-03T14:00,14.1,85,0.00,996.8,7.4,12.5,348,337
2024-01-03T15:00,13.8,86,0.00,997.1,5.8,10.7,348,330
2024-01-03T16:00,13.7,88,0.00,997.2,5.0,10.1,354,330
2024-01-03T17:00,13.6,89,0.00,997.2,6.9,11.6,353,332
2024-01-03T18:00,13.0,92,0.00,996.7,7.8,14.8,3,347
2024-01-03T19:00,12.7,94,0.00,996.5,3.2,8.8,341,297
2024-01-03T20:00,12.8,94,0.00,996.3,5.7,10.6,332,305
2024-01-03T21:00,12.7,93,0.00,996.5,5.4,12.0,327,312
2024-01-03T22:00,12.3,95,0.00,996.4,4.8,10.8,339,333
2024-01-03T23:00,12.2,93,0.00,996.5,5.9,10.9,351,346
2024-01-04T00:00,12.0,93,0.00,996.9,5.2,10.4,360,348
2024-01-04T01:00,10.9,94,0.00,998.0,5.0,12.7,345,330
2024-01-04T02:00,11.0,94,0.00,998.9,5.9,12.4,338,317
2024-01-04T03:00,11.9,89,0.00,999.7,7.1,13.1,344,330
2024-01-04T04:00,13.6,83,0.00,1000.4,5.6,7.7,349,345
2024-01-04T05:00,15.4,77,0.00,1000.3,4.1,5.5,349,345
2024-01-04T06:00,16.7,73,0.00,999.1,3.4,4.1,345,342
2024-01-04T07:00,17.8,67,0.00,997.7,2.5,2.9,270,270
2024-01-04T08:00,18.1,64,0.00,996.9,3.8,4.4,279,287
2024-01-04T09:00,18.7,61,0.00,996.0,3.8,4.6,309,311
2024-01-04T10:00,18.5,61,0.00,995.7,5.2,6.0,327,326
2024-01-04T11:00,17.9,63,0.00,995.5,6.2,8.0,342,339
2024-01-04T12:00,15.0,78,0.00,995.5,6.3,11.5,346,347
2024-01-04T13:00,13.0,87,0.00,995.8,8.1,11.4,347,339
2024-01-04T14:00,12.3,89,0.00,996.2,8.4,12.7,353,353
2024-01-04T15:00,11.2,91,0.00,996.6,9.8,8.3,358,354
2024-01-04T16:00,10.4,93,0.00,996.9,7.8,6.6,351,326
2024-01-04T17:00,9.7,96,0.00,996.9,6.1,7.6,341,315
2024-01-04T18:00,9.4,96,0.00,996.4,6.5,11.0,337,326
2024-01-04T19:00,9.3,96,0.00,996.1,7.4,15.2,346,337
2024-01-04T20:00,8.9,96,0.00,996.0,6.6,15.2,355,338
2024-01-04T21:00,8.4,97,0.00,996.1,6.0,14.8,1,343
2024-01-04T22:00,8.4,98,0.00,995.8,7.1,15.5,5,345
2024-01-04T23:00,8.1,99,0.00,995.9,6.0,14.2,7,343
2024-01-05T00:00,7.7,99,0.00,996.1,5.7,13.2,11,342
2024-01-05T01:00,7.9,100,0.00,997.4,5.1,12.0,21,352
2024-01-05T02:00,8.1,100,0.00,998.1,4.7,11.9,29,351
2024-01-05T03:00,8.8,99,0.00,998.9,2.7,8.7,42,293
2024-01-05T04:00,11.1,98,0.00,999.7,1.3,4.9,54,326
2024-01-05T05:00,13.5,90,0.00,999.8,1.5,1.5,14,346
2024-01-05T06:00,15.8,81,0.00,998.8,0.7,0.7,270,270
2024-01-05T07:00,17.3,70,0.00,997.8,2.7,3.3,193,203
2024-01-05T08:00,17.8,65,0.00,996.6,3.4,3.9,236,238
2024-01-05T09:00,18.2,63,0.00,996.1,4.1,4.6,252,255
2024-01-05T10:00,18.3,61,0.00,995.7,4.3,5.4,262,265
2024-01-05T11:00,18.0,62,0.00,996.1,4.3,6.0,287,294
2024-01-05T12:00,14.6,79,0.00,996.1,7.3,9.4,317,327
2024-01-05T13:00,15.1,74,0.00,996.8,8.1,16.6,321,315
2024-01-05T14:00,14.9,74,0.00,997.7,8.7,17.8,317,312
2024-01-05T15:00,14.6,76,0.00,998.2,10.5,19.3,339,338
2024-01-05T16:00,13.9,78,0.00,998.6,8.0,15.1,359,352
2024-01-05T17:00,13.6,79,0.00,998.8,7.6,13.7,360,352
2024-01-05T18:00,13.2,79,0.00,998.5,7.3,13.7,2,349
2024-01-05T19:00,12.5,81,0.00,998.1,6.0,11.5,2,335
2024-01-05T20:00,11.6,85,0.00,997.8,5.5,11.5,4,337
2024-01-05T21:00,10.9,88,0.00,997.3,5.7,12.3,5,342
2024-01-05T22:00,9.6,94,0.00,997.1,6.4,13.0,5,344
2024-01-05T23:00,8.9,96,0.00,997.0,7.0,13.6,11,348
2024-01-06T00:00,8.3,98,0.00,997.3,5.4,12.3,3,340
2024-01-06T01:00,7.2,100,0.00,998.9,6.6,11.9,360,351
2024-01-06T02:00,7.5,100,0.00,999.5,4.6,8.7,7,342
2024-01-06T03:00,8.5,98,0.00,1000.5,6.0,11.2,356,335
2024-01-06T04:00,10.6,94,0.00,1001.2,4.6,10.0,345,321
2024-01-06T05:00,13.8,82,0.00,1001.3,5.3,7.9,336,332
2024-01-06T06:00,15.7,71,0.00,1000.3,6.0,7.2,333,335
2024-01-06T07:00,16.9,66,0.00,999.1,5.6,6.6,299,297
2024-01-06T08:00,17.6,63,0.00,998.1,4.9,6.0,287,287
2024-01-06T09:00,17.8,60,0.00,997.3,3.7,4.7,274,281
2024-01-06T10:00,17.9,58,0.00,997.0,2.9,3.6,264,270
2024-01-06T11:00,17.4,61,0.00,997.2,3.2,4.2,290,297
2024-01-06T12:00,13.9,81,0.00,997.3,7.8,8.7,315,326
2024-01-06T13:00,13.1,80,0.00,998.8,6.4,13.1,323,322
2024-01-06T14:00,13.2,78,0.00,999.4,8.1,16.3,317,315
2024-01-06T15:00,12.7,80,0.00,999.7,10.7,21.0,322,320
2024-01-06T16:00,12.1,82,0.00,1000.1,11.5,23.5,333,328
2024-01-06T17:00,10.7,88,0.00,999.9,8.4,19.5,341,335
2024-01-06T18:00,9.4,93,0.00,999.5,6.4,16.0,352,344
2024-01-06T19:00,8.6,95,0.00,999.1,5.9,15.9,357,349
2024-01-06T20:00,7.7,97,0.00,998.6,8.3,14.1,4,358
2024-01-06T21:00,7.9,95,0.00,998.5,7.6,10.1,17,355
2024-01-06T22:00,7.1,96,0.00,998.2,7.6,7.4,14,335
2024-01-06T23:00,7.1,97,0.00,998.2,5.3,8.6,360,332
2024-01-07T00:00,6.7,97,0.00,998.3,5.5,10.9,354,328
2024-01-07T01:00,6.8,98,0.00,999.6,4.3,6.4,344,318
2024-01-07T02:00,6.8,98,0.00,1000.4,4.1,6.3,347,322
2024-01-07T03:00,8.6,92,0.00,1001.6,5.4,7.6,355,340
2024-01-07T04:00,11.5,85,0.00,1002.6,4.3,8.7,7,5
2024-01-07T05:00,14.0,76,0.00,1002.8,4.2,5.0,21,20
2024-01-07T06:00,15.6,71,0.00,1002.0,3.1,3.8,41,36
2024-01-07T07:00,16.7,69,0.00,1000.7,2.1,2.4,63,59
2024-01-07T08:00,17.7,66,0.00,999.6,1.0,1.3,146,135
2024-01-07T09:00,18.1,62,0.00,998.8,0.5,0.5,45,45
2024-01-07T10:00,18.2,60,0.00,998.2,0.8,0.5,45,27
2024-01-07T11:00,17.8,61,0.00,998.0,2.6,2.7,23,16
2024-01-07T12:00,14.6,79,0.00,997.9,6.6,7.2,18,13
