Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,70.21,138.87,8.55,11.17,15.21,36.14,9.42,1.03,17.49,1.55,4.43,,,3.87,1.58,12.94,90.58,0.68,176.73,0.0,0.0,100.3,749.33,-0.4
2024-01-02,72.34,140.54,7.31,10.04,13.44,35.99,8.91,0.92,21.49,1.45,4.15,,,3.85,1.56,13.42,88.33,0.72,199.35,0.0,0.0,115.65,749.37,-0.36
2024-01-03,124.24,193.76,26.7,14.6,30.99,56.09,11.98,1.08,18.35,4.16,4.84,,,3.82,1.59,13.63,93.48,0.66,178.59,0.01,0.01,108.3,749.48,-0.86
2024-01-04,98.83,151.9,16.31,13.15,21.81,45.4,9.71,0.85,21.9,1.91,4.47,,,3.84,1.56,14.7,92.5,0.56,207.96,0.0,0.0,99.87,749.78,-0.61
2024-01-05,64.04,105.59,15.41,12.74,20.99,38.62,10.26,0.8,22.01,1.96,4.71,,,3.79,1.5,14.63,95.13,0.6,199.12,0.03,0.02,103.24,749.8,-0.64
2024-01-06,99.87,160.12,17.65,14.58,23.8,39.89,10.12,0.95,20.34,2.14,4.71,,,3.83,1.56,15.71,93.43,0.6,194.03,0.0,0.0,108.42,750.03,-0.68
2024-01-07,74.21,125.18,15.64,12.96,21.18,40.4,9.42,0.71,25.47,1.67,4.41,,,3.82,1.48,15.97,83.0,0.65,198.19,0.0,0.0,120.13,750.23,-0.18
2024-01-08,80.72,139.72,15.6,15.14,22.41,41.18,10.14,0.81,25.57,1.99,4.8,,,3.81,1.51,14.65,85.18,0.63,198.78,0.0,0.0,116.51,750.22,-0.16
2024-01-09,83.56,135.91,18.6,16.66,25.65,43.83,10.02,0.94,19.57,2.24,5.02,,,3.86,1.55,13.36,91.16,0.68,200.65,0.01,0.0,81.23,749.96,-0.26
2024-01-10,82.77,140.78,24.11,22.23,32.98,49.41,10.31,0.82,21.44,2.13,4.89,,,3.84,1.52,13.06,89.39,0.86,203.51,0.0,0.0,94.39,749.72,-0.19
