Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,98.07,123.23,2.61,34.06,20.23,27.24,11.65,1.33,15.33,2.99,5.3,,,,,7.59,77.4,0.78,38.56,,0.0,13.96,741.69,
2024-01-02,98.03,130.04,2.91,38.89,23.05,27.21,21.07,1.28,19.54,2.38,7.54,,,,,8.43,74.39,1.44,24.48,,0.0,25.11,741.24,
2024-01-03,117.02,141.9,2.47,38.6,22.54,31.48,14.56,1.45,20.61,2.76,5.93,,,,,7.01,79.25,0.8,32.4,,0.0,22.3,741.21,
2024-01-04,112.96,127.65,3.26,34.3,20.83,30.15,14.28,1.52,17.66,2.98,6.27,,,,,6.49,79.97,1.21,33.38,,0.0,23.33,741.22,
2024-01-05,87.48,104.47,2.44,31.02,18.46,26.9,16.78,1.22,19.55,2.11,4.32,,,,,5.22,83.56,0.78,40.03,,0.0,12.55,741.28,
2024-01-06,124.54,165.42,3.08,36.52,21.93,33.0,17.62,1.39,13.19,2.57,6.09,,,,,7.19,79.68,0.86,40.72,,0.0,13.9,741.79,
2024-01-07,112.15,142.74,2.68,32.5,19.46,31.35,17.3,1.3,14.6,2.22,5.79,,,,,7.62,81.07,0.94,36.21,,0.0,11.82,741.98,
2024-01-08,88.91,105.08,2.93,33.04,19.97,27.46,10.89,1.31,14.32,2.15,4.68,,,,,7.31,80.84,0.8,39.11,,0.0,13.78,742.0,
2024-01-09,79.94,103.39,2.44,27.55,16.6,26.95,14.32,1.22,14.4,1.93,4.69,,,,,5.58,80.66,1.78,35.68,,0.0,15.94,742.0,
2024-01-10,112.6,143.11,2.43,31.95,18.97,33.74,16.44,1.09,17.62,1.76,4.42,,,,,6.05,74.97,2.15,38.85,,0.0,26.41,741.48,
2024-01-11,150.0,196.54,2.0,38.95,22.33,42.45,17.79,1.37,26.37,2.1,4.81,,,,,6.72,71.96,1.42,34.7,,0.0,20.74,741.3,
2024-01-12,169.42,227.15,3.88,44.29,26.68,41.15,20.08,1.66,13.68,2.76,5.43,,,,,4.33,77.78,1.07,34.43,,0.0,15.43,741.23,
2024-01-13,185.46,240.94,5.45,49.6,30.82,39.86,15.79,2.05,15.55,3.29,7.08,,,,,5.71,77.53,0.61,43.67,,0.0,19.2,741.16,
2024-01-14,159.92,184.61,3.19,43.75,25.86,36.19,19.83,1.91,15.78,3.63,7.04,,,,,5.96,76.0,0.72,40.29,,0.0,26.88,741.09,
2024-01-15,145.24,166.01,5.86,43.72,28.02,34.95,17.46,1.78,11.77,3.11,6.35,,,,,3.71,79.86,0.86,36.92,,0.0,20.34,741.0,
2024-01-16,155.77,189.05,7.56,52.33,33.98,39.85,19.54,2.27,10.04,3.98,6.14,,,,,3.96,82.32,0.52,50.18,,0.0,19.19,741.0,
2024-01-17,130.95,156.91,4.21,43.78,26.71,38.76,23.94,1.92,16.23,3.88,7.2,,,,,5.21,80.53,0.64,59.9,,0.0,24.3,741.0,
2024-01-18,132.92,155.61,3.48,42.09,25.21,37.28,15.33,1.84,14.14,3.69,5.82,,,,,5.51,83.91,0.5,52.78,,0.0,13.47,741.02,
2024-01-19,146.64,189.64,1.38,33.28,18.83,40.74,18.33,1.42,22.62,2.9,4.06,,,,,8.74,79.76,0.62,56.77,,0.0,10.27,741.48,
2024-01-20,117.18,147.38,3.18,43.15,25.54,28.41,18.6,1.6,30.91,2.79,5.28,,,,,9.66,72.35,0.66,32.11,,0.0,21.77,741.52,
2024-01-21,110.54,138.57,1.99,34.12,19.77,29.2,16.08,1.24,25.54,2.51,5.63,,,,,7.72,75.77,1.67,37.26,,0.0,24.22,741.33,
2024-01-22,151.5,201.1,2.36,36.18,21.12,34.62,13.19,1.34,35.42,2.2,3.11,,,,,8.09,72.45,1.02,43.44,,0.0,23.14,741.62,
2024-01-23,155.95,190.03,4.1,41.83,25.59,33.98,16.72,1.55,13.98,3.28,5.65,,,,,5.34,80.28,0.78,36.94,,0.0,19.73,741.45,
2024-01-24,143.81,202.41,2.67,35.45,21.02,35.88,12.77,1.51,23.4,2.74,7.12,,,,,7.7,76.94,1.19,32.91,,0.0,22.35,741.43,
2024-01-25,122.11,152.99,2.54,30.19,18.13,32.34,5.34,1.45,22.45,2.74,7.56,,,,,7.87,73.5,1.0,42.19,,0.0,25.06,742.0,
2024-01-26,171.28,197.8,3.97,39.31,24.13,41.15,7.96,1.97,26.4,3.52,7.15,,,,,10.42,69.69,0.68,47.36,,0.0,25.78,742.0,
