Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,122.6,134.92,0.24,5.31,5.56,,1.02,2.09,0.03,,,,,,,9.65,99.0,0.49,234.66,,,2.14,806.49,
2024-01-01 01:00:00,114.88,130.0,0.23,4.8,5.03,,1.03,2.03,0.05,,,,,,,9.6,99.54,0.6,184.85,,,1.65,808.07,
2024-01-01 02:00:00,111.74,122.87,0.16,4.56,4.72,,0.99,1.96,0.02,,,,,,,9.54,99.64,0.49,220.11,,,1.6,809.83,
2024-01-01 03:00:00,103.71,109.44,0.2,4.46,4.65,,0.92,1.95,0.02,,,,,,,9.26,99.65,0.99,241.67,,,1.44,810.46,
2024-01-01 04:00:00,91.02,97.88,0.16,4.24,4.4,,0.88,1.82,0.06,,,,,,,8.94,99.66,0.98,236.0,,,1.24,811.53,
2024-01-01 05:00:00,82.69,83.19,0.1,3.37,3.47,,0.85,1.75,0.06,,,,,,,8.97,99.65,0.49,128.28,,,1.21,812.63,
2024-01-01 06:00:00,66.23,68.86,0.35,3.12,3.48,,0.94,1.76,0.06,,,,,,,8.86,99.65,0.43,141.55,,,1.25,813.72,
2024-01-01 07:00:00,69.95,78.6,0.29,3.51,3.8,,0.82,1.72,0.06,,,,,,,8.76,99.64,0.82,206.03,,,4.8,815.34,
2024-01-01 08:00:00,75.89,82.97,0.96,3.57,4.53,,0.85,1.69,0.06,,,,,,,8.46,99.64,1.28,273.6,,,29.7,816.57,
2024-01-01 09:00:00,81.93,97.21,1.55,3.88,5.44,,1.0,1.77,0.22,,,,,,,8.78,99.64,0.97,245.99,,,114.66,808.07,
2024-01-01 10:00:00,69.83,113.77,1.42,5.39,6.81,,0.96,1.79,1.23,,,,,,,11.99,96.16,1.21,251.98,,,277.0,800.45,
2024-01-01 11:00:00,75.4,149.01,0.8,5.09,5.88,,1.06,1.69,4.92,,,,,,,15.56,72.44,1.52,255.51,,,325.61,800.3,
2024-01-01 12:00:00,60.0,125.06,0.26,2.27,2.52,,0.96,1.36,6.76,,,,,,,17.95,63.06,2.35,243.74,,,341.98,800.29,
2024-01-01 13:00:00,28.94,70.46,0.12,1.44,1.56,,0.86,1.27,8.02,,,,,,,18.98,58.62,2.46,183.69,,,313.39,800.29,
2024-01-01 14:00:00,33.66,67.42,0.12,1.67,1.79,,0.92,1.4,7.9,,,,,,,19.22,62.88,2.37,204.13,,,235.81,800.32,
2024-01-01 15:00:00,60.48,81.96,0.12,2.02,2.14,,0.92,1.52,7.16,,,,,,,18.43,68.69,2.39,203.5,,,148.06,800.32,
2024-01-01 16:00:00,77.76,87.7,0.12,1.8,1.92,,0.82,1.51,5.31,,,,,,,16.68,75.21,1.66,192.59,,,61.37,800.32,
2024-01-01 17:00:00,76.77,80.02,0.09,1.69,1.78,,0.78,1.53,3.39,,,,,,,14.33,84.43,0.48,160.31,,,6.22,800.32,
2024-01-01 18:00:00,81.54,85.83,0.16,2.25,2.42,,0.78,1.66,0.44,,,,,,,12.35,91.36,0.32,179.51,,,0.82,800.37,
2024-01-01 19:00:00,90.88,131.36,0.48,4.73,5.2,,0.85,1.97,0.2,,,,,,,11.32,94.4,0.38,254.36,,,0.88,800.4,
2024-01-01 20:00:00,108.84,170.96,0.36,3.3,3.66,,0.96,1.9,0.08,,,,,,,10.42,95.52,0.33,164.55,,,0.9,800.4,
2024-01-01 21:00:00,123.67,164.45,0.53,2.71,3.24,,0.92,1.94,0.05,,,,,,,9.61,96.08,0.32,185.47,,,1.0,800.56,
2024-01-01 22:00:00,132.95,160.04,0.56,3.06,3.62,,0.96,1.95,0.02,,,,,,,9.38,96.82,0.32,204.64,,,1.04,800.52,
2024-01-01 23:00:00,136.88,187.88,0.2,5.23,5.43,,1.04,1.99,0.06,,,,,,,9.76,97.4,0.32,225.48,,,1.07,801.0,
2024-01-02 00:00:00,132.46,159.14,0.13,5.91,6.04,,1.0,2.03,0.02,,,,,,,9.37,98.76,1.02,242.42,,,1.39,806.74,
2024-01-02 01:00:00,132.2,134.9,0.14,5.6,5.74,,0.96,2.03,0.03,,,,,,,8.79,99.53,0.99,242.95,,,1.4,810.39,
2024-01-02 02:00:00,,,0.13,5.2,5.33,,0.96,2.01,0.02,,,,,,,8.55,99.64,0.51,209.63,,,1.31,810.58,
2024-01-02 03:00:00,,,0.1,4.14,4.25,,0.94,1.86,0.08,,,,,,,8.34,99.64,0.37,230.38,,,1.31,812.19,
2024-01-02 04:00:00,,,0.11,3.79,3.9,,0.96,1.82,0.08,,,,,,,8.35,99.64,0.76,239.8,,,1.3,812.5,
2024-01-02 05:00:00,,,0.12,2.87,2.99,,0.9,1.68,0.07,,,,,,,7.88,99.64,1.28,222.76,,,3.56,833.36,
2024-01-02 06:00:00,,,0.09,2.63,2.72,,0.91,1.61,0.28,,,,,,,7.66,99.64,1.04,101.78,,,8.38,840.38,
2024-01-02 07:00:00,,,0.15,2.1,2.25,,0.84,1.57,0.22,,,,,,,7.62,99.64,0.48,126.67,,,15.6,840.39,
2024-01-02 08:00:00,,,0.56,2.3,2.86,,0.94,1.63,0.14,,,,,,,7.84,99.64,0.4,221.76,,,43.08,839.11,
2024-01-02 09:00:00,,,1.62,4.05,5.67,,1.02,1.74,0.27,,,,,,,8.5,99.64,0.73,247.34,,,113.85,829.08,
2024-01-02 10:00:00,,,1.4,4.92,6.32,,1.03,1.75,0.99,,,,,,,11.44,97.47,0.86,240.52,,,264.08,800.36,
2024-01-02 11:00:00,,,0.65,4.66,5.3,,1.0,1.64,4.2,,,,,,,15.48,74.18,1.12,234.04,,,325.83,800.28,
2024-01-02 12:00:00,,91.11,0.25,2.69,2.21,,0.96,1.11,6.71,,,,,,,18.22,61.12,1.38,187.23,,,340.3,800.25,
2024-01-02 13:00:00,9.62,57.32,0.13,1.1,1.23,,0.85,1.17,6.76,,,,,,,18.5,57.89,2.35,191.79,,,320.47,800.25,
2024-01-02 14:00:00,29.79,48.32,0.12,1.07,1.19,,0.88,1.21,7.39,,,,,,,19.2,57.03,2.21,186.91,,,244.71,800.29,
2024-01-02 15:00:00,30.97,54.74,0.1,0.8,0.89,,0.73,1.12,8.04,,,,,,,19.88,50.92,1.62,190.82,,,159.28,800.3,
2024-01-02 16:00:00,43.21,54.41,0.11,1.6,1.71,,0.81,1.23,7.15,,,,,,,18.46,62.42,1.2,185.86,,,70.16,800.31,
2024-01-02 17:00:00,68.12,86.12,0.2,3.86,4.06,,0.87,1.42,2.42,,,,,,,14.99,81.68,0.42,209.38,,,6.58,800.32,
2024-01-02 18:00:00,92.19,116.44,0.12,3.53,3.66,,0.86,1.6,1.09,,,,,,,12.73,90.41,0.32,172.52,,,1.13,800.32,
2024-01-02 19:00:00,104.87,129.41,0.14,2.94,3.07,,0.91,1.66,0.73,,,,,,,11.55,93.12,0.32,158.03,,,1.44,800.34,
2024-01-02 20:00:00,111.83,141.74,0.11,2.67,2.78,,0.87,1.72,0.33,,,,,,,10.56,94.96,0.32,142.82,,,1.72,800.4,
2024-01-02 21:00:00,104.12,141.54,0.17,2.33,2.5,,0.78,1.69,0.15,,,,,,,9.82,95.53,0.32,151.64,,,2.05,800.46,
2024-01-02 22:00:00,106.14,145.89,0.17,1.98,2.15,,0.85,1.66,0.09,,,,,,,9.25,96.44,0.39,178.12,,,2.52,800.7,
2024-01-02 23:00:00,99.96,137.62,0.12,1.7,1.82,,0.79,1.63,0.42,,,,,,,9.11,97.02,0.59,102.14,,,3.16,800.8,
2024-01-03 00:00:00,100.48,128.22,0.08,1.66,1.74,,0.79,1.58,0.27,,,,,,,9.06,95.55,0.38,129.4,,,3.82,800.67,
2024-01-03 01:00:00,81.39,105.54,0.1,0.84,0.93,,0.77,1.46,0.1,,,,,,,8.31,97.02,0.37,210.42,,,5.31,800.96,
2024-01-03 02:00:00,70.96,93.52,0.08,0.79,0.88,,0.82,1.45,0.04,,,,,,,8.01,97.48,0.34,217.56,,,6.76,800.82,
2024-01-03 03:00:00,74.53,90.45,0.1,1.61,1.71,,0.78,1.48,0.06,,,,,,,7.92,98.01,1.08,217.38,,,8.35,800.81,
2024-01-03 04:00:00,81.0,105.52,0.12,2.08,2.19,,0.82,1.56,0.02,,,,,,,7.46,98.46,0.53,183.54,,,9.77,801.91,
2024-01-03 05:00:00,84.15,106.34,0.11,1.93,2.04,,0.88,1.6,0.04,,,,,,,7.06,98.78,0.32,145.5,,,7.35,803.38,
