Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,63.35,124.08,9.62,30.4,23.58,27.43,6.18,0.64,23.74,22.42,14.06,,,4.1,5.58,15.41,99.3,0.98,10.86,0.0,0.0,8.95,1016.42,0.41
2024-01-01 01:00:00,60.48,115.44,9.1,26.68,21.23,26.98,5.93,0.6,26.26,17.11,12.41,,,2.2,4.39,15.02,99.33,1.14,262.42,0.0,0.0,9.38,1016.4,0.42
2024-01-01 02:00:00,53.29,105.75,9.54,24.84,20.61,23.4,6.94,0.26,25.78,9.89,5.28,,,1.07,2.35,14.67,99.33,1.19,348.68,0.0,0.0,9.05,1016.18,0.42
2024-01-01 03:00:00,54.96,98.56,8.82,26.68,21.0,23.95,8.35,0.42,22.32,9.69,5.22,,,1.12,2.13,13.78,99.35,1.37,12.57,0.0,0.0,8.93,1015.98,0.43
2024-01-01 04:00:00,53.65,98.89,8.82,23.55,19.38,25.72,6.96,0.7,24.98,4.25,2.89,,,0.96,1.11,13.69,99.36,1.12,264.71,0.0,0.0,9.48,1016.4,0.42
2024-01-01 05:00:00,50.86,97.49,8.6,21.27,18.0,24.47,6.37,0.58,31.71,4.15,2.81,,,0.92,1.13,13.12,99.35,1.04,348.87,0.0,0.0,8.37,1016.87,0.42
2024-01-01 06:00:00,53.14,96.44,7.26,23.24,18.0,21.67,7.42,0.58,27.03,3.11,2.03,,,1.37,0.83,13.06,99.35,1.09,259.37,0.0,0.0,20.02,1017.4,0.42
2024-01-01 07:00:00,55.13,107.95,7.94,23.78,18.81,22.3,8.22,0.87,27.63,4.88,3.76,,,2.39,2.35,13.4,99.35,1.21,350.98,0.0,0.0,80.7,1017.88,0.43
2024-01-01 08:00:00,65.82,119.51,9.88,26.52,21.75,25.64,7.35,0.96,33.43,6.19,3.16,,,1.9,2.21,14.84,99.31,1.38,181.84,0.0,0.0,206.9,1018.48,0.44
2024-01-01 09:00:00,72.08,135.18,10.21,28.89,23.25,25.55,8.44,0.87,46.76,3.82,4.15,,,2.45,3.41,17.15,99.13,1.38,179.65,0.0,0.0,268.42,1018.65,0.44
2024-01-01 10:00:00,73.58,138.62,8.46,25.98,20.37,23.16,11.7,0.63,58.32,1.45,0.66,,,1.06,1.16,19.79,83.14,1.04,352.42,0.0,0.0,473.45,1017.98,0.44
2024-01-01 11:00:00,80.42,147.66,11.13,31.15,25.15,25.35,19.05,0.84,61.7,1.54,0.72,,,0.98,1.21,21.71,56.7,0.95,340.03,0.0,0.0,546.6,1016.92,0.44
2024-01-01 12:00:00,80.51,149.81,12.92,50.36,36.58,22.22,38.09,0.51,48.48,1.52,0.67,,,1.0,1.21,22.98,41.64,1.04,259.04,0.0,0.0,539.72,1015.8,0.44
2024-01-01 13:00:00,71.84,134.82,15.1,58.89,42.74,25.16,44.97,0.6,49.99,1.46,0.68,,,1.07,1.24,23.98,39.25,0.86,345.48,0.0,0.0,356.78,1014.78,0.44
2024-01-01 14:00:00,60.5,124.96,9.84,40.36,28.95,22.72,24.76,0.64,65.29,1.59,0.7,,,0.98,1.24,24.38,37.76,0.73,356.41,0.0,0.0,321.02,1014.02,0.42
2024-01-01 15:00:00,60.57,122.01,9.75,41.29,29.37,22.87,28.62,0.63,65.36,1.54,0.71,,,0.9,1.17,23.5,37.74,1.0,350.26,0.0,0.0,115.28,1013.62,0.42
2024-01-01 16:00:00,56.98,110.47,9.26,39.41,28.0,21.49,13.88,0.62,56.04,1.37,0.72,,,0.95,1.19,21.6,46.42,0.7,296.49,0.0,0.0,27.17,1014.05,0.41
2024-01-01 17:00:00,55.36,114.13,10.74,45.7,32.44,25.52,11.86,0.82,42.43,3.82,4.58,,,1.0,1.91,19.37,52.14,0.9,16.56,0.0,0.0,5.45,1014.45,0.4
2024-01-01 18:00:00,54.76,114.26,10.79,60.26,40.09,24.9,14.97,0.58,26.18,5.32,6.4,,,1.72,2.83,18.34,51.91,0.9,93.75,0.0,0.0,8.05,1015.1,0.4
2024-01-01 19:00:00,63.78,122.45,11.2,60.8,40.7,25.52,13.26,0.67,19.93,9.03,8.1,,,3.36,3.38,17.08,57.0,0.4,280.3,0.0,0.0,8.57,1015.88,0.4
2024-01-01 20:00:00,62.18,120.76,13.15,60.42,42.02,27.24,11.4,1.11,18.88,15.66,14.28,,,9.98,4.48,16.41,61.61,0.79,150.64,0.0,0.0,9.45,1016.45,0.41
2024-01-01 21:00:00,63.94,122.03,12.51,50.81,36.5,27.9,10.55,1.17,24.06,25.19,25.32,,,13.1,5.6,15.8,74.1,0.72,164.81,0.0,0.0,9.4,1016.72,0.42
2024-01-01 22:00:00,61.99,124.18,8.99,36.82,26.44,24.11,8.67,0.48,29.92,38.15,35.14,,,14.99,8.75,15.32,81.98,1.04,339.72,0.0,0.0,9.02,1016.92,0.41
2024-01-01 23:00:00,63.98,124.57,9.74,29.64,23.28,24.1,8.61,0.37,36.98,30.14,32.28,,,10.45,10.51,15.0,91.74,1.3,122.64,0.0,0.0,9.57,1016.9,0.44
2024-01-02 00:00:00,71.08,124.0,9.67,26.56,21.61,25.5,7.09,0.89,37.0,22.46,14.26,,,4.2,5.59,14.24,99.18,1.29,98.38,0.0,0.0,8.7,1016.65,0.43
2024-01-02 01:00:00,68.54,130.37,8.43,28.62,21.72,25.24,6.7,0.88,31.43,16.98,11.89,,,2.18,4.5,13.61,99.26,1.03,264.95,0.0,0.0,8.22,1016.32,0.42
2024-01-02 02:00:00,70.2,127.78,8.12,26.53,20.38,21.68,7.4,0.61,34.56,9.84,5.23,,,1.14,2.25,13.4,99.28,0.97,328.28,0.0,0.0,9.15,1015.95,0.42
2024-01-02 03:00:00,77.59,136.0,8.41,26.36,20.53,21.6,8.48,0.9,30.19,10.05,5.26,,,1.14,2.15,12.93,99.3,0.88,268.69,0.0,0.0,9.18,1015.82,0.42
2024-01-02 04:00:00,79.26,139.24,8.98,26.72,21.16,24.01,7.7,0.81,30.48,4.21,2.88,,,0.94,1.15,12.98,99.33,0.99,341.76,0.0,0.0,9.8,1015.98,0.41
2024-01-02 05:00:00,77.31,140.28,9.59,26.29,21.41,25.51,7.2,1.0,27.39,4.42,2.84,,,0.94,1.14,12.54,99.36,0.71,91.06,0.0,0.0,9.45,1016.58,0.4
