Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,85.26,178.2,15.87,29.5,28.23,30.07,7.77,1.21,11.67,7.44,8.68,,,1.75,2.58,17.89,97.64,0.34,230.0,0.0,0.0,19.5,1011.24,0.19
2024-01-01 01:00:00,88.12,178.06,12.82,24.0,22.91,28.94,7.63,1.04,13.49,7.21,8.19,,,1.66,2.52,18.0,97.61,0.53,184.43,0.0,0.0,19.86,1011.11,0.17
2024-01-01 02:00:00,89.12,174.97,8.67,17.58,16.24,28.34,7.33,0.93,17.38,7.02,7.52,,,1.54,2.25,17.68,97.01,0.9,118.72,0.0,0.0,18.44,1010.98,0.16
2024-01-01 03:00:00,81.28,163.89,8.14,16.25,15.1,28.67,7.55,0.88,19.57,6.32,6.64,,,1.31,2.19,17.05,96.18,0.9,115.87,0.0,0.0,18.21,1011.04,0.15
2024-01-01 04:00:00,76.15,153.11,8.47,13.97,14.19,27.45,7.25,0.85,19.75,5.71,5.47,,,0.95,1.84,16.63,96.1,0.9,112.67,0.0,0.0,18.48,1011.46,0.14
2024-01-01 05:00:00,73.04,140.75,7.08,13.28,12.7,27.07,7.04,0.82,19.51,5.25,5.48,,,0.93,1.6,16.42,96.08,0.88,119.6,0.0,0.0,19.05,1012.16,0.15
2024-01-01 06:00:00,70.43,134.54,9.0,16.94,16.79,27.61,8.01,0.87,14.68,4.85,4.92,,,0.89,1.46,16.12,96.66,0.57,195.61,0.0,0.0,31.21,1012.62,0.17
2024-01-01 07:00:00,70.62,134.76,13.24,23.34,22.9,29.15,17.05,0.95,11.79,5.21,4.87,,,0.71,1.42,16.86,96.37,0.63,243.97,0.0,0.0,88.97,1013.03,0.16
2024-01-01 08:00:00,72.65,141.6,11.04,22.35,20.54,28.44,21.04,0.93,17.16,4.95,4.22,,,0.71,1.35,18.21,94.37,0.81,234.07,0.0,0.0,182.42,1013.53,0.15
2024-01-01 09:00:00,76.54,151.09,9.7,22.11,19.42,28.44,16.0,0.9,26.41,4.83,4.29,,,0.7,1.35,20.11,90.15,0.62,221.58,0.0,0.0,262.68,1013.79,0.16
2024-01-01 10:00:00,77.94,163.69,9.14,24.59,20.7,29.4,17.01,0.91,38.66,4.64,4.45,,,0.7,1.29,21.78,80.31,0.78,243.08,0.0,0.0,309.15,1013.28,0.16
2024-01-01 11:00:00,80.53,171.26,6.91,21.67,16.96,27.88,16.21,0.89,49.82,5.13,5.21,,,0.79,1.36,22.72,73.52,1.0,256.69,0.0,0.0,324.84,1012.5,0.12
2024-01-01 12:00:00,82.52,177.48,7.02,18.74,15.52,28.1,13.36,0.83,56.47,5.43,5.42,,,0.92,1.5,23.19,71.14,1.03,257.92,0.0,0.0,295.26,1012.22,0.12
2024-01-01 13:00:00,84.32,173.44,8.23,18.72,16.58,29.67,17.56,0.82,59.17,4.95,5.11,,,0.86,1.49,23.6,66.59,1.02,264.18,0.0,0.0,205.21,1011.45,0.13
2024-01-01 14:00:00,79.33,165.53,7.0,17.48,14.78,28.49,19.16,0.8,63.34,5.66,4.82,,,0.99,1.82,23.65,65.55,0.86,254.79,0.0,0.0,142.29,1010.75,0.15
2024-01-01 15:00:00,80.72,169.93,6.14,18.97,14.93,28.33,23.64,0.74,57.91,5.07,4.39,,,0.78,1.43,23.24,64.58,0.66,242.96,0.0,0.0,78.2,1010.51,0.16
2024-01-01 16:00:00,77.33,163.27,6.26,24.77,18.05,27.29,26.35,0.7,46.48,5.08,4.91,,,0.75,1.4,22.07,66.93,0.54,211.77,0.0,0.0,28.74,1010.62,0.16
2024-01-01 17:00:00,77.81,160.79,8.02,36.36,25.53,28.77,18.33,0.83,27.05,5.14,7.12,,,0.93,1.72,20.52,77.6,0.46,232.39,0.0,0.0,15.21,1011.0,0.16
2024-01-01 18:00:00,78.07,163.93,10.5,41.88,30.39,30.48,13.66,0.96,17.82,6.04,9.56,,,1.34,2.2,19.39,89.5,0.32,246.4,0.0,0.0,17.3,1011.83,0.17
2024-01-01 19:00:00,80.66,171.1,17.29,44.56,37.25,31.93,11.58,1.17,10.42,6.63,10.09,,,1.42,2.17,18.53,94.46,0.26,214.59,0.0,0.0,18.5,1012.36,0.23
2024-01-01 20:00:00,82.17,179.16,32.51,46.74,50.58,32.61,10.39,1.47,9.54,6.47,10.46,,,1.73,2.4,17.88,95.83,0.19,208.53,0.0,0.0,18.87,1012.66,0.15
2024-01-01 21:00:00,87.75,194.12,47.23,46.18,62.1,34.91,9.86,1.77,8.46,7.32,12.38,,,2.21,2.9,17.49,96.35,0.24,225.19,0.0,0.0,19.23,1012.92,0.16
2024-01-01 22:00:00,95.32,210.39,50.08,45.43,63.98,34.95,9.43,1.89,8.02,7.89,13.4,,,2.55,3.28,17.2,96.9,0.27,228.1,0.0,0.0,19.77,1012.88,0.21
2024-01-01 23:00:00,100.34,221.03,50.77,42.61,63.08,36.99,8.95,2.03,7.36,8.69,14.35,,,2.65,3.33,16.9,97.11,0.25,191.1,0.0,0.0,19.56,1012.72,0.19
2024-01-02 00:00:00,106.17,226.08,50.2,41.18,61.87,39.23,8.87,1.92,7.31,11.36,14.68,,,2.79,3.63,16.84,97.27,0.27,185.6,0.0,0.0,20.06,1012.35,0.24
2024-01-02 01:00:00,106.65,226.2,35.26,37.22,47.82,36.8,8.02,1.66,7.88,9.79,13.15,,,2.59,3.32,16.62,97.42,0.31,225.48,0.0,0.0,20.54,1012.14,0.26
2024-01-02 02:00:00,102.72,215.02,20.7,26.38,30.47,32.65,7.67,1.28,11.88,9.08,11.69,,,2.39,2.8,16.59,97.42,0.36,202.05,0.0,0.0,20.09,1011.98,0.16
2024-01-02 03:00:00,95.52,189.31,15.7,21.43,23.88,30.92,6.72,1.09,12.74,7.03,9.13,,,1.77,2.43,16.34,97.69,0.43,193.4,0.0,0.0,20.02,1012.05,0.2
2024-01-02 04:00:00,84.43,167.36,14.09,20.86,22.32,30.01,7.11,1.01,12.37,6.7,7.76,,,1.32,1.99,15.86,97.65,0.55,128.33,0.0,0.0,19.57,1012.28,0.16
2024-01-02 05:00:00,78.57,160.64,9.86,16.88,16.82,28.37,7.66,0.88,11.85,5.85,6.59,,,1.08,1.66,15.43,97.47,0.67,180.39,0.0,0.0,19.45,1012.97,0.18
2024-01-02 06:00:00,76.36,157.15,11.52,21.07,20.35,28.64,8.02,0.91,10.64,5.76,5.92,,,1.02,1.56,15.25,97.4,0.55,187.03,0.01,0.01,31.46,1013.58,0.19
2024-01-02 07:00:00,80.43,159.17,14.09,26.15,25.23,29.87,11.81,0.95,9.9,5.71,5.5,,,0.79,1.44,15.93,97.04,0.59,243.62,0.0,0.0,85.83,1014.14,0.19
2024-01-02 08:00:00,81.48,165.5,11.88,27.46,23.96,28.46,21.98,0.93,13.7,5.28,4.9,,,0.8,1.38,17.06,95.62,0.96,235.71,0.01,0.01,167.39,1014.62,0.14
2024-01-02 09:00:00,84.17,175.48,9.51,24.02,20.27,27.77,15.28,0.85,21.38,5.1,4.47,,,0.75,1.36,18.05,93.57,0.89,241.35,0.0,0.0,247.9,1014.88,0.14
2024-01-02 10:00:00,87.27,179.72,10.51,22.54,20.27,29.51,17.76,0.77,35.3,5.18,4.33,,,0.74,1.3,19.6,73.5,0.9,267.47,0.0,0.0,316.21,1014.51,0.15
2024-01-02 11:00:00,86.92,177.52,7.27,20.15,16.45,29.69,25.16,0.65,54.57,6.4,4.94,,,0.89,1.5,21.28,54.71,0.86,266.16,0.0,0.0,351.36,1013.56,0.13
2024-01-02 12:00:00,78.63,162.84,6.75,15.66,13.63,28.56,16.7,0.52,63.12,11.38,5.97,,,1.25,1.68,22.5,50.38,1.04,267.21,0.0,0.0,318.17,1012.52,0.12
2024-01-02 13:00:00,70.78,147.4,18.77,15.43,23.0,31.23,14.75,0.51,65.43,7.69,5.96,,,1.48,1.53,23.23,48.04,1.02,223.21,0.0,0.0,225.63,1011.55,0.11
2024-01-02 14:00:00,60.43,132.24,8.77,15.54,15.2,27.0,14.72,0.51,68.11,4.45,4.16,,,0.8,1.38,23.26,47.53,1.01,224.74,0.0,0.0,156.87,1010.62,0.12
2024-01-02 15:00:00,57.64,121.93,6.05,14.97,12.76,25.86,13.93,0.49,63.43,4.12,3.92,,,0.75,1.37,22.73,45.68,0.93,216.0,0.0,0.0,86.09,1010.49,0.15
2024-01-02 16:00:00,55.63,120.12,9.6,21.9,19.23,28.26,13.79,0.54,56.54,4.43,5.13,,,0.79,1.4,21.19,49.65,0.67,192.31,0.0,0.0,31.07,1010.73,0.14
2024-01-02 17:00:00,54.84,113.58,8.5,35.85,25.64,28.89,12.26,0.7,29.33,6.83,8.48,,,1.24,1.93,19.39,58.9,0.47,236.73,0.0,0.0,15.97,1011.28,0.19
2024-01-02 18:00:00,64.88,130.65,10.03,41.13,29.62,29.77,11.48,0.82,19.9,15.02,15.69,,,2.28,3.26,18.38,67.35,0.4,228.06,0.0,0.0,18.0,1011.95,0.14
2024-01-02 19:00:00,71.65,140.21,9.94,46.93,32.58,29.35,10.69,0.95,13.81,9.54,13.44,,,1.8,2.68,17.7,73.31,0.39,230.7,0.0,0.0,18.45,1012.37,0.17
2024-01-02 20:00:00,75.39,150.52,10.63,44.8,32.02,29.27,10.12,1.02,12.81,7.5,12.52,,,1.69,2.52,16.81,78.71,0.3,212.7,0.0,0.0,19.03,1012.86,0.14
2024-01-02 21:00:00,78.52,157.15,12.46,40.23,31.11,29.25,10.14,1.1,11.65,8.83,13.71,,,1.75,2.46,16.14,81.06,0.3,241.44,0.0,0.0,18.27,1013.23,0.15
2024-01-02 22:00:00,82.69,162.3,12.9,38.98,30.81,29.22,9.61,1.02,11.69,9.06,12.31,,,1.6,2.37,15.68,81.76,0.37,226.0,0.0,0.0,19.54,1013.1,0.16
2024-01-02 23:00:00,81.61,161.74,12.81,37.8,30.11,30.02,9.03,0.94,10.72,8.0,10.37,,,1.57,2.44,15.47,84.96,0.31,222.66,0.0,0.0,19.62,1012.9,0.27
2024-01-03 00:00:00,80.15,161.0,9.09,34.18,25.25,28.54,7.87,0.88,11.84,7.72,10.31,,,2.14,3.16,15.24,91.12,0.37,239.46,0.0,0.0,20.38,1012.69,0.17
2024-01-03 01:00:00,81.44,162.09,7.68,24.24,18.91,27.49,7.37,0.79,16.79,7.69,9.6,,,1.97,2.83,15.26,94.86,0.34,236.82,0.0,0.0,20.65,1012.32,0.19
2024-01-03 02:00:00,82.65,159.05,7.48,22.38,17.79,27.04,7.39,0.77,15.9,6.95,8.78,,,1.74,2.51,15.18,95.91,0.43,226.88,0.0,0.0,20.97,1012.1,0.21
2024-01-03 03:00:00,81.72,153.96,8.05,26.52,20.4,28.56,7.84,0.85,14.88,6.74,9.01,,,1.66,2.29,14.86,96.8,0.28,213.19,0.0,0.0,20.88,1012.03,0.15
2024-01-03 04:00:00,81.53,153.71,7.69,23.88,18.74,27.52,7.92,0.8,15.43,6.61,9.46,,,1.45,2.15,14.87,97.11,0.36,186.64,0.0,0.0,21.4,1012.29,0.22
2024-01-03 05:00:00,78.95,153.24,6.36,18.94,15.09,26.67,7.84,0.73,19.0,5.85,7.19,,,1.16,1.78,15.07,96.98,0.59,219.9,0.0,0.0,20.45,1012.66,0.18
2024-01-03 06:00:00,76.12,148.77,7.18,24.44,18.62,26.41,8.37,0.83,14.68,5.33,5.65,,,1.03,1.55,15.05,96.84,0.63,227.87,0.0,0.0,33.06,1013.22,0.19
2024-01-03 07:00:00,79.0,151.66,11.31,29.92,24.8,27.35,14.51,0.96,13.55,5.38,5.56,,,0.81,1.46,16.06,95.73,0.8,165.1,0.0,0.0,96.42,1013.82,0.16
2024-01-03 08:00:00,84.04,161.42,8.08,24.86,19.55,27.4,16.76,0.88,25.34,5.07,4.6,,,0.78,1.39,18.5,85.59,0.96,183.84,0.0,0.0,207.37,1014.34,0.13
2024-01-03 09:00:00,82.24,161.01,7.79,20.55,17.07,27.63,16.4,0.76,36.93,4.35,4.46,,,0.76,1.38,20.53,65.39,1.13,164.21,0.0,0.0,283.5,1014.92,0.12
2024-01-03 10:00:00,77.09,153.0,7.14,17.91,15.19,27.07,12.44,0.64,46.46,4.87,5.02,,,0.76,1.3,22.12,54.13,1.18,147.6,0.0,0.0,317.8,1014.32,0.12
2024-01-03 11:00:00,68.27,136.23,6.96,16.82,14.45,26.0,9.66,0.49,63.23,4.18,4.97,,,0.77,1.39,23.39,47.16,1.2,138.75,0.0,0.0,353.53,1013.42,0.11
2024-01-03 12:00:00,56.58,113.91,7.07,15.62,13.93,24.07,10.37,0.46,72.88,3.96,4.9,,,0.75,1.3,24.37,46.57,1.08,146.45,0.0,0.0,313.12,1012.09,0.09
2024-01-03 13:00:00,48.7,104.72,7.51,14.82,13.85,26.09,13.18,0.45,77.22,4.35,5.0,,,0.83,1.4,24.97,46.93,0.87,112.61,0.0,0.0,209.16,1011.24,0.14
2024-01-03 14:00:00,46.03,93.87,6.82,14.65,13.21,26.29,12.32,0.43,73.1,3.42,4.41,,,0.81,1.41,25.05,46.12,0.69,114.35,0.0,0.0,147.52,1010.39,0.14
2024-01-03 15:00:00,43.28,87.32,6.54,15.78,13.58,26.23,9.81,0.43,60.87,3.95,4.08,,,0.77,1.45,24.57,47.59,0.6,180.22,0.0,0.0,80.41,1010.21,0.18
