latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.446397,78.82299,135.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,18.8,96,0.00,998.5,6.0,16.1,123,119
2024-01-01T01:00,19.5,97,0.00,999.7,4.8,14.1,132,128
2024-01-01T02:00,20.6,92,0.00,1000.6,4.6,10.2,129,129
2024-01-01T03:00,23.1,80,0.00,1001.4,3.1,5.2,111,115
2024-01-01T04:00,25.7,66,0.00,1001.9,10.0,13.0,103,104
2024-01-01T05:00,27.6,56,0.00,1001.5,11.9,15.6,95,97
2024-01-01T06:00,29.1,47,0.00,1000.5,11.5,14.8,92,90
2024-01-01T07:00,30.3,43,0.00,999.0,11.6,14.8,95,94
2024-01-01T08:00,30.8,41,0.00,997.7,12.6,16.6,95,95
2024-01-01T09:00,31.3,38,0.00,996.6,12.3,15.9,93,94
2024-01-01T10:00,31.0,39,0.00,996.2,13.7,18.0,85,87
2024-01-01T11:00,29.7,45,0.00,996.3,15.6,21.0,83,85
2024-01-01T12:00,28.4,49,0.00,997.0,13.3,20.2,92,91
2024-01-01T13:00,26.3,64,0.00,998.1,11.5,22.0,86,86
2024-01-01T14:00,25.4,69,0.00,999.4,14.1,25.2,94,93
2024-01-01T15:00,24.5,71,0.00,1000.1,16.6,28.2,94,94
2024-01-01T16:00,23.5,74,0.00,1000.4,16.3,28.6,104,101
2024-01-01T17:00,22.8,77,0.00,1000.4,15.1,27.4,108,107
2024-01-01T18:00,22.3,80,0.00,1000.0,14.1,26.1,105,105
2024-01-01T19:00,21.8,82,0.00,999.3,12.5,24.5,108,107
2024-01-01T20:00,21.4,84,0.00,998.5,11.0,23.2,109,109
2024-01-01T21:00,20.9,86,0.00,997.8,10.0,21.9,111,110
2024-01-01T22:00,20.4,89,0.00,997.3,8.9,20.7,117,113
2024-01-01T23:00,20.5,88,0.00,997.5,7.4,18.2,119,115
2024-01-02T00:00,19.6,93,0.00,998.0,5.2,15.0,115,117
2024-01-02T01:00,20.6,88,0.00,999.0,4.5,10.3,104,119
