latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.68014,83.204254,21.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,18.5,95,0.00,1012.8,6.8,14.7,357,17
2024-01-01T01:00,19.1,95,0.00,1013.7,7.6,16.6,360,18
2024-01-01T02:00,21.0,87,0.00,1014.2,9.4,16.9,2,20
2024-01-01T03:00,23.6,76,0.00,1014.9,8.4,12.2,7,14
2024-01-01T04:00,25.2,66,0.00,1015.1,6.4,8.2,38,38
2024-01-01T05:00,26.4,60,0.00,1014.5,6.4,8.0,74,72
2024-01-01T06:00,27.2,58,0.00,1013.8,8.7,10.4,95,92
2024-01-01T07:00,27.9,55,0.00,1012.8,9.8,11.9,98,95
2024-01-01T08:00,27.5,57,0.00,1011.9,12.9,15.7,108,106
2024-01-01T09:00,26.0,64,0.00,1011.3,17.4,22.4,114,114
2024-01-01T10:00,25.8,63,0.00,1011.0,16.7,22.6,115,115
2024-01-01T11:00,24.7,70,0.00,1011.1,14.7,20.4,115,116
2024-01-01T12:00,23.8,77,0.00,1011.5,7.1,14.3,105,108
2024-01-01T13:00,22.3,84,0.00,1012.4,6.8,13.1,93,98
2024-01-01T14:00,22.6,80,0.00,1013.6,6.4,10.1,47,86
2024-01-01T15:00,21.1,88,0.00,1014.1,5.1,7.8,356,56
2024-01-01T16:00,20.7,91,0.00,1014.4,5.2,9.2,348,31
2024-01-01T17:00,20.2,93,0.00,1014.1,6.6,11.3,347,22
2024-01-01T18:00,19.8,94,0.00,1013.7,7.6,13.5,352,16
2024-01-01T19:00,19.6,93,0.00,1013.2,7.9,15.3,357,8
2024-01-01T20:00,19.3,93,0.00,1012.5,6.8,13.9,357,10
2024-01-01T21:00,19.1,93,0.00,1011.7,7.2,13.7,357,14
2024-01-01T22:00,18.9,93,0.00,1011.4,8.0,15.3,352,8
2024-01-01T23:00,18.7,94,0.00,1011.4,8.0,16.3,355,6
2024-01-02T00:00,18.5,94,0.00,1011.8,7.9,16.9,3,12
2024-01-02T01:00,19.1,94,0.00,1012.9,8.0,17.2,8,29
2024-01-02T02:00,20.8,88,0.00,1013.9,10.2,18.5,10,29
2024-01-02T03:00,23.4,76,0.00,1014.8,9.5,14.4,29,32
2024-01-02T04:00,25.1,66,0.00,1015.1,9.9,13.0,46,48
2024-01-02T05:00,26.3,61,0.00,1014.6,10.6,13.7,66,63
2024-01-02T06:00,27.1,57,0.00,1013.5,12.7,15.8,75,73
2024-01-02T07:00,27.4,57,0.00,1012.4,14.9,18.6,83,80
2024-01-02T08:00,27.0,56,0.00,1011.5,16.6,21.2,91,89
2024-01-02T09:00,26.2,60,0.00,1010.9,18.0,23.4,92,92
2024-01-02T10:00,25.7,64,0.00,1010.6,17.3,23.4,94,94
2024-01-02T11:00,24.9,68,0.00,1010.7,16.8,23.7,99,99
2024-01-02T12:00,24.0,72,0.00,1011.1,12.6,22.4,93,95
2024-01-02T13:00,23.1,76,0.00,1012.1,10.1,21.3,88,92
2024-01-02T14:00,23.0,75,0.00,1013.0,9.1,20.9,83,88
2024-01-02T15:00,21.4,84,0.00,1013.5,7.8,15.9,56,85
2024-01-02T16:00,20.3,90,0.00,1013.9,7.9,11.3,16,68
2024-01-02T17:00,19.7,92,0.00,1014.1,6.5,9.8,360,54
2024-01-02T18:00,19.9,92,0.00,1013.9,6.2,11.8,353,27
2024-01-02T19:00,19.7,93,0.00,1013.4,8.8,16.5,348,10
2024-01-02T20:00,19.6,94,0.00,1012.4,8.8,18.8,348,3
2024-01-02T21:00,19.2,94,0.00,1011.6,7.6,17.9,360,10
2024-01-02T22:00,19.0,94,0.00,1011.3,7.9,19.5,3,12
2024-01-02T23:00,18.8,94,0.00,1011.5,7.6,19.2,360,13
2024-01-03T00:00,18.5,95,0.00,1012.0,7.2,18.7,6,19
2024-01-03T01:00,18.9,96,0.00,1013.1,7.3,17.7,11,29
2024-01-03T02:00,20.5,91,0.00,1014.0,9.9,18.5,10,27
2024-01-03T03:00,23.2,79,0.00,1014.7,10.1,15.3,27,30
2024-01-03T04:00,24.9,70,0.00,1014.9,12.0,15.8,44,45
2024-01-03T05:00,26.1,64,0.00,1014.3,13.4,17.6,63,62
2024-01-03T06:00,26.7,59,0.00,1013.2,15.4,20.0,74,72
2024-01-03T07:00,26.8,58,0.00,1012.0,16.3,21.2,82,80
2024-01-03T08:00,26.4,61,0.00,1011.2,16.2,20.9,91,90
2024-01-03T09:00,26.0,63,0.00,1010.8,15.9,20.5,94,92
2024-01-03T10:00,25.6,65,0.00,1010.7,14.1,18.4,96,94
2024-01-03T11:00,24.9,68,0.00,1010.9,13.0,17.4,96,96
2024-01-03T12:00,23.9,72,0.00,1011.3,9.2,18.0,101,102
2024-01-03T13:00,23.0,77,0.00,1011.8,8.8,20.2,81,86
2024-01-03T14:00,22.5,76,0.00,1012.4,8.1,19.9,77,86
2024-01-03T15:00,21.6,81,0.00,1012.5,6.6,17.6,61,79
2024-01-03T16:00,20.6,87,0.00,1012.6,6.0,14.8,25,61
2024-01-03T17:00,20.0,91,0.00,1012.6,6.2,14.8,10,43
2024-01-03T18:00,19.7,93,0.00,1012.6,7.6,15.8,352,21
2024-01-03T19:00,19.5,94,0.00,1012.4,7.9,17.5,360,19
2024-01-03T20:00,19.3,94,0.00,1012.1,7.9,19.1,3,16
2024-01-03T21:00,19.3,93,0.00,1011.8,8.4,20.7,10,17
2024-01-03T22:00,18.6,94,0.00,1011.2,6.0,16.6,17,27
2024-01-03T23:00,18.3,94,0.00,1011.4,6.9,17.2,6,26
2024-01-04T00:00,17.9,94,0.00,1011.7,6.9,16.9,6,27
2024-01-04T01:00,19.0,93,0.00,1013.3,8.3,18.9,360,21
2024-01-04T02:00,20.4,87,0.00,1014.6,8.8,17.1,12,25
2024-01-04T03:00,23.0,76,0.00,1015.1,8.3,12.5,34,39
2024-01-04T04:00,24.6,68,0.00,1015.3,10.8,13.9,53,53
2024-01-04T05:00,25.9,59,0.00,1014.5,11.6,15.2,60,59
2024-01-04T06:00,26.8,54,0.00,1013.3,12.9,16.6,72,68
2024-01-04T07:00,27.2,52,0.00,1012.1,13.9,17.9,80,75
2024-01-04T08:00,27.1,53,0.00,1010.9,15.2,19.1,94,91
2024-01-04T09:00,26.6,53,0.00,1010.2,16.9,22.3,92,90
2024-01-04T10:00,25.7,59,0.00,1010.0,17.7,24.2,96,94
2024-01-04T11:00,24.3,72,0.00,1010.5,16.7,23.5,96,95
2024-01-04T12:00,23.4,79,0.00,1010.8,13.0,23.1,88,88
2024-01-04T13:00,22.3,82,0.00,1011.6,10.3,21.6,78,79
2024-01-04T14:00,21.9,82,0.00,1012.3,9.4,20.9,72,75
2024-01-04T15:00,20.7,86,0.00,1013.1,6.4,16.9,43,63
2024-01-04T16:00,19.8,90,0.00,1013.2,6.3,15.5,13,44
2024-01-04T17:00,19.4,91,0.00,1013.0,6.5,16.2,6,32
