Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,29.86,71.9,2.0,18.3,11.76,11.1,,0.5,27.96,0.15,0.18,0.02,,,0.04,23.99,67.7,0.31,101.51,0.0,0.0,0.69,739.76,-0.27
2024-01-01 01:00:00,31.17,73.34,2.02,14.84,9.94,11.22,,0.48,32.94,0.13,0.18,0.02,,,0.03,23.55,73.34,0.3,88.2,0.0,0.0,0.66,738.93,-0.27
2024-01-01 02:00:00,35.28,113.35,2.0,13.82,9.38,11.22,,0.54,33.56,0.14,0.14,0.02,,,0.02,23.12,77.75,0.2,84.67,0.0,0.0,0.68,737.46,-0.27
2024-01-01 03:00:00,37.47,105.13,2.0,13.82,9.38,11.19,,0.54,31.55,0.16,0.15,0.02,,,0.02,22.91,79.37,0.13,90.09,0.0,0.0,0.59,735.62,-0.27
2024-01-01 04:00:00,37.44,101.28,2.01,14.68,9.84,11.22,,0.51,28.17,0.18,0.16,0.02,,,0.03,22.4,81.59,0.15,46.75,0.0,0.0,0.74,735.9,-0.27
2024-01-01 05:00:00,34.75,98.52,,,,,,0.55,27.1,0.18,0.15,0.02,,,0.02,22.06,83.0,0.09,107.34,0.0,0.0,0.67,737.8,-0.27
2024-01-01 06:00:00,35.11,106.25,,,,,,0.8,13.75,0.3,0.26,0.04,,,0.08,21.97,83.72,0.08,155.32,0.0,0.0,2.67,739.99,-0.27
2024-01-01 07:00:00,37.36,109.85,,,,,,0.75,18.97,0.54,0.44,0.08,,,0.18,22.21,82.0,0.14,96.24,0.0,0.0,30.17,742.65,-0.27
2024-01-01 08:00:00,42.97,113.09,,,,,,1.25,11.03,0.76,0.53,0.1,,,0.22,22.97,77.76,0.26,264.4,0.0,0.0,73.4,745.6,-0.27
2024-01-01 09:00:00,47.83,114.26,,,,,,0.66,29.78,0.99,0.72,0.15,,,0.33,24.54,69.24,0.19,91.28,0.0,0.0,108.88,746.82,-0.27
2024-01-01 10:00:00,46.31,86.34,,,,,,0.6,36.69,0.32,0.33,0.06,,,0.12,25.85,61.65,0.24,99.55,0.0,0.0,145.52,745.56,-0.27
