latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.18629,91.77632,60.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.9,0.00,93,1008.6,6.4,7.9,218,246
2024-01-01T01:00,14.2,0.00,100,1009.8,6.4,11.2,254,249
2024-01-01T02:00,16.6,0.00,95,1010.5,6.7,12.0,254,249
2024-01-01T03:00,18.4,0.00,87,1011.3,5.2,7.6,245,245
2024-01-01T04:00,20.6,0.00,77,1011.3,4.7,6.1,270,270
2024-01-01T05:00,22.4,0.00,68,1010.4,4.8,5.9,283,284
2024-01-01T06:00,23.8,0.00,60,1008.9,3.5,4.2,294,290
2024-01-01T07:00,24.8,0.00,56,1007.4,2.1,2.1,301,301
2024-01-01T08:00,25.4,0.00,54,1006.2,3.2,3.6,360,360
2024-01-01T09:00,25.3,0.00,53,1005.6,4.7,5.4,356,356
2024-01-01T10:00,24.6,0.00,53,1005.4,6.9,8.7,354,355
2024-01-01T11:00,21.4,0.00,66,1005.9,6.9,11.2,351,2
2024-01-01T12:00,20.8,0.00,64,1006.7,5.8,7.9,30,39
2024-01-01T13:00,19.1,0.00,78,1007.5,6.9,5.8,242,270
2024-01-01T14:00,18.2,0.00,85,1008.4,8.0,13.7,234,243
2024-01-01T15:00,18.6,0.00,84,1008.8,5.8,17.0,248,238
2024-01-01T16:00,18.2,0.00,85,1009.2,6.2,17.1,249,240
2024-01-01T17:00,16.7,0.00,91,1008.8,8.1,12.4,238,244
2024-01-01T18:00,17.1,0.00,89,1008.6,6.0,8.8,213,235
2024-01-01T19:00,18.0,0.00,86,1008.3,4.8,6.9,207,227
2024-01-01T20:00,18.0,0.00,86,1008.1,4.0,6.4,243,254
2024-01-01T21:00,17.4,0.00,89,1007.9,3.8,5.8,229,263
2024-01-01T22:00,16.8,0.00,94,1007.9,4.7,7.2,266,267
2024-01-01T23:00,15.7,0.00,100,1008.1,5.1,7.9,266,273
2024-01-02T00:00,16.0,0.00,100,1008.9,2.5,4.7,225,261
2024-01-02T01:00,15.1,0.00,100,1010.2,5.1,9.0,225,233
2024-01-02T02:00,16.7,0.00,91,1010.8,1.6,5.5,333,247
2024-01-02T03:00,18.9,0.00,80,1011.5,1.8,3.0,259,256
2024-01-02T04:00,20.9,0.00,73,1011.4,0.8,1.0,333,315
2024-01-02T05:00,22.4,0.00,68,1010.3,3.0,3.5,14,24
2024-01-02T06:00,23.7,0.00,62,1008.8,4.0,4.7,27,32
2024-01-02T07:00,24.6,0.00,57,1007.2,4.8,5.9,48,52
2024-01-02T08:00,25.0,0.00,54,1006.2,6.6,8.5,49,54
2024-01-02T09:00,25.1,0.00,52,1005.8,7.9,9.9,51,57
2024-01-02T10:00,24.3,0.00,53,1005.7,8.4,11.8,47,50
2024-01-02T11:00,21.9,0.00,63,1005.8,5.7,14.0,35,46
2024-01-02T12:00,20.5,0.00,68,1006.7,6.4,14.6,43,52
2024-01-02T13:00,21.3,0.00,67,1007.9,3.3,5.2,354,34
