Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,207.38,263.78,6.51,6.88,10.68,14.72,29.86,2.37,12.19,2.49,,,,2.39,2.69,16.27,90.25,0.09,101.77,0.0,0.0,0.0,,
2024-01-01 01:00:00,196.96,263.27,5.58,6.08,9.21,13.82,27.78,2.14,15.1,2.21,,,,2.16,2.43,15.62,91.25,0.08,23.95,0.0,0.0,0.0,,
2024-01-01 02:00:00,188.44,260.52,7.52,6.37,11.18,14.33,27.34,2.03,8.43,2.1,,,,2.0,2.27,15.22,92.25,0.64,132.93,0.0,0.0,0.0,,
2024-01-01 03:00:00,185.94,237.24,8.87,7.18,11.74,13.83,27.1,2.05,16.73,2.16,,,,2.03,2.28,15.02,92.75,0.62,113.67,0.0,0.0,0.0,,
2024-01-01 04:00:00,147.5,207.98,6.33,6.0,8.7,13.04,25.49,1.81,7.49,1.89,,,,1.81,2.03,14.82,93.75,0.74,113.83,0.0,0.0,0.0,,
2024-01-01 05:00:00,147.18,190.99,6.05,5.25,9.0,13.6,25.18,1.73,15.44,1.77,,,,1.7,1.93,14.0,94.0,0.76,126.37,0.0,0.0,0.0,,
2024-01-01 06:00:00,150.34,176.33,7.86,5.56,10.86,14.3,25.13,1.62,6.85,1.62,,,,1.55,1.78,14.1,95.0,0.47,83.37,0.0,0.0,0.0,,
2024-01-01 07:00:00,129.19,174.34,10.7,9.11,15.39,17.69,24.69,1.47,15.84,1.46,,,,1.39,1.6,16.18,92.0,0.62,69.07,0.0,0.0,0.0,,
2024-01-01 08:00:00,124.94,169.51,5.59,9.33,10.86,15.36,24.09,1.38,12.27,1.38,,,,1.32,1.51,19.88,78.25,0.86,91.6,0.0,0.0,0.0,,
2024-01-01 09:00:00,119.88,158.77,2.42,5.51,5.59,12.8,23.35,1.26,27.23,1.27,,,,1.21,1.39,22.45,69.5,0.68,156.4,0.0,0.0,0.0,,
2024-01-01 10:00:00,126.99,139.71,2.09,4.33,4.44,12.75,23.52,0.98,25.89,0.99,,,,0.92,1.06,23.55,65.75,0.54,141.47,0.0,0.0,0.0,,
2024-01-01 11:00:00,106.32,124.22,1.99,3.55,3.84,12.69,24.59,0.77,33.17,0.77,,,,0.71,0.82,24.65,59.75,0.9,178.92,0.0,0.0,0.0,,
2024-01-01 12:00:00,83.95,105.72,2.02,3.47,3.82,12.89,26.52,0.61,32.74,0.59,,,,0.53,0.63,25.75,52.25,0.88,165.69,0.0,0.0,0.0,,
2024-01-01 13:00:00,72.98,103.06,1.94,3.57,3.73,12.89,25.13,0.54,36.92,0.53,,,,0.49,0.57,26.58,50.25,0.84,112.47,0.0,0.0,0.0,,
2024-01-01 14:00:00,63.01,89.06,2.53,3.26,3.44,12.45,23.72,0.41,37.58,0.4,,,,0.35,0.42,26.42,50.75,0.48,140.05,0.0,0.0,0.0,,
2024-01-01 15:00:00,44.61,78.56,1.98,4.06,4.01,12.82,23.57,0.38,30.05,0.37,,,,0.33,0.4,25.38,56.25,0.35,91.86,0.0,0.0,0.0,,
2024-01-01 16:00:00,46.44,79.9,2.14,6.02,5.42,13.55,23.88,0.62,29.32,0.58,,,,0.54,0.65,23.15,68.75,0.19,59.11,0.0,0.0,0.0,,
2024-01-01 17:00:00,62.98,119.21,4.86,15.0,13.1,19.13,26.56,1.01,10.74,1.05,,,,0.99,1.13,21.02,77.0,0.65,92.57,0.0,0.0,0.0,,
2024-01-01 18:00:00,88.82,197.5,11.43,13.6,19.42,20.82,29.38,1.38,16.72,1.49,,,,1.39,1.54,19.98,78.25,0.87,131.16,0.0,0.0,0.0,,
2024-01-01 19:00:00,113.12,228.75,6.23,8.97,12.3,15.66,30.75,1.74,11.27,1.9,,,,1.81,2.0,18.9,79.75,1.13,149.54,0.0,0.0,0.0,,
2024-01-01 20:00:00,121.31,245.15,6.04,11.8,13.3,17.43,28.93,1.55,18.0,1.75,,,,1.56,1.73,18.25,81.75,1.28,152.68,0.0,0.0,0.0,,
2024-01-01 21:00:00,124.82,217.26,6.17,8.56,12.09,15.2,29.26,1.67,11.47,1.8,,,,1.64,1.84,17.98,83.25,0.89,156.3,0.0,0.0,0.0,,
2024-01-01 22:00:00,126.0,204.43,4.56,9.95,10.87,15.79,27.71,1.5,17.74,1.59,,,,1.48,1.66,17.2,86.25,0.67,183.65,0.0,0.0,0.0,,
