latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.780315,84.39914,114.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,9.4,0.00,99,1003.9,3.1,3.1,225,234
2024-01-01T01:00,9.3,0.00,100,1005.3,3.4,4.0,238,243
2024-01-01T02:00,9.7,0.00,98,1006.1,3.9,4.8,236,243
2024-01-01T03:00,10.8,0.00,98,1006.9,4.3,4.6,228,225
2024-01-01T04:00,12.1,0.00,95,1007.2,4.3,4.6,228,231
2024-01-01T05:00,14.4,0.00,86,1006.7,4.4,5.2,235,236
2024-01-01T06:00,16.5,0.00,77,1005.5,3.3,4.0,264,260
2024-01-01T07:00,18.0,0.00,71,1003.9,3.2,4.0,270,265
2024-01-01T08:00,19.1,0.00,66,1002.8,3.8,4.7,287,279
2024-01-01T09:00,19.7,0.00,62,1002.0,3.9,4.8,304,297
2024-01-01T10:00,19.7,0.00,63,1001.5,4.6,6.0,309,303
2024-01-01T11:00,18.3,0.00,80,1001.5,5.1,6.5,315,304
2024-01-01T12:00,17.6,0.00,72,1001.9,5.6,7.5,310,305
2024-01-01T13:00,12.8,0.00,91,1003.2,7.1,7.1,336,319
2024-01-01T14:00,11.8,0.00,94,1003.5,8.2,7.8,337,326
2024-01-01T15:00,11.5,0.00,92,1004.1,7.6,8.5,329,324
2024-01-01T16:00,11.0,0.00,92,1004.2,7.8,10.1,326,325
2024-01-01T17:00,12.2,0.00,88,1004.2,5.1,8.3,309,326
2024-01-01T18:00,11.9,0.00,89,1004.0,1.5,4.9,225,324
2024-01-01T19:00,11.7,0.00,90,1003.6,1.5,2.5,194,315
2024-01-01T20:00,11.6,0.00,91,1003.4,1.5,1.8,194,323
2024-01-01T21:00,11.4,0.00,92,1002.9,0.0,2.9,270,353
2024-01-01T22:00,11.0,0.00,94,1003.0,1.1,4.3,288,355
2024-01-01T23:00,10.1,0.00,97,1002.9,2.6,6.2,286,353
2024-01-02T00:00,9.2,0.00,100,1003.3,1.9,5.4,248,356
2024-01-02T01:00,8.6,0.00,100,1004.3,3.6,2.5,233,278
2024-01-02T02:00,9.4,0.00,99,1004.9,4.3,3.3,246,276
2024-01-02T03:00,11.8,0.00,97,1005.7,3.1,3.7,216,241
2024-01-02T04:00,15.5,0.00,82,1006.1,1.5,2.3,225,231
2024-01-02T05:00,18.0,0.00,70,1005.5,0.8,1.0,333,315
2024-01-02T06:00,19.8,0.00,64,1004.4,2.5,3.2,360,360
2024-01-02T07:00,21.2,0.00,60,1003.1,4.8,5.9,13,11
2024-01-02T08:00,21.9,0.00,59,1001.9,6.3,8.2,24,23
2024-01-02T09:00,22.1,0.00,58,1001.4,5.7,7.3,35,33
2024-01-02T10:00,21.9,0.00,60,1001.1,4.8,6.1,42,40
2024-01-02T11:00,20.0,0.00,78,1000.9,5.7,7.9,35,43
2024-01-02T12:00,17.3,0.00,80,1001.3,8.2,8.9,41,47
2024-01-02T13:00,16.2,0.00,86,1002.4,7.4,11.4,23,35
2024-01-02T14:00,15.2,0.00,89,1002.8,8.0,13.5,36,44
2024-01-02T15:00,14.3,0.00,91,1003.0,9.0,13.8,61,57
2024-01-02T16:00,13.7,0.00,92,1003.4,7.9,13.1,93,69
2024-01-02T17:00,13.1,0.00,94,1003.4,7.4,12.2,119,92
2024-01-02T18:00,12.5,0.00,95,1003.1,9.2,12.3,132,111
2024-01-02T19:00,13.3,0.00,92,1003.1,6.7,10.8,126,111
2024-01-02T20:00,13.7,0.00,91,1002.8,5.6,10.1,117,107
2024-01-02T21:00,13.6,0.00,92,1002.4,4.5,8.9,119,104
2024-01-02T22:00,13.2,0.00,94,1002.5,3.8,8.3,49,90
2024-01-02T23:00,12.0,0.00,97,1002.4,5.7,9.7,55,86
2024-01-03T00:00,11.1,0.00,98,1002.8,7.3,11.5,81,90
2024-01-03T01:00,11.1,0.00,98,1003.8,7.6,13.4,82,95
2024-01-03T02:00,12.6,0.00,96,1004.6,6.6,12.6,61,85
2024-01-03T03:00,14.7,0.00,90,1005.6,4.8,13.9,103,100
2024-01-03T04:00,17.3,0.00,83,1005.9,4.0,8.4,95,100
2024-01-03T05:00,19.8,0.00,74,1005.3,6.5,9.0,90,92
2024-01-03T06:00,21.5,0.00,67,1004.1,6.6,8.7,81,83
2024-01-03T07:00,22.6,0.00,64,1002.6,5.5,7.0,67,69
2024-01-03T08:00,23.3,0.00,62,1001.5,5.6,6.7,50,54
2024-01-03T09:00,23.3,0.00,63,1000.8,6.9,8.7,39,42
2024-01-03T10:00,22.9,0.00,64,1000.6,7.8,10.3,34,36
2024-01-03T11:00,21.4,0.00,73,1000.5,6.5,14.0,19,26
2024-01-03T12:00,18.1,0.00,86,1000.5,8.6,14.3,33,39
2024-01-03T13:00,17.0,0.00,89,1001.0,6.0,14.5,33,48
2024-01-03T14:00,15.5,0.00,93,1001.2,9.0,12.6,53,59
2024-01-03T15:00,15.8,0.00,92,1002.0,7.1,16.4,41,50
2024-01-03T16:00,16.0,0.00,91,1002.5,6.6,16.8,41,48
2024-01-03T17:00,15.3,0.00,94,1002.5,5.2,13.6,56,50
2024-01-03T18:00,15.0,0.00,93,1002.3,5.2,9.3,106,62
2024-01-03T19:00,14.3,0.00,96,1002.0,5.4,7.9,143,90
2024-01-03T20:00,14.2,0.00,96,1001.7,5.8,8.1,120,103
2024-01-03T21:00,13.9,0.00,97,1001.7,5.5,8.3,67,92
2024-01-03T22:00,14.2,0.10,97,1001.6,3.0,4.8,346,77
2024-01-03T23:00,13.9,0.00,98,1001.5,5.4,7.9,20,51
2024-01-04T00:00,14.3,0.00,96,1002.4,3.6,6.1,45,40
2024-01-04T01:00,12.6,0.00,100,1003.3,6.1,8.6,87,57
2024-01-04T02:00,13.8,0.00,99,1004.5,4.4,6.5,145,93
2024-01-04T03:00,15.8,0.00,93,1005.6,2.2,5.9,180,142
