latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.413004,86.09968,45.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,10.3,0.00,99,1011.8,6.2,15.6,249,263
2024-01-01T01:00,10.6,0.00,99,1013.3,5.8,14.3,274,282
2024-01-01T02:00,11.1,0.00,98,1013.9,7.6,11.4,278,283
2024-01-01T03:00,12.4,0.00,93,1014.7,8.0,8.8,280,279
2024-01-01T04:00,14.6,0.00,86,1014.9,6.8,8.6,270,270
2024-01-01T05:00,16.4,0.00,78,1014.3,8.0,10.1,265,268
2024-01-01T06:00,17.9,0.00,70,1013.0,9.8,12.3,264,265
2024-01-01T07:00,18.9,0.00,65,1011.5,10.8,13.3,266,267
2024-01-01T08:00,19.6,0.00,62,1010.4,10.8,13.7,266,267
2024-01-01T09:00,19.8,0.00,59,1009.6,10.8,13.7,268,268
2024-01-01T10:00,19.5,0.00,60,1009.1,10.1,13.3,272,272
2024-01-01T11:00,17.7,0.00,70,1009.4,6.6,15.3,279,278
2024-01-01T12:00,15.1,0.00,81,1009.7,7.2,16.2,288,287
2024-01-01T13:00,12.7,0.00,88,1011.2,8.3,15.2,270,275
2024-01-01T14:00,12.7,0.00,86,1011.6,7.2,17.7,270,275
2024-01-01T15:00,12.5,0.00,87,1012.2,8.0,20.0,275,277
2024-01-01T16:00,11.8,0.00,90,1012.3,7.3,18.7,279,281
2024-01-01T17:00,11.3,0.00,91,1012.3,7.1,18.7,285,286
2024-01-01T18:00,11.0,0.00,92,1012.1,7.1,18.2,285,288
2024-01-01T19:00,10.7,0.00,93,1011.6,6.5,16.5,276,290
2024-01-01T20:00,10.4,0.00,94,1011.3,6.2,14.7,260,281
2024-01-01T21:00,10.2,0.00,95,1010.8,6.0,14.8,253,271
2024-01-01T22:00,10.0,0.00,96,1010.8,6.6,15.9,248,266
2024-01-01T23:00,9.8,0.00,96,1010.9,7.3,18.2,250,262
2024-01-02T00:00,9.6,0.00,96,1011.5,6.8,18.5,252,262
2024-01-02T01:00,9.4,0.00,97,1012.7,6.4,17.4,243,257
