latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.764498,84.70589,60.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,8.4,0.00,100,1010.0,7.6,14.1,265,283
2024-01-01T01:00,9.0,0.00,99,1011.6,5.6,14.0,285,305
2024-01-01T02:00,9.1,0.00,98,1012.2,5.1,13.3,274,308
2024-01-01T03:00,10.3,0.00,100,1013.0,4.4,10.5,279,301
2024-01-01T04:00,12.0,0.00,94,1013.3,4.7,8.9,274,291
2024-01-01T05:00,15.0,0.00,79,1012.9,5.1,6.8,266,273
2024-01-01T06:00,17.0,0.00,70,1011.6,5.8,7.2,266,270
2024-01-01T07:00,18.2,0.00,65,1009.9,6.1,7.9,267,270
2024-01-01T08:00,19.1,0.00,61,1008.8,7.3,8.7,261,263
2024-01-01T09:00,19.4,0.00,60,1008.1,7.3,9.1,261,263
2024-01-01T10:00,19.1,0.00,62,1007.6,8.0,10.1,260,264
2024-01-01T11:00,17.4,0.00,73,1007.8,5.2,12.1,254,260
2024-01-01T12:00,14.2,0.00,84,1008.0,10.1,14.2,253,261
2024-01-01T13:00,12.6,0.00,88,1009.4,8.1,15.7,257,261
2024-01-01T14:00,12.4,0.00,88,1010.0,7.5,18.3,253,260
2024-01-01T15:00,12.0,0.00,90,1010.6,7.9,19.8,267,272
2024-01-01T16:00,11.4,0.00,91,1010.5,7.6,20.3,295,293
2024-01-01T17:00,10.9,0.00,93,1010.2,7.1,20.4,315,312
2024-01-01T18:00,9.7,0.00,95,1009.9,11.2,17.4,339,330
2024-01-01T19:00,11.7,0.00,89,1009.6,6.2,11.8,7,348
2024-01-01T20:00,9.3,0.00,96,1009.7,4.8,3.7,207,281
2024-01-01T21:00,9.2,0.00,99,1009.2,6.0,6.8,213,238
2024-01-01T22:00,9.5,0.00,98,1009.4,6.6,11.8,221,232
2024-01-01T23:00,9.7,0.00,97,1009.4,6.7,15.1,234,242
2024-01-02T00:00,9.4,0.00,97,1009.8,6.1,14.5,242,251
2024-01-02T01:00,9.4,0.00,97,1010.7,6.2,15.8,249,258
2024-01-02T02:00,10.6,0.00,96,1011.3,6.3,14.4,257,266
2024-01-02T03:00,12.7,0.00,91,1012.1,6.5,14.4,270,274
2024-01-02T04:00,15.3,0.00,82,1012.4,5.6,12.2,285,284
2024-01-02T05:00,17.8,0.00,70,1011.9,6.6,8.6,292,292
2024-01-02T06:00,19.5,0.00,64,1010.7,7.1,8.9,311,310
2024-01-02T07:00,20.7,0.00,61,1009.3,7.9,9.7,321,321
2024-01-02T08:00,21.4,0.00,60,1008.2,7.7,9.7,323,321
2024-01-02T09:00,21.7,0.00,58,1007.5,7.9,10.2,317,318
2024-01-02T10:00,21.5,0.00,59,1007.2,7.4,10.0,309,311
2024-01-02T11:00,19.1,0.00,78,1007.1,7.1,10.2,300,302
2024-01-02T12:00,16.8,0.00,80,1007.6,8.6,10.4,303,304
2024-01-02T13:00,15.3,0.00,86,1008.9,10.1,12.2,287,289
2024-01-02T14:00,14.2,0.00,90,1009.2,10.0,12.1,285,293
2024-01-02T15:00,13.8,0.00,91,1009.5,9.3,11.7,306,304
2024-01-02T16:00,14.0,0.00,89,1009.8,7.9,10.4,336,314
2024-01-02T17:00,14.6,0.00,88,1009.7,6.1,8.8,360,325
2024-01-02T18:00,14.0,0.00,90,1009.6,5.9,8.6,14,338
2024-01-02T19:00,13.7,0.00,91,1009.6,5.4,8.4,360,340
2024-01-02T20:00,12.4,0.00,95,1009.3,6.5,8.6,19,360
2024-01-02T21:00,11.0,0.00,98,1009.1,8.2,11.0,38,23
2024-01-02T22:00,10.4,0.00,99,1009.1,9.0,12.5,61,46
2024-01-02T23:00,10.6,0.00,99,1009.1,8.2,11.8,67,59
2024-01-03T00:00,10.8,0.00,99,1009.5,7.7,11.3,62,63
2024-01-03T01:00,10.7,0.00,100,1010.6,7.2,10.6,63,62
2024-01-03T02:00,11.3,0.00,99,1011.0,5.2,9.1,106,81
2024-01-03T03:00,12.9,0.00,96,1011.9,4.7,9.7,99,92
2024-01-03T04:00,15.8,0.00,91,1012.2,3.3,8.4,103,100
2024-01-03T05:00,18.7,0.00,76,1011.9,2.2,3.3,99,103
2024-01-03T06:00,20.2,0.00,70,1010.8,2.5,2.9,82,83
2024-01-03T07:00,21.1,0.00,66,1009.4,2.5,2.9,360,360
2024-01-03T08:00,21.6,0.00,64,1008.2,6.8,7.9,335,336
2024-01-03T09:00,21.6,0.00,64,1007.3,6.9,8.7,332,336
2024-01-03T10:00,21.4,0.00,64,1007.1,6.0,7.6,327,329
2024-01-03T11:00,19.8,0.00,80,1007.0,4.5,6.9,284,298
2024-01-03T12:00,17.5,0.00,83,1007.1,7.1,7.2,285,297
2024-01-03T13:00,17.6,0.00,79,1007.6,4.8,4.3,297,275
