time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,9.0,97,0.00,1011.1,8.8,13.8,258,279
2024-01-01T01:00,9.7,100,0.00,1012.6,3.7,12.7,281,299
2024-01-01T02:00,10.5,99,0.00,1013.4,6.1,11.4,298,305
2024-01-01T03:00,11.6,96,0.00,1014.1,6.3,8.9,294,297
2024-01-01T04:00,13.5,89,0.00,1014.3,5.1,7.0,278,282
2024-01-01T05:00,15.8,78,0.00,1013.9,6.9,8.8,276,279
2024-01-01T06:00,17.4,69,0.00,1012.6,8.7,10.9,275,276
2024-01-01T07:00,18.4,64,0.00,1010.9,8.3,10.1,275,276
2024-01-01T08:00,19.2,61,0.00,1009.9,7.6,9.4,270,272
2024-01-01T09:00,19.5,61,0.00,1009.2,7.9,10.1,270,270
2024-01-01T10:00,19.3,61,0.00,1008.7,8.6,10.8,272,272
2024-01-01T11:00,17.6,71,0.00,1008.8,5.4,12.7,278,277
2024-01-01T12:00,14.5,82,0.00,1009.1,9.7,14.7,285,281
2024-01-01T13:00,12.2,88,0.00,1010.5,9.6,14.1,257,266
2024-01-01T14:00,12.1,88,0.00,1011.1,7.1,17.3,255,266
2024-01-01T15:00,11.9,88,0.00,1011.6,7.6,19.4,275,280
2024-01-01T16:00,11.8,89,0.00,1011.6,8.1,20.8,291,293
2024-01-01T17:00,10.9,92,0.00,1011.4,8.4,19.0,301,303
2024-01-01T18:00,10.7,92,0.00,1011.3,8.3,13.2,304,313
2024-01-01T19:00,12.1,89,0.00,1010.9,2.5,7.3,225,327
2024-01-01T20:00,9.0,96,0.00,1010.7,6.0,5.1,213,274
2024-01-01T21:00,9.1,95,0.00,1010.3,6.9,9.3,231,254
2024-01-01T22:00,9.2,95,0.00,1010.4,6.8,12.8,238,248
2024-01-01T23:00,9.4,95,0.00,1010.4,7.1,15.5,246,257
2024-01-02T00:00,9.5,94,0.00,1010.9,7.1,16.9,246,259
2024-01-02T01:00,9.7,95,0.00,1012.0,8.0,20.1,252,260
2024-01-02T02:00,10.7,93,0.00,1012.4,8.7,18.7,263,269
2024-01-02T03:00,13.1,87,0.00,1013.1,9.0,18.9,275,278
2024-01-02T04:00,15.7,80,0.00,1013.5,7.1,14.1,294,289
2024-01-02T05:00,18.0,71,0.00,1012.9,7.9,10.3,309,306
2024-01-02T06:00,19.6,64,0.00,1011.8,8.7,11.0,322,319
2024-01-02T07:00,20.7,62,0.00,1010.4,8.7,11.1,330,331
2024-01-02T08:00,21.3,61,0.00,1009.3,8.2,10.3,331,331
2024-01-02T09:00,21.6,60,0.00,1008.6,7.8,9.6,326,326
2024-01-02T10:00,21.4,61,0.00,1008.2,6.9,8.9,317,317
2024-01-02T11:00,19.1,79,0.00,1008.2,6.3,9.4,294,302
2024-01-02T12:00,16.3,84,0.00,1008.7,9.4,10.9,288,297
2024-01-02T13:00,16.0,84,0.00,1010.1,8.5,9.6,282,290
2024-01-02T14:00,16.3,81,0.00,1010.4,7.3,9.0,281,286
2024-01-02T15:00,16.7,79,0.00,1010.7,6.5,8.5,304,298
2024-01-02T16:00,16.2,82,0.00,1011.0,6.0,7.9,327,313
2024-01-02T17:00,15.5,85,0.00,1010.9,4.8,6.4,333,322
2024-01-02T18:00,15.1,87,0.00,1010.7,4.5,6.0,331,335
2024-01-02T19:00,14.7,89,0.00,1010.7,5.0,6.5,330,341
2024-01-02T20:00,12.8,95,0.00,1010.4,6.2,7.3,339,351
2024-01-02T21:00,12.8,95,0.00,1010.2,6.1,8.5,3,12
2024-01-02T22:00,13.3,96,0.00,1010.2,5.5,8.7,32,30
2024-01-02T23:00,11.9,99,0.00,1010.2,6.4,9.2,47,45
2024-01-03T00:00,11.4,100,0.00,1010.6,6.2,8.5,54,54
2024-01-03T01:00,11.1,100,0.00,1011.6,4.8,8.2,77,61
2024-01-03T02:00,12.0,99,0.00,1012.2,3.1,7.4,111,76
2024-01-03T03:00,13.4,97,0.00,1013.0,3.1,7.0,126,102
2024-01-03T04:00,15.7,97,0.00,1013.3,3.4,7.3,108,110
2024-01-03T05:00,16.9,92,0.00,1012.9,1.8,3.1,127,126
2024-01-03T06:00,19.3,79,0.00,1012.1,1.8,2.1,37,31
2024-01-03T07:00,20.8,70,0.00,1010.4,3.7,4.4,11,9
