Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,785.0,875.0,0.55,16.425,9.2,34.175,10.825,,1.2333333333333332,1.05,0.1,2.325,,2.4000000000000004,0.725,19.375,96.0,0.2,211.25,0.0,0.0,9.25,,
2023-01-01 01:00:00,660.5,850.0,0.575,14.875,8.35,33.05,10.45,,0.6666666666666666,1.0,0.1,2.3,,1.775,0.725,19.175,96.0,0.125,254.25,0.0,0.0,9.5,,
2023-01-01 02:00:00,604.75,726.0,0.65,14.15,8.049999999999999,32.775,10.45,,1.3333333333333333,0.875,0.1,2.15,,3.325,0.275,18.925,96.5,0.2,235.25,0.0,0.0,9.25,,
2023-01-01 03:00:00,408.0,490.5,0.8,8.9,5.375,25.575,10.375,,5.3,0.725,0.05,1.875,,1.925,0.2,19.525,97.25,0.425,149.75,0.0,0.0,8.75,,
2023-01-01 04:00:00,135.5,278.25,0.6,6.175,3.775,17.7,10.225,,9.2,0.55,0.0,1.5750000000000002,,1.85,0.125,19.45,98.0,0.45,160.25,0.0,0.0,9.0,,
2023-01-01 05:00:00,132.25,233.0,0.6749999999999999,5.075,3.25,13.0,10.15,,9.125,0.5,0.0,1.525,,1.825,0.1,19.45,98.5,0.5,151.5,0.0,0.0,8.75,,
2023-01-01 06:00:00,129.0,237.75,0.575,4.85,3.05,10.8,10.0,0.12,9.875,0.5,0.3249999999999999,1.425,,1.625,0.5333333333333333,19.75,99.0,0.5,143.25,0.0,0.0,9.75,,
2023-01-01 07:00:00,106.25,274.0,0.65,5.1,3.225,10.45,9.9,0.165,7.633333333333333,0.5,0.0,1.225,,0.975,1.3,20.35,,0.5,136.5,0.0,0.0,15.5,,
2023-01-01 08:00:00,182.75,346.5,0.6333333333333333,5.066666666666666,3.233333333333333,10.833333333333334,9.8,0.16,9.25,0.5,0.675,1.35,,1.125,1.0,20.8,,0.575,158.75,0.0,0.0,17.75,,
2023-01-01 09:00:00,197.0,422.25,0.6499999999999999,5.7,3.55,12.25,9.75,0.165,11.225,0.525,0.2,1.375,,0.825,0.575,21.275,,0.525,152.0,0.0,0.0,18.5,,
2023-01-01 10:00:00,252.0,553.25,0.6749999999999999,5.45,3.45,12.45,9.725,0.165,16.775,0.55,0.15,1.575,,1.0,0.575,22.025,,0.5,186.75,0.0,0.0,24.0,,
2023-01-01 11:00:00,327.0,617.75,0.525,5.1,3.125,12.0,9.675,0.13,17.9,0.5,0.1,1.075,,0.8,0.1,22.575,99.0,0.6,163.25,0.0,0.0,36.5,,
2023-01-01 12:00:00,509.25,698.25,0.5,4.5,2.8,11.4,9.675,0.13,35.975,0.5,0.0,1.175,,1.35,0.1,24.3,89.5,0.575,132.25,0.0,0.0,42.25,,
2023-01-01 13:00:00,566.0,631.0,0.6749999999999999,4.2,2.75,10.725,9.55,0.165,58.5,0.45,0.15,1.35,,1.075,0.4,26.325,71.75,0.6,180.0,0.0,0.0,35.5,,
2023-01-01 14:00:00,339.0,500.5,0.7,3.975,2.6500000000000004,9.975,9.5,0.175,76.675,0.4,0.225,1.25,,1.0750000000000002,2.2,26.725,66.0,0.6499999999999999,165.75,0.0,0.0,25.25,,
2023-01-01 15:00:00,380.25,445.0,0.625,4.275,2.8,9.825,9.4,0.16,81.425,0.4,0.725,1.3,,2.075,1.1,26.55,68.0,0.325,158.5,0.0,0.0,16.0,,
2023-01-01 16:00:00,362.0,468.5,0.6,5.75,3.55,11.55,9.475,0.155,26.275,0.4,0.9,1.375,,1.8,1.3333333333333333,25.0,77.25,0.15,133.5,0.0,0.0,9.0,,
2023-01-01 17:00:00,382.25,718.75,0.65,7.675,4.625,14.325,9.4,0.1625,3.325,0.475,0.175,1.875,,1.875,1.725,23.1,86.75,0.1,210.25,0.0,0.0,8.25,,
2023-01-01 18:00:00,,,0.6666666666666666,13.366666666666667,7.666666666666667,22.166666666666668,9.3,0.1733333333333333,1.05,0.6666666666666666,0.0333333333333333,2.3000000000000003,,3.0,0.2,22.366666666666664,91.0,0.1999999999999999,163.33333333333334,0.0,0.0,9.0,,
2023-01-01 19:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 20:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 21:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 22:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 23:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 10:00:00,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,
2023-01-02 11:00:00,,,0.2,5.1,1.45,,11.1,0.03,76.46666666666667,0.4,0.55,0.75,,1.3,0.7,22.7,97.0,0.9,153.0,0.0,0.0,20.33333333333333,,
2023-01-02 12:00:00,,,1.3,5.866666666666667,4.166666666666667,11.366666666666667,10.6,0.33,27.125,0.25,0.4499999999999999,0.2,,0.25,0.6000000000000001,23.825,86.75,0.75,183.0,0.0,0.0,21.75,,
2023-01-02 13:00:00,,,0.675,6.325,3.925,12.525,10.45,0.175,35.6,0.3,0.55,0.75,,0.475,0.625,24.05,81.5,0.8,186.25,0.0,0.0,17.75,,
2023-01-02 14:00:00,373.75,508.75,0.6499999999999999,5.25,3.325,12.0,10.85,0.165,46.3,0.3,0.525,0.625,,0.325,0.975,23.85,82.0,0.75,212.5,0.0,0.0,12.5,,
2023-01-02 15:00:00,313.75,417.0,0.625,4.7,3.0,10.275,10.15,0.1575,41.8,0.3,0.5,0.5,,0.525,0.775,23.425,84.0,0.8500000000000001,210.75,0.0,0.0,9.75,,
2023-01-02 16:00:00,301.75,401.0,0.725,4.675,3.05,9.975,10.05,0.18,36.175,0.3,0.55,0.6749999999999999,,0.925,0.5666666666666667,23.075,85.25,0.825,217.0,0.0,0.0,7.75,,
2023-01-02 17:00:00,320.0,441.0,0.625,4.75,3.05,10.0,9.975,0.1625,32.975,0.35,0.6,0.925,,1.025,1.05,22.85,86.25,0.625,205.5,0.0,0.0,7.5,,
2023-01-02 18:00:00,242.0,439.0,0.7,4.6,3.0,10.0,9.925,0.18,44.175,0.3,0.6,1.075,,0.85,1.725,22.6,84.0,0.6,160.5,0.0,0.0,8.0,,
2023-01-02 19:00:00,294.25,401.0,0.7,4.5,2.925,9.925,10.175,0.17,45.875,0.3,0.6,1.15,,0.85,1.75,22.325,84.25,0.625,189.0,0.0,0.0,7.75,,
2023-01-02 20:00:00,281.0,381.75,0.625,4.0,2.625,9.75,9.975,0.155,44.4,0.3,0.55,0.975,,0.6749999999999999,1.875,22.2,84.0,0.675,183.25,0.0,0.0,7.5,,
2023-01-02 21:00:00,177.25,358.5,0.7,3.6,2.5,9.45,9.575,0.1725,41.3,0.3,0.5,0.95,,0.6,1.75,21.975,85.0,0.575,221.75,0.0,0.0,7.5,,
2023-01-02 22:00:00,248.25,343.0,0.6,3.525,2.375,9.25,8.625,0.155,38.55,0.3,0.5,0.925,,0.6,1.7,21.625,87.0,0.5,169.0,0.0,0.0,7.75,,
2023-01-02 23:00:00,222.0,322.25,0.6499999999999999,3.3,2.3,9.15,8.733333333333334,0.1675,42.2,0.3,0.45,0.775,,0.6,1.65,21.425,88.25,0.625,152.5,0.0,0.0,7.75,,
2023-01-03 00:00:00,207.0,290.25,0.725,3.425,2.4,8.825000000000001,10.875,0.1825,32.625,0.3,0.425,0.8500000000000001,,0.6,1.75,21.25,89.75,0.8,141.5,0.0,0.0,8.0,,
2023-01-03 01:00:00,143.75,271.0,0.6499999999999999,3.7,2.5,8.850000000000001,10.825,0.165,33.05,0.3,0.425,0.9,,0.875,1.275,21.1,91.25,0.5,163.25,0.0,0.0,7.75,,
2023-01-03 02:00:00,158.75,200.25,0.725,3.8,2.6,8.7,10.75,0.1825,31.875,0.3,0.35,0.875,,0.55,1.725,20.925,91.25,0.5,181.5,0.0,0.0,8.0,,
2023-01-03 03:00:00,159.5,241.5,0.625,3.75,2.475,8.675,11.025,0.1575,35.25,0.3,0.425,0.875,,1.0750000000000002,1.1,20.825,92.25,0.575,207.25,0.0,0.0,8.0,,
2023-01-03 04:00:00,145.75,221.0,0.575,3.4,2.25,8.575,10.85,0.15,37.45,0.3,0.4,0.8,,0.5,1.525,20.75,92.75,0.575,208.5,0.0,0.0,8.0,,
