Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,66.96,149.28,3.02,15.58,10.4,12.62,9.02,0.65,26.93,1.12,2.7,0.35,,0.27,0.48,11.87,94.96,0.53,72.03,0.0,0.0,14.3,749.14,-0.26
2024-01-01 01:00:00,64.88,151.88,2.82,17.09,11.05,10.44,9.63,0.99,28.03,1.17,2.9,0.4,,0.29,0.64,12.14,95.63,0.62,137.26,0.0,0.0,14.46,749.14,-0.26
2024-01-01 02:00:00,54.37,129.22,2.89,16.52,10.8,8.13,9.88,1.23,33.0,1.14,3.06,0.42,,0.31,0.72,12.14,95.88,0.53,208.01,0.0,0.0,14.67,749.15,-0.26
2024-01-01 03:00:00,46.86,126.64,2.7,16.25,10.52,12.62,10.23,0.79,29.78,1.16,3.35,0.43,,0.45,0.7,12.06,96.22,0.6,203.01,0.0,0.0,14.66,749.14,-0.26
2024-01-01 04:00:00,45.36,116.58,2.94,16.43,10.81,12.46,10.48,0.76,29.47,1.15,3.3,0.45,,0.34,0.61,12.01,96.39,0.65,229.44,0.0,0.0,14.56,749.27,-0.26
2024-01-01 05:00:00,51.18,108.88,3.19,17.07,11.34,16.23,10.8,0.78,26.19,1.25,3.46,0.47,,0.46,0.56,11.87,96.39,0.71,218.26,0.0,0.0,14.74,749.4,-0.26
2024-01-01 06:00:00,83.49,71.5,2.88,16.65,10.89,14.16,9.48,1.04,29.25,1.2,3.13,0.41,,0.86,0.4,11.88,96.39,0.68,246.79,0.0,0.0,16.04,749.28,-0.26
2024-01-01 07:00:00,34.9,88.68,2.81,16.77,10.85,13.32,9.72,0.89,29.16,1.16,2.36,0.34,,0.64,0.22,11.95,96.48,0.73,264.82,0.0,0.0,23.35,749.44,-0.26
2024-01-01 08:00:00,37.12,86.55,3.41,17.04,11.5,12.0,9.49,1.07,31.12,1.16,2.32,0.31,,0.32,0.22,12.17,96.48,0.72,239.93,0.0,0.0,28.46,749.47,-0.26
2024-01-01 09:00:00,47.93,100.35,2.72,17.05,10.95,10.5,9.11,1.24,29.22,1.18,2.45,0.29,,0.37,0.22,12.35,96.48,0.67,215.65,0.0,0.0,38.94,749.52,-0.26
