Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,32.55,105.72,5.06,9.43,9.13,58.79,5.4,0.92,29.9,0.39,0.62,0.01,,0.14,0.04,13.04,99.1,0.12,227.51,0.0,0.0,8.7,756.92,
2024-01-01 01:00:00,32.38,99.7,5.05,9.45,9.14,58.24,5.34,0.95,22.54,0.38,0.59,0.01,,0.14,0.04,13.1,99.09,0.41,257.58,0.0,0.0,8.8,756.91,
2024-01-01 02:00:00,26.72,98.07,5.82,10.21,10.16,56.71,5.35,0.95,21.51,0.38,0.58,0.01,,0.13,0.04,12.77,99.06,0.32,255.99,0.0,0.0,8.8,756.88,
2024-01-01 03:00:00,25.9,98.18,5.43,9.83,9.64,55.98,5.14,0.92,26.22,0.36,0.57,0.01,,0.13,0.04,12.48,99.07,0.47,247.39,0.0,0.0,8.88,756.91,
2024-01-01 04:00:00,29.05,91.25,4.84,9.24,8.86,55.03,5.27,0.98,17.23,0.34,0.55,0.01,,0.13,0.04,12.4,99.06,0.5,255.28,0.0,0.0,8.78,756.94,
2024-01-01 05:00:00,28.32,86.78,4.97,9.43,9.06,55.12,5.08,0.97,14.2,0.34,0.55,0.01,,0.13,0.04,12.31,99.04,0.5,256.98,0.0,0.0,8.78,757.04,
2024-01-01 06:00:00,25.38,71.82,4.68,9.67,8.94,55.79,5.48,0.96,11.5,0.32,0.64,0.01,,0.13,0.05,12.1,99.03,0.7,256.24,0.0,0.0,12.18,757.15,
2024-01-01 07:00:00,26.85,65.1,3.92,8.83,7.88,55.22,5.34,0.94,13.23,0.35,0.61,0.01,,0.12,0.05,12.17,99.02,0.78,256.01,0.0,0.0,33.78,757.29,
2024-01-01 08:00:00,29.62,65.78,3.93,9.26,8.12,54.57,5.27,0.91,10.65,0.35,0.56,0.01,,0.11,0.04,12.57,99.0,0.79,257.26,0.0,0.0,72.88,757.43,
2024-01-01 09:00:00,35.38,69.05,3.81,9.75,8.28,54.36,5.1,0.93,18.87,0.38,0.55,0.01,,0.11,0.04,13.02,98.96,0.64,251.91,0.0,0.0,116.78,757.48,
2024-01-01 10:00:00,33.42,64.62,3.72,9.43,8.04,53.97,4.98,0.98,20.84,0.37,0.52,0.01,,0.11,0.04,14.28,98.18,0.43,271.5,0.0,0.0,234.95,757.36,
2024-01-01 11:00:00,38.48,63.4,3.8,9.61,8.2,53.5,4.96,0.97,18.24,0.36,0.52,0.01,,0.11,0.04,15.54,93.73,0.52,263.12,0.0,0.0,400.9,757.2,
2024-01-01 12:00:00,36.2,58.08,3.71,9.84,8.25,53.82,5.5,0.98,12.33,0.37,0.52,0.01,,0.12,0.03,16.14,92.01,0.46,265.29,0.0,0.0,309.5,757.02,
2024-01-01 13:00:00,27.5,61.0,3.6,10.23,8.38,55.0,5.09,0.96,12.11,0.37,0.54,0.01,,0.12,0.04,17.95,83.89,0.34,212.4,0.0,0.0,460.95,756.84,
2024-01-01 14:00:00,30.65,67.47,3.46,10.24,8.26,54.54,5.14,0.88,11.78,0.38,0.56,0.01,,0.14,0.04,18.5,81.12,0.29,267.2,0.0,0.0,328.52,756.7,
2024-01-01 15:00:00,39.65,66.28,3.17,9.92,7.86,54.88,5.49,0.9,13.64,0.39,0.56,0.01,,0.14,0.04,17.73,88.32,0.23,78.81,0.0,0.0,124.55,756.61,
2024-01-01 16:00:00,35.62,66.22,3.13,9.36,7.52,54.77,5.44,0.92,13.4,0.39,0.56,0.01,,0.15,0.04,16.15,97.92,0.09,91.37,0.0,0.0,31.5,756.62,
2024-01-01 17:00:00,38.48,86.6,2.86,9.25,7.25,54.48,5.44,0.99,12.26,0.4,0.48,0.01,,0.08,0.04,14.5,99.02,0.07,170.26,0.0,0.0,8.05,756.71,
2024-01-01 18:00:00,47.02,106.9,3.43,10.31,8.27,54.42,5.36,1.13,8.96,0.48,0.52,0.01,,0.08,0.04,13.54,99.08,0.08,110.3,0.0,0.0,7.68,756.81,
2024-01-01 19:00:00,51.18,119.68,4.39,11.57,9.72,54.04,5.21,1.28,9.91,0.55,0.61,0.01,,0.11,0.05,12.98,99.1,0.05,162.58,0.0,0.0,7.7,756.88,
2024-01-01 20:00:00,63.42,127.75,6.54,12.36,11.89,53.98,5.58,1.55,18.33,0.64,0.7,0.02,,0.12,0.06,12.15,99.13,0.13,121.37,0.0,0.0,7.8,756.9,
2024-01-01 21:00:00,77.92,134.32,9.16,11.88,13.76,54.06,5.58,1.96,19.7,0.8,0.84,0.02,,0.14,0.08,11.7,99.16,0.12,133.36,0.0,0.0,7.85,756.97,
2024-01-01 22:00:00,83.6,121.2,10.21,11.12,14.22,54.07,5.7,2.1,10.97,0.9,0.92,0.03,,0.14,0.1,11.45,99.16,0.16,142.16,0.0,0.0,7.85,756.98,
2024-01-01 23:00:00,78.6,97.93,8.9,10.23,12.68,55.75,5.73,2.02,9.9,0.89,0.93,0.03,,0.14,0.1,10.94,99.16,0.05,54.44,0.0,0.0,8.03,756.94,
2024-01-02 00:00:00,72.9,81.4,10.45,9.57,13.58,54.75,4.7,1.85,21.21,0.86,0.89,0.02,,0.14,0.09,10.52,99.18,0.11,163.84,0.0,0.0,8.0,756.86,
2024-01-02 01:00:00,,,11.23,10.29,14.6,53.58,4.15,1.76,13.65,0.83,0.87,0.02,,0.14,0.09,10.77,99.2,0.21,237.49,0.0,0.0,7.88,756.82,
2024-01-02 02:00:00,,,11.96,11.66,15.93,52.74,4.58,1.63,18.63,0.78,0.86,0.02,,0.13,0.1,10.83,99.2,0.3,237.07,0.0,0.0,7.95,756.76,
