Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,51.75,115.75,3.32,19.05,12.82,12.48,20.7,,28.1,0.2,0.5,0.0,,0.1,,13.65,90.0,1.35,241.25,0.0,0.0,44.25,,
2024-01-01 01:00:00,48.25,104.25,2.52,19.3,12.32,12.0,20.42,0.66,27.7,0.2,0.52,0.0,,0.1,,13.35,89.0,1.23,242.0,0.0,0.0,45.25,,
2024-01-01 02:00:00,58.25,112.0,2.58,19.25,12.32,11.8,20.27,,27.55,0.2,0.5,0.0,,0.1,,13.22,88.5,1.35,239.0,0.0,0.0,42.5,,
2024-01-01 03:00:00,78.25,138.0,2.85,18.98,12.4,11.12,19.12,,26.1,0.2,0.5,0.0,,0.1,,12.95,88.25,1.27,244.25,0.0,0.0,40.5,,
2024-01-01 04:00:00,73.0,132.0,3.12,17.75,12.02,10.92,17.25,0.62,23.75,0.2,0.5,0.0,,0.1,,12.75,88.0,1.1,249.25,0.0,0.0,40.75,,
2024-01-01 05:00:00,48.25,97.0,3.42,17.35,12.05,11.08,17.42,0.6,23.88,0.2,0.5,0.0,,0.1,,12.9,88.0,0.95,252.0,0.0,0.0,41.0,,
2024-01-01 06:00:00,53.0,101.25,3.88,17.23,12.3,11.02,17.8,0.6,24.45,0.2,0.5,0.0,,0.1,,12.85,88.0,1.1,262.5,0.0,0.0,41.5,,
2024-01-01 07:00:00,55.25,111.0,3.5,17.4,12.1,11.38,18.37,0.62,25.1,0.2,0.52,0.0,,0.1,,12.82,88.0,1.2,269.25,0.0,0.0,43.75,,
2024-01-01 08:00:00,62.25,127.5,2.67,17.97,11.73,11.47,21.1,0.58,28.5,0.2,0.5,0.0,,0.1,,12.92,87.5,1.3,248.5,0.0,0.0,46.25,,
2024-01-01 09:00:00,59.25,121.0,2.45,18.45,11.8,11.2,21.15,0.58,28.65,0.2,0.5,0.0,,0.1,,13.62,85.5,1.32,280.75,0.0,0.0,50.25,,
2024-01-01 10:00:00,60.25,117.75,2.55,19.38,12.38,11.75,20.48,0.58,27.82,0.2,0.5,0.0,,0.1,,14.25,83.75,1.45,249.75,0.0,0.0,50.5,,
2024-01-01 11:00:00,61.75,124.25,2.7,21.0,13.35,12.0,19.6,0.57,26.7,0.2,0.52,0.0,,0.1,,15.25,81.25,1.42,268.0,0.0,0.0,54.5,,
2024-01-01 12:00:00,64.0,134.0,3.62,21.35,14.28,12.6,15.7,0.58,21.78,0.2,0.6,0.0,,0.1,,16.38,77.5,1.58,231.0,0.0,0.0,55.5,,
2024-01-01 13:00:00,60.0,127.0,3.95,21.75,14.78,13.35,15.45,,21.45,0.2,0.6,0.0,,0.1,,17.8,73.75,1.48,256.0,0.0,0.0,57.75,,
2024-01-01 14:00:00,60.25,115.25,3.8,22.5,15.05,13.55,14.98,,20.85,0.2,0.6,0.0,,0.1,,18.12,73.25,1.4,250.75,0.0,0.0,46.75,,
2024-01-01 15:00:00,62.25,93.75,3.55,22.45,14.85,13.8,16.08,,22.25,0.2,0.65,0.0,,0.1,,17.4,75.75,1.23,247.0,0.0,0.0,28.75,,
2024-01-01 16:00:00,63.75,134.25,2.98,23.4,14.82,14.6,17.85,0.64,24.48,0.2,0.68,0.0,,0.1,,15.82,80.75,1.08,272.75,0.0,0.0,10.5,,
2024-01-01 17:00:00,68.5,144.5,2.85,23.22,14.7,14.62,18.88,0.67,25.78,0.2,0.65,0.0,,0.1,,14.32,85.25,1.0,282.0,0.0,0.0,8.75,,
2024-01-01 18:00:00,78.75,166.0,3.05,22.25,14.3,14.25,18.25,,24.98,0.2,0.65,0.0,,0.1,,13.4,87.5,0.88,272.25,0.0,0.0,8.5,,
