Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,55.25,110.25,2.35,15.72,10.25,13.68,36.4,0.34,12.75,0.1,0.15,0.0,,,0.1,9.5,83.75,1.98,273.75,0.0,0.0,63.0,,
2024-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 08:00:00,70.5,140.75,1.6,15.93,9.77,13.0,36.63,0.46,10.82,0.1,0.1,0.0,,,0.1,9.18,78.5,2.28,280.5,0.0,0.0,79.5,,
2024-01-01 09:00:00,89.0,178.5,2.2,15.8,10.2,13.55,35.5,0.45,12.75,0.1,0.1,0.0,,,0.1,9.55,74.25,2.9,280.0,0.0,0.0,92.0,,
2024-01-01 10:00:00,94.0,188.0,2.1,15.95,10.2,13.6,33.62,0.41,12.48,0.1,0.08,0.0,,,0.1,10.1,71.75,2.78,287.0,0.0,0.0,100.75,,
2024-01-01 11:00:00,100.75,201.0,2.92,15.85,10.82,14.38,30.78,0.36,16.1,0.1,0.18,0.0,,,0.15,10.38,70.25,2.97,288.0,0.0,0.0,110.25,,
2024-01-01 12:00:00,99.75,200.0,1.87,15.68,9.43,12.55,33.5,0.34,20.8,0.1,0.2,0.0,,,0.12,11.02,67.5,3.2,286.75,0.0,0.0,123.0,,
2024-01-01 13:00:00,99.25,199.25,1.33,15.6,9.07,12.08,38.55,0.39,22.2,0.1,0.12,0.0,,,0.1,11.68,66.5,2.88,280.25,0.0,0.0,110.0,,
2024-01-01 14:00:00,103.0,206.25,1.9,15.72,9.95,13.2,38.85,0.39,20.27,0.1,0.1,0.0,,,0.1,12.05,67.5,2.62,288.5,0.0,0.0,96.5,,
2024-01-01 15:00:00,103.0,207.0,1.32,16.0,9.6,12.75,35.7,0.36,17.0,0.1,0.1,0.0,,,0.1,22.9,67.75,2.33,282.33,0.0,0.0,80.0,,
2024-01-01 16:00:00,,,1.6,15.82,9.72,12.9,32.8,0.42,17.23,0.07,0.1,0.0,,,0.1,11.3,72.75,1.88,301.0,0.0,0.0,65.75,,
2024-01-01 17:00:00,,,1.55,15.95,9.75,13.0,33.6,0.62,18.8,0.1,0.2,0.0,,,,10.15,78.5,1.6,309.0,0.0,0.0,62.5,,
2024-01-01 18:00:00,,,1.95,15.82,10.0,13.28,34.78,0.79,6.08,0.1,0.2,0.0,,,0.15,9.43,81.25,1.23,302.0,0.0,0.0,62.25,,
2024-01-01 19:00:00,134.75,269.5,2.4,16.27,10.58,14.1,33.4,0.77,10.25,0.12,0.25,0.0,,,0.22,8.85,83.25,1.18,291.25,0.0,0.0,63.0,,
2024-01-01 20:00:00,121.25,242.0,1.88,16.38,10.25,13.62,32.22,0.8,13.35,0.2,0.3,0.0,,,0.38,8.65,85.75,1.15,282.25,0.0,0.0,62.75,,
2024-01-01 21:00:00,100.25,200.0,0.7,15.85,8.57,11.45,39.08,0.87,13.52,0.12,0.3,0.0,,0.1,0.18,8.57,88.0,1.3,281.25,0.0,0.0,64.0,,
2024-01-01 22:00:00,97.25,193.75,1.78,15.78,9.85,13.08,39.2,0.87,11.75,0.15,0.25,0.0,,,0.15,8.3,89.75,1.62,279.5,0.0,0.0,63.5,,
2024-01-01 23:00:00,79.25,158.5,2.08,16.02,10.22,13.58,38.8,0.8,11.08,0.1,0.2,0.0,,,0.1,7.68,90.5,1.72,268.75,0.0,0.0,63.25,,
2024-01-02 00:00:00,67.5,135.5,1.8,15.65,9.78,13.02,35.67,0.36,10.9,0.1,0.2,0.0,,,0.1,6.88,91.5,1.55,262.75,0.0,0.0,63.0,,
2024-01-02 01:00:00,59.0,118.25,1.72,16.1,9.98,13.22,31.8,0.38,11.18,0.12,0.2,0.0,,,0.1,6.48,92.25,1.62,268.25,0.0,0.0,63.5,,
2024-01-02 02:00:00,60.25,121.25,1.72,15.75,9.8,13.0,30.9,0.32,13.25,0.1,0.2,0.0,,,0.12,6.52,93.0,1.68,277.25,0.0,0.0,63.5,,
2024-01-02 03:00:00,64.75,130.25,1.95,15.62,9.93,13.18,30.58,0.24,15.0,0.1,0.2,0.0,,,0.18,6.42,93.0,1.65,273.5,0.0,0.0,63.75,,
2024-01-02 04:00:00,64.75,129.75,2.2,15.72,10.15,13.5,29.5,0.27,11.85,0.1,0.2,0.0,,,0.2,6.0,93.0,1.7,262.5,0.0,0.0,63.75,,
2024-01-02 05:00:00,59.25,118.75,1.35,15.65,9.43,12.52,32.65,0.33,14.65,0.1,0.2,0.0,,,0.15,6.1,92.75,1.75,274.25,0.0,0.0,63.5,,
2024-01-02 06:00:00,65.25,130.5,1.42,15.82,9.57,12.72,33.58,0.32,13.62,0.1,0.18,0.0,,,0.1,5.8,93.0,1.8,278.0,0.0,0.0,66.0,,
2024-01-02 07:00:00,65.25,131.5,1.68,15.92,9.85,13.08,33.17,0.34,13.37,0.1,0.15,0.0,,,0.1,5.9,93.0,1.92,278.0,0.0,0.0,78.25,,
2024-01-02 08:00:00,55.5,111.25,1.63,15.77,9.73,12.93,33.93,0.38,12.8,0.1,0.15,0.0,,,0.1,15.02,93.0,1.82,261.75,0.0,0.0,123.5,,
2024-01-02 09:00:00,68.0,135.75,1.9,16.0,10.05,13.35,31.1,0.43,20.72,0.1,0.15,0.0,,,0.1,9.7,90.25,2.33,280.25,0.0,0.0,151.75,,
2024-01-02 10:00:00,79.25,158.5,2.17,15.58,10.07,13.4,28.92,0.36,28.98,0.1,0.12,0.0,,,0.12,11.95,77.75,2.55,288.0,0.0,0.0,174.5,,
2024-01-02 11:00:00,79.75,158.75,2.3,15.88,10.32,13.72,26.5,0.34,51.02,0.1,0.2,0.0,,,0.18,14.95,66.0,2.3,294.25,0.0,0.0,180.75,,
2024-01-02 12:00:00,93.5,186.75,2.4,15.92,10.42,13.85,25.08,0.32,63.38,0.1,0.2,0.0,,,0.3,17.08,57.5,2.15,291.0,0.0,0.0,173.0,,
2024-01-02 13:00:00,73.25,146.75,1.85,16.23,8.62,11.48,30.75,0.38,71.68,0.1,0.2,0.0,,,0.3,18.58,49.75,2.17,300.25,0.0,0.0,149.0,,
2024-01-02 14:00:00,69.0,138.0,1.73,15.38,9.2,12.25,35.72,0.43,61.6,0.1,0.2,0.0,,,0.12,19.85,48.25,1.78,290.5,0.0,0.0,116.5,,
2024-01-02 15:00:00,73.0,145.25,1.65,15.85,9.8,13.02,36.02,0.42,55.95,0.1,0.12,0.0,,,0.15,19.75,49.5,1.42,279.0,0.0,0.0,86.0,,
2024-01-02 16:00:00,77.25,154.5,2.02,15.88,10.12,13.42,36.2,0.43,21.83,0.1,0.2,0.0,,,0.18,17.92,57.75,0.85,282.0,0.0,0.0,65.75,,
2024-01-02 17:00:00,108.25,216.5,1.88,16.2,10.15,13.5,35.3,0.71,10.45,0.1,0.3,0.0,,,0.25,14.73,75.0,0.95,279.75,0.0,0.0,62.5,,
2024-01-02 18:00:00,173.0,345.75,1.98,16.18,10.2,13.6,32.98,1.22,10.68,0.15,0.52,0.0,,0.1,0.42,13.0,81.5,0.98,279.75,0.0,0.0,62.75,,
2024-01-02 19:00:00,190.5,381.25,2.45,15.98,10.45,13.95,28.75,1.63,11.88,0.2,0.65,0.0,,,0.8,11.92,85.0,0.82,271.0,0.0,0.0,63.0,,
2024-01-02 20:00:00,162.25,324.25,2.28,16.15,10.42,13.88,28.0,0.89,12.28,0.2,0.8,0.0,,,0.78,11.25,87.0,0.82,273.0,0.0,0.0,63.0,,
2024-01-02 21:00:00,159.5,319.75,1.7,16.02,9.35,12.42,40.0,0.6,12.05,0.22,0.88,0.0,,0.22,0.92,10.35,88.0,0.82,281.5,0.0,0.0,63.75,,
2024-01-02 22:00:00,149.75,299.25,0.8,15.92,8.3,11.08,46.28,0.33,13.02,0.22,0.8,0.0,,0.2,0.35,9.93,88.75,0.78,265.5,0.0,0.0,63.5,,
2024-01-02 23:00:00,108.75,218.5,1.48,16.05,9.72,12.92,45.47,0.15,12.55,0.2,0.85,0.0,,,0.38,9.82,89.0,0.92,288.75,0.0,0.0,64.0,,
2024-01-03 00:00:00,97.25,195.25,1.55,15.72,9.62,12.8,37.92,0.19,10.82,0.2,0.75,0.0,,,0.32,9.52,89.75,0.82,283.0,0.0,0.0,63.75,,
