Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,35.5,,1.65,2.3,2.55,15.38,12.45,0.68,6.05,0.0,0.38,0.65,,,0.4,12.6,90.0,1.32,265.25,0.0,0.0,57.0,,
2024-01-01 01:00:00,38.25,,1.85,4.42,3.85,15.28,12.75,0.7,5.78,0.0,0.38,0.68,,,0.4,12.58,90.0,1.15,228.0,0.0,0.0,57.25,,
2024-01-01 02:00:00,39.25,,1.9,3.32,3.3,15.32,12.48,0.69,5.78,0.0,0.4,0.6,,,0.4,12.38,90.75,1.45,231.0,0.0,0.0,57.75,,
2024-01-01 03:00:00,36.5,,1.88,4.1,3.7,15.3,11.5,0.63,6.1,0.0,0.35,0.6,,,0.4,12.08,90.75,1.33,235.75,0.0,0.0,57.5,,
2024-01-01 04:00:00,34.0,,1.82,3.82,3.52,15.38,11.08,0.6,6.22,0.0,0.3,0.6,,,0.32,12.1,91.0,1.15,257.0,0.0,0.0,57.75,,
2024-01-01 05:00:00,29.5,,1.78,4.03,3.6,15.38,10.75,0.58,6.2,0.0,0.3,0.5,,,0.3,12.0,91.0,1.2,245.75,0.0,0.0,58.0,,
2024-01-01 06:00:00,27.75,,1.78,3.35,3.28,15.4,11.02,0.6,6.25,0.02,0.3,0.55,,,0.35,11.92,91.5,1.18,281.0,0.0,0.0,58.0,,
2024-01-01 07:00:00,28.25,,1.75,3.08,3.05,15.42,12.25,0.67,6.0,0.05,0.3,0.6,,,0.4,12.02,91.5,1.38,228.0,0.0,0.0,59.5,,
2024-01-01 08:00:00,32.75,,1.87,2.83,3.03,15.47,12.13,0.66,7.05,0.0,0.4,0.6,,,0.4,12.05,90.5,1.62,240.25,0.0,0.0,63.75,,
2024-01-01 09:00:00,33.75,,1.9,4.25,3.75,15.4,12.2,0.66,6.48,0.0,0.4,0.6,,,0.4,12.55,87.25,1.4,250.75,0.0,0.0,68.75,,
2024-01-01 10:00:00,30.75,,1.75,3.65,3.38,15.3,11.98,0.65,6.4,0.0,0.4,0.6,,,0.4,12.82,87.0,1.5,238.75,0.0,0.0,70.75,,
2024-01-01 11:00:00,33.25,,1.68,3.4,3.18,15.4,10.58,0.58,6.95,0.0,0.4,0.52,,,0.3,13.12,85.75,1.6,234.0,0.0,0.0,74.5,,
2024-01-01 12:00:00,33.75,67.75,1.88,4.62,4.0,15.42,10.17,0.56,7.55,0.0,0.38,0.5,,,0.3,13.58,84.0,1.7,230.25,0.0,0.0,77.5,,
2024-01-01 13:00:00,34.5,61.0,1.7,3.5,3.25,15.45,10.12,0.55,7.52,0.02,0.4,0.5,,,0.3,13.8,84.0,1.6,232.0,0.0,0.0,73.0,,
2024-01-01 14:00:00,40.25,69.5,1.6,4.08,3.5,15.4,11.08,0.6,7.88,0.0,0.4,0.55,,,0.35,14.02,83.0,1.52,237.5,0.0,0.0,73.75,,
2024-01-01 15:00:00,41.0,75.75,1.85,4.8,4.03,15.45,11.48,0.63,7.25,0.05,0.4,0.6,,,0.4,14.08,82.5,1.25,245.75,0.0,0.0,69.75,,
2024-01-01 16:00:00,42.5,79.25,1.95,4.12,3.8,15.28,11.28,0.62,6.58,0.02,0.4,0.6,,,0.4,13.6,85.0,1.03,281.75,0.0,0.0,60.5,,
2024-01-01 17:00:00,47.75,78.75,1.8,2.9,3.0,15.32,11.3,0.62,6.28,0.02,0.43,0.6,,,0.4,12.52,88.5,0.82,173.5,0.0,0.0,57.25,,
2024-01-01 18:00:00,47.5,73.5,1.8,2.92,3.02,15.28,11.1,0.6,6.25,0.05,0.4,0.57,,0.1,0.35,12.08,91.0,0.85,344.0,0.0,0.0,57.75,,
2024-01-01 19:00:00,51.25,79.75,1.88,2.8,3.0,15.35,9.93,0.55,6.05,0.1,0.4,0.5,,,0.3,11.95,92.0,0.95,264.0,0.0,0.0,57.75,,
2024-01-01 20:00:00,57.25,101.75,1.92,3.48,3.4,15.38,9.62,0.53,5.9,0.1,0.43,0.5,,0.1,0.3,11.5,92.0,0.78,266.25,0.0,0.0,58.0,,
2024-01-01 21:00:00,63.0,113.75,1.9,3.72,3.58,15.42,9.55,0.52,6.07,0.08,0.4,0.5,,0.1,0.3,11.15,92.0,0.75,185.0,0.0,0.0,58.0,,
2024-01-01 22:00:00,67.75,123.25,1.78,4.03,3.55,15.38,10.88,0.6,6.25,0.05,0.5,0.57,,0.1,0.35,10.62,92.0,0.92,200.75,0.0,0.0,57.25,,
2024-01-01 23:00:00,71.5,131.25,1.75,4.32,3.75,15.52,11.27,0.62,6.02,0.02,0.5,0.6,,0.1,0.4,10.55,92.0,1.05,233.25,0.0,0.0,57.25,,
2024-01-02 00:00:00,59.75,104.75,1.9,3.78,3.55,15.38,12.45,0.68,5.82,0.0,0.5,0.6,,,0.4,9.95,92.0,0.88,201.25,0.0,0.0,57.0,,
2024-01-02 01:00:00,48.75,81.5,1.92,4.08,3.7,15.4,12.72,0.7,5.98,0.02,0.5,0.68,,,0.4,9.18,92.0,1.15,155.75,0.0,0.0,57.75,,
2024-01-02 02:00:00,36.0,54.25,1.85,3.95,3.6,15.3,11.95,0.65,5.35,0.02,0.5,0.62,,,0.4,9.02,92.0,1.02,218.75,0.0,0.0,57.5,,
2024-01-02 03:00:00,32.25,53.5,1.98,2.58,2.98,15.42,10.98,0.6,6.02,0.0,0.5,0.57,,,0.32,8.88,92.0,1.08,227.25,0.0,0.0,58.0,,
2024-01-02 04:00:00,32.0,62.0,1.9,3.75,3.52,15.4,10.82,0.6,6.68,0.02,0.48,0.5,,,0.3,8.95,92.0,1.27,244.0,0.0,0.0,58.0,,
2024-01-02 05:00:00,39.25,71.5,1.88,4.82,4.1,15.42,10.9,0.59,6.58,0.02,0.48,0.52,,,0.32,9.18,92.0,1.12,248.75,0.0,0.0,57.75,,
2024-01-02 06:00:00,36.5,75.5,1.88,4.22,3.78,15.48,12.42,0.68,6.6,0.05,0.48,0.6,,,0.4,9.43,92.0,1.2,251.75,0.0,0.0,59.25,,
2024-01-02 07:00:00,38.75,66.75,1.8,3.05,3.1,15.38,12.32,0.68,6.3,0.0,0.5,0.6,,,0.4,9.72,92.0,1.2,230.75,0.0,0.0,69.0,,
2024-01-02 08:00:00,41.0,74.0,1.9,4.9,4.2,15.5,12.2,0.66,7.2,0.0,0.5,0.6,,,0.4,10.77,92.0,1.1,294.0,0.0,0.0,77.0,,
2024-01-02 09:00:00,,,,,,,,,6.65,0.0,0.4,,,0.4,,11.45,92.0,1.1,324.0,0.0,0.0,77.5,,
2024-01-02 10:00:00,,,1.87,4.03,3.67,14.4,9.8,0.53,7.0,0.0,0.5,0.45,,,0.3,12.95,92.0,1.2,245.0,0.0,0.0,86.0,,
2024-01-02 11:00:00,,,1.78,3.78,3.42,14.1,9.62,0.53,7.28,0.0,0.5,0.48,,,0.3,14.28,90.0,1.38,234.0,0.0,0.0,88.25,,
