Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,89.88,208.48,10.2,37.39,30.56,20.54,10.15,1.47,9.69,6.91,,,,,,16.12,84.63,0.18,189.34,0.0,0.0,28.96,,
2024-01-01 01:00:00,94.55,216.07,10.86,34.4,29.35,20.71,12.8,1.61,10.44,7.0,,,,,,15.59,87.69,0.27,235.99,0.0,0.0,28.86,,
2024-01-01 02:00:00,95.42,210.99,10.05,27.87,25.03,21.06,14.91,1.52,11.83,7.04,,,,,,14.92,90.38,0.23,82.14,0.0,0.0,28.94,,
2024-01-01 03:00:00,88.61,186.47,11.62,22.61,23.97,21.13,10.48,1.3,11.75,6.96,,,,,,14.67,90.81,0.22,147.84,0.0,0.0,29.11,,
2024-01-01 04:00:00,83.17,172.65,10.01,21.76,22.07,21.17,13.66,0.98,13.34,7.32,,,,,,14.94,90.5,0.36,40.91,0.0,0.0,29.12,,
2024-01-01 05:00:00,77.89,158.98,8.73,21.08,20.63,21.26,12.78,0.89,12.95,7.46,,,,,,14.7,91.72,0.42,43.07,0.0,0.0,29.08,,
2024-01-01 06:00:00,76.43,149.38,8.08,22.45,20.77,21.24,14.04,0.83,11.15,7.56,,,,,,14.64,91.52,0.5,51.92,0.0,0.0,34.16,,
2024-01-01 07:00:00,66.78,141.65,8.44,27.08,23.34,21.03,14.58,0.89,10.25,7.84,,,,,,15.58,88.35,0.64,67.28,0.0,0.0,85.65,,
2024-01-01 08:00:00,69.49,151.18,11.62,31.72,28.35,20.62,30.3,1.19,10.68,7.82,,,,,,18.09,77.47,0.76,72.68,0.0,0.0,183.9,,
2024-01-01 09:00:00,85.92,183.26,11.53,30.84,27.95,20.85,38.49,1.23,13.39,7.48,,,,,,21.38,62.98,0.82,78.16,0.0,0.0,343.6,,
2024-01-01 10:00:00,92.17,200.4,7.92,24.13,21.56,21.05,28.54,1.09,20.15,7.07,,,,,,23.72,54.7,0.55,143.0,0.0,0.0,439.18,,
2024-01-01 11:00:00,83.91,185.4,6.08,23.4,19.62,21.03,34.66,0.99,25.34,4.54,,,,,,25.28,48.96,0.54,154.65,0.0,0.0,501.57,,
2024-01-01 12:00:00,76.23,160.09,4.1,26.12,19.28,21.15,47.99,1.09,28.52,4.25,,,,,,26.4,45.44,0.6,201.18,0.0,0.0,484.28,,
2024-01-01 13:00:00,77.46,145.18,3.21,22.94,16.84,21.38,41.38,1.1,29.27,3.9,,,,,,27.16,41.18,0.54,69.84,0.0,0.0,355.24,,
2024-01-01 14:00:00,71.99,138.29,2.3,27.42,16.84,28.1,36.29,1.16,28.8,5.17,,,,,,27.03,41.41,0.43,93.13,0.0,0.0,251.5,,
2024-01-01 15:00:00,69.79,133.38,9.53,22.16,22.79,21.83,22.53,1.19,29.45,4.83,,,,,,26.27,42.64,0.62,84.98,0.0,0.0,167.58,,
2024-01-01 16:00:00,64.17,128.48,4.56,22.09,17.76,21.85,28.34,0.79,25.31,3.16,,,,,,24.49,48.88,0.39,39.34,0.0,0.0,69.4,,
2024-01-01 17:00:00,62.38,127.2,4.84,21.47,17.68,21.62,21.67,0.81,22.85,3.11,,,,,,21.75,59.64,0.29,68.25,0.0,0.0,30.65,,
2024-01-01 18:00:00,62.82,137.74,4.25,22.19,17.4,21.53,13.11,0.89,18.59,3.13,,,,,,19.76,67.26,0.26,50.6,0.0,0.0,27.59,,
2024-01-01 19:00:00,65.71,142.82,4.61,21.68,17.4,21.59,16.5,1.03,17.65,3.19,,,,,,19.43,68.5,0.36,61.51,0.0,0.0,27.26,,
2024-01-01 20:00:00,58.09,147.04,9.5,23.94,23.34,21.63,15.77,1.18,15.89,3.33,,,,,,18.4,73.51,0.22,77.58,0.0,0.0,27.61,,
2024-01-01 21:00:00,52.18,157.69,7.05,34.66,26.43,21.25,11.17,1.15,12.39,3.57,,,,,,17.44,78.77,0.22,141.9,0.0,0.0,27.66,,
2024-01-01 22:00:00,48.16,162.1,7.27,35.07,27.01,21.04,15.65,1.14,11.7,3.58,,,,,,16.72,82.55,0.27,88.82,0.0,0.0,27.58,,
2024-01-01 23:00:00,48.07,161.59,8.16,34.47,28.6,20.91,12.03,1.1,10.31,3.59,,,,,,16.45,83.85,0.17,136.21,0.0,0.0,27.39,,
2024-01-02 00:00:00,50.89,155.19,7.36,30.45,24.05,21.06,12.62,1.28,12.68,3.58,,,,,,16.0,85.32,0.22,183.33,0.0,0.0,27.48,,
2024-01-02 01:00:00,50.53,152.5,7.69,26.69,22.31,21.01,16.36,1.46,11.38,3.66,,,,,,15.48,87.18,0.25,203.8,0.0,0.0,27.23,,
2024-01-02 02:00:00,52.42,154.74,11.48,27.87,26.67,20.87,14.14,1.48,9.99,4.02,,,,,,14.9,89.82,0.22,184.59,0.0,0.0,27.31,,
2024-01-02 03:00:00,57.39,164.35,8.87,24.74,22.49,20.99,11.97,1.21,10.65,4.35,,,,,,14.54,91.9,0.3,121.48,0.0,0.0,27.33,,
2024-01-02 04:00:00,54.98,155.46,8.64,20.99,20.33,21.32,10.51,1.03,11.58,4.64,,,,,,14.34,91.92,0.22,149.23,0.0,0.0,27.48,,
2024-01-02 05:00:00,45.45,141.63,7.8,20.8,19.4,21.39,11.12,0.92,10.47,5.14,,,,,,13.98,93.01,0.32,79.59,0.0,0.0,27.57,,
2024-01-02 06:00:00,45.0,132.99,8.13,22.1,20.3,21.33,13.23,0.96,11.37,4.99,,,,,,14.05,92.84,0.28,87.55,0.0,0.0,32.96,,
2024-01-02 07:00:00,46.81,134.91,16.54,23.22,28.97,21.05,9.71,1.16,10.74,4.63,,,,,,15.45,90.85,0.28,105.56,0.0,0.0,85.92,,
2024-01-02 08:00:00,55.94,136.18,13.13,28.55,28.04,20.52,23.98,1.09,11.44,4.49,,,,,,18.21,78.47,0.74,72.48,0.0,0.0,185.08,,
2024-01-02 09:00:00,59.39,132.77,9.5,25.05,23.12,20.88,36.26,0.97,16.09,4.36,,,,,,21.26,65.79,0.56,105.26,0.0,0.0,345.35,,
2024-01-02 10:00:00,62.23,178.35,7.79,20.26,19.29,21.41,28.68,0.84,20.7,4.29,,,,,,23.35,56.69,0.66,181.03,0.0,0.0,452.08,,
