Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,62.37,93.1,2.36,12.23,9.16,6.91,8.18,0.75,18.41,,,,,,,14.34,96.61,0.71,215.85,0.0,0.0,6.28,,
2024-01-01 01:00:00,57.03,78.04,2.3,11.85,8.91,6.92,7.8,0.75,17.33,,,,,,,13.85,96.1,0.49,224.13,0.0,0.0,6.05,,
2024-01-01 02:00:00,53.67,75.96,2.34,10.35,8.15,6.99,7.41,0.68,13.79,,,,,,,13.06,96.42,0.71,218.44,0.0,0.0,6.12,,
2024-01-01 03:00:00,49.2,63.47,2.34,8.98,7.43,7.11,7.34,0.56,16.7,,,,,,,12.65,96.02,0.81,217.0,0.0,0.0,6.05,,
2024-01-01 04:00:00,48.0,60.0,2.33,8.84,7.35,7.04,7.33,0.53,17.29,,,,,,,12.51,95.52,0.8,216.34,0.0,0.0,6.08,,
2024-01-01 05:00:00,42.0,46.35,2.49,10.1,7.98,6.92,7.31,0.54,16.66,,,,,,,12.23,95.2,0.66,217.29,0.0,0.0,5.95,,
2024-01-01 06:00:00,37.38,43.86,3.15,15.27,11.0,6.62,7.33,0.62,13.75,,,,,,,12.09,94.88,0.7,212.88,0.0,0.0,8.85,,
2024-01-01 07:00:00,36.67,47.56,3.5,13.73,10.86,6.65,7.24,0.57,13.86,,,,,,,12.8,94.69,0.48,193.23,0.0,0.0,69.03,,
2024-01-01 08:00:00,38.2,49.99,2.97,12.13,9.59,6.8,8.4,0.5,22.58,,,,,,,15.64,87.02,0.48,187.41,0.0,0.0,152.78,,
2024-01-01 09:00:00,35.61,51.02,2.71,13.64,10.18,6.7,10.73,0.5,41.08,,,,,,,19.3,72.24,0.48,192.24,0.0,0.0,155.68,,
2024-01-01 10:00:00,33.96,50.61,2.31,10.55,8.24,6.49,11.57,0.44,70.1,,,,,,,22.64,53.48,0.42,165.48,0.0,0.0,175.15,,
2024-01-01 11:00:00,30.99,53.41,2.3,14.1,10.09,5.89,11.43,0.46,80.21,,,,,,,24.47,48.3,0.72,180.85,0.0,0.0,228.72,,
2024-01-01 12:00:00,35.09,53.27,2.08,9.62,7.57,5.74,12.3,0.43,84.26,,,,,,,25.78,43.47,0.97,165.78,0.0,0.0,557.65,,
2024-01-01 13:00:00,30.57,56.22,2.08,9.67,7.59,5.36,12.22,0.4,89.15,,,,,,,26.59,39.58,0.71,172.5,0.0,0.0,503.52,,
2024-01-01 14:00:00,33.08,58.49,2.0,10.13,7.77,5.25,11.19,0.42,93.38,,,,,,,26.7,40.28,0.69,184.97,0.0,0.0,376.38,,
2024-01-01 15:00:00,32.77,57.08,2.02,12.26,8.9,5.33,12.74,0.47,92.17,,,,,,,26.05,43.9,0.67,154.86,0.0,0.0,156.2,,
2024-01-01 16:00:00,31.86,57.14,2.38,21.36,14.05,5.03,12.31,0.74,70.55,,,,,,,24.21,54.1,0.18,224.54,0.0,0.0,52.45,,
2024-01-01 17:00:00,34.99,62.1,4.84,48.76,31.26,3.05,9.9,0.94,28.82,,,,,,,20.02,77.76,0.29,180.75,0.0,0.0,8.05,,
