latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.390158,73.13664,39.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,16.6,94,0.00,1009.2,7.4,14,17.2,33
2024-01-01T01:00,16.7,92,0.00,1009.8,7.7,28,18.1,43
2024-01-01T02:00,16.5,93,0.00,1010.3,8.4,25,19.4,40
2024-01-01T03:00,18.2,86,0.00,1010.9,10.5,27,19.9,41
2024-01-01T04:00,20.7,78,0.00,1011.6,8.4,31,13.2,35
2024-01-01T05:00,23.4,69,0.00,1011.7,7.9,24,10.6,28
2024-01-01T06:00,25.8,61,0.00,1011.1,7.3,20,9.4,23
2024-01-01T07:00,27.4,54,0.00,1009.9,6.8,3,8.3,2
2024-01-01T08:00,28.3,47,0.00,1008.6,7.9,344,9.7,345
2024-01-01T09:00,28.7,44,0.00,1007.9,7.3,340,8.9,339
2024-01-01T10:00,28.7,43,0.00,1007.5,6.4,333,8.0,333
2024-01-01T11:00,28.3,44,0.00,1007.2,7.0,339,8.7,336
2024-01-01T12:00,26.2,54,0.00,1007.3,5.5,349,12.4,350
2024-01-01T13:00,23.4,65,0.00,1008.5,6.9,351,15.6,353
2024-01-01T14:00,22.3,66,0.00,1009.3,7.9,344,18.2,346
2024-01-01T15:00,21.4,68,0.00,1009.7,8.5,348,19.8,348
2024-01-01T16:00,20.3,73,0.00,1010.2,7.9,3,19.5,4
2024-01-01T17:00,19.4,79,0.00,1010.3,7.9,16,19.3,24
2024-01-01T18:00,19.1,85,0.00,1010.1,8.3,34,21.1,43
2024-01-01T19:00,18.4,91,0.00,1009.7,7.3,33,19.1,43
2024-01-01T20:00,17.9,93,0.00,1009.5,7.9,16,19.1,32
2024-01-01T21:00,17.5,94,0.00,1009.3,8.2,23,20.2,35
2024-01-01T22:00,17.1,94,0.00,1008.7,9.4,23,21.1,33
2024-01-01T23:00,16.8,95,0.00,1008.6,9.6,20,21.4,29
2024-01-02T00:00,16.4,96,0.00,1008.7,9.2,21,20.6,29
2024-01-02T01:00,16.8,97,0.00,1009.4,9.5,29,20.3,37
2024-01-02T02:00,16.7,97,0.00,1009.8,9.0,29,19.5,39
2024-01-02T03:00,18.1,92,0.00,1010.5,10.9,17,21.6,33
2024-01-02T04:00,20.4,82,0.00,1010.9,10.0,26,14.0,29
2024-01-02T05:00,22.8,73,0.00,1010.8,8.6,22,11.1,25
2024-01-02T06:00,25.0,66,0.00,1010.0,6.5,19,8.1,21
2024-01-02T07:00,26.6,61,0.00,1008.5,5.4,360,6.5,360
