Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,76.69,149.37,5.92,13.36,18.25,17.6,2.93,0.67,12.49,2.91,7.1,2.03,,0.37,1.04,20.56,68.2,0.54,155.03,0.0,0.0,4.0,1001.0,0.97
2024-01-01 01:00:00,73.7,141.64,6.36,13.02,18.56,17.22,2.93,0.62,10.7,2.32,4.61,1.04,,0.34,1.0,20.28,70.27,0.38,187.69,0.0,0.0,4.0,1001.0,0.96
2024-01-01 02:00:00,75.09,142.72,6.21,13.55,18.21,17.26,2.87,0.62,9.92,1.54,6.91,0.84,,0.24,1.03,19.94,72.19,0.4,176.28,0.0,0.0,4.0,1001.0,0.94
2024-01-01 03:00:00,69.18,134.46,6.31,12.52,17.82,17.03,2.76,0.57,9.99,2.29,5.66,0.92,,0.33,0.94,19.74,72.07,0.27,164.33,0.0,0.0,4.0,1001.0,0.93
2024-01-01 04:00:00,67.55,130.85,6.1,11.48,17.51,17.07,2.95,0.53,12.56,1.88,5.5,1.05,,0.41,1.08,19.79,67.94,0.28,158.78,0.0,0.0,4.0,1001.0,0.93
2024-01-01 05:00:00,72.86,135.61,5.92,10.46,16.72,16.87,2.92,0.48,13.41,1.8,3.59,0.49,,0.22,0.67,19.79,67.69,0.32,151.41,0.0,0.0,4.0,1001.0,0.94
2024-01-01 06:00:00,72.5,137.95,6.08,11.08,17.14,17.12,3.04,0.52,12.05,1.58,4.92,1.11,,0.42,0.68,19.8,66.4,0.43,151.28,0.0,0.0,4.0,1001.0,0.92
2024-01-01 07:00:00,74.32,142.76,5.87,10.41,16.64,16.87,2.95,0.55,12.48,1.92,5.4,0.46,,0.25,0.67,19.82,65.62,0.45,155.37,0.0,0.0,10.01,1001.0,0.93
2024-01-01 08:00:00,79.14,147.7,6.06,10.54,16.89,17.18,2.95,0.57,12.75,2.08,5.78,0.36,,0.21,0.72,20.38,62.97,0.48,165.35,0.0,0.0,46.57,1001.0,0.94
2024-01-01 09:00:00,74.74,136.67,5.95,10.5,16.79,16.85,3.06,0.55,14.19,1.76,5.46,0.24,,0.25,0.91,21.48,59.45,0.6,172.28,0.0,0.0,108.03,1001.0,0.96
2024-01-01 10:00:00,89.77,164.94,5.97,10.17,16.54,17.06,2.94,0.56,16.98,1.56,5.33,0.29,,0.27,0.92,22.74,57.69,0.52,175.29,0.0,0.0,178.4,1001.0,0.99
2024-01-01 11:00:00,89.2,162.27,6.03,10.03,15.18,17.14,3.04,0.53,21.45,1.82,5.68,0.64,,0.32,0.7,23.98,55.74,0.47,167.31,0.0,0.0,240.41,1001.0,1.02
2024-01-01 12:00:00,82.64,160.46,5.83,9.89,16.26,16.7,3.29,0.53,24.87,1.35,4.73,1.02,,0.25,0.74,25.15,54.76,0.44,178.11,0.0,0.0,275.88,1001.0,1.04
2024-01-01 13:00:00,70.41,142.31,5.86,11.16,16.72,16.86,3.12,0.46,27.78,1.71,6.44,0.96,,0.45,0.95,25.92,53.21,0.73,218.49,0.0,0.0,261.18,1001.0,1.06
2024-01-01 14:00:00,69.03,140.63,5.81,11.46,16.8,16.8,2.96,0.41,28.54,1.48,5.04,0.89,,0.45,0.87,26.49,50.19,0.67,217.11,0.0,0.0,206.95,1001.0,1.07
2024-01-01 15:00:00,64.32,131.58,5.71,10.84,16.42,16.07,3.08,0.43,28.27,1.37,4.24,0.59,,0.28,0.73,26.56,49.02,0.56,206.66,0.0,0.0,139.46,1001.0,1.07
2024-01-01 16:00:00,63.83,130.94,5.6,10.41,16.13,16.26,2.94,0.43,26.27,1.12,3.92,0.44,,0.35,0.74,26.14,49.02,0.56,214.4,0.0,0.0,68.28,1001.0,1.07
2024-01-01 17:00:00,84.69,162.16,5.81,10.38,16.34,16.95,2.98,0.48,23.65,0.73,3.22,0.78,,0.3,0.93,25.16,51.93,0.55,208.71,0.0,0.0,22.0,1001.0,1.05
2024-01-01 18:00:00,98.42,192.57,5.99,12.76,17.74,18.02,2.9,0.72,16.3,1.89,7.53,2.76,,0.78,1.54,23.87,59.24,0.29,211.57,0.0,0.0,4.26,1001.0,1.03
2024-01-01 19:00:00,91.33,186.68,10.49,17.44,24.77,16.44,3.17,1.28,9.67,3.74,15.51,6.46,,1.15,2.6,22.98,63.41,0.33,185.88,0.0,0.0,4.0,1001.0,1.02
2024-01-01 20:00:00,91.81,184.6,11.67,19.35,26.8,16.4,3.12,1.46,8.3,4.56,15.57,8.95,,1.44,3.33,22.47,65.92,0.38,200.14,0.0,0.0,4.0,1001.0,1.01
2024-01-01 21:00:00,74.22,153.22,6.59,16.72,20.39,18.17,2.99,0.93,11.36,4.6,14.02,8.8,,1.23,3.47,22.36,64.59,0.28,200.15,0.0,0.0,4.0,1001.0,0.99
2024-01-01 22:00:00,62.16,128.47,5.78,11.58,17.32,17.36,2.82,0.59,16.82,1.95,7.74,5.96,,0.71,1.91,21.99,62.53,0.31,188.42,0.0,0.0,4.0,1001.0,0.98
2024-01-01 23:00:00,68.05,135.59,5.65,10.84,16.79,17.43,2.72,0.52,16.13,1.49,3.1,1.88,,0.31,0.81,21.46,62.1,0.44,176.32,0.0,0.0,4.0,1001.0,0.96
2024-01-02 00:00:00,69.61,138.35,5.93,9.93,16.52,16.86,2.72,0.56,15.86,1.16,2.99,0.24,,0.28,0.52,20.88,63.78,0.4,181.35,0.0,0.0,4.0,1001.0,0.94
2024-01-02 01:00:00,61.71,125.12,5.73,9.47,16.03,16.86,2.64,0.53,15.83,0.94,2.91,0.74,,0.4,0.66,20.49,64.2,0.48,191.89,0.0,0.0,4.0,1001.0,0.94
2024-01-02 02:00:00,61.81,126.27,6.19,9.29,16.42,17.24,2.71,0.56,14.23,1.51,2.78,0.72,,0.4,0.59,20.16,65.04,0.46,190.78,0.0,0.0,4.0,1001.0,0.93
2024-01-02 03:00:00,60.82,130.97,5.9,9.44,16.2,16.65,2.65,0.54,13.68,1.25,2.88,0.18,,0.29,0.67,19.89,65.18,0.46,168.48,0.0,0.0,4.0,1001.0,0.92
2024-01-02 04:00:00,61.27,125.97,5.66,9.24,15.81,16.91,2.86,0.52,13.66,0.7,2.9,0.19,,0.3,0.72,19.64,64.14,0.45,150.29,0.0,0.0,4.0,1001.0,0.92
2024-01-02 05:00:00,54.67,108.3,5.85,9.49,16.08,16.76,2.92,0.54,13.47,1.06,2.86,0.16,,0.28,0.55,19.48,65.39,0.45,171.81,0.0,0.0,4.0,1001.0,0.91
2024-01-02 06:00:00,56.69,112.56,5.9,9.6,16.13,16.34,2.99,0.55,13.46,1.09,3.02,0.14,,0.27,0.52,19.33,65.31,0.53,171.84,0.0,0.0,4.0,1001.0,0.92
2024-01-02 07:00:00,68.04,127.73,6.08,9.68,16.43,16.79,3.32,0.58,12.06,0.55,3.1,0.14,,0.27,0.67,19.08,65.79,0.55,171.46,0.0,0.0,9.83,1001.0,0.91
2024-01-02 08:00:00,66.52,126.17,5.9,9.85,16.14,16.47,3.35,0.58,12.16,0.48,2.8,0.14,,0.27,0.72,19.44,63.78,0.71,172.02,0.0,0.0,46.42,1001.0,0.91
2024-01-02 09:00:00,67.39,133.47,6.0,9.72,16.19,16.29,3.0,0.58,13.59,0.49,2.8,0.14,,0.3,0.8,20.29,61.27,0.74,179.99,0.0,0.0,107.82,1001.0,0.94
2024-01-02 10:00:00,72.91,137.83,5.98,9.58,16.12,16.5,3.22,0.67,16.53,0.5,2.89,0.14,,0.3,0.74,21.34,58.35,0.71,176.98,0.0,0.0,178.99,1001.0,0.96
2024-01-02 11:00:00,77.89,147.2,5.65,9.17,15.53,16.21,3.74,0.65,19.36,0.61,2.87,0.22,,0.28,0.63,22.48,57.61,0.62,169.88,0.0,0.0,242.72,1001.0,0.99
2024-01-02 12:00:00,83.64,152.61,5.94,9.07,15.74,16.51,4.38,0.63,22.53,0.68,3.02,0.28,,0.29,0.71,23.59,55.61,0.58,161.19,0.0,0.0,273.48,1001.0,1.01
2024-01-02 13:00:00,75.54,145.12,5.84,8.91,15.47,16.34,3.94,0.61,24.52,0.98,2.52,0.28,,0.33,0.68,24.4,55.1,0.58,163.7,0.0,0.0,262.86,1001.0,1.03
2024-01-02 14:00:00,66.19,132.14,5.43,8.97,15.08,16.34,3.55,0.52,25.67,0.87,1.37,0.29,,0.6,0.71,24.99,54.51,0.55,157.57,0.0,0.0,209.06,1001.0,1.04
2024-01-02 15:00:00,65.24,132.01,5.68,9.18,15.45,16.37,3.56,0.45,26.05,0.97,3.44,0.64,,0.43,0.8,25.15,56.35,0.5,215.94,0.0,0.0,139.39,1001.0,1.04
2024-01-02 16:00:00,70.69,136.27,5.91,9.21,15.63,16.78,3.43,0.46,25.04,1.01,2.65,0.31,,0.6,0.73,24.68,56.83,0.41,172.43,0.0,0.0,71.76,1001.0,1.03
2024-01-02 17:00:00,74.87,137.25,5.61,9.65,15.62,16.95,3.67,0.5,22.02,0.99,2.74,0.45,,0.61,0.8,23.75,56.01,0.31,139.53,0.0,0.0,21.1,1001.0,1.01
2024-01-02 18:00:00,80.99,148.1,5.72,11.24,16.54,17.14,3.7,0.65,16.55,0.69,2.99,0.62,,0.61,0.83,22.83,60.56,0.26,184.66,0.0,0.0,4.29,1001.0,0.99
