Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,99.51,121.2,14.58,32.6,47.1,27.86,15.12,1.55,24.92,1.25,83.12,0.88,,0.46,0.62,,76.36,1.2,63.46,0.0,0.0,9.02,,
2024-01-01 01:00:00,98.24,123.46,14.34,32.55,47.03,27.88,18.12,1.69,23.38,1.23,83.03,0.88,,0.46,0.6,,78.46,0.95,48.13,0.0,0.0,9.48,,
2024-01-01 02:00:00,97.33,116.51,14.45,32.47,47.01,27.86,17.81,1.73,22.75,1.23,83.02,0.88,,0.44,0.62,,80.81,0.9,43.52,0.0,0.0,9.35,,
2024-01-01 03:00:00,101.53,119.4,14.58,32.27,47.04,28.06,17.68,1.62,23.64,1.25,83.05,0.9,,0.42,0.63,,81.86,1.18,57.08,0.0,0.0,11.62,,
2024-01-01 04:00:00,101.52,119.22,14.5,32.56,47.14,28.03,18.32,1.6,22.92,1.24,83.19,0.89,,0.46,0.61,,83.49,1.15,68.76,0.0,0.0,11.42,,
2024-01-01 05:00:00,106.94,135.33,14.46,32.55,46.88,27.94,18.58,1.53,20.57,1.24,82.84,0.89,,0.46,0.62,,85.29,1.39,89.64,0.0,0.0,11.65,,
2024-01-01 06:00:00,112.18,128.52,14.58,32.5,47.0,28.13,15.52,1.63,20.54,1.25,83.0,0.9,,0.45,0.6,,86.35,1.25,99.16,0.0,0.0,11.38,,
2024-01-01 07:00:00,115.82,127.06,14.49,32.52,47.02,27.89,20.58,2.14,20.76,1.24,83.02,0.88,,0.45,0.62,,87.21,2.27,118.01,0.0,0.0,25.28,,
2024-01-01 08:00:00,123.64,154.72,14.54,32.58,46.76,27.92,24.7,2.15,20.87,1.24,82.68,0.88,,0.46,0.62,,83.99,1.26,121.34,0.0,0.0,81.65,,
2024-01-01 09:00:00,135.21,177.38,14.36,32.62,46.86,27.84,36.03,2.28,21.51,1.23,82.81,0.88,,0.46,0.63,,76.73,0.76,60.43,0.0,0.0,139.82,,
