latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.787346,76.11429,223.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,5.2,99,0.00,991.6,1.4,270,2.3,18
2024-01-01T01:00,5.9,99,0.00,992.6,2.2,351,5.6,40
2024-01-01T02:00,6.2,97,0.00,993.1,2.3,39,5.9,47
2024-01-01T03:00,7.0,98,0.00,993.8,2.7,67,4.7,67
2024-01-01T04:00,8.8,96,0.00,994.6,4.0,85,4.3,85
2024-01-01T05:00,10.8,88,0.00,994.8,3.3,96,4.0,90
2024-01-01T06:00,11.9,82,0.00,994.1,2.0,45,2.3,51
2024-01-01T07:00,13.3,75,0.00,993.1,1.8,323,2.0,315
2024-01-01T08:00,14.3,72,0.00,992.0,2.8,310,3.6,307
2024-01-01T09:00,14.9,70,0.00,991.2,4.4,325,5.4,323
2024-01-01T10:00,15.2,69,0.00,990.7,5.6,333,7.2,333
2024-01-01T11:00,14.9,70,0.00,990.5,6.2,339,8.1,339
2024-01-01T12:00,12.5,81,0.00,990.3,6.8,342,8.7,343
2024-01-01T13:00,9.1,89,0.00,991.4,8.3,18,10.7,14
2024-01-01T14:00,8.2,92,0.00,992.1,7.4,14,14.9,15
2024-01-01T15:00,7.2,94,0.00,992.4,7.7,11,14.8,14
2024-01-01T16:00,6.3,96,0.00,992.3,8.8,12,12.1,17
2024-01-01T17:00,7.6,94,0.00,992.6,5.4,4,8.1,21
2024-01-01T18:00,7.1,96,0.00,992.1,4.1,345,6.5,19
2024-01-01T19:00,6.7,98,0.00,991.9,4.7,356,6.8,18
2024-01-01T20:00,4.8,100,0.00,991.2,6.5,357,7.9,16
2024-01-01T21:00,3.6,100,0.00,991.0,8.0,350,8.4,10
2024-01-01T22:00,3.6,100,0.00,990.8,7.2,342,8.0,5
2024-01-01T23:00,4.2,100,0.00,990.8,2.6,326,8.0,10
2024-01-02T00:00,4.0,99,0.00,990.9,2.5,278,8.0,10
2024-01-02T01:00,5.6,98,0.00,991.9,3.7,29,7.0,21
2024-01-02T02:00,5.5,96,0.00,992.9,3.7,29,6.4,27
2024-01-02T03:00,5.8,96,0.00,993.6,3.6,45,4.1,38
2024-01-02T04:00,6.6,98,0.00,994.3,2.6,74,2.6,106
2024-01-02T05:00,8.9,84,0.00,994.5,3.9,112,4.5,119
2024-01-02T06:00,10.5,74,0.00,993.6,3.3,96,4.0,100
2024-01-02T07:00,11.7,73,0.00,992.4,2.6,74,3.3,77
2024-01-02T08:00,12.7,70,0.00,991.4,3.1,45,3.3,49
2024-01-02T09:00,13.4,69,0.00,990.7,2.9,30,3.7,29
2024-01-02T10:00,13.6,68,0.00,990.2,4.5,14,5.2,16
2024-01-02T11:00,13.4,69,0.00,990.0,5.4,8,7.3,9
2024-01-02T12:00,11.1,81,0.00,989.9,6.8,3,8.0,8
2024-01-02T13:00,8.2,87,0.00,991.0,7.4,14,8.1,21
