latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.771528,76.41115,235.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,4.8,99,0.00,990.1,4.3,318,9.2,339
2024-01-01T01:00,5.5,99,0.00,991.5,4.7,356,6.1,3
2024-01-01T02:00,6.1,98,0.00,992.0,5.1,4,7.8,22
2024-01-01T03:00,7.0,99,0.00,992.5,4.0,355,8.1,21
2024-01-01T04:00,8.3,98,0.00,993.0,4.2,31,4.5,29
2024-01-01T05:00,9.4,92,0.00,993.3,4.1,52,4.9,54
2024-01-01T06:00,11.4,84,0.00,992.7,1.9,68,2.4,63
2024-01-01T07:00,13.1,76,0.00,991.7,1.0,315,1.1,342
2024-01-01T08:00,14.0,75,0.00,990.7,2.4,297,3.1,306
2024-01-01T09:00,14.7,73,0.00,989.9,4.6,309,5.9,313
2024-01-01T10:00,15.0,73,0.00,989.4,6.4,313,7.9,317
2024-01-01T11:00,14.6,76,0.00,989.1,6.1,320,9.3,324
2024-01-01T12:00,11.3,90,0.00,988.7,8.4,317,11.6,330
2024-01-01T13:00,8.6,93,0.00,990.1,6.3,336,14.9,353
2024-01-01T14:00,7.4,96,0.00,990.6,6.4,322,14.1,345
2024-01-01T15:00,7.3,97,0.00,991.0,6.7,324,15.4,339
2024-01-01T16:00,6.9,98,0.00,990.9,6.4,322,14.5,337
2024-01-01T17:00,5.8,99,0.00,990.8,7.7,307,11.8,333
2024-01-01T18:00,5.1,100,0.00,990.4,7.6,289,9.1,326
2024-01-01T19:00,4.7,100,0.00,990.2,7.4,284,8.2,322
2024-01-01T20:00,4.5,100,0.00,989.7,7.4,293,9.7,318
2024-01-01T21:00,4.6,100,0.00,989.6,5.0,300,12.0,316
2024-01-01T22:00,5.2,100,0.00,989.4,5.9,308,14.0,318
2024-01-01T23:00,4.9,100,0.00,989.3,6.2,306,14.3,321
2024-01-02T00:00,5.0,99,0.00,989.4,6.1,310,13.8,332
2024-01-02T01:00,7.1,97,0.00,990.7,3.5,336,6.5,354
2024-01-02T02:00,7.3,97,0.00,991.4,3.1,315,6.3,347
2024-01-02T03:00,7.9,95,0.00,991.8,3.3,311,4.0,333
2024-01-02T04:00,9.1,89,0.00,992.6,3.6,360,4.1,15
2024-01-02T05:00,10.1,86,0.00,992.8,2.8,40,3.3,49
2024-01-02T06:00,10.9,83,0.00,992.2,1.3,34,1.8,37
2024-01-02T07:00,11.8,80,0.00,991.1,1.8,323,1.9,338
2024-01-02T08:00,12.8,78,0.00,990.2,2.9,330,3.4,342
2024-01-02T09:00,13.7,75,0.00,989.3,4.4,325,5.2,326
2024-01-02T10:00,13.9,74,0.00,988.9,5.6,320,6.7,324
2024-01-02T11:00,13.4,76,0.00,988.6,6.0,327,7.8,326
2024-01-02T12:00,11.4,85,0.00,988.4,6.0,335,7.6,335
2024-01-02T13:00,7.6,94,0.00,989.4,8.1,328,11.3,343
2024-01-02T14:00,6.9,96,0.00,989.8,8.1,328,12.8,349
2024-01-02T15:00,6.6,98,0.00,989.9,6.1,320,11.9,346
2024-01-02T16:00,5.7,99,0.00,990.0,7.7,311,9.9,341
2024-01-02T17:00,5.1,100,0.00,989.9,7.9,313,8.1,339
2024-01-02T18:00,4.6,100,0.00,989.7,7.6,315,6.5,341
2024-01-02T19:00,4.2,100,0.00,989.4,6.4,308,4.7,328
2024-01-02T20:00,4.7,100,0.00,989.5,4.1,322,4.0,333
2024-01-02T21:00,4.9,100,0.00,989.4,4.0,350,4.3,360
2024-01-02T22:00,4.5,99,0.00,989.1,4.0,355,6.1,3
2024-01-02T23:00,4.2,99,0.00,988.9,4.4,9,7.7,11
2024-01-03T00:00,4.3,100,0.00,989.1,3.9,34,8.9,21
2024-01-03T01:00,5.9,98,0.00,990.2,2.1,59,3.3,49
2024-01-03T02:00,5.7,99,0.00,990.7,1.3,56,2.3,51
2024-01-03T03:00,6.3,99,0.00,991.5,1.8,79,1.8,79
2024-01-03T04:00,7.3,98,0.00,992.3,2.3,72,2.2,81
2024-01-03T05:00,8.4,98,0.00,992.6,1.5,45,1.3,56
2024-01-03T06:00,10.5,88,0.00,992.2,1.1,342,1.1,360
2024-01-03T07:00,12.1,82,0.00,991.5,2.0,315,2.3,321
2024-01-03T08:00,13.3,75,0.00,990.4,2.4,333,2.7,337
2024-01-03T09:00,14.1,71,0.00,989.7,3.9,338,4.6,342
2024-01-03T10:00,14.2,72,0.00,989.2,6.2,339,7.5,343
2024-01-03T11:00,13.8,75,0.00,988.8,6.2,353,8.7,355
2024-01-03T12:00,10.7,88,0.00,988.5,8.1,347,10.1,2
2024-01-03T13:00,10.2,85,0.00,989.5,3.4,288,4.7,356
2024-01-03T14:00,6.9,95,0.00,989.2,5.4,278,5.1,321
2024-01-03T15:00,6.7,96,0.00,989.5,6.0,287,9.8,298
2024-01-03T16:00,6.1,96,0.00,989.7,6.4,297,12.8,302
2024-01-03T17:00,5.5,97,0.00,989.7,5.8,300,12.5,311
2024-01-03T18:00,5.1,98,0.00,989.5,5.7,305,12.5,321
2024-01-03T19:00,4.7,99,0.00,989.2,5.7,305,13.6,320
2024-01-03T20:00,4.3,99,0.00,988.9,6.1,310,13.9,323
2024-01-03T21:00,3.9,99,0.00,988.9,7.1,319,12.9,330
2024-01-03T22:00,3.6,100,0.00,988.7,7.2,323,12.6,336
2024-01-03T23:00,3.0,100,0.00,988.6,8.1,328,11.7,342
2024-01-04T00:00,3.0,100,0.00,988.9,7.1,319,10.5,344
2024-01-04T01:00,4.6,99,0.00,990.5,3.2,297,8.5,332
2024-01-04T02:00,4.2,100,0.00,991.5,6.0,303,12.2,326
2024-01-04T03:00,4.8,98,0.00,992.1,6.1,320,13.7,330
2024-01-04T04:00,6.8,99,0.00,993.0,7.1,336,8.8,341
2024-01-04T05:00,9.5,89,0.00,993.6,6.4,344,7.1,345
2024-01-04T06:00,11.9,85,0.00,992.4,4.5,346,5.5,349
2024-01-04T07:00,13.7,79,0.00,991.1,4.1,345,5.2,348
2024-01-04T08:00,15.0,73,0.00,990.0,3.2,333,3.9,338
2024-01-04T09:00,15.8,70,0.00,989.0,3.4,328,4.0,333
2024-01-04T10:00,16.0,70,0.00,988.5,3.9,304,4.6,309
