latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.56063,75.0,205.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,5.6,99,0.00,994.0,2.6,34,4.1,38
2024-01-01T01:00,5.8,99,0.00,994.9,2.9,30,4.0,63
2024-01-01T02:00,6.3,95,0.00,995.5,3.3,41,4.6,51
2024-01-01T03:00,6.5,93,0.00,996.0,4.1,45,7.1,45
2024-01-01T04:00,7.4,94,0.00,996.7,3.3,49,8.5,54
2024-01-01T05:00,9.2,94,0.00,997.2,4.2,59,4.4,55
2024-01-01T06:00,11.6,82,0.00,996.7,3.1,45,3.3,49
2024-01-01T07:00,13.3,75,0.00,995.5,1.8,11,1.8,11
2024-01-01T08:00,14.5,71,0.00,994.5,3.2,360,4.0,355
2024-01-01T09:00,15.2,67,0.00,993.7,4.3,5,5.4,4
2024-01-01T10:00,15.4,66,0.00,993.4,5.8,7,6.9,6
2024-01-01T11:00,15.0,69,0.00,993.0,6.5,6,8.3,5
2024-01-01T12:00,12.3,83,0.00,992.7,8.0,355,9.7,4
2024-01-01T13:00,9.0,90,0.00,993.9,9.8,28,12.6,27
2024-01-01T14:00,9.5,90,0.00,994.5,8.7,30,12.9,27
2024-01-01T15:00,9.1,91,0.00,994.8,7.4,51,13.0,39
2024-01-01T16:00,8.4,94,0.00,994.8,8.1,69,10.8,53
2024-01-01T17:00,8.0,94,0.00,994.9,7.0,69,8.8,55
2024-01-01T18:00,8.7,94,0.00,994.5,4.9,54,7.6,45
2024-01-01T19:00,8.2,97,0.00,994.3,3.5,66,6.4,38
2024-01-01T20:00,7.5,100,0.00,993.8,1.8,169,5.0,30
2024-01-01T21:00,6.1,98,0.00,993.6,1.6,117,4.4,35
2024-01-01T22:00,6.0,98,0.00,993.4,1.5,76,4.1,38
2024-01-01T23:00,6.0,100,0.00,993.3,2.0,45,4.9,36
2024-01-02T00:00,6.3,95,0.00,993.4,2.1,31,5.0,21
2024-01-02T01:00,6.6,98,0.00,994.4,0.8,297,3.2,63
2024-01-02T02:00,7.1,97,0.00,995.1,1.9,22,3.1,54
2024-01-02T03:00,7.7,98,0.00,995.6,3.8,49,5.8,60
2024-01-02T04:00,9.0,90,0.00,996.3,6.0,57,7.4,61
2024-01-02T05:00,10.5,82,0.00,996.5,6.3,59,7.7,62
2024-01-02T06:00,12.2,74,0.00,995.8,6.1,50,7.2,53
2024-01-02T07:00,13.4,72,0.00,994.7,4.9,36,5.7,35
2024-01-02T08:00,14.4,70,0.00,993.8,5.5,23,6.3,24
2024-01-02T09:00,15.1,68,0.00,992.9,5.9,14,7.2,18
2024-01-02T10:00,15.4,67,0.00,992.6,7.1,15,8.6,15
2024-01-02T11:00,14.8,70,0.00,992.3,7.6,19,9.6,20
2024-01-02T12:00,12.0,85,0.00,992.2,7.2,6,10.2,18
2024-01-02T13:00,8.6,90,0.00,993.3,8.4,7,9.4,23
2024-01-02T14:00,7.7,92,0.00,993.5,9.2,21,11.1,29
2024-01-02T15:00,7.3,93,0.00,993.6,7.7,41,12.5,44
2024-01-02T16:00,7.1,94,0.00,993.8,6.7,54,13.1,53
2024-01-02T17:00,6.8,95,0.00,993.9,6.3,59,12.9,60
2024-01-02T18:00,6.3,97,0.00,993.6,6.2,69,12.5,72
2024-01-02T19:00,5.5,98,0.00,993.3,8.3,90,11.2,88
2024-01-02T20:00,5.3,98,0.00,993.3,7.6,98,9.7,94
2024-01-02T21:00,5.2,99,0.00,993.1,6.8,90,8.6,90
2024-01-02T22:00,4.7,99,0.00,992.7,7.0,69,8.1,77
2024-01-02T23:00,4.0,100,0.00,992.7,7.6,59,8.7,66
2024-01-03T00:00,4.2,100,0.00,992.9,4.3,42,9.3,54
2024-01-03T01:00,5.7,100,0.00,993.9,4.1,38,10.6,55
2024-01-03T02:00,5.3,99,0.00,994.2,3.9,22,9.1,56
2024-01-03T03:00,5.8,98,0.00,995.0,2.8,40,7.2,63
2024-01-03T04:00,7.1,96,0.00,996.0,2.6,34,4.1,52
2024-01-03T05:00,8.9,93,0.00,996.6,2.8,50,2.4,63
2024-01-03T06:00,11.2,81,0.00,996.0,2.6,56,2.9,60
2024-01-03T07:00,12.4,76,0.00,995.2,3.9,22,4.7,23
2024-01-03T08:00,13.8,71,0.00,994.1,5.4,20,6.6,22
2024-01-03T09:00,14.7,69,0.00,993.2,7.1,24,8.7,24
2024-01-03T10:00,15.0,68,0.00,992.7,9.2,26,11.6,26
2024-01-03T11:00,14.5,68,0.00,992.5,8.9,27,12.1,27
2024-01-03T12:00,11.6,84,0.00,992.4,8.7,30,11.5,32
2024-01-03T13:00,8.1,89,0.00,993.5,8.8,351,11.0,11
2024-01-03T14:00,7.3,91,0.00,993.3,8.8,351,11.3,7
2024-01-03T15:00,6.5,94,0.00,993.5,8.7,355,12.0,9
2024-01-03T16:00,5.7,96,0.00,993.7,9.0,2,11.3,17
2024-01-03T17:00,5.2,97,0.00,993.7,7.3,349,8.2,23
2024-01-03T18:00,4.8,98,0.00,993.6,6.0,335,7.3,11
2024-01-03T19:00,4.6,99,0.00,993.5,5.8,338,9.4,358
2024-01-03T20:00,4.5,99,0.00,993.2,6.1,332,11.7,351
2024-01-03T21:00,4.3,100,0.00,993.2,6.0,343,12.7,353
2024-01-03T22:00,4.0,100,0.00,993.0,6.3,347,12.3,355
2024-01-03T23:00,4.1,100,0.00,993.0,5.2,335,12.7,345
2024-01-04T00:00,4.3,100,0.00,993.3,5.0,339,13.7,342
2024-01-04T01:00,5.2,100,0.00,994.9,4.6,342,13.1,344
2024-01-04T02:00,4.9,100,0.00,995.6,3.3,347,12.5,348
2024-01-04T03:00,5.4,99,0.00,996.1,4.7,351,11.7,349
2024-01-04T04:00,7.3,97,0.00,996.9,4.0,360,7.6,357
2024-01-04T05:00,9.8,88,0.00,997.2,2.6,16,4.9,17
2024-01-04T06:00,12.3,76,0.00,996.1,3.2,27,4.2,31
2024-01-04T07:00,13.8,71,0.00,995.0,2.3,39,3.1,36
2024-01-04T08:00,14.9,66,0.00,993.8,2.2,9,2.6,16
2024-01-04T09:00,15.6,65,0.00,993.0,2.7,337,3.0,346
2024-01-04T10:00,15.8,64,0.00,992.6,3.7,331,4.3,336
2024-01-04T11:00,15.3,65,0.00,992.4,3.9,326,5.0,330
2024-01-04T12:00,11.9,82,0.00,992.1,7.7,298,7.2,323
2024-01-04T13:00,9.3,89,0.00,993.3,6.9,332,6.1,357
2024-01-04T14:00,8.0,93,0.00,993.5,8.4,335,10.0,347
2024-01-04T15:00,7.0,95,0.00,993.4,9.5,349,10.4,358
2024-01-04T16:00,6.3,95,0.00,993.5,9.0,358,10.2,8
2024-01-04T17:00,5.8,96,0.00,993.6,9.1,7,11.4,11
2024-01-04T18:00,5.4,97,0.00,993.1,9.4,356,11.9,2
2024-01-04T19:00,5.0,98,0.00,992.8,8.9,346,9.4,353
2024-01-04T20:00,5.3,98,0.00,992.9,6.5,357,6.8,357
2024-01-04T21:00,6.2,97,0.00,993.0,3.6,360,4.1,345
2024-01-04T22:00,5.3,100,0.00,992.8,2.3,252,3.1,315
2024-01-04T23:00,3.9,100,0.00,992.4,2.6,326,3.3,319
2024-01-05T00:00,3.4,99,0.00,992.4,2.4,27,4.2,340
2024-01-05T01:00,4.9,100,0.00,993.9,3.8,73,4.9,73
2024-01-05T02:00,4.8,99,0.00,994.6,3.4,72,5.0,90
2024-01-05T03:00,5.8,98,0.00,995.0,2.9,60,4.3,90
2024-01-05T04:00,7.5,99,0.00,995.9,1.0,315,3.1,126
2024-01-05T05:00,9.4,91,0.00,996.6,1.3,304,2.7,203
2024-01-05T06:00,11.3,90,0.00,996.1,3.9,304,4.9,287
2024-01-05T07:00,13.6,77,0.00,995.0,4.7,266,5.8,263
2024-01-05T08:00,14.9,74,0.00,993.8,0.8,207,1.1,198
2024-01-05T09:00,15.7,71,0.00,993.2,1.6,63,1.9,68
2024-01-05T10:00,15.9,69,0.00,993.2,3.6,354,4.3,355
2024-01-05T11:00,15.6,70,0.00,993.5,5.7,342,7.0,339
2024-01-05T12:00,13.2,80,0.00,993.5,7.9,330,15.3,333
2024-01-05T13:00,11.3,83,0.00,994.6,6.1,357,11.7,9
2024-01-05T14:00,10.0,86,0.00,994.7,5.8,360,11.7,18
2024-01-05T15:00,9.2,90,0.00,994.9,5.0,21,10.0,30
2024-01-05T16:00,8.6,94,0.00,995.0,4.5,29,8.2,41
2024-01-05T17:00,7.4,96,0.00,994.9,7.3,33,7.7,53
2024-01-05T18:00,6.5,96,0.00,994.3,8.3,34,7.2,63
2024-01-05T19:00,6.1,96,0.00,994.0,7.2,18,6.4,52
2024-01-05T20:00,5.5,97,0.00,994.2,6.6,13,5.1,39
2024-01-05T21:00,5.2,97,0.00,994.3,6.6,9,6.6,22
2024-01-05T22:00,4.7,98,0.00,994.3,7.6,360,8.7,7
2024-01-05T23:00,5.0,97,0.00,994.2,5.8,360,12.6,360
2024-01-06T00:00,5.2,97,0.00,994.3,6.6,9,15.5,4
2024-01-06T01:00,5.9,96,0.00,995.8,6.8,32,15.0,30
2024-01-06T02:00,5.7,96,0.00,996.2,5.9,43,14.6,38
2024-01-06T03:00,7.2,91,0.00,997.1,7.4,61,13.2,55
2024-01-06T04:00,9.8,84,0.00,997.9,5.7,72,12.6,70
2024-01-06T05:00,12.3,76,0.00,998.2,5.5,79,7.6,82
2024-01-06T06:00,13.9,71,0.00,997.3,5.2,102,6.3,103
2024-01-06T07:00,15.0,68,0.00,996.2,3.4,108,4.2,110
2024-01-06T08:00,15.8,66,0.00,995.2,1.8,53,2.1,59
2024-01-06T09:00,16.4,65,0.00,994.6,4.0,5,4.7,9
2024-01-06T10:00,16.6,64,0.00,994.3,6.8,357,8.3,358
2024-01-06T11:00,16.2,66,0.00,994.3,7.4,346,10.3,348
2024-01-06T12:00,13.1,82,0.00,994.1,7.9,321,12.6,333
2024-01-06T13:00,11.4,86,0.00,995.3,9.1,342,20.2,344
2024-01-06T14:00,10.6,90,0.00,995.7,10.0,339,22.0,342
2024-01-06T15:00,9.7,91,0.00,996.2,8.9,346,20.3,348
2024-01-06T16:00,8.8,93,0.00,996.8,7.6,357,18.0,2
2024-01-06T17:00,7.6,95,0.00,996.7,6.5,3,16.2,12
2024-01-06T18:00,7.2,96,0.00,996.4,5.5,11,14.7,17
2024-01-06T19:00,6.4,97,0.00,996.1,7.6,19,11.6,22
2024-01-06T20:00,6.3,97,0.00,995.5,6.6,13,9.6,20
2024-01-06T21:00,5.3,99,0.00,995.3,6.8,357,9.4,7
2024-01-06T22:00,5.3,98,0.00,995.0,6.5,360,10.5,4
2024-01-06T23:00,5.3,98,0.00,994.7,5.4,8,10.9,8
2024-01-07T00:00,4.8,99,0.00,994.7,6.3,13,9.9,10
2024-01-07T01:00,7.0,98,0.00,995.7,4.8,13,7.2,37
2024-01-07T02:00,7.3,96,0.00,996.6,4.7,9,5.4,42
2024-01-07T03:00,8.1,94,0.00,997.6,4.3,5,3.6,53
2024-01-07T04:00,10.7,87,0.00,998.6,4.7,9,3.9,56
2024-01-07T05:00,12.6,80,0.00,999.1,3.9,22,4.1,38
2024-01-07T06:00,14.3,73,0.00,998.4,4.6,45,5.4,53
2024-01-07T07:00,15.4,69,0.00,997.2,6.6,61,7.7,62
2024-01-07T08:00,16.2,66,0.00,996.0,7.0,55,8.6,57
2024-01-07T09:00,16.6,65,0.00,995.4,7.1,41,8.9,43
2024-01-07T10:00,16.8,65,0.00,994.7,7.1,30,9.1,34
2024-01-07T11:00,16.5,68,0.00,994.6,6.4,27,9.0,29
2024-01-07T12:00,13.6,83,0.00,994.4,7.8,347,11.2,4
2024-01-07T13:00,12.5,82,0.00,995.2,6.2,36,13.0,48
2024-01-07T14:00,12.0,85,0.00,995.6,6.4,43,13.5,56
2024-01-07T15:00,11.1,90,0.00,995.6,6.4,52,13.9,65
2024-01-07T16:00,10.4,93,0.00,996.0,6.4,38,13.5,56
2024-01-07T17:00,9.7,95,0.00,996.1,6.4,27,13.3,41
2024-01-07T18:00,8.6,96,0.00,995.8,6.3,24,13.1,32
2024-01-07T19:00,7.5,97,0.00,995.4,8.7,17,11.9,29
2024-01-07T20:00,8.2,97,0.00,995.2,5.8,356,12.2,14
2024-01-07T21:00,8.3,97,0.00,994.8,6.1,3,12.9,13
2024-01-07T22:00,7.0,99,0.00,994.8,6.8,18,13.9,21
2024-01-07T23:00,6.2,99,0.00,994.8,9.1,34,13.2,29
2024-01-08T00:00,5.7,99,0.00,994.8,9.2,51,12.6,37
2024-01-08T01:00,6.6,98,0.00,996.0,6.6,45,15.9,51
2024-01-08T02:00,6.3,98,0.00,996.5,6.5,56,16.4,61
2024-01-08T03:00,7.6,96,0.00,997.1,9.0,67,17.0,73
2024-01-08T04:00,9.7,91,0.00,997.7,5.8,83,15.8,90
2024-01-08T05:00,12.3,84,0.00,998.1,6.8,108,10.4,110
2024-01-08T06:00,14.2,78,0.00,997.3,8.2,131,10.7,132
2024-01-08T07:00,15.4,74,0.00,996.2,6.9,137,8.7,138
2024-01-08T08:00,16.7,69,0.00,995.1,4.2,149,4.8,153
2024-01-08T09:00,17.4,63,0.00,994.5,3.4,162,4.1,165
2024-01-08T10:00,17.4,64,0.00,993.9,2.3,108,2.7,113
2024-01-08T11:00,17.0,66,0.00,993.8,3.1,69,3.8,73
2024-01-08T12:00,14.2,81,0.00,993.4,6.6,45,7.0,55
2024-01-08T13:00,11.2,84,0.00,995.4,6.4,27,12.2,43
2024-01-08T14:00,9.5,89,0.00,995.4,5.8,7,10.2,45
2024-01-08T15:00,8.3,93,0.00,995.4,5.9,11,10.5,38
2024-01-08T16:00,7.4,95,0.00,995.6,5.8,22,11.3,37
2024-01-08T17:00,6.7,96,0.00,995.4,6.7,16,9.8,28
2024-01-08T18:00,6.8,96,0.00,995.1,6.5,360,10.7,12
2024-01-08T19:00,6.9,95,0.00,995.3,8.5,348,14.9,352
2024-01-08T20:00,6.9,95,0.00,995.5,7.9,336,19.6,340
2024-01-08T21:00,6.6,96,0.00,995.4,6.3,347,16.8,350
2024-01-08T22:00,6.3,97,0.00,995.3,8.4,350,19.5,357
2024-01-08T23:00,6.2,97,0.00,995.0,8.3,358,20.2,359
2024-01-09T00:00,6.0,98,0.00,994.9,6.8,18,18.6,10
2024-01-09T01:00,6.2,99,0.00,996.1,5.4,53,11.2,57
2024-01-09T02:00,6.1,99,0.00,996.8,4.7,32,8.7,38
2024-01-09T03:00,6.4,99,0.00,997.6,4.7,32,6.2,36
2024-01-09T04:00,7.3,96,0.00,998.7,4.8,347,5.9,349
2024-01-09T05:00,9.1,89,0.00,999.0,4.3,318,4.9,324
2024-01-09T06:00,11.1,80,0.00,998.2,5.3,298,6.4,297
2024-01-09T07:00,12.6,74,0.00,997.1,7.2,307,8.8,305
2024-01-09T08:00,13.7,71,0.00,996.1,9.8,306,12.4,306
2024-01-09T09:00,14.6,68,0.00,995.6,10.4,314,13.2,315
2024-01-09T10:00,15.0,66,0.00,995.2,11.0,322,14.3,321
2024-01-09T11:00,14.6,68,0.00,994.9,11.9,325,16.6,326
2024-01-09T12:00,12.8,76,0.00,994.9,7.9,321,18.1,325
2024-01-09T13:00,9.8,78,0.00,997.1,6.8,342,15.4,344
2024-01-09T14:00,9.5,80,0.00,997.6,5.9,346,14.0,348
2024-01-09T15:00,8.8,86,0.00,997.4,5.8,353,11.3,351
2024-01-09T16:00,7.7,91,0.00,997.2,8.0,10,11.3,7
2024-01-09T17:00,6.5,92,0.00,996.9,7.8,13,11.6,16
2024-01-09T18:00,6.0,94,0.00,996.6,6.4,16,13.2,17
2024-01-09T19:00,5.4,94,0.00,996.3,7.2,18,9.5,9
2024-01-09T20:00,6.3,92,0.00,996.1,5.2,348,8.4,335
2024-01-09T21:00,5.0,96,0.00,996.0,6.2,280,9.0,307
2024-01-09T22:00,3.6,98,0.00,995.6,8.5,282,12.0,303
2024-01-09T23:00,3.7,99,0.00,995.1,6.1,298,14.3,309
2024-01-10T00:00,3.6,100,0.00,995.0,6.5,304,15.8,311
2024-01-10T01:00,5.5,96,0.00,996.6,5.2,335,12.9,330
2024-01-10T02:00,4.3,99,0.00,996.8,5.2,344,13.4,336
2024-01-10T03:00,5.0,96,0.00,997.1,7.3,340,13.7,342
2024-01-10T04:00,6.7,90,0.00,997.5,5.2,344,9.2,339
2024-01-10T05:00,8.9,83,0.00,997.7,5.0,330,6.8,328
2024-01-10T06:00,10.9,77,0.00,996.9,5.9,317,7.1,315
2024-01-10T07:00,12.7,70,0.00,995.5,6.7,306,8.2,308
2024-01-10T08:00,14.1,66,0.00,994.1,7.2,307,8.7,308
2024-01-10T09:00,15.0,63,0.00,993.3,8.4,310,10.7,310
2024-01-10T10:00,15.3,63,0.00,992.7,9.7,309,12.0,309
2024-01-10T11:00,15.0,67,0.00,992.4,9.4,310,13.3,311
2024-01-10T12:00,12.6,80,0.00,992.6,6.8,295,16.6,304
2024-01-10T13:00,8.9,89,0.00,994.0,7.4,317,17.9,322
2024-01-10T14:00,8.0,92,0.00,994.0,9.1,326,17.4,330
2024-01-10T15:00,6.9,94,0.00,994.0,10.8,339,15.4,339
2024-01-10T16:00,6.3,96,0.00,994.0,9.7,345,13.4,346
2024-01-10T17:00,6.0,97,0.00,993.9,8.7,343,12.1,343
2024-01-10T18:00,6.3,97,0.00,993.7,6.9,313,9.9,327
2024-01-10T19:00,5.2,99,0.00,993.6,7.2,270,9.0,307
2024-01-10T20:00,4.1,100,0.00,993.5,8.2,255,9.2,291
2024-01-10T21:00,4.6,98,0.00,993.6,4.3,265,9.8,287
2024-01-10T22:00,5.0,99,0.00,993.6,4.0,270,10.6,288
2024-01-10T23:00,4.2,99,0.00,993.7,5.6,255,12.1,280
2024-01-11T00:00,4.6,99,0.00,994.1,5.9,259,14.5,277
2024-01-11T01:00,5.2,98,0.00,995.6,3.3,283,9.5,279
2024-01-11T02:00,4.4,95,0.00,995.9,2.9,277,9.0,286
2024-01-11T03:00,4.9,94,0.00,996.8,3.2,243,4.7,270
2024-01-11T04:00,6.4,95,0.00,997.8,4.4,235,4.0,260
2024-01-11T05:00,8.4,96,0.00,998.3,3.5,246,3.9,248
2024-01-11T06:00,10.3,89,0.00,997.7,4.0,270,4.7,279
2024-01-11T07:00,12.7,81,0.00,996.6,1.3,304,1.6,297
2024-01-11T08:00,14.1,78,0.00,995.7,1.3,326,1.8,323
2024-01-11T09:00,15.1,73,0.00,995.1,2.5,315,3.1,315
2024-01-11T10:00,15.5,71,0.00,994.4,3.1,339,4.0,333
2024-01-11T11:00,15.3,72,0.00,994.3,4.1,345,5.6,345
2024-01-11T12:00,12.6,83,0.00,994.1,7.1,336,8.1,339
2024-01-11T13:00,10.8,84,0.00,994.0,7.6,352,8.7,343
2024-01-11T14:00,9.9,86,0.00,994.2,7.6,3,9.2,349
2024-01-11T15:00,8.9,89,0.00,994.4,7.3,9,9.4,360
2024-01-11T16:00,6.9,95,0.00,994.6,9.5,349,11.3,351
2024-01-11T17:00,7.0,96,0.00,995.0,7.6,335,15.6,341
2024-01-11T18:00,6.1,96,0.00,994.4,9.1,351,15.9,354
2024-01-11T19:00,5.2,98,0.00,994.0,10.2,352,14.1,354
2024-01-11T20:00,4.7,99,0.00,993.6,10.5,344,13.8,345
2024-01-11T21:00,5.5,100,0.00,993.1,8.2,345,12.0,344
2024-01-11T22:00,5.7,100,0.00,992.8,7.0,339,10.6,342
2024-01-11T23:00,4.1,100,0.00,992.6,4.6,315,12.3,328
2024-01-12T00:00,4.8,100,0.00,992.7,6.2,306,13.7,315
2024-01-12T01:00,4.7,97,0.00,993.8,2.8,310,8.4,320
2024-01-12T02:00,4.7,96,0.00,994.4,3.7,281,10.1,305
2024-01-12T03:00,5.5,94,0.00,995.1,2.9,210,9.4,302
2024-01-12T04:00,5.9,96,0.00,995.9,3.3,264,6.0,287
2024-01-12T05:00,7.7,96,0.00,996.4,4.0,260,4.3,275
2024-01-12T06:00,9.8,93,0.00,996.1,4.7,270,5.8,277
2024-01-12T07:00,12.7,83,0.00,995.1,3.9,292,5.0,291
2024-01-12T08:00,14.9,74,0.00,994.1,4.6,288,5.8,292
2024-01-12T09:00,16.2,67,0.00,993.4,4.8,297,6.3,294
2024-01-12T10:00,16.6,64,0.00,993.1,5.9,308,7.5,305
2024-01-12T11:00,16.1,66,0.00,992.9,4.4,325,6.4,322
2024-01-12T12:00,14.1,74,0.00,993.0,5.7,342,6.3,329
2024-01-12T13:00,10.3,87,0.00,993.7,7.3,33,6.4,27
2024-01-12T14:00,9.7,92,0.00,993.7,7.4,39,10.1,35
2024-01-12T15:00,9.2,94,0.00,993.7,6.6,45,14.0,42
2024-01-12T16:00,8.7,94,0.00,993.6,6.8,58,15.4,53
2024-01-12T17:00,7.6,95,0.00,993.2,7.6,71,14.5,63
2024-01-12T18:00,6.7,97,0.00,992.9,9.4,86,11.9,76
2024-01-12T19:00,6.8,98,0.00,992.5,7.4,104,9.0,95
2024-01-12T20:00,6.9,98,0.00,992.1,6.2,111,6.8,108
2024-01-12T21:00,8.0,97,0.00,991.9,3.9,124,3.8,131
2024-01-12T22:00,7.3,100,0.00,991.5,2.6,124,2.6,164
2024-01-12T23:00,5.4,100,0.00,991.2,1.3,56,0.8,117
2024-01-13T00:00,6.2,100,0.00,991.5,4.5,61,4.8,63
2024-01-13T01:00,6.5,97,0.00,992.7,5.8,68,10.1,88
2024-01-13T02:00,6.6,98,0.00,993.3,4.7,81,8.3,92
2024-01-13T03:00,7.0,95,0.00,994.1,5.0,90,5.8,86
2024-01-13T04:00,7.6,96,0.00,994.9,4.5,104,4.0,100
2024-01-13T05:00,9.3,92,0.00,995.4,3.8,131,5.1,135
2024-01-13T06:00,11.9,83,0.00,994.7,4.5,104,5.8,112
2024-01-13T07:00,14.5,71,0.00,993.7,5.8,94,7.2,96
