Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,54.53,60.78,2.0,6.05,13.09,22.62,3.78,1.0,20.76,0.94,14.88,,,0.23,0.08,,99.13,0.36,111.12,0.0,0.0,,,
2024-01-01 01:00:00,52.46,58.93,2.78,7.48,22.6,20.23,2.3,1.01,18.48,1.1,14.83,,,0.22,0.11,,99.13,0.43,305.71,0.0,0.0,,,
2024-01-01 02:00:00,53.86,57.91,2.96,7.92,26.26,19.88,6.88,0.99,20.91,1.12,14.82,,,0.21,0.09,,99.13,0.96,276.59,0.0,0.0,,,
2024-01-01 03:00:00,50.96,64.13,3.01,8.02,26.67,19.82,9.63,1.0,22.73,1.21,14.6,,,0.2,0.09,,99.13,0.86,306.3,0.0,0.0,,,
2024-01-01 04:00:00,49.95,56.86,3.04,8.04,25.15,20.02,8.96,1.01,22.07,0.92,14.16,,,0.2,0.04,,99.13,0.76,311.42,0.0,0.0,,,
2024-01-01 05:00:00,45.5,52.61,2.98,7.97,26.54,19.48,10.02,1.0,22.59,0.82,14.02,,,0.19,0.07,,99.13,0.49,257.5,0.0,0.0,,,
2024-01-01 06:00:00,41.54,49.38,3.01,8.0,26.0,20.08,3.66,1.0,22.84,0.78,14.09,,,0.16,0.06,,99.13,0.4,306.04,0.0,0.0,,,
2024-01-01 07:00:00,38.16,43.02,3.04,8.02,25.68,20.65,1.3,1.01,20.36,0.7,13.58,,,0.1,0.04,,99.13,0.42,192.7,0.0,0.0,4.78,,
2024-01-01 08:00:00,35.47,37.64,4.52,14.16,33.09,41.0,1.4,1.15,22.84,1.0,12.83,,,0.13,0.04,,99.13,0.37,94.21,0.0,0.0,22.5,,
2024-01-01 09:00:00,27.6,40.43,4.94,16.25,35.18,48.22,1.77,1.2,20.62,1.0,12.27,,,0.14,0.03,,99.13,0.32,46.23,0.0,0.0,40.06,,
