Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,74.2,98.79,5.96,23.82,14.36,41.36,3.11,0.14,24.09,3.01,14.62,1.65,,1.15,0.92,,,0.97,41.26,0.0,0.0,,,
2024-01-01 01:00:00,70.64,92.12,6.0,23.71,15.23,40.66,5.16,0.13,24.52,3.1,14.83,2.16,,1.11,0.98,,,1.27,87.42,0.0,0.0,,,
2024-01-01 02:00:00,63.26,87.8,6.06,24.71,14.7,40.68,4.26,0.13,24.51,3.16,15.41,1.81,,1.12,1.03,,,1.01,280.51,0.0,0.0,,,
2024-01-01 03:00:00,59.43,79.05,6.02,24.45,15.21,40.95,4.69,0.13,24.83,3.12,15.26,2.14,,1.16,1.02,,,1.07,145.46,0.0,0.0,,,
2024-01-01 04:00:00,57.34,77.97,6.01,24.06,14.84,39.64,3.92,0.14,24.64,3.11,15.03,1.89,,0.94,1.08,,,0.98,34.46,0.0,0.0,,,
2024-01-01 05:00:00,52.09,72.0,5.87,24.08,14.81,41.85,8.57,0.12,24.57,2.97,15.04,1.87,,1.31,1.0,,,0.86,109.6,0.0,0.0,,,
2024-01-01 06:00:00,50.35,66.0,6.07,24.03,14.99,40.12,8.55,0.12,24.52,4.92,11.82,1.78,,4.81,1.94,,,0.77,96.08,0.0,0.0,,,
2024-01-01 07:00:00,47.74,61.62,6.0,23.52,15.34,39.39,7.58,0.12,24.64,4.78,11.31,1.92,,4.61,1.76,,,1.23,12.86,0.0,0.0,,,
2024-01-01 08:00:00,46.36,60.59,5.96,23.81,15.21,39.79,8.32,0.14,24.63,4.69,11.6,1.87,,4.72,1.91,,,1.24,39.82,0.0,0.0,,,
2024-01-01 09:00:00,48.28,65.05,5.88,24.18,14.93,39.63,11.82,0.16,23.76,4.53,11.97,1.75,,4.68,1.73,,,1.3,69.88,0.0,0.0,,,
