Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,60.75,100.08,14.68,5.22,20.18,10.43,4.28,2.04,31.88,1.0,6.0,9.0,,32.0,13.0,,99.63,1.03,62.99,0.0,0.0,,,
2024-01-01 01:00:00,66.45,104.0,11.41,4.97,17.43,9.95,6.63,2.03,28.44,1.0,6.0,9.0,,32.0,13.0,,99.63,0.76,143.28,0.0,0.0,,,
2024-01-01 02:00:00,68.6,110.42,11.18,4.58,17.04,9.15,21.5,2.06,24.54,1.0,6.0,9.0,,32.0,13.0,,99.63,0.62,139.36,0.0,0.0,,,
2024-01-01 03:00:00,71.2,125.62,11.09,5.98,17.7,11.95,28.08,2.06,21.1,1.0,6.0,9.0,,32.0,13.0,,99.63,0.61,139.93,0.0,0.0,,,
2024-01-01 04:00:00,75.35,133.98,10.32,6.44,17.32,12.87,28.08,2.02,25.34,1.0,6.0,9.0,,32.0,13.0,,99.63,0.68,61.01,0.0,0.0,,,
2024-01-01 05:00:00,70.92,129.8,11.74,5.18,17.81,10.36,27.88,2.01,28.2,1.0,6.0,9.0,,32.0,13.0,,99.63,0.46,113.32,0.0,0.0,,,
2024-01-01 06:00:00,66.68,118.78,12.31,6.1,18.74,12.2,21.95,2.03,27.23,1.0,6.0,9.0,,32.0,13.0,,99.63,0.56,65.55,0.0,0.0,,,
2024-01-01 07:00:00,62.65,109.5,8.68,7.05,16.32,14.1,12.75,2.01,21.74,1.0,6.0,9.0,,32.0,13.0,,99.63,0.84,70.95,0.0,0.0,,,
2024-01-01 08:00:00,65.32,106.95,11.18,5.29,17.41,10.58,7.43,2.05,18.12,1.0,6.0,9.0,,32.0,13.0,,99.63,0.56,125.49,0.0,0.0,,,
2024-01-01 09:00:00,75.38,117.5,12.05,6.22,18.59,12.43,5.63,2.11,17.36,1.0,6.0,9.0,,32.0,13.0,,99.63,0.3,97.8,0.0,0.0,,,
2024-01-01 10:00:00,81.45,132.98,11.65,7.02,18.7,14.03,7.08,2.16,17.4,1.0,6.0,9.0,,32.0,13.0,,99.62,0.99,54.86,0.0,0.0,,,
2024-01-01 11:00:00,85.32,144.02,10.0,6.91,17.32,13.82,5.6,2.14,17.58,1.0,6.0,9.0,,32.0,13.0,,99.26,0.76,53.44,0.0,0.0,,,
2024-01-01 12:00:00,90.98,155.82,12.06,6.82,18.92,13.64,12.03,2.14,24.78,1.0,6.0,9.0,,32.0,13.0,,99.13,0.57,57.32,0.0,0.0,,,
2024-01-01 13:00:00,92.45,153.65,9.6,7.65,17.39,15.3,23.69,2.2,29.76,1.0,6.0,9.0,,32.0,13.0,,99.13,0.59,206.94,0.0,0.0,,,
2024-01-01 14:00:00,89.98,144.78,11.88,6.3,18.5,12.6,15.6,2.25,23.84,1.0,6.0,9.0,,32.0,13.0,,99.13,0.69,173.26,0.0,0.0,,,
2024-01-01 15:00:00,91.43,147.07,11.76,5.66,18.08,11.34,7.06,2.19,21.37,1.0,6.0,9.0,,32.0,13.0,,99.13,0.86,187.44,0.0,0.0,,,
2024-01-01 16:00:00,95.55,154.8,11.57,5.94,18.07,11.87,11.73,2.15,30.02,1.0,6.0,9.0,,32.0,13.0,,99.13,1.34,183.05,0.0,0.0,,,
2024-01-01 17:00:00,81.82,145.88,10.81,5.96,17.47,11.93,9.13,2.22,30.42,1.0,6.0,9.0,,32.0,13.0,,99.13,1.23,99.09,0.0,0.0,,,
