Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,100.98,193.55,5.72,10.66,18.68,11.82,11.54,0.48,4.3,8.57,4.52,0.64,,1.13,1.8,,99.99,0.25,129.71,0.0,0.0,,,
2024-01-01 01:00:00,106.78,192.0,5.62,8.89,20.1,14.64,38.7,0.49,5.3,10.9,5.2,0.94,,1.25,2.34,,99.99,0.45,117.81,0.0,0.0,,,
2024-01-01 02:00:00,120.4,207.55,5.54,11.18,19.83,15.57,23.86,0.47,4.78,10.62,5.23,0.95,,1.2,2.33,,99.99,0.71,287.12,0.0,0.0,,,
2024-01-01 03:00:00,115.65,210.48,5.56,9.68,19.22,15.25,10.39,0.47,5.15,8.43,4.57,0.64,,0.84,1.69,,99.99,0.43,309.63,0.0,0.0,,,
2024-01-01 04:00:00,109.62,195.38,5.71,10.25,21.7,16.04,4.49,0.49,5.9,6.0,3.72,0.36,,0.63,1.14,,99.99,0.52,275.28,0.0,0.0,,,
2024-01-01 05:00:00,87.78,166.68,5.77,11.82,19.74,11.46,3.73,0.48,5.59,5.69,3.46,0.32,,0.68,1.03,,99.99,0.29,126.03,0.0,0.0,,,
2024-01-01 06:00:00,70.95,137.43,6.36,8.6,19.13,14.1,3.56,0.47,6.33,5.11,3.29,0.28,,0.7,0.91,,99.99,0.33,188.89,0.0,0.0,,,
2024-01-01 07:00:00,53.83,109.53,5.72,5.62,18.99,14.46,2.83,0.47,6.17,4.85,3.27,0.2,,0.41,0.64,,99.99,0.47,40.68,0.0,0.0,3.74,,
2024-01-01 08:00:00,51.08,103.25,5.79,8.07,19.46,15.26,1.54,0.47,6.03,4.81,3.4,0.28,,0.75,0.96,,99.99,0.43,93.7,0.0,0.0,17.14,,
2024-01-01 09:00:00,48.47,97.43,5.12,10.32,17.81,12.3,1.7,0.46,6.84,4.56,3.43,0.29,,0.71,0.9,,99.99,0.38,99.91,0.0,0.0,42.55,,
2024-01-01 10:00:00,46.45,91.45,5.76,11.22,19.31,18.58,2.12,0.47,6.99,4.62,3.46,0.3,,0.63,0.87,,99.99,0.69,94.33,0.0,0.0,98.18,,
2024-01-01 11:00:00,45.25,85.82,5.62,8.22,19.09,14.2,1.92,0.48,6.73,4.67,3.68,0.3,,0.74,1.08,,99.99,0.6,89.76,0.0,0.0,119.06,,
2024-01-01 12:00:00,45.95,81.15,5.22,11.96,18.2,12.79,0.76,0.34,6.77,5.08,4.16,0.45,,0.84,1.33,,99.99,0.53,89.97,0.0,0.0,152.0,,
2024-01-01 13:00:00,47.03,88.45,5.62,8.45,19.72,16.34,0.66,0.05,7.4,5.5,5.4,0.76,,1.03,2.24,,99.99,0.6,106.14,0.0,0.0,172.06,,
2024-01-01 14:00:00,53.25,100.82,6.12,7.39,19.44,16.1,1.17,,8.08,4.72,4.14,0.41,,0.72,1.45,,99.99,0.54,144.65,0.0,0.0,107.11,,
2024-01-01 15:00:00,48.72,88.9,6.59,8.51,20.72,11.82,1.06,,8.14,4.54,4.03,0.37,,0.62,1.23,,99.99,0.81,295.92,0.0,0.0,54.42,,
2024-01-01 16:00:00,42.6,80.22,5.8,9.61,19.84,14.17,0.4,0.59,7.51,4.96,4.61,0.52,,0.72,1.49,,99.99,0.66,87.18,0.0,0.0,22.39,,
2024-01-01 17:00:00,39.92,76.92,6.25,8.89,20.52,6.13,0.16,0.16,7.1,5.3,5.07,0.59,,0.86,1.74,,99.99,0.62,98.21,0.0,0.0,2.19,,
2024-01-01 18:00:00,38.33,66.85,5.55,7.45,18.22,12.66,1.27,0.14,6.98,5.16,4.42,0.44,,0.7,1.29,,99.99,0.69,22.29,0.0,0.0,,,
2024-01-01 19:00:00,33.15,64.23,5.57,10.12,20.33,16.16,1.3,0.02,6.12,5.34,4.3,0.36,,0.68,1.2,,99.99,0.72,258.47,0.0,0.0,,,
2024-01-01 20:00:00,37.33,61.02,5.88,10.69,18.12,14.94,1.21,0.02,5.28,5.76,4.74,0.45,,0.81,1.38,,99.99,0.7,233.47,0.0,0.0,,,
2024-01-01 21:00:00,35.55,60.85,6.16,8.9,21.66,10.6,1.25,0.02,5.57,5.94,4.89,0.49,,0.88,1.4,,99.99,0.61,301.56,0.0,0.0,,,
2024-01-01 22:00:00,35.72,56.8,6.15,6.94,18.03,16.61,1.4,0.62,5.21,6.32,4.88,0.51,,1.1,1.53,,99.99,0.77,167.1,0.0,0.0,,,
2024-01-01 23:00:00,35.4,72.5,5.55,10.15,21.15,13.43,0.9,0.2,5.41,6.76,5.54,0.73,,1.67,2.1,,99.99,0.62,318.01,0.0,0.0,,,
2024-01-02 00:00:00,37.05,64.68,5.41,8.1,19.87,13.35,0.53,0.63,5.93,7.16,6.92,1.16,,2.44,2.98,,99.99,0.62,315.47,0.0,0.0,,,
2024-01-02 01:00:00,36.6,67.15,5.51,8.01,19.52,16.57,0.46,0.34,5.36,7.86,7.85,1.42,,2.68,3.3,,99.99,0.44,248.66,0.0,0.0,,,
2024-01-02 02:00:00,36.4,72.75,5.75,10.46,18.93,12.06,0.72,0.37,4.89,8.46,8.34,1.63,,2.91,3.68,,99.99,0.42,173.79,0.0,0.0,,,
2024-01-02 03:00:00,38.4,73.0,6.09,7.12,21.15,11.8,0.85,0.29,4.66,9.01,8.69,1.73,,3.0,3.8,,99.99,0.52,229.54,0.0,0.0,,,
2024-01-02 04:00:00,38.58,71.65,5.32,9.78,19.48,15.01,,1.1,4.56,7.78,7.21,1.56,,2.46,3.32,,,0.32,147.59,0.0,0.0,,,
2024-01-02 05:00:00,38.8,80.35,5.58,7.55,21.34,16.69,,0.65,4.72,10.09,9.44,2.01,,3.1,4.26,,,0.53,175.14,0.0,0.0,,,
2024-01-02 06:00:00,34.53,70.47,5.51,7.64,19.76,14.58,0.64,0.27,5.66,8.97,8.31,1.63,,2.29,3.63,,,0.67,260.28,0.0,0.0,,,
2024-01-02 07:00:00,33.75,58.72,5.86,13.08,18.95,13.19,0.37,0.14,5.52,7.3,6.44,1.05,,1.52,2.68,,99.99,0.62,168.72,0.0,0.0,4.07,,
2024-01-02 08:00:00,35.08,46.7,6.12,7.74,18.85,10.87,0.42,0.1,5.96,6.7,5.58,0.8,,1.19,2.26,,99.99,0.53,81.88,0.0,0.0,20.27,,
2024-01-02 09:00:00,34.1,38.42,5.6,6.6,19.29,11.64,0.49,0.05,5.14,7.09,6.09,0.92,,1.36,2.46,,99.99,0.44,153.64,0.0,0.0,32.21,,
2024-01-02 10:00:00,29.9,41.7,6.22,12.08,18.82,16.6,0.18,1.92,5.01,7.55,6.38,1.1,,1.78,2.78,,99.99,0.72,104.62,0.0,0.0,53.06,,
2024-01-02 11:00:00,25.42,42.2,5.88,12.49,19.14,19.15,,0.42,6.59,,,,,,,,,0.45,105.15,0.0,0.0,,,
2024-01-02 12:00:00,34.2,,6.16,7.54,21.53,19.64,0.28,1.17,6.58,5.53,4.78,0.77,,1.02,1.89,,,0.62,121.54,0.0,0.0,,,
2024-01-02 13:00:00,143.3,,6.52,7.87,20.67,16.6,,,7.53,,,,,,,,,0.64,110.58,0.0,0.0,,,
2024-01-02 14:00:00,108.45,,5.8,9.96,20.41,19.22,2.87,0.76,6.16,6.52,5.22,0.77,,1.23,2.0,,,0.52,193.14,0.0,0.0,,,
2024-01-02 15:00:00,63.0,,5.64,9.07,20.71,13.61,2.96,0.29,6.76,8.09,7.59,1.49,,1.8,3.63,,,0.49,96.9,0.0,0.0,,,
2024-01-02 16:00:00,37.7,,5.8,7.23,18.66,17.5,0.56,0.12,5.63,7.61,7.07,1.2,,1.64,3.0,,,0.56,30.93,0.0,0.0,,,
2024-01-02 17:00:00,30.75,,6.18,8.86,19.63,12.57,0.66,0.01,5.71,7.23,6.53,1.06,,1.35,2.66,,,0.65,191.09,0.0,0.0,,,
2024-01-02 18:00:00,32.98,,5.54,9.59,21.0,16.08,0.38,0.36,5.33,6.76,5.75,0.83,,1.08,2.21,,,0.54,214.68,0.0,0.0,,,
2024-01-02 19:00:00,34.67,,6.03,9.96,20.18,16.57,0.21,0.95,5.33,6.58,5.04,0.61,,0.92,1.79,,,0.6,315.33,0.0,0.0,,,
2024-01-02 20:00:00,33.28,,5.17,7.64,19.87,10.9,,2.35,5.55,5.94,4.33,0.53,,0.72,1.42,,,0.52,144.38,0.0,0.0,,,
2024-01-02 21:00:00,35.22,,5.23,9.9,19.13,14.72,,,5.69,6.3,4.66,0.53,,0.8,1.56,,,0.56,100.82,0.0,0.0,,,
2024-01-02 22:00:00,37.88,,5.92,9.53,19.31,15.79,1.22,0.82,5.71,6.82,5.77,0.83,,1.26,2.13,,,0.56,173.25,0.0,0.0,,,
2024-01-02 23:00:00,37.8,,5.7,11.2,21.9,14.16,1.0,0.49,5.92,7.49,7.01,1.07,,1.76,2.79,,,0.59,53.54,0.0,0.0,,,
2024-01-03 00:00:00,43.35,,6.23,8.15,21.11,18.0,0.88,0.35,7.39,7.8,7.52,1.06,,1.78,2.64,,,0.46,59.51,0.0,0.0,,,
2024-01-03 01:00:00,45.12,,5.31,9.85,18.97,13.82,0.93,0.23,7.32,8.01,8.34,1.03,,1.85,2.6,,,0.37,70.67,0.0,0.0,,,
2024-01-03 02:00:00,57.1,,5.9,11.0,20.25,17.05,0.85,1.3,6.76,7.82,8.27,0.9,,1.82,2.45,,,0.45,157.71,0.0,0.0,,,
2024-01-03 03:00:00,60.75,,5.52,7.16,19.6,19.15,1.46,0.53,7.53,7.46,7.27,0.78,,1.51,2.22,,,0.59,186.51,0.0,0.0,,,
2024-01-03 04:00:00,55.22,,4.58,11.1,19.57,10.65,0.82,0.57,6.93,7.58,7.84,0.72,,1.2,1.92,,,0.69,44.98,0.0,0.0,,,
2024-01-03 05:00:00,57.13,,5.74,8.49,22.38,15.64,1.17,1.08,7.13,4.31,4.64,0.46,,0.76,1.16,,,0.38,135.66,0.0,0.0,,,
2024-01-03 06:00:00,63.02,,6.19,8.37,20.32,10.56,0.52,0.23,7.88,8.07,9.57,1.0,,2.06,2.52,,,0.46,122.27,0.0,0.0,,,
2024-01-03 07:00:00,59.55,,5.66,10.11,19.63,14.91,0.47,0.12,8.99,8.23,10.01,1.06,,1.97,2.55,,,0.34,92.05,0.0,0.0,,,
2024-01-03 08:00:00,68.1,,5.87,9.22,18.95,12.93,0.84,0.38,8.82,8.55,10.34,1.14,,2.1,2.7,,,0.4,80.5,0.0,0.0,,,
2024-01-03 09:00:00,70.78,,5.69,7.49,20.11,15.63,1.08,0.1,8.79,8.62,9.18,1.06,,2.17,2.7,,99.99,0.54,109.5,0.0,0.0,71.98,,
2024-01-03 10:00:00,74.95,131.0,6.09,7.34,20.21,22.65,0.25,0.07,9.91,8.85,8.64,0.98,,1.85,2.48,,99.99,0.38,150.3,0.0,0.0,100.82,,
2024-01-03 11:00:00,81.03,85.8,5.9,9.01,20.35,14.62,0.46,1.71,11.19,9.08,7.96,0.9,,1.73,2.16,,99.99,0.43,142.52,0.0,0.0,192.72,,
2024-01-03 12:00:00,82.4,173.8,5.67,10.55,19.78,17.93,2.42,0.28,11.99,8.87,7.14,0.66,,1.37,1.75,,99.83,0.43,186.38,0.0,0.0,303.85,,
2024-01-03 13:00:00,86.25,165.02,5.29,9.12,21.06,15.68,2.54,0.25,13.55,9.53,7.72,0.8,,1.48,2.12,,98.42,0.5,134.72,0.0,0.0,355.27,,
2024-01-03 14:00:00,93.22,161.52,6.02,11.62,20.55,11.97,1.38,0.07,13.6,9.53,7.97,0.86,,1.61,2.35,,97.12,0.71,103.15,0.0,0.0,255.53,,
2024-01-03 15:00:00,94.28,148.45,5.92,12.89,20.75,14.85,1.27,,12.96,9.18,7.2,0.75,,1.36,2.14,,98.96,0.72,263.9,0.0,0.0,178.27,,
2024-01-03 16:00:00,87.48,147.98,5.35,10.14,18.8,11.54,1.68,0.04,11.2,9.69,7.79,1.0,,1.5,2.72,,99.19,0.97,324.4,0.0,0.0,69.37,,
2024-01-03 17:00:00,84.52,132.7,5.82,10.35,21.21,16.6,1.71,0.84,8.6,9.15,9.01,1.48,,2.1,3.76,,99.99,0.53,329.5,0.0,0.0,7.06,,
2024-01-03 18:00:00,84.0,131.7,5.46,6.63,19.69,11.16,1.2,1.01,6.89,10.45,9.81,1.72,,2.32,4.32,,99.99,0.68,319.56,0.0,0.0,,,
2024-01-03 19:00:00,90.95,155.65,5.97,8.45,20.86,14.94,1.74,0.98,6.09,12.27,10.95,1.92,,2.38,4.34,,99.99,0.7,301.3,0.0,0.0,,,
2024-01-03 20:00:00,102.58,161.3,6.27,8.38,19.24,15.14,2.1,0.14,6.84,13.32,10.88,1.71,,2.08,3.72,,99.99,1.02,276.83,0.0,0.0,,,
2024-01-03 21:00:00,100.88,159.52,5.98,8.76,20.4,13.24,1.86,0.06,3.32,13.56,9.63,1.43,,1.67,3.14,,99.99,0.5,292.57,0.0,0.0,,,
2024-01-03 22:00:00,94.48,153.12,5.28,8.7,20.34,16.42,0.97,0.15,3.85,19.77,11.24,1.84,,2.03,3.95,,99.99,0.79,282.89,0.0,0.0,,,
2024-01-03 23:00:00,91.2,146.37,5.52,9.83,20.52,11.2,5.13,1.33,5.69,16.37,8.95,1.25,,1.42,2.66,,99.99,1.24,278.38,0.0,0.0,,,
2024-01-04 00:00:00,87.78,172.4,6.01,11.73,19.19,16.55,1.28,2.17,2.79,10.39,7.23,0.83,,1.23,2.02,,99.99,0.75,308.64,0.0,0.0,,,
2024-01-04 01:00:00,83.32,171.48,5.82,7.78,18.52,12.58,1.19,2.76,1.62,9.06,6.52,0.72,,1.09,1.82,,99.99,0.8,305.83,0.0,0.0,,,
2024-01-04 02:00:00,82.62,155.18,6.09,10.12,18.5,13.15,1.52,0.13,1.38,8.89,6.48,0.74,,1.16,1.95,,99.99,0.83,317.49,0.0,0.0,,,
2024-01-04 03:00:00,81.7,144.58,6.27,9.56,20.81,13.92,0.88,0.06,2.78,8.44,6.17,0.72,,1.08,1.88,,99.99,0.87,322.86,0.0,0.0,,,
2024-01-04 04:00:00,73.2,128.3,5.43,10.16,18.76,14.17,1.82,1.3,2.98,8.3,6.03,0.72,,1.03,1.78,,99.99,0.64,253.4,0.0,0.0,,,
2024-01-04 05:00:00,72.0,133.45,5.52,10.06,19.76,13.53,1.75,1.09,2.32,8.24,6.06,0.73,,1.06,1.87,,99.99,0.71,302.21,0.0,0.0,,,
2024-01-04 06:00:00,71.18,138.68,6.06,10.74,19.24,11.94,1.18,0.28,1.73,9.9,6.44,0.83,,1.07,2.0,,99.99,0.84,302.62,0.0,0.0,,,
2024-01-04 07:00:00,72.15,146.05,5.42,10.79,19.21,21.38,0.94,0.16,1.97,9.16,6.44,0.77,,1.02,1.89,,99.99,0.58,319.73,0.0,0.0,5.27,,
2024-01-04 08:00:00,70.48,146.5,5.64,9.39,18.25,16.39,2.56,0.18,3.03,10.41,7.36,0.98,,1.17,2.34,,99.99,0.55,314.18,0.0,0.0,27.94,,
2024-01-04 09:00:00,73.3,146.63,5.65,9.15,19.96,16.3,2.98,0.25,4.15,11.05,8.65,1.42,,1.63,3.18,,99.99,0.53,305.59,0.0,0.0,51.87,,
2024-01-04 10:00:00,72.9,151.3,5.55,8.66,20.58,13.94,1.62,2.66,6.91,10.62,8.17,1.31,,1.6,2.99,,99.99,1.11,290.71,0.0,0.0,66.4,,
2024-01-04 11:00:00,73.82,155.2,5.4,10.78,19.61,15.76,2.5,1.86,7.54,10.58,8.32,1.35,,1.74,3.21,,99.99,0.99,304.52,0.0,0.0,79.42,,
2024-01-04 12:00:00,70.7,161.5,6.01,9.78,18.59,20.59,1.5,0.5,8.24,9.41,7.62,1.08,,1.42,2.68,,99.99,0.6,306.4,0.0,0.0,79.76,,
2024-01-04 13:00:00,72.68,141.0,5.79,8.42,19.52,14.93,1.55,0.24,8.22,9.13,7.52,1.04,,1.54,2.73,,99.99,0.78,328.31,0.0,0.0,112.76,,
2024-01-04 14:00:00,72.53,136.4,6.45,8.31,19.68,13.09,1.51,0.17,7.68,9.26,7.99,1.14,,1.53,2.88,,99.99,0.74,184.63,0.0,0.0,89.89,,
2024-01-04 15:00:00,75.75,130.48,5.9,7.62,19.19,14.84,2.24,0.18,7.03,9.35,8.04,1.28,,1.79,3.36,,99.99,0.66,315.82,0.0,0.0,53.19,,
2024-01-04 16:00:00,78.38,131.25,4.81,7.65,18.47,18.46,1.66,1.76,5.55,10.23,8.94,1.59,,2.08,3.83,,99.99,0.64,313.31,0.0,0.0,19.4,,
2024-01-04 17:00:00,80.28,134.62,6.3,7.79,19.76,13.18,2.05,0.53,3.82,12.07,10.63,2.19,,2.45,4.2,,99.99,0.52,282.99,0.0,0.0,1.2,,
2024-01-04 18:00:00,81.68,152.43,5.56,6.78,20.1,15.94,3.04,0.15,3.91,12.9,11.44,2.32,,2.44,4.42,,99.99,0.96,291.1,0.0,0.0,,,
2024-01-04 19:00:00,78.4,162.65,5.58,9.04,21.66,13.44,2.58,0.05,5.29,11.36,9.36,1.43,,1.82,3.27,,99.99,0.93,305.74,0.0,0.0,,,
2024-01-04 20:00:00,77.85,167.45,5.32,8.04,18.77,12.07,2.11,0.6,5.29,10.34,7.8,1.19,,1.65,2.55,,99.99,0.79,319.74,0.0,0.0,,,
2024-01-04 21:00:00,76.02,147.2,5.8,9.14,20.92,12.68,1.85,0.8,5.62,9.82,7.42,1.16,,1.48,2.2,,99.99,0.68,99.22,0.0,0.0,,,
2024-01-04 22:00:00,65.18,132.65,5.82,10.28,18.86,13.29,0.46,0.09,6.55,8.71,6.42,0.78,,1.11,1.64,,99.99,0.52,24.21,0.0,0.0,,,
2024-01-04 23:00:00,51.5,112.4,6.12,10.82,19.68,11.55,0.57,,7.94,8.19,5.76,0.59,,0.95,1.38,,99.99,0.44,140.3,0.0,0.0,,,
2024-01-05 00:00:00,45.5,101.02,5.48,10.96,20.47,12.46,1.51,0.02,13.05,7.06,4.58,0.36,,0.64,0.88,,99.99,0.64,287.88,0.0,0.0,,,
2024-01-05 01:00:00,40.65,85.08,5.72,10.06,19.31,7.8,0.91,0.01,12.04,7.72,4.38,0.34,,0.6,0.82,,99.99,0.78,288.36,0.0,0.0,,,
2024-01-05 02:00:00,39.22,74.4,5.57,9.27,20.32,13.03,0.82,0.32,11.9,6.9,3.94,0.28,,0.55,0.74,,99.99,0.7,303.67,0.0,0.0,,,
2024-01-05 03:00:00,38.67,72.4,5.62,12.94,19.85,8.94,0.98,1.56,11.14,6.55,3.87,0.25,,0.55,0.74,,99.99,0.86,304.94,0.0,0.0,,,
2024-01-05 04:00:00,40.48,75.6,5.73,6.92,20.2,15.78,0.78,0.13,9.02,7.01,4.3,0.32,,0.65,0.88,,99.99,0.65,333.12,0.0,0.0,,,
2024-01-05 05:00:00,42.65,84.0,6.52,9.15,19.84,16.36,0.65,0.03,7.24,6.86,4.4,0.32,,0.64,0.84,,99.99,0.51,174.05,0.0,0.0,,,
2024-01-05 06:00:00,43.98,92.93,5.35,13.83,19.58,7.77,0.97,0.11,6.51,6.7,4.39,0.31,,0.61,0.8,,99.99,0.35,299.11,0.0,0.0,,,
2024-01-05 07:00:00,47.82,101.18,5.08,8.56,20.47,15.3,0.88,0.05,5.78,7.18,4.51,0.43,,0.88,1.18,,99.99,0.18,187.2,0.0,0.0,2.66,,
2024-01-05 08:00:00,51.95,105.5,6.38,8.9,19.73,16.02,0.28,0.65,5.5,7.42,4.94,0.59,,1.17,1.56,,99.99,0.29,128.14,0.0,0.0,20.03,,
