Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,47.14,69.76,12.37,7.82,20.19,50.66,5.51,1.05,16.97,9.38,27.86,3.02,,3.47,3.99,9.25,,0.56,78.42,0.0,0.0,2.58,,
2024-01-01 01:00:00,41.83,61.94,12.07,7.9,19.97,50.29,3.71,0.98,21.44,9.82,29.74,3.32,,3.64,4.48,9.2,,0.32,76.48,0.0,0.0,2.4,,
2024-01-01 02:00:00,40.33,59.69,11.96,8.13,20.1,50.35,4.04,0.94,21.71,9.41,29.29,3.3,,3.57,4.26,8.92,,0.56,53.39,0.0,0.0,2.52,,
2024-01-01 03:00:00,39.5,58.45,11.94,8.05,19.99,50.13,9.59,0.92,19.29,8.52,27.23,2.92,,3.36,3.62,8.67,,0.7,38.16,0.0,0.0,2.42,,
2024-01-01 04:00:00,32.28,47.76,12.0,8.17,20.17,50.56,9.88,0.9,15.43,8.88,28.86,3.12,,3.44,3.8,8.33,,0.72,39.91,0.0,0.0,2.58,,
2024-01-01 05:00:00,34.5,51.03,12.34,8.06,20.4,51.76,9.62,0.87,17.98,8.71,28.86,3.11,,3.47,3.95,8.16,,0.53,37.13,0.0,0.0,2.62,,
2024-01-01 06:00:00,36.34,53.78,12.12,8.02,20.14,50.31,4.28,0.44,18.38,8.15,27.48,2.9,,3.38,3.72,8.04,,0.61,51.12,0.0,0.0,2.62,,
2024-01-01 07:00:00,28.81,42.64,12.22,8.07,20.3,51.02,2.88,0.42,22.7,8.44,28.76,3.12,,3.46,3.86,7.92,,0.74,58.42,0.0,0.0,6.43,,
2024-01-01 08:00:00,31.44,46.58,11.82,8.06,19.89,50.32,3.0,0.43,20.19,8.28,28.36,3.1,,3.45,3.87,7.97,,0.57,54.31,0.0,0.0,21.35,,
2024-01-01 09:00:00,40.56,60.0,11.94,8.04,19.98,50.21,4.38,0.47,17.94,7.86,26.65,2.85,,3.36,3.7,8.34,,0.5,54.55,0.0,0.0,41.38,,
2024-01-01 10:00:00,45.55,67.43,11.88,8.16,20.04,50.02,5.29,0.8,16.02,8.53,28.44,3.12,,3.5,4.1,8.72,,0.49,73.76,0.0,0.0,83.05,,
2024-01-01 11:00:00,49.39,73.1,12.2,8.18,20.38,51.32,5.48,0.78,14.76,8.52,28.39,3.08,,3.52,4.2,9.06,,0.44,292.66,0.0,0.0,114.0,,
2024-01-01 12:00:00,51.06,75.56,12.19,7.87,20.06,50.25,7.12,0.77,17.76,8.0,26.79,2.84,,3.39,3.75,9.5,,0.66,271.4,0.0,0.0,129.65,,
2024-01-01 13:00:00,48.88,72.36,12.05,8.18,20.23,51.05,4.81,0.76,22.35,8.53,28.79,3.19,,3.62,4.39,9.75,,0.65,152.91,0.0,0.0,122.02,,
2024-01-01 14:00:00,51.66,76.46,12.01,8.12,20.13,50.78,5.3,0.77,18.1,8.53,28.7,3.25,,3.64,4.49,10.0,,0.54,90.62,0.0,0.0,90.45,,
2024-01-01 15:00:00,57.23,84.67,12.05,8.09,20.14,50.48,7.61,0.82,14.28,8.03,26.86,2.93,,3.48,4.11,9.98,,0.6,152.45,0.0,0.0,60.88,,
2024-01-01 16:00:00,59.83,88.55,12.3,7.86,20.16,50.69,7.52,0.82,17.98,8.57,28.88,3.19,,3.62,4.45,9.77,,0.97,184.45,0.0,0.0,30.1,,
2024-01-01 17:00:00,60.32,89.27,12.11,8.14,20.24,50.9,7.73,0.82,16.69,8.62,29.08,3.2,,3.63,4.49,9.57,,0.94,37.9,0.0,0.0,5.45,,
2024-01-01 18:00:00,63.07,93.34,12.2,8.08,20.27,51.24,4.82,0.5,21.3,8.36,28.17,3.09,,3.57,4.34,9.51,,1.08,40.74,0.0,0.0,2.72,,
2024-01-01 19:00:00,58.59,86.72,12.13,7.93,20.05,50.14,5.56,0.52,21.32,8.87,29.2,3.29,,3.68,4.61,9.21,,1.03,34.92,0.0,0.0,2.65,,
2024-01-01 20:00:00,60.25,89.18,12.23,8.01,20.24,51.2,4.53,0.51,22.92,8.9,29.06,3.3,,3.68,4.61,9.03,,0.97,16.99,0.0,0.0,2.7,,
2024-01-01 21:00:00,59.26,87.72,12.1,8.03,20.13,50.55,8.41,0.53,12.75,8.19,26.62,2.89,,3.45,4.05,8.82,,0.58,20.67,0.0,0.0,2.58,,
2024-01-01 22:00:00,55.06,81.47,12.24,7.98,20.22,50.56,7.66,0.83,15.88,8.65,28.38,3.1,,3.54,4.3,8.64,,0.46,40.8,0.0,0.0,2.6,,
2024-01-01 23:00:00,56.53,83.64,11.74,8.07,19.8,49.6,7.43,0.83,18.48,8.58,28.33,3.07,,3.53,4.26,8.7,,0.52,42.93,0.0,0.0,2.6,,
2024-01-02 00:00:00,62.59,92.64,12.54,7.88,20.42,51.38,5.12,0.8,20.14,8.05,26.72,2.85,,3.43,4.0,8.52,,0.55,38.02,0.0,0.0,2.58,,
2024-01-02 01:00:00,70.15,103.85,12.16,7.82,19.98,50.44,3.34,0.8,21.32,8.46,28.33,3.13,,3.56,4.32,8.37,,0.67,42.96,0.0,0.0,2.7,,
2024-01-02 02:00:00,82.83,122.59,12.22,7.82,20.04,50.02,5.62,0.8,18.34,8.36,27.92,3.11,,3.53,4.25,8.32,,0.81,40.47,0.0,0.0,2.68,,
2024-01-02 03:00:00,90.56,134.01,12.18,7.96,20.13,50.61,6.15,0.82,15.02,7.78,25.86,2.74,,3.33,3.66,8.26,,0.7,56.07,0.0,0.0,2.78,,
2024-01-02 04:00:00,98.87,146.37,12.14,8.06,20.2,50.73,5.38,0.81,15.21,8.23,27.7,2.96,,3.47,4.1,8.23,,0.42,47.37,0.0,0.0,2.62,,
2024-01-02 05:00:00,99.33,147.02,12.41,7.83,20.25,51.17,4.7,0.81,18.74,8.18,27.76,2.97,,3.45,4.0,8.25,,0.34,49.41,0.0,0.0,2.6,,
2024-01-02 06:00:00,92.38,136.76,12.28,7.92,20.2,50.82,5.29,0.45,19.97,7.81,26.62,2.82,,3.39,3.89,8.31,,0.54,98.02,0.0,0.0,2.58,,
2024-01-02 07:00:00,91.34,135.2,12.12,7.94,20.07,50.24,2.83,0.46,23.08,8.12,27.64,3.02,,3.42,3.84,8.18,,0.58,173.16,0.0,0.0,6.92,,
2024-01-02 08:00:00,95.46,141.25,12.38,7.97,20.35,50.95,4.53,0.49,18.72,8.1,27.28,2.96,,3.4,3.77,8.16,,0.52,18.86,0.0,0.0,,,
2024-01-02 09:00:00,104.05,153.95,12.48,8.0,20.48,51.71,4.86,0.52,15.18,7.73,25.78,2.72,,3.3,3.56,8.35,,0.59,52.64,0.0,0.0,,,
2024-01-02 10:00:00,99.36,147.06,12.18,7.88,20.06,50.16,4.7,0.82,15.73,8.32,27.66,2.95,,3.41,3.88,8.89,,0.44,71.47,0.0,0.0,,,
2024-01-02 11:00:00,96.12,142.25,12.0,7.95,19.96,50.12,5.18,0.83,16.14,8.43,27.78,2.94,,3.42,3.86,9.46,,0.43,91.03,0.0,0.0,,,
2024-01-02 12:00:00,82.82,122.5,12.15,8.07,20.22,50.73,5.94,0.82,21.1,8.01,26.51,2.8,,3.4,3.94,9.87,,0.61,72.68,0.0,0.0,,,
2024-01-02 13:00:00,67.11,99.26,12.36,8.07,20.43,51.56,6.31,0.83,20.03,8.48,28.24,3.06,,3.46,4.0,10.38,,0.79,38.01,0.0,0.0,,,
2024-01-02 14:00:00,62.34,92.26,12.24,7.9,20.14,50.43,7.5,0.93,17.22,8.59,28.17,3.08,,3.46,3.99,10.79,,0.68,59.11,0.0,0.0,,,
2024-01-02 15:00:00,53.86,79.76,11.68,8.16,19.83,49.54,5.76,0.96,14.92,8.06,26.72,2.8,,3.34,3.65,10.84,,1.07,23.54,0.0,0.0,,,
