time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,6.0,95,0.00,967.0,2.3,4.4,51,351
2024-01-01T01:00,6.8,90,0.00,968.8,1.9,1.8,68,53
2024-01-01T02:00,6.9,90,0.00,969.3,1.6,1.1,63,180
2024-01-01T03:00,8.6,84,0.00,970.1,2.6,2.5,56,98
2024-01-01T04:00,10.9,80,0.00,970.6,0.8,1.6,243,153
2024-01-01T05:00,12.4,81,0.00,970.7,3.8,3.9,253,248
2024-01-01T06:00,13.6,79,0.00,970.4,4.9,5.7,253,252
2024-01-01T07:00,14.7,74,0.00,969.5,4.8,5.2,257,254
2024-01-01T08:00,15.5,73,0.00,968.7,4.7,5.1,266,266
2024-01-01T09:00,15.9,72,0.00,968.0,5.4,6.1,274,273
2024-01-01T10:00,15.6,73,0.00,967.5,4.9,6.2,287,291
2024-01-01T11:00,14.8,76,0.00,967.3,5.3,6.5,298,304
2024-01-01T12:00,11.3,92,0.00,966.8,6.6,10.2,315,318
2024-01-01T13:00,9.3,97,0.00,967.7,5.6,7.4,345,331
2024-01-01T14:00,8.4,97,0.00,968.1,6.6,10.0,351,322
2024-01-01T15:00,8.0,97,0.00,968.4,7.2,11.1,3,324
2024-01-01T16:00,8.8,94,0.00,968.4,4.4,7.2,35,342
2024-01-01T17:00,6.8,96,0.00,968.0,3.8,5.9,41,349
2024-01-01T18:00,6.6,93,0.00,967.4,2.3,5.4,51,356
2024-01-01T19:00,6.3,91,0.00,967.1,1.8,4.0,53,350
2024-01-01T20:00,6.1,91,0.00,966.8,2.1,2.5,59,8
2024-01-01T21:00,5.9,92,0.00,966.7,2.4,2.6,63,16
2024-01-01T22:00,5.9,90,0.00,966.4,2.1,2.5,59,45
2024-01-01T23:00,5.7,90,0.00,966.2,2.6,2.5,56,45
2024-01-02T00:00,5.3,91,0.00,966.0,2.6,2.3,56,39
