Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,175.25,328.5,2.47,31.7,18.87,18.13,24.47,1.16,11.18,0.2,1.18,,,,,10.1,93.0,0.65,103.25,0.0,0.0,86.0,,
2024-01-01 01:00:00,163.25,307.5,2.7,37.1,21.9,17.87,27.63,1.09,10.33,0.2,1.12,,,,,9.88,93.0,0.88,72.0,0.0,0.0,86.0,,
2024-01-01 02:00:00,156.0,289.0,2.3,30.52,18.1,20.52,25.5,0.98,15.4,0.2,1.1,,,,,9.43,93.0,1.15,108.0,0.0,0.0,86.0,,
2024-01-01 03:00:00,123.25,217.25,2.15,22.5,13.7,19.08,17.27,0.98,13.45,0.12,1.1,,,,,9.43,93.5,0.7,157.75,0.0,0.0,86.0,,
2024-01-01 04:00:00,97.75,162.5,2.22,20.2,12.55,18.5,16.32,0.96,13.12,0.1,1.05,,,,,9.38,94.0,0.68,172.0,0.0,0.0,86.0,,
2024-01-01 05:00:00,81.75,153.0,2.02,19.45,11.98,18.0,14.5,0.94,13.2,0.1,1.02,,,,,9.22,94.0,0.7,183.75,0.0,0.0,85.75,,
2024-01-01 06:00:00,77.5,149.25,2.48,19.85,12.6,17.45,13.4,0.95,13.15,0.1,0.88,,,,,9.15,94.0,0.7,177.75,0.0,0.0,85.75,,
2024-01-01 07:00:00,80.75,150.25,3.2,21.22,13.9,16.88,14.28,0.98,12.05,0.1,0.8,,,,,8.95,94.0,0.72,112.75,0.0,0.0,86.75,,
2024-01-01 08:00:00,90.75,166.75,6.35,24.18,18.05,17.45,19.38,1.12,11.35,0.1,0.8,,,,0.1,9.0,93.5,0.72,190.0,0.0,0.0,91.5,,
2024-01-01 09:00:00,125.25,213.75,13.75,31.55,27.95,18.6,77.78,1.31,12.2,0.2,0.95,,,,0.1,9.72,90.75,0.75,234.0,0.0,0.0,101.0,,
2024-01-01 10:00:00,195.75,316.5,15.58,33.0,30.2,18.68,89.28,1.24,14.08,0.2,0.92,,,,,10.02,88.0,0.92,88.25,0.0,0.0,107.25,,
2024-01-01 11:00:00,218.75,337.25,13.08,30.52,26.88,19.88,60.25,1.23,21.08,0.2,0.8,,,,,10.6,86.25,0.98,103.0,0.0,0.0,125.75,,
2024-01-01 12:00:00,210.25,310.75,9.65,27.22,22.32,19.68,73.1,1.19,38.28,0.2,0.92,,,,,11.62,81.25,1.45,90.75,0.0,0.0,166.0,,
2024-01-01 13:00:00,196.5,282.0,6.35,24.05,17.98,18.32,58.88,1.04,49.78,0.12,0.7,,,,,12.52,77.75,1.58,100.75,0.0,0.0,168.25,,
2024-01-01 14:00:00,155.25,229.75,4.72,21.92,15.5,17.8,47.65,1.0,47.12,0.1,0.6,,,,,12.55,78.0,1.88,88.0,0.0,0.0,144.75,,
2024-01-01 15:00:00,137.0,218.5,3.82,24.1,15.92,17.68,38.17,1.08,35.95,0.1,0.38,,,,,11.52,83.0,2.05,81.25,0.0,0.0,103.75,,
