latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.390158,85.80745,309.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.4,0.00,98,980.5,4.6,7.7,141,79
2024-01-01T01:00,13.4,0.00,98,981.8,2.9,6.9,90,62
2024-01-01T02:00,13.8,0.00,97,982.4,1.5,5.9,76,79
2024-01-01T03:00,15.9,0.00,87,983.3,1.9,4.0,68,80
2024-01-01T04:00,18.2,0.00,75,983.4,3.7,5.2,61,65
2024-01-01T05:00,20.2,0.00,68,982.9,4.7,6.1,58,62
2024-01-01T06:00,21.7,0.00,63,981.9,3.1,3.9,69,68
2024-01-01T07:00,22.9,0.00,60,980.6,1.8,2.2,90,90
2024-01-01T08:00,23.7,0.00,57,979.5,2.2,1.8,81,79
2024-01-01T09:00,24.0,0.00,57,978.7,5.5,6.1,67,62
2024-01-01T10:00,23.6,0.00,58,978.4,8.0,9.6,72,70
2024-01-01T11:00,22.0,0.00,65,978.5,8.3,15.2,88,85
2024-01-01T12:00,18.8,0.00,77,978.5,6.5,11.6,90,97
2024-01-01T13:00,18.2,0.00,79,979.7,6.8,10.7,90,70
2024-01-01T14:00,18.0,0.00,79,980.3,2.6,5.9,196,76
2024-01-01T15:00,16.2,0.00,87,980.6,4.0,3.4,207,122
2024-01-01T16:00,16.0,0.00,86,980.9,4.4,1.5,261,315
2024-01-01T17:00,15.0,0.00,91,980.8,7.4,6.4,293,333
2024-01-01T18:00,14.9,0.00,90,980.6,5.1,5.9,278,346
2024-01-01T19:00,16.3,0.00,85,980.4,1.8,5.2,270,25
2024-01-01T20:00,16.0,0.00,87,980.1,1.5,4.6,194,45
2024-01-01T21:00,13.2,0.00,93,979.3,6.8,6.0,155,115
2024-01-01T22:00,12.5,0.00,94,979.2,8.2,9.3,151,126
2024-01-01T23:00,12.6,0.00,93,979.3,7.6,9.2,149,121
2024-01-02T00:00,12.9,0.00,92,979.9,6.4,8.7,142,107
2024-01-02T01:00,13.3,0.00,96,981.3,2.9,6.1,180,90
2024-01-02T02:00,13.7,0.00,93,981.9,0.8,5.4,207,70
2024-01-02T03:00,16.1,0.00,75,982.9,1.1,3.9,90,68
2024-01-02T04:00,18.8,0.00,61,983.0,1.9,2.9,68,60
2024-01-02T05:00,21.1,0.00,53,982.5,2.9,3.6,60,53
2024-01-02T06:00,22.7,0.00,50,981.5,3.9,4.8,56,48
2024-01-02T07:00,23.8,0.00,49,980.2,4.7,5.7,58,55
2024-01-02T08:00,24.3,0.00,48,979.2,5.8,7.3,60,57
2024-01-02T09:00,24.4,0.00,48,978.6,6.9,8.4,51,47
2024-01-02T10:00,23.9,0.00,50,978.4,7.4,9.7,51,45
2024-01-02T11:00,22.2,0.00,59,978.2,5.8,11.9,94,88
2024-01-02T12:00,18.9,0.00,73,978.3,9.1,11.9,99,88
2024-01-02T13:00,18.6,0.00,72,979.5,7.9,10.0,120,111
2024-01-02T14:00,18.0,0.00,75,979.9,6.8,6.6,155,112
2024-01-02T15:00,17.9,0.00,73,980.3,5.1,7.3,184,147
2024-01-02T16:00,17.7,0.00,74,980.8,5.2,8.0,146,108
2024-01-02T17:00,15.1,0.00,88,980.7,7.7,11.0,41,71
2024-01-02T18:00,15.2,0.00,87,980.6,5.7,10.3,35,78
2024-01-02T19:00,15.8,0.00,84,980.5,3.3,7.0,193,125
2024-01-02T20:00,15.5,0.00,84,980.0,3.7,7.7,209,139
2024-01-02T21:00,15.2,0.00,85,979.5,1.1,4.1,288,105
2024-01-02T22:00,12.8,0.00,94,979.1,4.6,5.1,321,45
2024-01-02T23:00,14.1,0.00,90,979.5,3.3,6.0,311,33
2024-01-03T00:00,14.0,0.00,90,980.1,0.8,4.6,243,39
2024-01-03T01:00,13.7,0.00,93,981.1,0.4,4.7,270,67
2024-01-03T02:00,13.9,0.00,93,981.9,1.5,5.2,315,56
2024-01-03T03:00,16.4,0.00,80,983.1,1.6,3.9,63,68
2024-01-03T04:00,18.7,0.00,66,983.4,3.8,5.2,73,74
2024-01-03T05:00,20.7,0.00,59,982.7,4.9,6.4,73,74
2024-01-03T06:00,22.2,0.00,55,981.7,5.8,7.3,68,70
2024-01-03T07:00,23.3,0.00,52,980.4,5.6,6.9,63,62
2024-01-03T08:00,24.0,0.00,50,979.2,5.4,6.9,53,51
2024-01-03T09:00,24.2,0.00,49,978.6,6.4,7.9,47,47
2024-01-03T10:00,23.8,0.00,50,978.4,6.9,8.7,39,38
2024-01-03T11:00,22.1,0.00,60,978.4,4.4,10.2,55,51
2024-01-03T12:00,18.5,0.00,73,978.2,8.0,12.1,85,80
2024-01-03T13:00,17.7,0.00,77,979.1,8.3,10.6,124,100
2024-01-03T14:00,17.2,0.00,79,979.3,7.4,10.2,141,98
2024-01-03T15:00,16.6,0.00,80,979.2,6.4,9.9,164,109
2024-01-03T16:00,15.6,0.00,84,979.4,6.5,8.4,186,121
2024-01-03T17:00,15.0,0.00,85,979.4,6.2,7.4,201,137
2024-01-03T18:00,14.5,0.00,87,979.2,5.2,6.6,214,158
2024-01-03T19:00,14.5,0.00,87,979.1,5.1,8.4,225,187
2024-01-03T20:00,13.7,0.00,91,978.6,6.1,9.1,225,189
2024-01-03T21:00,13.3,0.00,92,978.3,6.1,7.1,242,221
2024-01-03T22:00,13.0,0.00,93,978.1,6.1,7.9,230,231
2024-01-03T23:00,12.4,0.00,94,978.2,4.3,5.4,222,228
2024-01-04T00:00,11.6,0.00,95,978.9,4.9,1.9,216,248
2024-01-04T01:00,12.4,0.00,92,980.4,3.1,2.3,216,288
2024-01-04T02:00,14.8,0.00,82,981.8,2.7,0.8,203,117
2024-01-04T03:00,18.0,0.00,70,982.9,2.0,2.6,135,124
2024-01-04T04:00,20.4,0.00,62,983.2,3.6,4.3,90,90
2024-01-04T05:00,22.4,0.00,57,982.8,4.1,5.2,75,74
2024-01-04T06:00,23.7,0.00,53,981.6,4.9,6.0,73,73
2024-01-04T07:00,24.7,0.00,49,980.2,5.2,6.4,65,63
2024-01-04T08:00,25.1,0.00,47,979.1,4.2,5.5,59,58
2024-01-04T09:00,25.3,0.00,45,978.4,4.3,5.4,42,42
2024-01-04T10:00,24.9,0.00,47,978.2,5.6,7.1,45,45
2024-01-04T11:00,23.3,0.00,57,978.3,4.8,10.9,42,44
2024-01-04T12:00,20.9,0.00,65,978.3,6.9,16.4,51,50
2024-01-04T13:00,18.8,0.00,74,979.1,6.5,14.6,90,74
2024-01-04T14:00,17.6,0.00,80,979.4,8.7,14.9,107,83
2024-01-04T15:00,17.4,0.00,78,979.7,6.3,14.7,149,115
2024-01-04T16:00,16.1,0.00,83,979.8,9.8,14.3,152,118
2024-01-04T17:00,16.3,0.00,80,980.0,6.4,14.8,196,166
2024-01-04T18:00,15.4,0.00,84,979.7,5.9,10.8,223,182
2024-01-04T19:00,15.5,0.00,82,979.4,6.6,13.1,225,196
2024-01-04T20:00,15.3,0.00,82,979.2,7.1,17.3,221,201
2024-01-04T21:00,14.8,0.00,86,978.9,6.1,15.8,220,204
2024-01-04T22:00,13.8,0.00,90,978.7,8.9,13.0,227,208
2024-01-04T23:00,13.9,0.00,88,979.1,7.4,9.8,223,204
2024-01-05T00:00,12.9,0.00,92,979.5,7.9,7.9,227,204
2024-01-05T01:00,14.2,0.00,89,981.1,5.7,12.5,235,224
2024-01-05T02:00,15.8,0.00,82,982.0,3.4,7.5,198,215
2024-01-05T03:00,18.0,0.00,75,982.8,3.1,2.6,69,106
2024-01-05T04:00,20.4,0.00,66,983.4,4.2,5.0,59,60
2024-01-05T05:00,22.4,0.00,58,982.9,4.8,5.9,48,47
2024-01-05T06:00,23.9,0.00,52,981.9,4.7,5.7,58,55
2024-01-05T07:00,25.0,0.00,47,980.6,5.3,6.6,62,61
2024-01-05T08:00,25.4,0.00,45,979.5,5.5,7.1,58,60
2024-01-05T09:00,25.4,0.00,45,978.8,6.1,7.4,50,51
2024-01-05T10:00,25.0,0.00,47,978.7,6.4,7.9,38,39
2024-01-05T11:00,23.5,0.00,56,979.2,4.7,11.2,32,33
2024-01-05T12:00,21.0,0.00,63,979.3,6.4,15.0,52,48
2024-01-05T13:00,19.7,0.00,71,980.0,7.2,17.9,63,60
2024-01-05T14:00,18.2,0.00,77,980.5,6.5,16.5,96,79
2024-01-05T15:00,17.7,0.00,80,980.8,6.1,15.5,130,103
2024-01-05T16:00,16.7,0.00,84,981.0,7.3,14.3,147,124
2024-01-05T17:00,16.3,0.00,84,980.9,7.5,13.4,163,126
2024-01-05T18:00,16.9,0.00,79,981.0,6.9,11.7,174,124
2024-01-05T19:00,16.4,0.00,81,980.8,5.5,12.3,212,165
2024-01-05T20:00,14.9,0.00,89,980.2,7.7,10.1,229,197
2024-01-05T21:00,14.7,0.00,88,979.8,7.3,8.9,237,212
2024-01-05T22:00,16.3,0.00,80,979.8,2.9,4.5,270,209
2024-01-05T23:00,15.4,0.00,83,979.7,2.6,3.6,214,186
2024-01-06T00:00,13.6,0.00,92,979.9,5.1,4.3,225,185
2024-01-06T01:00,13.7,0.00,94,981.8,3.6,2.9,276,300
2024-01-06T02:00,15.6,0.00,88,982.4,5.2,3.3,245,257
2024-01-06T03:00,18.7,0.00,77,983.1,1.6,3.1,243,225
2024-01-06T04:00,21.0,0.00,68,983.6,5.2,6.2,25,21
2024-01-06T05:00,22.4,0.00,62,982.9,6.2,8.0,36,36
