latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.655535,86.3924,162.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,11.0,0.00,100,997.9,4.4,5.5,261,293
2024-01-01T01:00,11.6,0.00,100,999.0,4.2,6.9,250,298
2024-01-01T02:00,12.2,0.00,98,999.8,5.1,8.4,266,290
2024-01-01T03:00,14.6,0.00,89,1000.5,4.5,7.0,284,291
2024-01-01T04:00,17.4,0.00,78,1000.7,6.0,7.9,295,300
2024-01-01T05:00,19.8,0.00,69,1000.0,5.8,7.8,300,304
2024-01-01T06:00,21.6,0.00,63,998.7,6.0,7.6,295,295
2024-01-01T07:00,22.7,0.00,59,997.2,7.1,9.0,285,286
2024-01-01T08:00,23.4,0.00,52,996.2,8.8,11.4,282,283
2024-01-01T09:00,23.6,0.00,47,995.4,9.1,12.1,279,280
2024-01-01T10:00,23.2,0.00,48,995.0,7.8,10.7,283,284
2024-01-01T11:00,20.9,0.00,73,995.0,6.5,8.7,276,287
2024-01-01T12:00,21.5,0.00,57,995.5,5.2,6.3,286,301
2024-01-01T13:00,17.0,0.00,67,996.5,7.2,18.1,18,13
2024-01-01T14:00,15.9,0.00,67,997.3,7.1,19.1,345,356
2024-01-01T15:00,14.7,0.00,75,997.8,7.4,16.5,331,349
2024-01-01T16:00,13.1,0.00,84,998.1,8.7,12.3,318,339
2024-01-01T17:00,12.2,0.00,89,998.1,7.1,9.2,294,321
2024-01-01T18:00,11.4,0.00,91,997.8,7.0,10.0,282,308
2024-01-01T19:00,11.0,0.00,93,997.4,6.6,11.5,279,302
2024-01-01T20:00,10.9,0.00,93,997.2,5.5,13.2,293,305
2024-01-01T21:00,10.8,0.00,94,996.6,6.1,14.4,298,307
2024-01-01T22:00,10.5,0.00,95,996.7,5.2,13.5,295,312
2024-01-01T23:00,10.1,0.00,97,996.8,4.2,10.2,290,318
2024-01-02T00:00,9.8,0.00,98,997.2,4.0,7.4,265,309
2024-01-02T01:00,10.3,0.00,98,998.4,5.2,11.3,254,287
2024-01-02T02:00,11.6,0.00,94,998.9,4.7,9.9,247,289
2024-01-02T03:00,14.2,0.00,82,999.8,0.8,4.1,207,308
2024-01-02T04:00,16.9,0.00,71,1000.1,2.6,2.6,124,106
2024-01-02T05:00,19.4,0.00,62,999.3,3.8,4.3,107,95
2024-01-02T06:00,21.4,0.00,56,998.1,3.4,4.3,58,48
2024-01-02T07:00,23.3,0.00,49,996.8,5.4,7.6,8,3
2024-01-02T08:00,24.5,0.00,43,995.7,9.4,12.3,358,353
2024-01-02T09:00,24.8,0.00,42,995.1,11.2,15.2,356,353
2024-01-02T10:00,24.2,0.00,44,994.9,11.2,16.3,358,354
2024-01-02T11:00,22.0,0.00,53,994.8,7.8,17.8,13,8
2024-01-02T12:00,19.2,0.00,57,995.3,8.2,19.6,23,17
2024-01-02T13:00,18.1,0.00,54,996.5,9.1,22.3,34,31
2024-01-02T14:00,17.0,0.00,58,996.9,7.8,21.4,34,29
2024-01-02T15:00,14.9,0.00,70,997.4,10.5,17.1,38,28
2024-01-02T16:00,15.7,0.00,65,997.9,7.4,12.9,29,27
2024-01-02T17:00,16.4,0.00,62,998.2,4.7,9.6,4,20
