latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.203865,75.65465,528.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.6,73,0.00,953.8,6.1,118,16.3,125
2024-01-01T01:00,18.5,80,0.00,955.4,8.3,108,18.7,113
2024-01-01T02:00,18.9,81,0.00,956.0,11.4,101,21.1,107
2024-01-01T03:00,20.9,74,0.00,957.0,13.1,106,18.6,108
2024-01-01T04:00,23.2,66,0.00,957.7,13.2,101,16.9,102
2024-01-01T05:00,25.7,57,0.00,957.8,12.6,103,16.0,104
2024-01-01T06:00,27.7,48,0.00,957.1,12.1,107,15.1,108
2024-01-01T07:00,29.1,42,0.00,956.0,10.2,108,12.9,108
2024-01-01T08:00,30.0,38,0.00,954.5,9.1,99,11.4,101
2024-01-01T09:00,30.6,35,0.00,953.7,8.7,83,10.5,86
2024-01-01T10:00,30.6,35,0.00,953.2,8.8,71,10.5,74
2024-01-01T11:00,30.2,35,0.00,953.0,9.7,63,11.8,67
2024-01-01T12:00,29.1,36,0.00,953.2,10.2,51,14.2,54
2024-01-01T13:00,26.8,42,0.00,953.6,7.7,41,16.8,48
2024-01-01T14:00,25.6,42,0.00,954.4,8.1,58,19.5,62
2024-01-01T15:00,25.2,44,0.00,954.8,7.4,76,19.1,74
2024-01-01T16:00,24.7,47,0.00,955.4,12.2,90,25.6,90
2024-01-01T17:00,23.9,49,0.00,955.3,11.9,92,25.6,90
2024-01-01T18:00,23.5,48,0.00,955.0,12.0,97,26.4,95
2024-01-01T19:00,22.9,48,0.00,954.5,11.6,106,26.0,104
2024-01-01T20:00,22.3,50,0.00,953.7,10.9,107,24.8,109
2024-01-01T21:00,21.9,51,0.00,953.3,12.0,106,26.0,109
2024-01-01T22:00,21.3,55,0.00,952.9,11.3,112,24.3,117
2024-01-01T23:00,20.5,63,0.00,953.0,9.3,126,21.1,127
2024-01-02T00:00,19.9,72,0.00,953.5,9.4,130,21.1,133
2024-01-02T01:00,19.2,80,0.00,954.5,8.4,121,19.1,126
2024-01-02T02:00,19.4,85,0.00,955.2,9.5,115,17.8,122
