latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.852372,74.53258,762.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,16.7,73,0.00,927.9,7.4,119,19.9,132
2024-01-01T01:00,16.6,76,0.00,929.0,7.6,109,20.1,119
2024-01-01T02:00,17.4,74,0.00,929.7,9.4,108,21.7,117
2024-01-01T03:00,20.1,68,0.00,931.0,11.8,110,24.1,112
2024-01-01T04:00,22.3,65,0.00,932.1,12.3,111,17.0,111
2024-01-01T05:00,24.3,59,0.00,932.4,11.9,115,15.8,114
2024-01-01T06:00,26.0,53,0.00,932.0,11.6,116,15.0,114
2024-01-01T07:00,27.3,46,0.00,931.0,10.8,111,13.9,111
2024-01-01T08:00,28.1,42,0.00,929.8,9.4,108,12.1,107
2024-01-01T09:00,28.6,40,0.00,929.1,7.3,99,9.1,99
2024-01-01T10:00,28.7,39,0.00,928.7,5.4,90,6.8,90
2024-01-01T11:00,28.2,40,0.00,928.4,7.0,78,9.2,79
2024-01-01T12:00,26.9,47,0.00,928.3,5.2,74,10.9,73
2024-01-01T13:00,23.7,51,0.00,928.5,7.9,66,17.2,70
2024-01-01T14:00,23.1,51,0.00,929.1,9.0,53,20.5,66
2024-01-01T15:00,22.0,58,0.00,929.4,6.2,353,9.7,51
2024-01-01T16:00,19.7,70,0.00,929.5,8.1,238,5.0,240
2024-01-01T17:00,20.8,71,0.00,929.8,5.6,285,6.9,279
2024-01-01T18:00,19.7,78,0.00,929.4,6.6,315,9.8,332
2024-01-01T19:00,19.4,78,0.00,928.7,5.2,344,8.2,61
2024-01-01T20:00,19.7,68,0.00,928.4,7.4,61,18.0,88
2024-01-01T21:00,20.3,61,0.00,928.1,8.3,88,20.6,102
2024-01-01T22:00,19.0,67,0.00,927.2,7.9,93,20.3,107
2024-01-01T23:00,18.6,68,0.00,927.1,8.0,95,21.3,109
2024-01-02T00:00,18.5,68,0.00,927.5,9.1,108,23.0,115
2024-01-02T01:00,18.1,76,0.00,928.6,10.0,111,23.8,117
2024-01-02T02:00,18.3,76,0.00,929.1,11.0,109,23.5,115
2024-01-02T03:00,20.6,69,0.00,930.3,11.8,113,24.2,115
2024-01-02T04:00,22.6,64,0.00,931.2,13.2,116,18.7,115
2024-01-02T05:00,24.7,58,0.00,931.4,14.0,116,18.5,117
2024-01-02T06:00,26.3,52,0.00,931.0,14.0,116,18.4,116
2024-01-02T07:00,27.5,46,0.00,929.8,12.5,102,16.2,102
2024-01-02T08:00,28.2,44,0.00,928.8,10.1,96,13.0,96
2024-01-02T09:00,28.7,42,0.00,928.3,7.6,98,9.5,99
2024-01-02T10:00,28.7,42,0.00,927.7,6.5,90,7.9,90
2024-01-02T11:00,28.4,41,0.00,927.7,7.2,90,9.0,90
2024-01-02T12:00,27.0,48,0.00,927.6,5.5,79,11.0,79
2024-01-02T13:00,24.0,56,0.00,927.8,8.1,111,12.6,114
2024-01-02T14:00,23.1,57,0.00,928.4,8.0,80,17.0,96
2024-01-02T15:00,24.4,51,0.00,929.4,3.4,238,5.2,146
2024-01-02T16:00,21.9,66,0.00,929.4,8.5,258,16.3,252
2024-01-02T17:00,20.8,76,0.00,929.1,7.0,305,13.2,281
2024-01-02T18:00,20.0,80,0.00,928.6,5.6,315,11.5,311
2024-01-02T19:00,19.0,85,0.00,927.9,7.2,307,5.7,342
2024-01-02T20:00,19.0,84,0.00,927.3,6.6,351,8.5,54
2024-01-02T21:00,20.3,74,0.00,927.1,6.6,22,13.8,62
2024-01-02T22:00,19.0,76,0.00,926.5,6.4,27,13.5,65
2024-01-02T23:00,18.3,76,0.00,926.4,6.9,51,16.6,77
2024-01-03T00:00,17.8,72,0.00,926.7,7.1,75,18.5,98
2024-01-03T01:00,18.0,70,0.00,927.6,8.6,90,21.5,104
2024-01-03T02:00,18.3,69,0.00,928.5,9.8,98,23.1,104
2024-01-03T03:00,20.5,64,0.00,929.9,12.2,109,24.4,109
2024-01-03T04:00,22.3,61,0.00,930.9,14.7,118,20.4,116
2024-01-03T05:00,23.2,61,0.00,931.1,13.1,122,17.9,120
2024-01-03T06:00,24.9,55,0.00,930.4,12.9,117,17.1,118
2024-01-03T07:00,26.9,46,0.00,929.5,11.9,125,15.3,124
2024-01-03T08:00,28.1,43,0.00,928.4,10.5,131,13.2,133
2024-01-03T09:00,28.6,41,0.00,927.7,8.5,144,10.6,145
2024-01-03T10:00,28.7,40,0.00,927.3,6.6,167,8.6,165
2024-01-03T11:00,28.2,40,0.00,927.2,7.6,188,9.4,184
2024-01-03T12:00,27.2,46,0.00,927.2,5.1,188,10.5,184
2024-01-03T13:00,25.5,50,0.00,927.1,5.3,208,6.6,193
2024-01-03T14:00,25.5,49,0.00,927.6,2.6,214,4.6,162
2024-01-03T15:00,21.7,65,0.00,927.6,6.2,260,12.5,252
2024-01-03T16:00,20.8,79,0.00,928.1,7.8,283,17.1,278
2024-01-03T17:00,19.8,88,0.00,928.1,7.3,281,16.6,274
2024-01-03T18:00,19.3,92,0.00,927.8,8.6,285,17.8,278
2024-01-03T19:00,19.1,94,0.00,927.5,7.1,294,16.2,287
2024-01-03T20:00,19.2,95,0.00,927.4,6.1,320,13.3,303
2024-01-03T21:00,19.4,94,0.00,927.1,3.8,343,9.4,337
2024-01-03T22:00,19.0,96,0.00,926.9,4.7,360,7.4,14
2024-01-03T23:00,18.5,97,0.00,926.8,1.8,217,2.7,67
2024-01-04T00:00,18.4,99,0.00,927.1,2.5,262,0.7,360
2024-01-04T01:00,18.3,95,0.00,928.4,5.2,16,8.2,52
2024-01-04T02:00,19.1,84,0.00,928.9,8.0,63,16.0,82
2024-01-04T03:00,21.4,72,0.00,930.2,9.0,106,17.7,110
2024-01-04T04:00,23.3,65,0.00,931.4,11.1,119,14.5,120
2024-01-04T05:00,24.9,59,0.00,931.5,10.0,120,12.9,120
2024-01-04T06:00,26.2,54,0.00,930.9,9.8,126,12.7,125
2024-01-04T07:00,26.8,51,0.00,929.5,9.8,114,12.6,114
2024-01-04T08:00,27.4,49,0.10,928.3,6.6,103,8.6,105
2024-01-04T09:00,27.3,49,0.20,927.7,5.5,101,6.7,106
2024-01-04T10:00,26.7,51,0.40,927.4,4.0,117,5.0,120
2024-01-04T11:00,26.3,52,0.20,927.4,3.8,131,4.6,135
2024-01-04T12:00,25.8,53,0.00,927.6,1.8,143,2.4,153
2024-01-04T13:00,24.7,60,0.00,927.7,5.0,159,6.9,141
2024-01-04T14:00,22.8,68,0.00,928.0,5.4,228,11.2,201
2024-01-04T15:00,21.8,74,0.00,929.0,7.1,240,17.3,234
2024-01-04T16:00,20.3,90,0.00,929.1,5.4,278,9.6,250
2024-01-04T17:00,19.8,96,0.00,929.1,8.0,278,12.7,262
2024-01-04T18:00,19.7,97,0.00,928.6,5.6,297,6.8,273
2024-01-04T19:00,19.3,97,0.00,928.3,4.6,315,4.8,312
2024-01-04T20:00,18.7,98,0.00,927.5,3.8,311,2.1,329
2024-01-04T21:00,18.2,99,0.00,927.0,3.4,302,2.5,270
2024-01-04T22:00,18.7,98,0.00,926.8,0.0,270,3.7,151
2024-01-04T23:00,17.5,100,0.00,926.4,5.9,133,7.2,143
2024-01-05T00:00,17.2,100,0.00,926.7,6.3,114,8.2,142
2024-01-05T01:00,18.0,99,0.00,928.3,5.8,120,16.6,132
2024-01-05T02:00,18.3,97,0.00,928.7,8.0,126,18.2,129
2024-01-05T03:00,20.3,84,0.00,930.0,10.5,128,19.0,127
2024-01-05T04:00,22.4,71,0.00,930.8,14.0,132,19.4,132
2024-01-05T05:00,24.5,61,0.00,931.0,15.3,139,20.4,139
2024-01-05T06:00,26.2,55,0.00,930.2,14.9,148,19.3,147
2024-01-05T07:00,27.5,48,0.00,929.3,12.6,156,16.1,156
2024-01-05T08:00,28.3,44,0.00,928.3,9.8,172,12.4,170
2024-01-05T09:00,28.6,42,0.00,927.5,9.3,196,11.5,194
2024-01-05T10:00,28.2,42,0.00,927.3,8.9,207,10.8,206
2024-01-05T11:00,28.2,42,0.00,927.2,5.5,191,7.0,192
2024-01-05T12:00,27.3,46,0.00,927.3,4.7,212,9.5,209
2024-01-05T13:00,23.9,60,0.00,927.4,7.9,204,10.9,197
2024-01-05T14:00,23.1,69,0.00,928.7,13.4,256,24.5,256
2024-01-05T15:00,21.6,80,0.00,929.2,7.7,281,17.6,270
2024-01-05T16:00,20.7,85,0.00,929.2,8.0,288,17.4,277
2024-01-05T17:00,20.0,89,0.00,928.8,7.2,288,17.8,288
2024-01-05T18:00,19.2,93,0.00,928.5,6.1,298,12.7,295
2024-01-05T19:00,19.2,93,0.00,928.4,7.2,3,14.8,346
2024-01-05T20:00,18.9,93,0.50,928.3,4.0,243,6.4,297
2024-01-05T21:00,19.1,92,0.10,927.4,6.2,7,13.1,9
2024-01-05T22:00,18.7,92,0.00,926.9,6.1,40,16.3,49
2024-01-05T23:00,18.8,90,0.00,926.9,5.8,83,16.7,96
2024-01-06T00:00,18.6,86,0.00,927.3,7.2,93,18.9,103
2024-01-06T01:00,19.5,89,0.00,927.9,8.0,98,21.2,111
2024-01-06T02:00,20.0,86,0.00,928.8,10.0,116,22.2,119
2024-01-06T03:00,21.8,80,0.00,930.2,11.9,125,23.3,125
2024-01-06T04:00,23.3,71,0.00,931.2,14.5,134,19.6,134
