latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,918.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,17.2,93,0.00,912.9,12.0,99,19.0,100
2024-01-01T01:00,16.8,94,0.00,913.5,9.7,92,19.1,94
2024-01-01T02:00,17.3,89,0.00,914.4,13.0,96,20.0,98
2024-01-01T03:00,19.5,75,0.00,915.4,13.7,104,18.2,104
2024-01-01T04:00,21.8,65,0.00,916.4,12.4,98,15.7,99
2024-01-01T05:00,23.9,54,0.00,916.4,9.0,95,11.6,95
2024-01-01T06:00,25.8,45,0.00,915.9,7.0,102,8.5,102
2024-01-01T07:00,27.1,39,0.00,915.1,5.2,106,6.7,106
2024-01-01T08:00,27.9,36,0.00,913.9,6.2,111,7.3,110
2024-01-01T09:00,28.3,34,0.00,912.8,7.6,121,9.5,119
2024-01-01T10:00,28.3,34,0.00,912.6,9.7,121,11.8,121
2024-01-01T11:00,27.6,35,0.00,912.5,11.6,120,14.5,120
2024-01-01T12:00,26.0,38,0.00,912.4,12.4,120,19.7,118
2024-01-01T13:00,23.1,51,0.00,913.2,12.7,115,23.4,115
2024-01-01T14:00,22.3,55,0.00,914.2,14.7,115,26.7,116
2024-01-01T15:00,21.3,60,0.00,914.4,14.8,108,27.9,110
2024-01-01T16:00,20.6,63,0.00,914.7,19.1,112,32.9,113
2024-01-01T17:00,20.4,68,0.00,914.5,17.9,112,30.3,114
2024-01-01T18:00,20.1,73,0.00,913.8,17.0,107,28.4,110
2024-01-01T19:00,19.7,77,0.00,913.2,17.7,103,28.7,105
2024-01-01T20:00,18.6,89,0.00,912.5,18.8,102,27.3,103
2024-01-01T21:00,18.3,92,0.00,912.0,16.9,101,25.1,102
2024-01-01T22:00,18.5,89,0.00,911.9,14.8,103,21.8,103
2024-01-01T23:00,18.2,90,0.00,912.1,14.4,103,21.6,105
2024-01-02T00:00,18.1,89,0.00,912.5,13.5,99,19.5,102
2024-01-02T01:00,18.5,87,0.00,913.4,13.8,105,19.3,104
2024-01-02T02:00,18.6,85,0.00,914.0,12.0,106,16.9,106
2024-01-02T03:00,19.6,80,0.00,914.8,13.1,99,17.2,100
2024-01-02T04:00,20.8,73,0.00,915.1,13.7,88,17.6,89
2024-01-02T05:00,22.6,64,0.00,915.3,11.6,95,14.8,94
2024-01-02T06:00,24.8,52,0.00,915.0,10.5,94,13.0,93
2024-01-02T07:00,26.3,44,0.00,914.1,11.6,83,14.5,83
2024-01-02T08:00,27.1,41,0.00,913.0,12.0,81,15.0,80
2024-01-02T09:00,27.5,39,0.00,912.0,12.8,80,16.0,81
2024-01-02T10:00,27.2,40,0.00,911.7,12.6,90,15.8,89
2024-01-02T11:00,26.4,42,0.00,911.6,13.0,95,16.6,95
2024-01-02T12:00,25.2,46,0.00,912.0,12.8,101,17.7,103
2024-01-02T13:00,23.4,46,0.00,912.8,10.1,107,19.7,108
2024-01-02T14:00,22.4,55,0.00,913.7,13.7,113,24.3,115
2024-01-02T15:00,21.6,60,0.00,914.0,15.0,107,25.7,108
2024-01-02T16:00,20.7,65,0.00,914.2,17.9,105,29.6,106
2024-01-02T17:00,20.1,69,0.00,914.0,18.4,101,30.4,104
2024-01-02T18:00,19.7,73,0.00,913.6,16.9,101,28.1,103
2024-01-02T19:00,19.3,79,0.00,913.0,16.0,98,25.6,100
2024-01-02T20:00,18.5,85,0.00,912.3,15.2,97,24.3,98
2024-01-02T21:00,18.0,88,0.00,911.6,13.8,96,21.0,97
2024-01-02T22:00,17.7,89,0.00,911.2,13.8,96,20.3,97
2024-01-02T23:00,16.8,93,0.00,911.0,13.1,99,22.7,101
2024-01-03T00:00,16.3,96,0.00,911.3,14.2,99,25.0,102
2024-01-03T01:00,17.2,90,0.00,912.3,13.3,103,19.6,103
