latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.321617,75.78082,1042.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,16.1,91,0.00,899.1,6.3,59,8.7,107
2024-01-01T01:00,17.0,90,0.00,900.6,4.7,90,6.8,122
2024-01-01T02:00,16.6,93,0.00,901.1,1.8,79,5.2,115
2024-01-01T03:00,18.9,81,0.00,902.4,3.7,101,5.2,102
2024-01-01T04:00,21.1,72,0.00,903.5,5.4,110,6.8,108
2024-01-01T05:00,23.1,63,0.00,903.8,7.1,114,8.8,109
2024-01-01T06:00,24.8,56,0.00,903.4,7.1,114,8.9,111
2024-01-01T07:00,25.9,51,0.00,902.6,7.2,117,8.9,117
2024-01-01T08:00,26.9,48,0.00,901.3,8.5,126,10.5,128
2024-01-01T09:00,26.8,47,0.00,900.3,11.7,137,14.8,139
2024-01-01T10:00,26.5,47,0.00,899.9,10.6,118,13.9,121
2024-01-01T11:00,26.0,47,0.00,899.8,8.6,88,11.5,88
2024-01-01T12:00,25.0,50,0.00,899.9,6.6,77,11.4,79
2024-01-01T13:00,23.4,66,0.00,900.6,3.1,21,5.1,51
2024-01-01T14:00,21.9,77,0.00,901.0,3.8,221,4.0,170
2024-01-01T15:00,21.6,75,0.00,901.6,3.9,248,5.4,180
2024-01-01T16:00,20.8,78,0.00,901.5,2.8,310,3.1,201
2024-01-01T17:00,21.7,72,0.00,901.8,3.9,34,6.3,114
2024-01-01T18:00,22.1,66,0.00,901.5,1.8,323,4.4,125
2024-01-01T19:00,20.3,72,0.00,900.3,1.9,292,1.8,169
2024-01-01T20:00,19.6,75,0.00,899.8,4.6,39,6.5,84
2024-01-01T21:00,20.3,70,0.00,899.7,5.1,86,7.4,113
2024-01-01T22:00,19.9,72,0.00,899.2,4.9,126,7.9,120
2024-01-01T23:00,17.9,83,0.00,898.8,7.4,119,10.5,117
2024-01-02T00:00,17.4,84,0.00,899.0,7.3,110,10.5,117
2024-01-02T01:00,17.1,83,0.00,899.9,4.8,77,10.1,94
2024-01-02T02:00,17.9,79,0.00,900.7,6.5,71,11.6,85
2024-01-02T03:00,19.5,77,0.00,902.0,6.1,90,8.3,90
2024-01-02T04:00,21.4,72,0.00,902.7,6.5,93,8.7,95
2024-01-02T05:00,23.3,63,0.00,902.4,8.7,97,11.3,97
2024-01-02T06:00,25.1,56,0.00,902.0,10.1,84,13.4,84
2024-01-02T07:00,26.0,52,0.00,901.3,10.6,80,13.6,79
2024-01-02T08:00,26.0,51,0.00,900.5,9.3,77,12.1,78
2024-01-02T09:00,26.1,49,0.00,899.7,7.4,76,9.6,77
2024-01-02T10:00,25.4,51,0.00,899.0,6.6,81,8.6,88
2024-01-02T11:00,25.1,51,0.00,898.9,7.5,73,11.0,79
2024-01-02T12:00,24.6,53,0.00,899.1,6.8,58,13.0,66
2024-01-02T13:00,22.3,65,0.00,899.4,3.9,338,8.4,25
2024-01-02T14:00,21.8,68,0.00,900.2,2.2,261,1.1,252
2024-01-02T15:00,21.6,69,0.00,901.0,1.0,315,3.1,69
2024-01-02T16:00,21.5,66,0.00,901.1,3.6,354,9.2,51
2024-01-02T17:00,20.9,66,0.00,900.9,4.3,24,10.9,56
2024-01-02T18:00,20.1,64,0.00,900.4,6.1,45,15.4,74
2024-01-02T19:00,20.1,61,0.00,900.3,8.5,78,18.7,91
2024-01-02T20:00,18.7,61,0.00,899.5,5.8,94,16.1,114
2024-01-02T21:00,17.0,72,0.00,898.2,7.8,103,11.5,131
2024-01-02T22:00,17.4,69,0.00,898.1,6.9,96,10.0,131
2024-01-02T23:00,18.3,64,0.00,898.3,5.4,86,8.2,128
2024-01-03T00:00,18.0,69,0.00,898.6,3.5,114,7.4,137
2024-01-03T01:00,18.1,76,0.00,899.4,4.3,114,6.8,122
2024-01-03T02:00,17.9,80,0.00,900.1,4.5,104,6.6,119
2024-01-03T03:00,19.0,80,0.00,901.4,3.6,127,5.4,127
2024-01-03T04:00,19.9,76,0.00,901.9,3.4,122,5.2,124
2024-01-03T05:00,21.5,70,0.00,902.2,5.9,133,7.9,133
2024-01-03T06:00,22.4,66,0.00,901.9,6.2,126,8.0,126
2024-01-03T07:00,22.2,66,0.00,900.8,6.1,118,8.0,117
2024-01-03T08:00,22.7,64,0.00,899.9,7.1,114,9.6,110
2024-01-03T09:00,23.3,61,0.00,899.3,7.1,114,9.0,113
2024-01-03T10:00,23.2,60,0.00,898.9,6.0,107,7.9,106
2024-01-03T11:00,22.9,60,0.00,898.9,8.4,110,11.0,109
2024-01-03T12:00,22.2,62,0.00,899.0,7.2,108,10.5,106
2024-01-03T13:00,20.7,71,0.00,899.2,4.9,73,10.8,88
2024-01-03T14:00,20.3,73,0.00,899.4,6.2,69,12.6,85
2024-01-03T15:00,19.6,78,0.00,899.9,8.5,62,16.2,69
2024-01-03T16:00,19.3,82,0.00,900.2,6.9,43,12.4,60
