latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.43058,75.04225,728.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,17.1,71,0.00,931.6,7.6,93,16.5,113
2024-01-01T01:00,17.5,75,0.00,933.0,8.2,75,19.5,93
2024-01-01T02:00,18.1,76,0.00,933.7,10.8,88,22.0,100
2024-01-01T03:00,20.5,70,0.00,934.7,12.3,97,19.9,103
2024-01-01T04:00,22.9,63,0.00,935.6,14.3,108,19.0,109
2024-01-01T05:00,25.3,55,0.00,935.9,14.0,113,18.1,113
2024-01-01T06:00,27.1,48,0.00,935.5,12.6,114,15.6,113
2024-01-01T07:00,28.3,43,0.00,934.6,10.7,110,13.0,109
2024-01-01T08:00,29.3,39,0.00,933.3,10.0,111,12.3,111
2024-01-01T09:00,29.7,38,0.00,932.4,9.3,118,11.3,117
2024-01-01T10:00,29.5,36,0.00,931.9,8.4,110,10.0,111
2024-01-01T11:00,29.3,35,0.00,931.8,9.5,101,11.7,101
2024-01-01T12:00,28.2,38,0.00,931.8,6.6,103,10.8,105
2024-01-01T13:00,25.3,46,0.00,932.1,6.6,77,14.2,83
2024-01-01T14:00,24.6,48,0.00,932.7,7.2,72,17.5,82
2024-01-01T15:00,23.8,50,0.00,933.0,7.8,56,17.8,72
2024-01-01T16:00,23.4,51,0.00,933.3,10.8,53,23.8,70
2024-01-01T17:00,21.6,59,0.00,933.2,9.5,101,16.9,89
2024-01-01T18:00,21.6,59,0.00,933.2,6.6,158,10.5,131
2024-01-01T19:00,20.4,64,0.00,932.5,6.6,41,9.5,101
2024-01-01T20:00,20.8,60,0.00,932.1,5.6,50,12.6,95
2024-01-01T21:00,20.3,62,0.00,931.4,6.3,66,14.8,96
2024-01-01T22:00,20.2,63,0.00,931.0,7.9,87,18.2,104
2024-01-01T23:00,19.5,67,0.00,931.1,9.2,101,20.8,108
2024-01-02T00:00,19.1,68,0.00,931.4,11.0,109,24.5,114
2024-01-02T01:00,19.3,71,0.00,932.4,9.4,108,20.6,115
2024-01-02T02:00,19.3,74,0.00,933.1,11.4,101,21.7,109
2024-01-02T03:00,21.1,72,0.00,934.0,14.1,94,20.4,98
2024-01-02T04:00,23.2,66,0.00,934.8,14.7,101,19.1,102
2024-01-02T05:00,25.6,57,0.00,934.9,15.4,111,20.2,112
2024-01-02T06:00,27.3,48,0.00,934.3,14.5,109,18.2,108
2024-01-02T07:00,28.6,43,0.00,933.3,13.8,96,17.0,96
2024-01-02T08:00,29.3,39,0.00,932.2,12.3,93,15.2,94
2024-01-02T09:00,29.8,38,0.00,931.5,9.4,97,11.6,97
2024-01-02T10:00,29.6,37,0.00,931.0,8.7,97,10.5,96
2024-01-02T11:00,29.2,37,0.00,931.0,9.6,103,11.8,102
2024-01-02T12:00,28.3,38,0.00,931.1,7.9,114,10.6,114
2024-01-02T13:00,25.6,47,0.00,931.3,7.2,87,10.8,90
2024-01-02T14:00,25.4,46,0.00,932.1,7.2,63,16.2,73
2024-01-02T15:00,25.1,46,0.00,932.9,10.9,73,23.5,79
2024-01-02T16:00,24.8,46,0.00,933.1,10.2,98,23.3,99
2024-01-02T17:00,23.3,51,0.00,933.1,5.2,155,13.9,149
2024-01-02T18:00,21.9,61,0.00,932.5,5.1,184,12.4,188
2024-01-02T19:00,20.6,73,0.00,931.8,6.0,205,13.6,191
2024-01-02T20:00,19.7,80,0.00,931.0,4.6,219,12.7,173
2024-01-02T21:00,20.2,78,0.00,930.7,6.6,131,12.8,142
2024-01-02T22:00,19.3,79,0.00,930.2,6.8,90,17.1,115
2024-01-02T23:00,19.6,62,0.00,930.4,8.9,104,20.3,113
2024-01-03T00:00,18.9,56,0.00,930.7,9.5,99,21.7,109
2024-01-03T01:00,19.0,64,0.00,931.4,9.4,86,21.4,97
2024-01-03T02:00,19.2,68,0.00,932.4,10.8,86,21.0,97
2024-01-03T03:00,21.4,65,0.00,933.6,13.7,90,19.5,93
2024-01-03T04:00,22.9,62,0.00,934.4,14.4,103,19.3,104
2024-01-03T05:00,24.4,57,0.00,934.6,14.3,108,18.6,108
2024-01-03T06:00,27.0,46,0.00,934.2,14.5,109,18.3,110
2024-01-03T07:00,27.1,44,0.00,932.8,13.7,113,17.3,113
2024-01-03T08:00,27.9,41,0.00,931.9,11.8,121,14.9,122
2024-01-03T09:00,28.8,39,0.00,931.2,10.3,119,12.9,120
2024-01-03T10:00,29.1,37,0.00,930.7,9.2,111,11.4,114
2024-01-03T11:00,29.0,37,0.00,930.6,5.6,105,7.0,111
2024-01-03T12:00,28.2,39,0.00,930.8,3.8,73,5.8,83
2024-01-03T13:00,25.8,50,0.00,930.4,5.6,140,7.4,133
2024-01-03T14:00,24.1,56,0.00,930.6,6.9,96,11.4,108
2024-01-03T15:00,23.6,58,0.00,931.2,7.6,95,16.9,102
2024-01-03T16:00,23.2,59,0.00,931.8,5.6,220,10.4,200
2024-01-03T17:00,22.1,77,0.00,931.8,8.5,242,16.1,241
2024-01-03T18:00,21.6,85,0.00,931.6,6.3,239,10.9,224
2024-01-03T19:00,21.4,87,0.00,931.4,8.4,245,13.0,242
2024-01-03T20:00,21.0,87,0.00,931.1,5.5,259,10.2,262
2024-01-03T21:00,20.2,91,0.00,930.5,4.0,275,6.1,267
2024-01-03T22:00,20.3,88,0.00,930.5,5.2,286,8.5,282
2024-01-03T23:00,19.3,93,0.00,930.4,4.0,270,7.1,285
2024-01-04T00:00,19.1,96,0.10,930.6,3.6,264,4.1,255
2024-01-04T01:00,20.6,70,0.00,932.1,9.8,118,21.1,127
2024-01-04T02:00,20.4,76,0.00,933.0,8.6,88,15.9,103
2024-01-04T03:00,22.0,73,0.00,934.1,11.7,108,16.6,108
2024-01-04T04:00,22.8,68,0.00,934.6,12.9,120,16.9,119
2024-01-04T05:00,25.5,57,0.00,934.9,13.0,118,16.4,119
2024-01-04T06:00,26.9,51,0.00,934.2,12.9,108,15.9,108
2024-01-04T07:00,27.4,49,0.10,932.9,11.7,99,14.6,100
2024-01-04T08:00,28.0,46,0.20,931.6,11.7,101,14.6,100
2024-01-04T09:00,27.9,46,0.40,931.1,11.0,101,13.6,101
2024-01-04T10:00,27.9,46,0.20,930.7,9.7,112,12.4,112
2024-01-04T11:00,27.4,47,0.10,930.7,9.6,110,12.0,111
2024-01-04T12:00,26.4,51,0.10,931.0,8.4,130,11.0,128
2024-01-04T13:00,24.6,57,0.00,930.8,6.2,144,12.0,141
2024-01-04T14:00,24.1,57,0.00,931.6,6.2,144,16.5,136
2024-01-04T15:00,24.2,56,0.00,932.6,8.5,152,19.1,148
2024-01-04T16:00,22.9,61,0.00,932.6,5.9,166,14.1,161
2024-01-04T17:00,22.6,62,0.00,932.8,6.6,151,16.3,155
2024-01-04T18:00,22.4,63,0.00,932.8,9.8,172,18.7,180
2024-01-04T19:00,20.7,75,0.00,932.2,8.6,202,18.9,201
2024-01-04T20:00,19.8,87,0.00,931.5,7.1,210,17.1,208
2024-01-04T21:00,19.1,95,0.00,931.1,5.4,200,14.1,199
2024-01-04T22:00,18.7,98,0.00,930.6,4.4,189,12.0,189
2024-01-04T23:00,18.7,99,0.00,930.3,4.3,180,10.8,180
2024-01-05T00:00,17.8,100,0.00,930.5,5.4,143,9.8,156
2024-01-05T01:00,18.7,85,0.00,932.0,8.9,104,20.2,109
2024-01-05T02:00,18.8,83,0.00,932.6,11.8,102,22.0,108
2024-01-05T03:00,20.7,76,0.00,933.6,12.9,113,18.5,114
2024-01-05T04:00,23.0,69,0.00,934.4,13.9,121,18.5,123
2024-01-05T05:00,25.3,60,0.00,934.5,15.0,132,19.6,133
2024-01-05T06:00,27.2,51,0.00,933.7,13.9,143,17.6,145
2024-01-05T07:00,28.4,46,0.00,932.7,11.9,151,14.8,151
2024-01-05T08:00,29.5,41,0.00,931.6,9.7,153,11.9,155
2024-01-05T09:00,30.1,38,0.00,930.9,8.9,166,10.8,165
2024-01-05T10:00,30.2,36,0.00,930.5,8.3,185,10.1,184
2024-01-05T11:00,29.7,36,0.00,930.4,9.8,204,12.1,203
2024-01-05T12:00,28.7,39,0.00,930.7,11.7,223,15.6,220
2024-01-05T13:00,25.7,52,0.00,931.0,5.2,168,6.6,167
2024-01-05T14:00,24.4,57,0.10,931.9,3.3,354,1.3,326
2024-01-05T15:00,23.4,62,0.00,932.6,5.4,180,7.3,191
2024-01-05T16:00,22.8,70,0.00,932.9,12.2,225,18.5,237
2024-01-05T17:00,21.7,79,0.00,932.5,12.2,268,21.3,272
2024-01-05T18:00,21.2,83,0.00,932.3,6.1,315,13.8,313
2024-01-05T19:00,21.0,84,0.00,932.3,3.9,292,7.1,330
2024-01-05T20:00,20.5,87,0.00,931.7,3.6,323,3.9,22
2024-01-05T21:00,19.9,90,0.00,930.9,4.1,315,5.9,14
2024-01-05T22:00,20.6,87,0.00,930.9,2.6,286,2.3,18
2024-01-05T23:00,20.2,90,0.00,930.7,2.5,90,7.1,105
2024-01-06T00:00,19.9,84,0.00,931.2,11.6,120,22.5,122
2024-01-06T01:00,20.2,83,0.00,931.8,8.4,115,20.0,120
2024-01-06T02:00,20.2,82,0.00,932.6,11.8,121,22.5,125
2024-01-06T03:00,22.0,74,0.00,933.7,12.3,122,18.8,122
2024-01-06T04:00,24.1,65,0.00,934.7,13.4,126,17.8,126
2024-01-06T05:00,26.3,56,0.00,934.5,14.0,132,18.1,133
2024-01-06T06:00,28.0,47,0.00,933.9,13.0,132,16.6,132
2024-01-06T07:00,29.0,42,0.00,932.7,11.0,131,13.6,130
2024-01-06T08:00,29.4,41,0.00,931.7,9.2,135,11.2,135
2024-01-06T09:00,29.7,40,0.00,930.9,8.7,135,10.4,134
2024-01-06T10:00,29.6,40,0.00,930.5,7.8,124,9.9,123
2024-01-06T11:00,29.0,41,0.00,930.8,6.1,135,7.7,139
2024-01-06T12:00,28.4,42,0.00,931.3,6.4,117,8.2,119
2024-01-06T13:00,25.2,56,0.10,931.8,4.2,211,9.0,182
2024-01-06T14:00,24.0,66,0.10,932.6,4.7,351,4.3,42
2024-01-06T15:00,23.3,72,0.00,933.5,5.7,288,7.2,264
2024-01-06T16:00,22.4,75,0.00,933.8,5.2,254,11.2,266
2024-01-06T17:00,21.6,79,0.00,933.6,3.8,197,5.9,232
2024-01-06T18:00,20.9,86,0.00,932.8,5.5,203,8.9,201
2024-01-06T19:00,20.0,93,0.00,932.3,5.8,173,11.5,180
2024-01-06T20:00,19.9,96,0.00,931.9,6.0,163,14.7,163
2024-01-06T21:00,19.6,94,0.00,931.0,5.4,138,15.8,135
2024-01-06T22:00,19.5,86,0.00,930.9,7.5,125,19.2,124
2024-01-06T23:00,20.6,76,0.00,931.4,9.9,109,20.5,112
2024-01-07T00:00,20.5,74,0.00,931.7,12.1,102,22.3,104
2024-01-07T01:00,20.6,73,0.00,932.9,12.7,105,23.1,108
2024-01-07T02:00,20.8,75,0.00,933.7,15.9,103,25.3,105
2024-01-07T03:00,21.7,72,0.00,934.5,18.5,103,25.6,104
2024-01-07T04:00,23.5,65,0.00,935.6,18.9,108,25.0,108
2024-01-07T05:00,25.2,58,0.00,935.6,19.3,114,25.0,115
2024-01-07T06:00,26.7,52,0.00,934.9,19.8,117,25.6,118
2024-01-07T07:00,27.9,46,0.00,933.8,19.3,117,25.0,117
2024-01-07T08:00,28.8,40,0.00,932.7,19.2,116,24.6,117
2024-01-07T09:00,29.1,37,0.00,931.7,18.5,117,23.8,117
2024-01-07T10:00,29.2,35,0.00,931.0,18.2,117,23.3,117
2024-01-07T11:00,28.7,31,0.00,930.9,18.4,116,24.0,116
2024-01-07T12:00,27.7,28,0.00,931.1,15.8,114,22.6,115
2024-01-07T13:00,25.9,41,0.00,931.3,10.5,121,21.1,120
