latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.43058,75.633804,652.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.9,75,0.00,940.2,13.3,131,27.0,132
2024-01-01T01:00,18.7,81,0.00,941.6,14.0,125,27.2,125
2024-01-01T02:00,19.0,81,0.00,942.2,15.4,123,27.3,124
2024-01-01T03:00,21.1,73,0.00,943.2,16.1,124,23.6,124
2024-01-01T04:00,23.3,65,0.00,944.0,17.2,123,22.9,123
2024-01-01T05:00,25.3,57,0.00,944.0,16.3,121,21.2,122
2024-01-01T06:00,27.1,50,0.00,943.7,13.8,118,17.2,119
2024-01-01T07:00,28.4,44,0.00,942.7,10.5,112,12.9,113
2024-01-01T08:00,29.2,40,0.00,941.5,8.9,104,10.7,104
2024-01-01T09:00,29.7,37,0.00,940.4,8.4,100,10.2,100
2024-01-01T10:00,29.9,34,0.00,940.0,8.6,92,10.4,92
2024-01-01T11:00,29.8,33,0.00,939.9,8.3,92,10.4,92
2024-01-01T12:00,28.8,35,0.00,940.0,6.8,90,10.8,92
2024-01-01T13:00,25.3,48,0.00,940.2,7.0,102,11.5,94
2024-01-01T14:00,24.8,49,0.00,941.1,6.8,72,16.5,70
2024-01-01T15:00,24.1,50,0.00,941.4,9.2,64,21.9,63
2024-01-01T16:00,23.6,52,0.00,941.7,8.8,81,22.0,72
2024-01-01T17:00,23.0,55,0.00,941.9,10.1,88,22.5,83
2024-01-01T18:00,22.6,57,0.00,941.6,11.9,85,25.5,81
2024-01-01T19:00,22.1,56,0.00,940.8,11.9,92,25.6,88
2024-01-01T20:00,21.5,57,0.00,940.4,11.3,99,24.6,96
2024-01-01T21:00,20.9,59,0.00,939.9,12.5,108,25.4,106
2024-01-01T22:00,20.2,63,0.00,939.5,11.6,116,24.0,116
2024-01-01T23:00,19.7,69,0.00,939.6,11.6,126,24.1,125
2024-01-02T00:00,19.3,75,0.00,939.9,12.3,128,24.9,127
2024-01-02T01:00,19.7,80,0.00,940.9,14.3,124,26.2,124
2024-01-02T02:00,19.6,84,0.00,941.6,15.3,124,26.1,125
2024-01-02T03:00,21.5,78,0.00,942.5,16.3,118,23.0,119
2024-01-02T04:00,23.6,68,0.00,943.1,17.9,118,23.7,118
2024-01-02T05:00,25.7,56,0.00,943.1,17.4,120,22.9,120
2024-01-02T06:00,27.2,49,0.00,942.6,15.1,115,19.5,115
2024-01-02T07:00,28.6,42,0.00,941.5,12.8,101,15.8,102
2024-01-02T08:00,29.6,38,0.00,940.2,11.9,93,14.4,93
2024-01-02T09:00,29.9,36,0.00,939.6,10.6,100,13.1,98
2024-01-02T10:00,29.9,35,0.00,939.0,10.1,94,12.6,95
2024-01-02T11:00,29.7,35,0.00,939.1,9.7,90,12.6,90
2024-01-02T12:00,28.8,37,0.00,939.2,9.2,79,13.1,82
2024-01-02T13:00,27.1,40,0.00,939.8,11.3,59,22.1,62
2024-01-02T14:00,26.1,42,0.00,940.6,11.7,72,24.3,69
2024-01-02T15:00,25.2,44,0.00,941.1,10.1,86,23.7,80
