latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.407733,75.70397,1143.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,15.7,86,0.00,888.2,8.3,108,16.8,99
2024-01-01T01:00,15.3,90,0.00,888.9,9.3,106,17.4,97
2024-01-01T02:00,15.8,89,0.00,889.8,8.9,104,17.3,95
2024-01-01T03:00,18.2,81,0.00,891.2,9.9,100,14.5,97
2024-01-01T04:00,20.5,71,0.00,892.4,9.6,103,13.6,101
2024-01-01T05:00,22.8,61,0.00,892.8,7.2,90,10.1,88
2024-01-01T06:00,24.8,53,0.00,892.4,4.4,81,6.3,77
2024-01-01T07:00,26.6,46,0.00,891.7,3.3,103,4.4,99
2024-01-01T08:00,27.3,42,0.00,890.4,3.9,112,5.0,111
2024-01-01T09:00,27.4,41,0.20,889.5,1.5,315,1.8,307
2024-01-01T10:00,25.9,46,0.10,889.0,6.2,291,8.2,293
2024-01-01T11:00,24.4,55,0.00,888.6,9.2,301,13.7,300
2024-01-01T12:00,22.9,63,0.00,888.6,6.7,306,12.5,309
2024-01-01T13:00,21.5,75,0.00,889.2,5.1,266,9.0,286
2024-01-01T14:00,20.2,83,0.00,889.8,4.0,260,8.3,275
2024-01-01T15:00,20.1,83,0.00,890.4,4.2,340,8.0,333
2024-01-01T16:00,19.9,79,0.00,890.6,4.7,356,7.9,344
2024-01-01T17:00,19.5,80,0.00,890.2,3.3,354,5.8,7
2024-01-01T18:00,18.7,84,0.00,889.4,3.4,72,10.8,64
2024-01-01T19:00,18.4,82,0.00,888.9,6.0,107,12.3,87
2024-01-01T20:00,17.5,87,0.00,888.0,5.8,112,10.2,108
2024-01-01T21:00,16.8,91,0.00,887.4,4.0,90,6.2,97
2024-01-01T22:00,16.2,94,0.00,887.0,4.0,90,6.9,81
2024-01-01T23:00,16.1,93,0.00,887.2,6.6,103,11.6,95
2024-01-02T00:00,16.1,93,0.00,887.4,7.3,101,13.8,96
2024-01-02T01:00,16.7,84,0.00,888.7,9.1,99,17.3,86
2024-01-02T02:00,17.2,83,0.00,889.4,9.5,101,19.4,91
2024-01-02T03:00,18.8,80,0.00,890.6,10.0,105,14.9,98
2024-01-02T04:00,20.1,75,0.00,891.1,10.6,100,15.6,98
2024-01-02T05:00,22.8,64,0.00,891.2,10.1,94,14.8,91
2024-01-02T06:00,24.8,54,0.00,891.0,11.2,90,15.9,87
2024-01-02T07:00,24.5,54,0.00,890.1,11.0,79,15.8,78
2024-01-02T08:00,26.0,48,0.00,889.7,9.1,83,12.7,82
2024-01-02T09:00,27.0,44,0.00,889.0,8.0,82,11.3,81
2024-01-02T10:00,27.0,43,0.00,888.5,6.8,65,9.8,66
2024-01-02T11:00,25.7,48,0.10,888.4,4.8,42,7.1,45
2024-01-02T12:00,24.1,59,0.00,888.3,4.8,333,9.2,349
2024-01-02T13:00,21.9,66,0.00,888.8,7.1,311,11.9,325
2024-01-02T14:00,20.4,76,0.00,889.4,5.0,291,9.5,307
2024-01-02T15:00,19.5,81,0.00,889.8,6.9,321,10.3,331
2024-01-02T16:00,18.6,87,0.00,889.6,3.8,319,6.8,335
2024-01-02T17:00,18.0,91,0.00,889.4,2.9,353,3.9,22
2024-01-02T18:00,17.7,93,0.00,888.7,3.8,107,9.7,88
2024-01-02T19:00,17.8,88,0.00,888.6,8.6,90,15.9,94
2024-01-02T20:00,17.9,78,0.00,888.2,7.9,93,15.3,99
2024-01-02T21:00,17.5,75,0.00,887.3,7.3,99,15.0,100
2024-01-02T22:00,17.0,77,0.00,886.7,9.1,108,17.5,98
2024-01-02T23:00,17.2,74,0.00,886.9,7.7,118,16.2,102
2024-01-03T00:00,16.6,76,0.00,887.2,7.0,111,15.3,98
2024-01-03T01:00,16.4,84,0.00,887.9,7.4,119,14.6,100
2024-01-03T02:00,17.0,84,0.00,889.1,8.5,118,17.1,105
2024-01-03T03:00,17.7,82,0.00,890.0,7.9,114,15.1,108
2024-01-03T04:00,18.6,80,0.00,890.6,6.5,96,10.1,96
2024-01-03T05:00,20.5,73,0.00,891.0,6.2,97,9.1,99
2024-01-03T06:00,22.7,64,0.00,891.0,5.1,86,6.8,93
2024-01-03T07:00,23.9,58,0.00,890.0,3.1,69,4.5,76
2024-01-03T08:00,24.2,57,0.00,889.1,2.7,23,3.8,41
2024-01-03T09:00,23.3,62,0.10,888.2,3.8,319,5.0,330
2024-01-03T10:00,22.5,70,0.40,887.9,2.9,210,4.2,211
2024-01-03T11:00,22.0,74,0.10,887.8,3.0,256,4.1,255
2024-01-03T12:00,21.0,82,0.10,888.0,3.0,256,3.9,248
2024-01-03T13:00,19.9,75,0.00,887.8,8.6,88,16.8,75
2024-01-03T14:00,19.4,75,0.00,888.0,7.6,87,17.1,72
2024-01-03T15:00,19.1,75,0.00,888.5,7.8,103,17.0,86
2024-01-03T16:00,19.2,72,0.00,888.8,10.0,103,21.7,95
2024-01-03T17:00,19.3,71,0.00,888.7,8.6,123,18.3,110
2024-01-03T18:00,19.0,73,0.00,888.4,8.2,139,17.1,120
2024-01-03T19:00,18.9,75,0.00,888.1,6.0,147,13.6,127
2024-01-03T20:00,18.5,77,0.10,887.6,6.5,124,13.4,114
2024-01-03T21:00,18.0,80,0.10,887.0,5.9,104,12.2,109
2024-01-03T22:00,17.6,83,0.40,886.9,5.8,120,12.8,106
2024-01-03T23:00,17.4,86,0.10,886.9,6.6,99,12.7,97
2024-01-04T00:00,17.3,87,0.00,887.4,7.6,98,15.9,87
2024-01-04T01:00,16.7,91,0.00,888.1,9.3,106,19.6,96
2024-01-04T02:00,17.1,91,0.00,888.9,10.8,105,21.3,96
2024-01-04T03:00,19.0,84,0.00,890.2,14.1,96,21.3,96
2024-01-04T04:00,20.7,76,0.00,890.8,14.6,99,21.7,97
2024-01-04T05:00,23.0,65,0.00,891.0,14.0,108,20.6,106
2024-01-04T06:00,23.6,63,0.00,890.5,12.4,116,17.8,111
2024-01-04T07:00,23.9,62,0.00,889.2,10.8,111,16.1,110
2024-01-04T08:00,22.3,70,0.50,888.1,6.8,115,10.0,111
2024-01-04T09:00,21.5,79,0.70,887.5,4.0,100,6.6,103
2024-01-04T10:00,20.1,93,1.10,887.1,1.1,288,1.8,37
2024-01-04T11:00,20.3,99,1.40,887.2,1.5,135,2.9,120
2024-01-04T12:00,19.3,100,2.70,887.3,3.1,135,6.7,106
2024-01-04T13:00,17.5,100,0.30,887.8,10.3,102,20.2,87
2024-01-04T14:00,16.9,100,0.20,888.0,11.2,111,22.4,94
2024-01-04T15:00,16.5,100,0.30,888.6,11.1,115,22.3,100
2024-01-04T16:00,16.2,100,0.30,888.7,10.5,112,22.0,101
2024-01-04T17:00,16.5,96,0.10,888.9,10.2,108,19.6,97
2024-01-04T18:00,16.5,96,0.10,888.6,10.0,111,19.0,100
2024-01-04T19:00,16.4,96,0.10,888.3,7.9,114,16.6,103
2024-01-04T20:00,16.5,95,0.00,888.0,7.3,110,15.1,102
2024-01-04T21:00,16.4,96,0.00,887.2,8.1,111,16.6,103
2024-01-04T22:00,16.4,96,0.00,887.0,8.0,108,16.5,100
2024-01-04T23:00,16.4,96,0.00,887.0,7.9,106,16.7,96
2024-01-05T00:00,16.3,97,0.00,887.2,8.8,102,18.1,95
2024-01-05T01:00,16.5,96,0.00,888.2,9.2,111,18.5,98
2024-01-05T02:00,16.9,96,0.00,889.1,9.0,106,17.0,95
2024-01-05T03:00,18.5,89,0.00,890.2,10.9,96,16.0,98
2024-01-05T04:00,19.8,86,0.00,890.7,11.3,99,16.3,98
2024-01-05T05:00,21.9,76,0.00,891.0,9.0,106,12.3,105
2024-01-05T06:00,23.7,66,0.00,890.6,8.2,139,11.5,134
2024-01-05T07:00,25.1,60,0.00,889.8,7.5,145,10.3,144
2024-01-05T08:00,25.3,60,0.00,889.0,6.6,158,9.3,152
2024-01-05T09:00,25.0,61,0.00,888.4,4.8,167,6.6,171
2024-01-05T10:00,23.6,66,0.00,888.0,2.7,203,3.9,202
2024-01-05T11:00,22.6,75,0.00,887.8,3.8,229,5.6,230
2024-01-05T12:00,21.4,85,0.00,887.9,2.5,225,4.4,235
2024-01-05T13:00,20.9,89,0.00,888.2,4.1,322,6.6,331
2024-01-05T14:00,19.8,94,0.00,888.8,3.9,338,5.8,338
2024-01-05T15:00,19.4,93,0.00,889.2,3.7,349,6.7,344
2024-01-05T16:00,18.6,94,0.00,889.1,5.1,352,4.4,351
2024-01-05T17:00,18.1,94,0.00,888.7,3.9,326,3.6,360
2024-01-05T18:00,17.4,97,0.00,888.4,2.9,300,2.2,9
2024-01-05T19:00,16.9,98,0.00,888.1,3.4,72,6.3,66
2024-01-05T20:00,16.9,99,0.00,887.8,8.1,103,14.4,94
2024-01-05T21:00,17.5,95,0.00,887.5,7.6,98,15.0,101
2024-01-05T22:00,17.2,97,0.00,887.1,8.6,112,16.6,103
2024-01-05T23:00,17.3,97,0.00,887.1,9.0,106,17.8,104
2024-01-06T00:00,17.2,96,0.00,887.7,9.4,108,18.2,104
2024-01-06T01:00,17.1,99,0.00,888.2,10.0,111,20.2,106
2024-01-06T02:00,17.2,97,0.00,888.9,10.1,107,19.8,102
2024-01-06T03:00,19.1,87,0.00,890.3,12.5,102,17.9,100
2024-01-06T04:00,20.7,79,0.00,891.0,14.0,102,20.5,101
2024-01-06T05:00,22.6,69,0.00,891.0,14.1,96,21.0,95
2024-01-06T06:00,24.6,59,0.00,890.7,12.3,95,17.7,94
2024-01-06T07:00,25.5,57,0.00,889.8,10.1,94,14.4,93
2024-01-06T08:00,26.1,54,0.00,888.9,8.3,95,11.9,92
2024-01-06T09:00,26.2,55,0.10,888.1,6.0,65,8.6,68
2024-01-06T10:00,24.1,64,0.40,887.7,1.6,153,2.1,149
2024-01-06T11:00,21.5,81,0.80,887.7,5.2,326,7.7,323
2024-01-06T12:00,20.6,89,0.10,888.0,4.4,325,7.0,325
2024-01-06T13:00,19.3,97,0.00,888.2,4.9,287,8.9,317
2024-01-06T14:00,18.6,98,0.20,889.4,2.9,270,6.2,277
2024-01-06T15:00,17.8,100,0.10,889.9,2.6,344,4.4,9
2024-01-06T16:00,18.1,100,0.10,890.3,1.9,22,5.8,22
