latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.267136,76.62162,757.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,17.8,93,0.00,929.5,11.4,62,22.2,73
2024-01-01T01:00,17.9,97,0.00,930.3,12.4,64,21.9,70
2024-01-01T02:00,18.5,92,0.00,931.1,13.9,73,20.9,75
2024-01-01T03:00,19.6,85,0.00,931.9,15.2,83,20.6,84
2024-01-01T04:00,21.9,72,0.00,932.8,11.6,85,15.5,85
2024-01-01T05:00,24.7,59,0.00,933.0,7.6,90,9.7,90
2024-01-01T06:00,26.9,49,0.00,932.3,5.0,69,6.4,74
2024-01-01T07:00,28.1,44,0.00,931.3,4.7,67,6.2,69
2024-01-01T08:00,29.1,42,0.00,930.1,4.1,75,5.2,74
2024-01-01T09:00,29.5,40,0.00,929.0,4.3,85,5.4,86
2024-01-01T10:00,29.6,39,0.00,928.6,5.4,90,6.5,90
2024-01-01T11:00,29.4,38,0.00,928.4,6.8,90,8.3,90
2024-01-01T12:00,28.5,38,0.00,928.4,9.0,90,13.3,90
2024-01-01T13:00,25.8,50,0.00,929.2,10.5,96,19.9,95
2024-01-01T14:00,25.2,48,0.00,930.2,11.7,81,23.5,84
2024-01-01T15:00,24.9,50,0.00,931.0,11.5,110,21.5,113
2024-01-01T16:00,23.8,57,0.00,931.2,8.7,142,17.8,138
2024-01-01T17:00,22.5,64,0.00,930.9,5.4,127,14.5,134
2024-01-01T18:00,22.1,65,0.00,930.4,6.2,97,14.7,107
2024-01-01T19:00,21.9,64,0.00,929.9,8.3,92,17.3,102
2024-01-01T20:00,21.0,66,0.00,929.1,9.4,83,19.1,92
2024-01-01T21:00,20.8,67,0.00,928.6,7.2,87,15.3,99
2024-01-01T22:00,20.5,70,0.00,928.4,7.6,71,14.8,87
2024-01-01T23:00,20.2,74,0.00,928.7,10.1,63,17.4,72
2024-01-02T00:00,19.4,85,0.00,928.9,13.2,68,20.6,74
2024-01-02T01:00,19.5,89,0.00,929.9,14.9,75,22.8,78
2024-01-02T02:00,19.6,88,0.00,930.4,12.5,72,18.8,73
2024-01-02T03:00,20.6,82,0.00,931.4,13.8,84,18.8,85
2024-01-02T04:00,23.0,68,0.00,931.9,14.2,83,18.8,83
2024-01-02T05:00,24.7,61,0.00,931.7,13.5,81,17.5,81
2024-01-02T06:00,26.6,53,0.00,931.2,13.3,77,17.3,78
2024-01-02T07:00,28.0,47,0.00,930.3,13.9,80,18.0,78
2024-01-02T08:00,28.4,44,0.00,929.1,13.4,84,17.4,83
2024-01-02T09:00,29.4,40,0.00,928.3,12.3,83,16.0,82
2024-01-02T10:00,29.0,38,0.00,927.8,10.5,74,13.6,73
2024-01-02T11:00,28.8,35,0.00,927.9,11.7,56,15.1,57
2024-01-02T12:00,27.8,35,0.00,928.0,10.0,52,15.7,53
2024-01-02T13:00,25.8,37,0.00,928.8,6.6,61,15.9,62
