latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.203865,77.36243,400.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.2,89,0.00,968.3,8.8,99,19.2,107
2024-01-01T01:00,18.4,88,0.00,970.2,9.4,113,19.6,116
2024-01-01T02:00,18.9,84,0.00,970.8,10.4,124,20.2,125
2024-01-01T03:00,21.1,73,0.00,971.7,10.6,125,15.7,127
2024-01-01T04:00,23.5,61,0.00,972.3,11.7,124,15.6,124
2024-01-01T05:00,25.6,50,0.00,971.9,11.4,118,14.7,118
2024-01-01T06:00,27.4,43,0.00,971.2,10.5,117,13.4,117
2024-01-01T07:00,28.7,39,0.00,969.9,8.6,112,10.8,111
2024-01-01T08:00,29.6,35,0.00,968.6,6.9,99,8.8,99
2024-01-01T09:00,30.2,32,0.00,967.6,5.8,90,7.2,90
2024-01-01T10:00,30.3,31,0.00,967.1,6.1,87,7.6,87
2024-01-01T11:00,30.0,31,0.00,967.0,6.2,83,8.0,85
2024-01-01T12:00,27.5,47,0.00,966.9,7.2,72,9.3,77
2024-01-01T13:00,24.3,47,0.00,967.5,7.7,79,13.1,82
2024-01-01T14:00,24.0,45,0.00,968.6,8.2,105,21.1,107
2024-01-01T15:00,24.2,43,0.00,969.1,10.5,117,24.3,115
2024-01-01T16:00,24.1,44,0.00,969.5,9.4,122,21.6,120
2024-01-01T17:00,23.5,51,0.00,969.8,14.4,112,28.7,115
2024-01-01T18:00,22.7,64,0.00,969.5,14.7,115,27.7,118
2024-01-01T19:00,22.0,72,0.00,969.0,13.4,117,25.7,121
2024-01-01T20:00,21.2,79,0.00,968.5,10.6,114,21.7,117
2024-01-01T21:00,20.5,84,0.00,967.9,9.2,116,20.6,117
2024-01-01T22:00,20.0,87,0.00,967.3,9.1,124,20.2,125
2024-01-01T23:00,19.5,89,0.00,967.6,8.9,122,19.2,124
2024-01-02T00:00,19.0,92,0.00,967.9,8.7,128,18.9,129
2024-01-02T01:00,18.8,96,0.00,969.0,6.9,137,16.3,137
2024-01-02T02:00,19.2,94,0.00,969.8,8.7,138,16.1,141
2024-01-02T03:00,21.2,82,0.00,970.8,8.4,137,12.0,139
2024-01-02T04:00,23.5,70,0.00,971.1,8.7,135,11.5,136
2024-01-02T05:00,25.7,58,0.00,971.0,8.8,125,10.9,124
2024-01-02T06:00,27.5,48,0.00,970.1,9.1,108,11.4,108
2024-01-02T07:00,28.8,41,0.00,968.7,9.1,97,11.6,97
2024-01-02T08:00,29.8,36,0.00,967.5,8.0,95,10.1,94
2024-01-02T09:00,30.4,33,0.00,966.6,8.3,92,10.5,94
2024-01-02T10:00,30.4,32,0.00,966.0,9.4,97,12.0,97
2024-01-02T11:00,30.0,31,0.00,966.0,10.8,105,14.2,106
2024-01-02T12:00,28.6,34,0.00,966.2,10.3,115,17.9,115
2024-01-02T13:00,26.1,33,0.00,967.2,11.6,112,24.6,115
2024-01-02T14:00,25.5,35,0.00,968.1,11.3,107,23.9,108
2024-01-02T15:00,24.4,42,0.00,968.6,8.4,115,21.3,116
2024-01-02T16:00,24.1,48,0.00,969.2,14.9,110,29.8,113
2024-01-02T17:00,23.5,58,0.00,969.3,15.2,121,28.6,124
2024-01-02T18:00,22.7,61,0.00,969.0,15.8,117,28.6,121
2024-01-02T19:00,21.8,66,0.00,968.7,15.1,115,27.4,118
2024-01-02T20:00,21.1,70,0.00,968.1,13.2,116,24.8,120
2024-01-02T21:00,20.5,73,0.00,967.5,11.9,115,23.4,119
2024-01-02T22:00,19.9,75,0.00,967.2,9.8,114,21.1,117
2024-01-02T23:00,19.3,78,0.00,967.2,9.1,108,20.3,113
2024-01-03T00:00,18.9,81,0.00,967.6,9.5,115,20.8,118
2024-01-03T01:00,20.1,83,0.00,968.4,10.7,110,18.7,113
2024-01-03T02:00,20.4,83,0.00,969.3,9.0,106,14.8,108
2024-01-03T03:00,21.4,80,0.00,970.2,9.8,107,13.7,108
2024-01-03T04:00,23.0,71,0.00,970.9,11.8,113,15.6,113
2024-01-03T05:00,25.1,59,0.00,970.8,13.4,121,17.4,120
2024-01-03T06:00,26.9,49,0.00,970.1,13.0,124,16.9,124
2024-01-03T07:00,28.4,43,0.00,968.6,11.9,119,15.1,118
2024-01-03T08:00,29.4,39,0.00,967.4,11.1,119,14.0,119
2024-01-03T09:00,29.8,37,0.00,966.5,10.6,114,13.4,114
2024-01-03T10:00,29.8,36,0.00,965.9,11.3,112,14.2,111
2024-01-03T11:00,29.4,36,0.00,966.0,10.8,120,14.3,118
2024-01-03T12:00,28.1,38,0.00,966.3,9.4,122,15.8,120
2024-01-03T13:00,26.6,42,0.00,966.3,9.5,119,20.1,123
2024-01-03T14:00,26.3,42,0.00,966.9,11.8,113,24.2,115
2024-01-03T15:00,25.6,46,0.00,967.3,15.9,115,29.8,115
2024-01-03T16:00,25.1,50,0.00,967.8,18.6,122,32.3,121
2024-01-03T17:00,24.0,58,0.00,967.9,17.2,123,29.9,124
2024-01-03T18:00,22.9,68,0.00,968.0,15.9,123,27.6,123
2024-01-03T19:00,22.1,76,0.00,967.8,15.2,126,26.5,127
2024-01-03T20:00,21.7,79,0.00,967.6,14.8,129,26.4,129
2024-01-03T21:00,21.2,81,0.00,967.0,14.8,129,26.6,131
2024-01-03T22:00,20.8,83,0.00,966.6,15.3,133,27.0,133
2024-01-03T23:00,20.5,86,0.00,966.5,15.8,135,27.5,135
2024-01-04T00:00,20.1,89,0.00,966.9,12.7,137,24.0,137
2024-01-04T01:00,20.8,90,0.00,969.1,9.1,97,16.0,104
2024-01-04T02:00,20.9,89,0.00,969.8,10.3,102,18.6,105
2024-01-04T03:00,22.7,79,0.00,970.5,14.7,115,20.0,116
2024-01-04T04:00,24.6,68,0.00,971.1,14.7,118,19.3,119
2024-01-04T05:00,26.4,58,0.00,971.0,12.4,116,15.9,115
2024-01-04T06:00,28.0,50,0.00,970.1,11.9,119,14.8,119
2024-01-04T07:00,29.1,44,0.00,968.6,11.3,117,14.2,117
2024-01-04T08:00,30.0,39,0.00,967.3,11.5,110,14.6,110
2024-01-04T09:00,30.6,36,0.00,966.3,10.8,105,13.8,105
2024-01-04T10:00,30.7,34,0.00,965.6,10.5,96,13.4,96
2024-01-04T11:00,30.3,34,0.00,965.4,11.7,99,15.3,98
2024-01-04T12:00,29.4,35,0.00,965.7,10.8,111,18.0,110
2024-01-04T13:00,26.8,44,0.00,965.9,10.4,104,22.3,108
2024-01-04T14:00,26.1,45,0.00,966.9,11.3,107,24.1,107
2024-01-04T15:00,25.7,50,0.00,967.8,17.1,115,31.3,119
2024-01-04T16:00,24.6,61,0.00,968.4,15.3,124,27.2,125
2024-01-04T17:00,23.8,68,0.00,968.5,14.3,129,25.6,129
2024-01-04T18:00,23.0,73,0.00,968.3,13.8,133,24.7,133
2024-01-04T19:00,22.3,77,0.00,968.1,12.8,130,23.4,133
2024-01-04T20:00,21.7,81,0.00,967.6,12.8,130,23.7,132
2024-01-04T21:00,21.2,83,0.00,967.1,12.5,134,23.2,134
2024-01-04T22:00,20.8,85,0.00,966.7,11.2,138,21.7,137
2024-01-04T23:00,20.3,87,0.00,966.9,8.9,133,19.1,136
2024-01-05T00:00,19.7,90,0.00,967.5,7.6,135,17.8,137
2024-01-05T01:00,20.1,89,0.00,969.0,9.7,129,19.6,133
2024-01-05T02:00,20.4,87,0.00,969.6,9.8,118,18.9,125
2024-01-05T03:00,22.2,77,0.00,970.3,12.5,123,17.4,124
2024-01-05T04:00,24.3,64,0.00,970.6,16.6,132,21.9,132
2024-01-05T05:00,26.4,50,0.00,970.3,16.1,132,21.1,133
2024-01-05T06:00,28.3,40,0.00,969.3,15.3,131,19.9,132
2024-01-05T07:00,29.5,37,0.00,968.1,14.2,126,18.0,127
2024-01-05T08:00,30.4,34,0.00,966.9,12.7,119,16.1,119
2024-01-05T09:00,30.9,32,0.00,966.0,11.6,112,14.8,113
2024-01-05T10:00,31.0,30,0.00,965.6,10.9,107,14.0,108
2024-01-05T11:00,30.4,29,0.00,965.7,11.4,108,14.8,108
