latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.836554,75.703354,599.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.5,67,0.00,945.9,9.8,118,19.2,128
2024-01-01T01:00,17.8,76,0.00,947.7,10.0,111,19.2,120
2024-01-01T02:00,18.0,78,0.00,948.4,10.1,117,20.0,124
2024-01-01T03:00,19.9,73,0.00,949.4,11.8,121,17.6,125
2024-01-01T04:00,22.3,65,0.00,950.1,15.3,124,18.1,125
2024-01-01T05:00,25.0,55,0.00,950.1,16.6,124,19.4,125
2024-01-01T06:00,27.0,45,0.00,949.6,16.1,119,18.2,120
2024-01-01T07:00,28.2,38,0.00,948.5,13.8,110,15.7,110
2024-01-01T08:00,29.0,34,0.00,947.3,12.0,99,13.5,99
2024-01-01T09:00,29.5,32,0.00,946.4,11.5,94,13.0,95
2024-01-01T10:00,29.7,31,0.00,946.0,11.2,96,12.3,95
2024-01-01T11:00,29.5,32,0.00,945.8,10.5,96,11.9,95
2024-01-01T12:00,28.9,33,0.00,945.9,11.3,97,13.1,98
2024-01-01T13:00,27.8,37,0.00,946.5,8.8,125,13.3,123
2024-01-01T14:00,27.0,39,0.00,947.3,10.4,104,17.8,108
2024-01-01T15:00,26.0,42,0.00,947.7,12.1,67,20.2,71
2024-01-01T16:00,24.8,46,0.00,948.1,13.9,69,24.1,70
2024-01-01T17:00,24.5,45,0.00,948.2,13.8,83,24.6,79
2024-01-01T18:00,23.8,47,0.00,947.6,12.6,90,23.0,90
2024-01-01T19:00,22.6,50,0.00,946.7,11.2,111,22.2,103
2024-01-01T20:00,21.9,52,0.00,946.1,11.4,118,22.3,113
2024-01-01T21:00,21.3,53,0.00,945.6,11.3,121,22.4,120
2024-01-01T22:00,20.6,54,0.00,945.3,13.4,121,25.5,123
2024-01-01T23:00,19.8,61,0.00,945.2,12.5,129,24.5,131
2024-01-02T00:00,19.3,69,0.00,945.5,11.5,131,22.4,134
2024-01-02T01:00,18.7,79,0.00,946.8,11.5,134,22.4,138
