latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.766256,77.179726,375.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.8,85,0.00,971.1,12.5,108,24.7,111
2024-01-01T01:00,18.5,88,0.00,972.8,11.1,119,22.2,119
2024-01-01T02:00,18.8,87,0.00,973.6,10.4,124,18.9,125
2024-01-01T03:00,20.7,78,0.00,974.6,9.8,126,14.2,126
2024-01-01T04:00,23.0,67,0.00,975.2,11.2,130,14.8,129
2024-01-01T05:00,25.3,56,0.00,974.7,11.5,131,14.6,130
2024-01-01T06:00,27.0,48,0.00,974.0,9.7,132,12.3,130
2024-01-01T07:00,28.3,43,0.00,972.7,7.3,123,8.9,122
2024-01-01T08:00,29.2,39,0.00,971.4,5.6,117,7.1,114
2024-01-01T09:00,29.7,36,0.00,970.4,4.9,107,6.3,103
2024-01-01T10:00,29.9,34,0.00,970.0,4.7,94,6.1,93
2024-01-01T11:00,29.6,34,0.00,969.9,5.2,102,6.6,99
2024-01-01T12:00,27.1,49,0.00,969.7,6.0,123,9.0,113
2024-01-01T13:00,24.7,46,0.00,970.3,7.6,115,14.4,122
2024-01-01T14:00,24.7,41,0.00,971.3,10.2,98,18.3,110
2024-01-01T15:00,23.5,43,0.00,971.7,8.8,99,18.7,113
2024-01-01T16:00,22.7,44,0.00,972.1,9.0,92,19.8,115
2024-01-01T17:00,22.6,50,0.00,972.5,15.1,93,29.7,100
2024-01-01T18:00,22.1,64,0.00,972.2,15.5,95,30.1,101
2024-01-01T19:00,21.6,67,0.00,971.7,14.1,105,27.4,107
2024-01-01T20:00,21.1,69,0.00,971.3,13.2,116,25.3,118
2024-01-01T21:00,20.5,73,0.00,970.7,11.9,115,23.8,119
2024-01-01T22:00,19.9,78,0.00,970.2,11.3,112,22.7,117
2024-01-01T23:00,19.4,81,0.00,970.2,11.3,112,22.4,118
2024-01-02T00:00,19.0,84,0.00,970.6,11.1,115,22.1,118
2024-01-02T01:00,18.3,88,0.00,971.7,7.1,120,17.0,126
2024-01-02T02:00,18.7,87,0.00,972.6,8.7,120,16.6,131
2024-01-02T03:00,20.8,79,0.00,973.6,7.9,120,12.4,126
