Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,13.9,45.93,6.28,11.75,14.7,6.4,7.36,0.7,31.51,,3.21,,,2.64,2.82,25.83,,0.67,62.79,0.0,0.0,149.28,887.05,
2024-01-01 01:00:00,18.32,46.06,5.1,12.22,16.14,5.21,7.3,1.03,28.21,,0.94,,,0.18,0.42,25.64,,0.62,157.25,0.0,0.0,155.32,897.35,
2024-01-01 02:00:00,17.97,45.66,4.93,12.28,16.33,5.22,7.26,0.69,28.08,,0.97,,,0.18,0.42,24.54,,0.72,243.3,0.0,0.0,189.74,952.25,
2024-01-01 03:00:00,18.16,45.87,5.02,12.27,16.4,5.28,7.3,0.88,17.19,,0.96,,,0.18,0.42,24.86,,0.54,127.99,0.0,0.0,155.63,902.5,
2024-01-01 04:00:00,18.23,45.96,5.06,12.24,16.17,5.26,7.32,0.95,17.62,,0.94,,,0.18,0.42,24.5,,0.76,67.69,0.0,0.0,135.84,871.62,
2024-01-01 05:00:00,18.14,45.85,5.01,12.32,16.27,5.27,7.28,0.86,23.6,,0.93,,,0.18,0.42,24.2,,0.83,60.83,0.0,0.0,133.89,869.95,
2024-01-01 06:00:00,18.11,45.81,5.0,12.22,16.41,5.26,7.27,0.83,21.47,,0.96,,,0.18,0.42,24.03,,0.85,60.2,0.0,0.0,133.61,869.8,
2024-01-01 07:00:00,18.1,45.81,4.99,12.15,16.21,5.24,7.32,0.82,19.19,,0.94,,,0.18,0.41,23.38,,0.9,52.47,0.0,0.0,132.06,866.52,
2024-01-01 08:00:00,18.32,46.05,5.1,12.3,16.1,5.21,7.32,1.04,18.62,,0.95,,,0.18,0.42,24.58,,0.88,51.01,0.0,0.0,125.58,868.08,
2024-01-01 09:00:00,18.31,46.04,5.09,12.24,16.13,5.2,7.28,1.02,17.97,,0.95,,,0.18,0.42,26.41,,0.88,48.85,0.0,0.0,119.52,870.52,
2024-01-01 10:00:00,17.91,45.6,4.9,12.28,16.17,5.31,7.28,0.63,22.26,,0.94,,,0.18,0.42,27.88,,0.86,52.16,0.0,0.0,125.66,873.05,
2024-01-01 11:00:00,18.24,45.96,5.05,12.3,16.05,5.28,7.36,0.96,22.68,,0.96,,,0.18,0.42,28.97,98.12,0.94,52.67,0.0,0.0,115.38,868.52,
2024-01-01 12:00:00,17.91,45.59,4.9,12.34,16.08,5.29,7.39,0.63,26.06,,0.97,,,0.18,0.42,30.46,92.28,0.74,55.18,0.0,0.0,129.99,881.02,
2024-01-01 13:00:00,18.24,45.96,5.06,12.28,16.23,5.31,7.31,0.96,30.3,,0.94,,,0.18,0.42,30.9,89.79,0.79,60.06,0.0,0.0,132.4,875.45,
2024-01-01 14:00:00,18.15,45.86,5.02,12.3,16.05,5.21,7.29,0.87,33.07,,0.96,,,0.18,0.42,31.47,86.26,0.76,118.05,0.0,0.0,146.68,902.72,
2024-01-01 15:00:00,18.24,45.96,5.06,12.26,16.22,5.27,7.35,0.96,36.83,,0.97,,,0.18,0.42,31.76,84.63,0.72,16.54,0.0,0.0,146.25,905.48,
2024-01-01 16:00:00,18.22,45.94,5.05,12.18,16.18,5.24,7.32,0.94,33.13,,0.95,,,0.18,0.42,31.46,86.01,0.77,349.42,0.0,0.0,176.12,954.98,
2024-01-01 17:00:00,18.05,45.74,4.96,12.21,16.32,5.23,7.3,0.76,36.22,,0.94,,,0.18,0.42,30.54,89.08,0.78,344.0,0.0,0.0,185.09,967.2,
2024-01-01 18:00:00,18.05,45.74,4.96,12.24,15.59,5.24,7.3,0.77,30.44,,0.96,,,0.17,0.42,29.67,93.29,0.79,23.09,0.0,0.0,141.52,888.92,
2024-01-01 19:00:00,18.09,45.8,4.98,12.18,16.37,5.26,7.33,0.81,23.13,,0.93,,,0.18,0.42,29.02,94.13,0.82,44.3,0.0,0.0,130.54,866.35,
2024-01-01 20:00:00,18.15,45.86,5.01,12.31,15.93,5.22,7.32,0.87,18.96,,0.94,,,0.17,0.42,28.36,96.79,0.86,53.65,0.0,0.0,131.45,868.15,
2024-01-01 21:00:00,18.06,45.76,4.97,12.34,16.56,5.26,7.29,0.78,22.64,,0.96,,,0.18,0.43,27.73,99.48,0.87,50.04,0.0,0.0,132.32,867.02,
2024-01-01 22:00:00,18.01,45.7,4.95,12.32,16.12,5.24,7.3,0.73,26.17,,0.96,,,0.18,0.42,27.14,,0.86,48.98,0.0,0.0,132.9,865.72,
