Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,24.17,51.96,14.06,8.66,22.71,9.31,7.13,0.98,48.1,0.36,,,,1.36,0.82,19.68,55.69,1.82,242.0,,,,,
2024-01-01 01:00:00,26.73,51.19,13.08,5.45,18.53,8.07,7.48,0.99,43.62,0.36,,,,1.36,0.82,19.09,58.72,2.34,262.52,,,,,
2024-01-01 02:00:00,28.82,56.0,8.42,14.04,22.45,7.59,7.4,1.17,39.65,0.36,,,,1.36,0.82,19.0,59.59,2.2,267.0,,,,,
2024-01-01 03:00:00,33.54,56.08,9.7,8.94,18.64,9.18,9.2,1.07,38.16,0.36,,,,1.36,0.82,19.76,61.03,2.58,279.06,,,,,
2024-01-01 04:00:00,31.28,57.79,11.23,10.4,21.62,8.12,9.99,0.99,36.98,0.36,,,,1.36,0.82,19.63,66.69,2.91,282.59,,,,,
2024-01-01 05:00:00,29.18,52.96,12.78,13.42,26.21,7.18,7.06,0.99,34.95,0.36,,,,1.36,0.82,19.18,70.37,2.39,276.82,,,,,
2024-01-01 06:00:00,27.18,52.12,15.25,10.98,26.22,7.39,7.2,0.97,33.96,0.36,,,,1.36,0.82,18.9,72.5,2.43,274.32,,,,,
2024-01-01 07:00:00,24.28,55.08,20.44,4.93,25.37,8.6,7.99,0.99,34.42,0.36,,,,1.36,0.82,19.23,73.76,2.79,266.3,,,,,
2024-01-01 08:00:00,25.82,57.04,20.29,4.6,22.47,9.76,8.13,0.98,35.36,0.36,,,,1.36,0.82,20.56,70.27,3.8,259.86,,,,,
2024-01-01 09:00:00,21.46,58.29,21.89,8.4,30.3,8.47,7.15,0.99,36.84,0.36,,,,1.36,0.82,21.87,66.32,4.29,259.06,,,,,
2024-01-01 10:00:00,24.63,65.89,16.45,15.76,32.23,6.39,10.05,0.99,39.1,0.36,,,,1.36,0.82,23.74,59.21,3.04,251.87,,,,,
2024-01-01 11:00:00,22.27,62.58,16.4,6.8,20.78,8.53,12.44,1.0,44.13,0.36,,,,1.36,0.82,25.58,53.18,2.84,244.48,,,,,
2024-01-01 12:00:00,28.36,53.0,21.29,6.46,27.75,8.99,3.66,1.03,48.71,0.36,,,,1.36,0.82,27.39,46.12,2.37,229.04,,,,,
2024-01-01 13:00:00,21.74,53.12,19.48,15.1,34.61,8.74,8.91,1.07,57.21,0.36,,,,1.36,0.82,28.44,40.86,2.07,209.94,,,,,
2024-01-01 14:00:00,24.64,56.04,26.85,6.3,33.13,9.62,7.56,1.14,65.95,0.36,,,,1.36,0.82,29.22,38.12,2.33,191.82,,,,,
2024-01-01 15:00:00,27.72,56.92,20.69,11.39,32.06,9.36,7.1,1.12,68.01,0.36,,,,1.36,0.82,29.12,36.96,1.93,201.58,,,,,
2024-01-01 16:00:00,25.28,55.08,7.67,12.99,20.66,8.5,7.74,1.1,70.8,0.36,,,,1.36,0.82,28.59,37.9,2.4,180.83,,,,,
2024-01-01 17:00:00,24.09,57.04,3.4,9.32,12.74,10.3,6.87,1.1,67.17,0.36,,,,1.36,0.82,27.35,40.7,2.55,182.77,,,,,
2024-01-01 18:00:00,26.74,57.71,9.7,12.39,19.17,9.09,6.49,1.07,56.1,0.36,,,,1.36,0.82,25.56,44.64,1.7,190.34,,,,,
2024-01-01 19:00:00,25.18,50.96,,13.09,7.44,10.9,5.38,1.07,46.84,0.36,,,,1.36,0.82,23.86,49.05,1.32,208.68,,,,,
2024-01-01 20:00:00,24.09,50.33,,12.32,4.59,11.01,6.4,1.04,45.47,0.36,,,,1.36,0.82,22.84,52.76,1.6,231.8,,,,,
