Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 11:00:00,41.42,76.26,22.55,8.76,31.31,17.36,,0.26,,0.37,,,,1.83,0.95,26.28,51.84,1.02,171.15,,,,,
2024-01-01 12:00:00,42.75,75.91,21.87,9.84,31.7,17.51,,0.23,77.18,0.37,,,,1.83,0.95,27.7,46.42,1.0,135.78,,,,,
2024-01-01 13:00:00,35.95,63.18,9.02,9.66,18.66,14.71,,0.22,60.1,0.37,,,,1.83,0.95,27.37,44.99,0.77,191.93,,,,,
2024-01-01 14:00:00,41.86,72.7,7.52,9.24,16.76,14.86,,0.23,57.4,0.37,,,,1.83,0.95,27.9,42.53,0.84,175.81,,,,,
2024-01-01 15:00:00,40.72,83.22,3.04,8.73,11.76,14.22,,0.28,44.75,0.37,,,,1.83,0.95,27.74,41.19,0.72,152.4,,,,,
2024-01-01 16:00:00,39.56,78.65,0.07,10.1,6.43,12.01,,0.26,43.6,0.37,,,,1.83,0.95,27.53,40.24,0.58,175.58,,,,,
2024-01-01 17:00:00,42.86,81.17,,9.69,3.36,11.74,,0.23,47.09,0.37,,,,1.83,0.95,26.34,42.92,0.36,133.34,,,,,
2024-01-01 18:00:00,42.0,69.52,,9.92,1.18,11.65,,0.22,41.59,0.37,,,,1.83,0.95,25.04,47.74,0.29,158.24,,,,,
2024-01-01 19:00:00,44.69,79.79,,9.97,0.98,12.03,,0.36,32.28,0.37,,,,1.83,0.95,24.19,53.31,0.38,214.77,,,,,
2024-01-01 20:00:00,60.86,126.83,,10.14,1.11,11.96,,0.47,31.55,0.37,,,,1.83,0.95,23.26,69.11,0.7,269.39,,,,,
2024-01-01 21:00:00,57.73,135.48,,9.73,1.08,11.46,,0.48,33.28,0.37,,,,1.83,0.95,22.24,76.77,0.7,297.4,,,,,
2024-01-01 22:00:00,43.03,107.56,,10.33,1.23,11.46,,0.39,35.64,0.37,,,,1.83,0.95,21.8,77.58,0.71,287.78,,,,,
2024-01-01 23:00:00,37.0,76.3,,9.19,0.56,11.66,,0.38,33.24,0.37,,,,1.83,0.95,21.58,78.48,0.51,201.77,,,,,
2024-01-02 00:00:00,37.0,65.0,,9.97,1.44,11.5,,0.31,36.08,0.37,,,,1.83,0.95,21.34,80.36,0.62,141.1,,,,,
2024-01-02 01:00:00,37.14,64.09,,9.38,0.78,11.69,,0.3,32.26,0.37,,,,1.83,0.95,21.05,80.06,0.35,128.83,,,,,
2024-01-02 02:00:00,38.83,60.22,,9.36,0.92,11.33,,0.28,33.38,0.37,,,,1.83,0.95,20.79,77.11,0.52,113.72,,,,,
2024-01-02 03:00:00,43.3,72.73,,9.91,1.22,11.6,,0.25,35.69,0.37,,,,1.83,0.95,20.29,74.64,0.86,79.07,,,,,
2024-01-02 04:00:00,39.42,57.74,,9.66,1.36,11.29,,0.24,33.22,0.37,,,,1.83,0.95,20.01,76.79,0.48,97.31,,,,,
2024-01-02 05:00:00,42.0,57.3,,9.95,1.25,11.58,,0.22,37.65,0.37,,,,1.83,0.95,19.69,76.99,0.99,108.98,,,,,
2024-01-02 06:00:00,42.0,65.22,,10.14,1.68,11.15,,0.19,41.18,0.37,,,,1.83,0.95,19.18,78.01,0.79,165.33,,,,,
2024-01-02 07:00:00,42.41,63.4,,10.2,2.84,11.86,,0.18,39.13,0.37,,,,1.83,0.95,19.13,78.82,0.64,147.58,,,,,
2024-01-02 08:00:00,45.56,83.78,,10.35,4.96,12.7,,0.16,39.02,0.37,,,,1.83,0.95,19.85,77.6,0.76,142.43,,,,,
2024-01-02 09:00:00,49.28,72.4,2.42,10.03,10.21,12.52,,0.18,39.68,0.37,,,,1.83,0.95,21.37,72.31,1.08,182.45,,,,,
2024-01-02 10:00:00,51.0,93.82,13.31,11.95,25.27,15.25,,0.18,43.89,0.37,,,,1.83,0.95,24.44,61.07,1.06,145.26,,,,,
2024-01-02 11:00:00,51.0,86.0,23.88,9.29,33.16,18.24,,0.16,46.48,0.37,,,,1.83,0.95,26.07,55.56,1.4,136.28,,,,,
