Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,29.08,72.37,9.27,17.12,26.12,22.6,7.1,1.02,68.11,0.1,0.31,,,0.25,0.15,23.16,49.77,3.82,127.1,0.0,0.0,99.3,,
2024-01-01 01:00:00,30.06,67.0,9.06,16.84,25.64,23.49,6.99,1.02,60.99,0.1,0.3,,,0.25,0.16,22.54,52.62,3.65,132.94,0.0,0.0,99.24,,
2024-01-01 02:00:00,30.98,69.74,8.43,16.43,24.58,22.34,7.67,1.08,43.24,0.1,0.31,,,0.25,0.15,22.07,55.76,4.53,141.31,0.0,0.0,99.08,,
2024-01-01 03:00:00,31.26,68.66,7.6,16.19,23.54,22.74,8.87,1.12,46.14,0.1,0.31,,,0.25,0.15,21.54,58.6,3.82,155.76,0.0,0.0,99.24,709.54,
2024-01-01 04:00:00,31.78,71.96,6.21,16.86,22.84,21.5,8.99,1.06,40.81,0.09,0.31,,,0.25,0.15,21.38,61.43,2.49,136.68,0.0,0.0,99.11,,
2024-01-01 05:00:00,31.04,72.85,5.74,16.44,21.91,20.76,9.44,1.06,38.74,0.1,0.3,,,0.25,0.15,20.91,65.03,2.9,140.4,0.0,0.0,99.3,,
2024-01-01 06:00:00,31.24,75.18,4.68,16.44,20.84,20.74,7.94,1.18,25.64,0.1,0.3,,,0.25,0.16,20.52,68.69,2.44,174.28,0.0,0.0,100.32,,
2024-01-01 07:00:00,30.41,84.9,4.69,16.44,20.86,20.45,7.96,1.25,27.18,0.1,0.3,,,0.25,0.15,20.97,69.53,2.41,125.6,0.0,0.0,164.93,,
2024-01-01 08:00:00,33.12,90.34,4.82,16.57,21.09,18.8,8.56,1.2,39.35,0.11,0.29,,,0.25,0.15,22.4,65.25,2.14,130.82,0.0,0.0,336.44,,
2024-01-01 09:00:00,34.26,87.88,4.76,16.99,21.47,18.53,8.59,1.15,44.74,0.1,0.3,,,0.26,0.15,23.84,59.76,2.22,137.53,0.0,0.0,521.64,,
2024-01-01 10:00:00,36.28,93.29,5.72,16.7,22.12,17.9,7.07,1.13,48.65,0.1,0.29,,,0.25,0.15,25.46,49.73,2.42,150.34,0.0,0.0,669.97,,
2024-01-01 11:00:00,36.78,90.28,6.52,16.91,23.11,17.17,7.06,1.16,54.36,0.11,0.29,,,0.25,0.15,26.88,43.65,2.32,148.23,0.0,0.0,746.2,,
2024-01-01 12:00:00,30.79,72.89,5.48,16.9,22.08,17.5,7.47,1.14,57.67,0.11,0.29,,,0.24,0.16,27.83,38.92,3.2,165.79,0.0,0.0,762.21,,
2024-01-01 13:00:00,32.75,76.09,6.46,20.3,26.77,27.04,12.28,1.31,48.73,,,,,,,,30.49,0.68,155.82,,0.0,,,
2024-01-01 14:00:00,29.36,66.16,4.45,20.83,19.31,28.92,11.91,1.38,47.0,,,,,,,,30.83,0.65,139.28,,0.0,,,
2024-01-01 15:00:00,25.69,63.93,4.13,16.97,20.1,17.87,17.01,1.54,62.32,0.11,0.3,,,0.25,0.15,29.18,35.26,3.1,146.52,0.0,0.0,458.43,,
2024-01-01 16:00:00,27.47,76.19,4.81,17.11,21.64,18.06,8.3,1.2,63.49,0.1,0.3,,,0.25,0.16,28.44,37.31,3.01,159.88,0.0,0.0,283.62,,
2024-01-01 17:00:00,28.4,89.4,5.15,17.26,22.12,18.94,10.38,1.12,53.89,0.11,0.31,,,0.25,0.15,27.52,40.12,3.23,127.43,0.0,0.0,138.18,,
2024-01-01 18:00:00,33.8,104.14,6.56,17.34,23.59,19.54,7.76,1.13,37.53,0.1,0.29,,,0.25,0.15,26.54,44.89,3.09,135.89,0.0,0.0,100.06,,
2024-01-01 19:00:00,39.16,121.53,7.92,17.2,24.86,19.8,7.98,1.03,57.14,0.1,0.29,,,0.25,0.15,26.1,44.81,3.33,119.14,0.0,0.0,99.49,,
2024-01-01 20:00:00,40.58,104.74,8.99,17.31,26.0,19.76,8.43,0.88,58.39,0.1,0.29,,,0.25,0.15,25.55,46.22,3.52,128.34,0.0,0.0,100.05,,
2024-01-01 21:00:00,30.76,92.05,9.64,17.17,26.54,20.3,7.54,0.84,50.62,0.1,0.3,,,0.25,0.15,24.93,48.86,3.72,127.86,0.0,0.0,99.49,,
2024-01-01 22:00:00,33.68,92.96,10.08,17.13,26.96,20.58,6.72,0.88,32.27,0.1,0.31,,,0.25,0.15,24.21,54.39,3.77,213.96,0.0,0.0,99.64,,
2024-01-01 23:00:00,29.34,92.52,10.11,16.87,26.72,20.47,6.37,0.92,32.78,0.1,0.3,,,0.25,0.15,23.29,58.79,3.48,215.06,0.0,0.0,99.46,,
